// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5841297549.000000													9.768932	0.367884	-0.921562	-0.096701	-0.849226	0.519099	0.031996	0.518621	0.854405	-0.994799	0.099231	-0.022980
1	5841347560.000000													9.734339	0.394289	-0.909539	-0.096857	-0.849802	0.518128	0.032064	0.517641	0.854997	-0.994782	0.099425	-0.022889
2	5841397572.000000													9.740167	0.381329	-0.906915	-0.097066	-0.849970	0.517813	0.032320	0.517303	0.855192	-0.994753	0.099746	-0.022741
3	5841447583.000000													9.749009	0.294945	-0.952845	-0.097234	-0.849726	0.518181	0.032438	0.517666	0.854968	-0.994733	0.099941	-0.022772
4	5841497595.000000													9.736425	0.296913	-0.966851	-0.097344	-0.850319	0.517186	0.032399	0.516671	0.855571	-0.994723	0.100041	-0.022745
5	5841547606.000000													9.753837	0.387092	-0.920820	-0.097620	-0.851169	0.515735	0.032172	0.515240	0.856442	-0.994704	0.100198	-0.022914
6	5841597618.000000													9.744866	0.366527	-0.926827	-0.097668	-0.850601	0.516662	0.031877	0.516204	0.855872	-0.994708	0.100061	-0.023302
7	5841647629.000000													9.724193	0.235680	-0.930478	-0.097917	-0.850288	0.517130	0.031391	0.516729	0.855573	-0.994699	0.100008	-0.023906
8	5841697641.000000													9.751966	0.272515	-0.960720	-0.098208	-0.850797	0.516236	0.030755	0.515901	0.856096	-0.994691	0.099952	-0.024500
9	5841747652.000000													9.731100	0.363247	-0.954381	-0.098558	-0.850868	0.516053	0.030077	0.515794	0.856185	-0.994677	0.099905	-0.025244
10	5841797663.000000													9.736855	0.291707	-0.943953	-0.098796	-0.850493	0.516625	0.029129	0.516471	0.855809	-0.994681	0.099599	-0.026251
11	5841847675.000000													9.768476	0.312734	-0.948853	-0.099007	-0.850584	0.516434	0.028157	0.516382	0.855895	-0.994688	0.099281	-0.027175
12	5841897686.000000													9.733279	0.364575	-0.974825	-0.099312	-0.850057	0.517243	0.027789	0.517241	0.855388	-0.994668	0.099324	-0.027746
13	5841947698.000000													9.739692	0.213062	-0.980612	-0.099677	-0.849503	0.518082	0.027849	0.518089	0.854873	-0.994630	0.099640	-0.027984
14	5841997709.000000													9.757673	0.246804	-0.975285	-0.100183	-0.850055	0.517078	0.027293	0.517149	0.855460	-0.994595	0.099815	-0.028609
