// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5841297549.000000													9.495817	-0.030124	2.676583	0.268073	0.152834	0.951199	-0.002591	0.987447	-0.157928	-0.963395	0.039872	0.265104
1	5841347560.000000													9.553784	-0.051358	2.658396	0.268006	0.152344	0.951296	-0.002584	0.987529	-0.157419	-0.963414	0.039731	0.265057
2	5841397572.000000													9.503956	-0.025179	2.674247	0.267896	0.151665	0.951436	-0.002391	0.987633	-0.156762	-0.963445	0.039721	0.264945
3	5841447583.000000													9.478666	-0.000176	2.693028	0.267678	0.151171	0.951575	-0.002238	0.987710	-0.156282	-0.963506	0.039703	0.264727
4	5841497595.000000													9.511988	-0.024677	2.636043	0.267199	0.151005	0.951736	-0.002095	0.987735	-0.156128	-0.963639	0.039724	0.264238
5	5841547606.000000													9.512272	-0.034689	2.618471	0.266604	0.151169	0.951877	-0.002071	0.987711	-0.156280	-0.963804	0.039693	0.263641
6	5841597618.000000													9.511130	-0.030742	2.636949	0.266117	0.151258	0.951999	-0.002125	0.987702	-0.156337	-0.963938	0.039581	0.263166
7	5841647629.000000													9.529599	-0.011689	2.630296	0.265472	0.151426	0.952153	-0.002254	0.987684	-0.156449	-0.964116	0.039386	0.262543
8	5841697641.000000													9.502086	0.003513	2.642822	0.264780	0.151876	0.952274	-0.002108	0.987608	-0.156925	-0.964307	0.039544	0.261819
9	5841747652.000000													9.577682	-0.024221	2.620035	0.264192	0.152472	0.952342	-0.001973	0.987508	-0.157555	-0.964468	0.039746	0.261193
10	5841797663.000000													9.526352	-0.026378	2.580885	0.263859	0.152923	0.952362	-0.002178	0.987444	-0.157952	-0.964559	0.039602	0.260879
11	5841847675.000000													9.495239	-0.018312	2.609001	0.263544	0.153075	0.952425	-0.002140	0.987420	-0.158107	-0.964645	0.039630	0.260556
12	5841897686.000000													9.543813	-0.007103	2.627784	0.263078	0.153350	0.952509	-0.002210	0.987380	-0.158354	-0.964772	0.039555	0.260097
13	5841947698.000000													9.520961	-0.027217	2.608235	0.262401	0.153533	0.952666	-0.002297	0.987358	-0.158491	-0.964956	0.039400	0.259436
14	5841997709.000000													9.536256	-0.007150	2.607453	0.262062	0.153919	0.952697	-0.002514	0.987304	-0.158819	-0.965048	0.039226	0.259122
15	5842047721.000000													9.575796	-0.010630	2.602039	0.262116	0.154423	0.952601	-0.002708	0.987228	-0.159291	-0.965033	0.039173	0.259187
