// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5841297549.000000													9.917739	-0.773688	-0.124199	-0.021932	0.998038	0.058638	-0.055389	0.057349	-0.996817	-0.998224	-0.025110	0.054022
1	5841347560.000000													9.890480	-0.557350	-0.108274	-0.021614	0.997903	0.061006	-0.055483	0.059729	-0.996671	-0.998226	-0.024926	0.054076
2	5841397572.000000													9.855885	-0.536098	-0.229019	-0.022066	0.997925	0.060484	-0.055459	0.059183	-0.996705	-0.998217	-0.025347	0.054038
3	5841447583.000000													9.847479	-0.549470	-0.252825	-0.021947	0.997870	0.061439	-0.055169	0.060151	-0.996664	-0.998236	-0.025263	0.053732
4	5841497595.000000													9.872461	-0.548608	-0.265659	-0.022286	0.997738	0.063424	-0.054856	0.062124	-0.996560	-0.998246	-0.025688	0.053347
5	5841547606.000000													9.858769	-0.535525	-0.234753	-0.022270	0.997673	0.064445	-0.054503	0.063154	-0.996514	-0.998265	-0.025705	0.052969
6	5841597618.000000													9.884585	-0.545902	-0.243037	-0.022578	0.997604	0.065401	-0.054069	0.064103	-0.996477	-0.998282	-0.026034	0.052493
7	5841647629.000000													9.869085	-0.542701	-0.198773	-0.022565	0.997511	0.066810	-0.053664	0.065523	-0.996407	-0.998304	-0.026069	0.052052
8	5841697641.000000													9.843483	-0.499895	-0.238077	-0.023082	0.997446	0.067598	-0.053155	0.066296	-0.996383	-0.998319	-0.026591	0.051489
9	5841747652.000000													9.902229	-0.559367	-0.237010	-0.023487	0.997421	0.067820	-0.052521	0.066514	-0.996402	-0.998344	-0.026965	0.050823
10	5841797663.000000													9.877689	-0.554908	-0.225107	-0.023744	0.997368	0.068501	-0.052076	0.067193	-0.996380	-0.998361	-0.027225	0.050344
11	5841847675.000000													9.866215	-0.493220	-0.205421	-0.023710	0.997390	0.068205	-0.051821	0.066906	-0.996413	-0.998375	-0.027160	0.050099
12	5841897686.000000													9.862878	-0.504730	-0.275874	-0.024288	0.997396	0.067902	-0.051241	0.066590	-0.996464	-0.998391	-0.027682	0.049491
13	5841947698.000000													9.871912	-0.544825	-0.220290	-0.025125	0.997347	0.068316	-0.050677	0.066979	-0.996467	-0.998399	-0.028498	0.048860
14	5841997709.000000													9.882921	-0.526492	-0.222293	-0.025433	0.997298	0.068915	-0.050247	0.067575	-0.996448	-0.998413	-0.028806	0.048393
15	5842047721.000000													9.899139	-0.562382	-0.173077	-0.025209	0.997336	0.068446	-0.050263	0.067117	-0.996478	-0.998418	-0.028560	0.048437
16	5842097732.000000													9.872910	-0.576918	-0.195718	-0.024541	0.997391	0.067887	-0.050641	0.066580	-0.996495	-0.998415	-0.027893	0.048875
17	5842147744.000000													9.890098	-0.562194	-0.212678	-0.024017	0.997434	0.067437	-0.051070	0.066144	-0.996502	-0.998406	-0.027377	0.049350
