// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
02434														7.523297	0.176334	6.029679	0.125383	0.002943	0.100501	1.000000	0.000002	-0.000047	0.000037	-0.422948	-0.388173	0.195306	-0.795168	1.633888	-51.493148	123.195154	-0.340873	0.521005	0.782534	-0.824255	-0.565941	0.017752	0.452117	-0.638956	0.622355
02435														7.544094	0.200881	6.044721	0.125731	0.003353	0.100751	1.000000	-0.000010	-0.000042	0.000033	-0.422975	-0.388161	0.195339	-0.795151	1.630642	-51.493812	123.192654	-0.340846	0.521012	0.782541	-0.824305	-0.565869	0.017717	0.452046	-0.639014	0.622347
02436														7.516204	0.166984	6.051261	0.125267	0.002796	0.100858	1.000000	-0.000020	-0.000028	0.000084	-0.422923	-0.388115	0.195372	-0.795193	1.616972	-51.490786	123.207664	-0.341005	0.520958	0.782508	-0.824265	-0.565932	0.017570	0.451999	-0.639003	0.622393
02437														7.510393	0.189763	6.047253	0.125168	0.003176	0.100794	1.000000	-0.000050	-0.000053	0.000066	-0.422933	-0.388097	0.195453	-0.795177	1.604944	-51.493624	123.211369	-0.341017	0.520903	0.782539	-0.824323	-0.565852	0.017438	0.451884	-0.639118	0.622357
02438														7.538813	0.205313	6.052133	0.125636	0.003429	0.100882	1.000000	-0.000006	-0.000101	0.000056	-0.422866	-0.388114	0.195483	-0.795197	1.596557	-51.497487	123.224052	-0.341104	0.520784	0.782581	-0.824263	-0.565941	0.017345	0.451928	-0.639136	0.622307
02439														7.535436	0.165541	6.036121	0.125582	0.002773	0.100612	1.000000	-0.000046	-0.000080	0.000073	-0.422760	-0.388124	0.195521	-0.795239	1.582854	-51.501054	123.244988	-0.341267	0.520618	0.782620	-0.824164	-0.566091	0.017195	0.451986	-0.639139	0.622263
02440														7.525569	0.149621	6.016911	0.125418	0.002509	0.100291	1.000000	-0.000033	-0.000074	0.000098	-0.422710	-0.388108	0.195598	-0.795254	1.566343	-51.504011	123.259426	-0.341376	0.520498	0.782652	-0.824151	-0.566115	0.017015	0.451927	-0.639215	0.622227
02441														7.558412	0.203278	6.036564	0.125967	0.003399	0.100617	1.000000	-0.000038	-0.000063	0.000059	-0.422611	-0.388092	0.195611	-0.795312	1.553883	-51.503249	123.280061	-0.341569	0.520384	0.782643	-0.824045	-0.566273	0.016880	0.451973	-0.639168	0.622241
02442														7.562878	0.170859	5.998030	0.126039	0.002864	0.099978	1.000000	-0.000092	-0.000085	0.000057	-0.422543	-0.388072	0.195684	-0.795340	1.535890	-51.505485	123.297933	-0.341715	0.520252	0.782668	-0.824010	-0.566329	0.016683	0.451927	-0.639225	0.622216
02443														7.583145	0.178762	6.025773	0.126380	0.002982	0.100437	1.000000	-0.000030	-0.000056	-0.000003	-0.422582	-0.388073	0.195717	-0.795311	1.534968	-51.507500	123.292286	-0.341648	0.520263	0.782690	-0.824073	-0.566238	0.016673	0.451863	-0.639297	0.622189
