// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	369522													9.012233	1.049221	3.682280	0.369474	-0.352651	-0.859725	0.105343	-0.903330	0.415809	-0.923251	-0.244197	-0.296608
1	370022													9.053935	1.062919	3.662034	0.369644	-0.352388	-0.859759	0.105493	-0.903396	0.415628	-0.923165	-0.244333	-0.296761
2	370522													9.085758	1.070811	3.672672	0.369632	-0.352239	-0.859825	0.105636	-0.903432	0.415515	-0.923154	-0.244416	-0.296728
3	371022													9.048037	1.059743	3.630965	0.369540	-0.352203	-0.859880	0.105760	-0.903428	0.415492	-0.923177	-0.244482	-0.296603
4	371522													9.061452	1.086936	3.637138	0.369415	-0.352172	-0.859946	0.105939	-0.903411	0.415481	-0.923206	-0.244587	-0.296425
5	372022													9.065289	1.060287	3.648834	0.369361	-0.352054	-0.860018	0.106158	-0.903417	0.415412	-0.923203	-0.244735	-0.296314
6	372522													9.060460	1.082675	3.624552	0.369478	-0.351755	-0.860090	0.106372	-0.903490	0.415200	-0.923131	-0.244897	-0.296402
7	373022													9.060238	1.093454	3.659438	0.369908	-0.351542	-0.859992	0.106525	-0.903497	0.415146	-0.922941	-0.245177	-0.296763
8	373522													9.061060	1.069854	3.667102	0.370235	-0.351542	-0.859851	0.106511	-0.903459	0.415232	-0.922812	-0.245317	-0.297048
9	374022													9.059965	1.066173	3.628758	0.370575	-0.351531	-0.859709	0.106396	-0.903451	0.415278	-0.922688	-0.245361	-0.297395
10	374522													9.057275	1.079132	3.663422	0.370842	-0.351284	-0.859695	0.106308	-0.903559	0.415065	-0.922591	-0.245316	-0.297733
11	375022													9.050540	1.084750	3.675360	0.371188	-0.351297	-0.859541	0.106215	-0.903534	0.415145	-0.922463	-0.245393	-0.298068
12	375523													9.040556	1.072522	3.684879	0.371455	-0.351538	-0.859326	0.106051	-0.903426	0.415421	-0.922374	-0.245443	-0.298301
13	376023													9.035237	1.031995	3.685227	0.371723	-0.351626	-0.859175	0.105894	-0.903391	0.415537	-0.922285	-0.245446	-0.298576
14	376523													9.064729	1.062021	3.671774	0.371844	-0.351239	-0.859280	0.105978	-0.903540	0.415192	-0.922226	-0.245452	-0.298753
15	377023													9.051824	1.057593	3.704423	0.372104	-0.351152	-0.859204	0.105894	-0.903571	0.415145	-0.922131	-0.245462	-0.299037
16	377523													9.019282	1.059338	3.706449	0.371946	-0.351349	-0.859192	0.105805	-0.903520	0.415279	-0.922205	-0.245368	-0.298886
17	378023													9.038215	1.046707	3.665425	0.371720	-0.351560	-0.859203	0.105829	-0.903441	0.415446	-0.922293	-0.245358	-0.298622
18	378523													9.064991	1.069825	3.688549	0.371648	-0.351414	-0.859294	0.105938	-0.903492	0.415307	-0.922309	-0.245380	-0.298553
19	379023													9.049004	1.057376	3.683842	0.371450	-0.351240	-0.859451	0.106075	-0.903564	0.415114	-0.922374	-0.245360	-0.298371
20	379523													9.045155	1.076342	3.638131	0.371125	-0.351326	-0.859556	0.106269	-0.903513	0.415176	-0.922482	-0.245427	-0.297981
21	380023													9.075942	1.071602	3.657282	0.370808	-0.351286	-0.859709	0.106446	-0.903526	0.415103	-0.922589	-0.245436	-0.297642
22	380523													9.067720	1.072271	3.631621	0.370564	-0.351314	-0.859803	0.106631	-0.903495	0.415123	-0.922666	-0.245511	-0.297342
23	381023													9.049087	1.091261	3.652542	0.370590	-0.351303	-0.859796	0.106679	-0.903484	0.415135	-0.922650	-0.245567	-0.297345
