// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	369522													9.088303	0.409718	-3.480305	-0.359552	-0.005039	-0.933112	0.034417	-0.999377	-0.007865	-0.932490	-0.034943	0.359501
1	370022													9.043689	0.396211	-3.490044	-0.359913	-0.004825	-0.932973	0.034450	-0.999373	-0.008122	-0.932349	-0.035064	0.359854
2	370522													9.055360	0.397908	-3.524370	-0.360790	-0.004759	-0.932635	0.034759	-0.999361	-0.008347	-0.931999	-0.035429	0.360725
3	371022													9.088861	0.385621	-3.546610	-0.361012	-0.004381	-0.932551	0.035124	-0.999343	-0.008902	-0.931900	-0.035969	0.360929
4	371522													9.028723	0.410883	-3.547271	-0.361064	-0.003784	-0.932534	0.035482	-0.999323	-0.009683	-0.931866	-0.036584	0.360954
5	372022													9.088162	0.445464	-3.554152	-0.360790	-0.003554	-0.932640	0.035912	-0.999304	-0.010085	-0.931956	-0.037131	0.360666
6	372522													9.082083	0.437976	-3.522704	-0.359707	-0.003799	-0.933058	0.036103	-0.999300	-0.009850	-0.932367	-0.037230	0.359592
7	373022													9.048134	0.376690	-3.484477	-0.358745	-0.003708	-0.933428	0.036005	-0.999303	-0.009869	-0.932741	-0.037149	0.358629
8	373522													9.064149	0.395457	-3.483002	-0.358275	-0.002865	-0.933612	0.035949	-0.999296	-0.010729	-0.932924	-0.037406	0.358126
9	374022													9.086610	0.441950	-3.474592	-0.357992	-0.002517	-0.933721	0.035795	-0.999298	-0.011030	-0.933038	-0.037371	0.357831
10	374522													9.086307	0.422350	-3.464029	-0.357408	-0.002756	-0.933944	0.035607	-0.999309	-0.010678	-0.933269	-0.037071	0.357259
