// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	451563													8.377125	1.040012	5.016550	0.511493	-0.305875	-0.803004	0.103916	-0.905623	0.411156	-0.852981	-0.293748	-0.431434
1	452063													8.373438	1.033624	5.048049	0.511787	-0.306093	-0.802733	0.103551	-0.905585	0.411332	-0.852849	-0.293638	-0.431770
2	452563													8.371702	1.029596	5.022255	0.512079	-0.306230	-0.802495	0.103148	-0.905602	0.411395	-0.852722	-0.293443	-0.432153
3	453063													8.385681	1.045175	5.066304	0.512295	-0.305903	-0.802482	0.103172	-0.905723	0.411122	-0.852590	-0.293409	-0.432437
4	453563													8.334830	1.033280	5.070986	0.512607	-0.306045	-0.802228	0.103064	-0.905632	0.411349	-0.852415	-0.293541	-0.432691
5	454063													8.317257	1.028164	5.069926	0.512765	-0.306013	-0.802140	0.103082	-0.905615	0.411383	-0.852318	-0.293629	-0.432823
6	454563													8.354195	1.033066	5.066601	0.512830	-0.306130	-0.802054	0.103107	-0.905535	0.411553	-0.852276	-0.293754	-0.432821
7	455063													8.374035	1.034472	5.053013	0.512772	-0.306195	-0.802066	0.103066	-0.905526	0.411583	-0.852316	-0.293714	-0.432770
8	455563													8.371302	1.027131	5.019740	0.512604	-0.306419	-0.802088	0.102971	-0.905473	0.411723	-0.852429	-0.293642	-0.432596
9	456063													8.379788	1.017095	5.034882	0.512470	-0.306631	-0.802092	0.102807	-0.905445	0.411826	-0.852529	-0.293509	-0.432489
10	456563													8.365841	1.037346	5.024843	0.512482	-0.306804	-0.802018	0.102728	-0.905381	0.411987	-0.852531	-0.293525	-0.432474
11	457063													8.374420	1.052755	5.042068	0.512626	-0.306672	-0.801977	0.102758	-0.905413	0.411909	-0.852441	-0.293565	-0.432625
12	457563													8.383919	1.036289	5.044466	0.512875	-0.306870	-0.801742	0.102691	-0.905290	0.412195	-0.852299	-0.293736	-0.432788
13	458063													8.350522	1.017917	5.045559	0.513172	-0.306920	-0.801533	0.102671	-0.905218	0.412357	-0.852123	-0.293904	-0.433021
14	458563													8.344430	1.033841	5.074415	0.513483	-0.306922	-0.801333	0.102480	-0.905228	0.412383	-0.851959	-0.293872	-0.433366
15	459063													8.358395	1.019190	5.056041	0.513760	-0.307173	-0.801059	0.102233	-0.905135	0.412649	-0.851821	-0.293898	-0.433619
16	459563													8.377110	1.028851	5.072706	0.513813	-0.306945	-0.801112	0.102314	-0.905215	0.412453	-0.851779	-0.293889	-0.433707
