// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	451563													9.340049	0.041452	-2.797518	-0.286006	-0.044810	-0.957180	-0.001171	-0.998889	0.047112	-0.958227	0.014595	0.285636
1	452063													9.349424	0.053361	-2.811363	-0.285940	-0.044048	-0.957235	-0.001577	-0.998920	0.046437	-0.958246	0.014788	0.285562
2	452563													9.380087	0.031416	-2.773746	-0.285138	-0.044120	-0.957471	-0.001657	-0.998916	0.046523	-0.958485	0.014852	0.284756
3	453063													9.330515	0.024752	-2.726433	-0.284319	-0.044356	-0.957703	-0.001388	-0.998909	0.046676	-0.958729	0.014600	0.283948
4	453563													9.345503	0.040354	-2.734823	-0.284222	-0.044498	-0.957725	-0.001063	-0.998907	0.046727	-0.958758	0.014299	0.283864
5	454063													9.377164	0.065928	-2.767394	-0.284589	-0.044710	-0.957606	-0.000935	-0.998898	0.046915	-0.958649	0.014247	0.284234
6	454563													9.338263	0.028942	-2.796338	-0.285282	-0.044808	-0.957396	-0.001082	-0.998891	0.047073	-0.958443	0.014464	0.284917
7	455063													9.330790	0.030199	-2.817514	-0.286068	-0.044789	-0.957162	-0.001060	-0.998892	0.047059	-0.958209	0.014477	0.285703
8	455563													9.355818	0.044484	-2.821725	-0.286348	-0.044452	-0.957094	-0.001247	-0.998905	0.046767	-0.958125	0.014585	0.285979
9	456063													9.332961	0.047383	-2.835963	-0.286247	-0.044460	-0.957124	-0.001110	-0.998907	0.046733	-0.958155	0.014440	0.285884
10	456563													9.355401	0.062619	-2.805648	-0.286038	-0.044871	-0.957167	-0.000925	-0.998890	0.047104	-0.958218	0.014359	0.285679
11	457063													9.335195	0.035217	-2.784218	-0.285990	-0.044941	-0.957178	-0.001204	-0.998882	0.047259	-0.958232	0.014668	0.285616
12	457563													9.345286	0.027302	-2.783933	-0.285659	-0.044526	-0.957296	-0.001338	-0.998901	0.046861	-0.958330	0.014667	0.285285
13	458063													9.371088	0.054341	-2.778131	-0.285348	-0.044295	-0.957400	-0.001627	-0.998908	0.046700	-0.958422	0.014883	0.284965
14	458563													9.350233	0.015707	-2.793821	-0.285121	-0.044053	-0.957479	-0.001922	-0.998915	0.046532	-0.958490	0.015108	0.284727
15	459063													9.389627	0.023452	-2.789410	-0.284541	-0.044050	-0.957651	-0.001770	-0.998918	0.046474	-0.958662	0.014919	0.284155
16	459563													9.338567	0.030591	-2.737370	-0.283011	-0.044075	-0.958103	-0.001721	-0.998919	0.046461	-0.959115	0.014798	0.282629
17	460063													9.319649	0.009372	-2.716949	-0.282579	-0.043898	-0.958239	-0.001738	-0.998927	0.046275	-0.959242	0.014741	0.282200
18	460563													9.369604	0.037453	-2.738274	-0.283168	-0.043656	-0.958076	-0.001557	-0.998941	0.045979	-0.959069	0.014511	0.282801
19	461063													9.328541	0.034501	-2.774214	-0.283912	-0.043737	-0.957852	-0.001568	-0.998937	0.046078	-0.958849	0.014584	0.283541
20	461563													9.363603	0.020052	-2.805972	-0.284489	-0.043934	-0.957672	-0.001528	-0.998927	0.046280	-0.958678	0.014630	0.284116
21	462063													9.362126	0.022012	-2.815497	-0.284153	-0.043945	-0.957771	-0.001475	-0.998928	0.046271	-0.958778	0.014560	0.283784
22	462563													9.325927	0.046011	-2.813012	-0.283469	-0.044464	-0.957950	-0.000865	-0.998912	0.046621	-0.958981	0.014045	0.283122
23	463063													9.342534	0.067009	-2.786912	-0.282559	-0.045141	-0.958187	-0.000400	-0.998886	0.047177	-0.959250	0.013713	0.282226
24	463563													9.356898	0.010581	-2.752764	-0.281770	-0.045289	-0.958412	-0.000554	-0.998878	0.047364	-0.959482	0.013877	0.281429
25	464063													9.354658	0.015240	-2.729661	-0.281022	-0.044360	-0.958675	-0.000687	-0.998922	0.046424	-0.959701	0.013705	0.280689
26	464563													9.374440	0.096008	-2.718723	-0.280537	-0.043918	-0.958838	-0.000862	-0.998941	0.046007	-0.959843	0.013733	0.280202
27	465063													9.340403	0.015909	-2.729699	-0.279974	-0.044468	-0.958977	-0.001299	-0.998908	0.046699	-0.960007	0.014320	0.279611
28	465563													9.416424	0.003412	-2.729774	-0.279248	-0.044968	-0.959165	-0.000913	-0.998890	0.047096	-0.960219	0.014027	0.278897
29	466063													9.364436	0.045835	-2.675881	-0.277956	-0.045349	-0.959523	-0.000629	-0.998876	0.047391	-0.960594	0.013776	0.277615
30	466563													9.327926	0.010678	-2.655187	-0.277513	-0.045740	-0.959633	-0.000485	-0.998859	0.047749	-0.960722	0.013716	0.277174
31	467063													9.373826	0.035264	-2.690528	-0.278393	-0.045858	-0.959372	-0.000334	-0.998855	0.047842	-0.960467	0.013640	0.278059
32	467563													9.387189	0.047209	-2.727100	-0.279271	-0.045770	-0.959121	-0.000310	-0.998859	0.047756	-0.960212	0.013635	0.278938
33	468063													9.336767	0.039959	-2.751516	-0.280416	-0.045847	-0.958783	-0.000580	-0.998850	0.047932	-0.959879	0.013997	0.280067
34	468563													9.408660	0.011031	-2.790386	-0.280813	-0.045928	-0.958663	-0.000787	-0.998843	0.048084	-0.959762	0.014257	0.280452
35	469063													9.351307	0.012684	-2.759343	-0.280853	-0.045842	-0.958655	-0.000904	-0.998846	0.048029	-0.959750	0.014355	0.280488
36	469563													9.335562	0.039625	-2.757275	-0.280953	-0.046158	-0.958611	-0.000414	-0.998837	0.048216	-0.959722	0.013944	0.280607
37	470063													9.376407	0.035222	-2.768198	-0.281091	-0.046791	-0.958540	-0.000233	-0.998807	0.048825	-0.959681	0.013948	0.280745
38	470563													9.367745	-0.012176	-2.750886	-0.280690	-0.046795	-0.958657	-0.000018	-0.998811	0.048760	-0.959798	0.013704	0.280355
39	471063													9.315067	0.026250	-2.757849	-0.280881	-0.046324	-0.958624	0.000718	-0.998844	0.048058	-0.959742	0.012810	0.280590
40	471563													9.413718	0.051478	-2.780033	-0.281329	-0.045493	-0.958532	0.001501	-0.998895	0.046968	-0.959610	0.011775	0.281087
41	472063													9.383948	0.172854	-2.755508	-0.280611	-0.045093	-0.958762	0.001943	-0.998920	0.046414	-0.959820	0.011161	0.280395
42	472563													9.398466	0.184482	-2.662218	-0.278612	-0.047551	-0.959226	0.001530	-0.998794	0.049068	-0.960403	0.012203	0.278349
43	473063													9.302723	-0.017017	-2.618163	-0.277278	-0.049914	-0.959492	0.000891	-0.998663	0.051694	-0.960789	0.013479	0.276951
44	473563													9.371773	-0.073612	-2.643097	-0.277397	-0.049124	-0.959499	0.000502	-0.998699	0.050986	-0.960755	0.013662	0.277060
45	474063													9.378830	-0.000153	-2.714043	-0.278636	-0.046441	-0.959273	-0.000579	-0.998822	0.048524	-0.960397	0.014076	0.278281
46	474563													9.300930	-0.000484	-2.763587	-0.280958	-0.044469	-0.958689	-0.001819	-0.998899	0.046867	-0.959718	0.014911	0.280568
47	475063													9.423252	0.032886	-2.820894	-0.283211	-0.043970	-0.958049	-0.001678	-0.998924	0.046343	-0.959056	0.014733	0.282833
48	475563													9.300478	0.045029	-2.831607	-0.283337	-0.045152	-0.957957	-0.000927	-0.998878	0.047355	-0.959020	0.014305	0.282977
49	476063													9.264357	-0.185428	-2.903329	-0.284491	-0.045111	-0.957617	0.000397	-0.998898	0.046937	-0.958679	0.012973	0.284195
50	476563													9.452764	-0.015480	-2.927807	-0.283133	-0.041815	-0.958169	0.003460	-0.999087	0.042579	-0.959074	0.008740	0.283019
51	477063													9.400352	0.326054	-2.771007	-0.279297	-0.038948	-0.959415	0.005734	-0.999227	0.038895	-0.960188	0.005362	0.279304
