// General information: # Original fixed header
//  MT Manager version: 2022.2.0
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information:
//  DeviceId: B42D4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings:
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	0.999996	0.000594	-0.002611	-0.000598	0.999999	-0.001482	0.002610	0.001484	0.999995
2	0.999992	0.000943	-0.003826	-0.000951	0.999997	-0.002233	0.003824	0.002236	0.999990
3	0.999992	0.000943	-0.003826	-0.000951	0.999997	-0.002233	0.003824	0.002236	0.999990
4	0.999976	0.001623	-0.006742	-0.001649	0.999991	-0.003851	0.006736	0.003862	0.999970
5	0.999951	0.002231	-0.009684	-0.002286	0.999982	-0.005622	0.009671	0.005643	0.999937
6	0.999917	0.002635	-0.012583	-0.002727	0.999969	-0.007346	0.012563	0.007380	0.999894
7	0.999877	0.002944	-0.015404	-0.003082	0.999955	-0.008963	0.015377	0.009010	0.999841
8	0.999834	0.003374	-0.017929	-0.003564	0.999937	-0.010609	0.017892	0.010671	0.999783
9	0.999785	0.004019	-0.020345	-0.004269	0.999916	-0.012265	0.020294	0.012349	0.999718
10	0.999732	0.004690	-0.022686	-0.005003	0.999893	-0.013774	0.022619	0.013883	0.999648
11	0.999680	0.005287	-0.024723	-0.005665	0.999868	-0.015244	0.024640	0.015379	0.999578
12	0.999633	0.005898	-0.026440	-0.006340	0.999841	-0.016668	0.026337	0.016829	0.999511
13	0.999588	0.006552	-0.027932	-0.007054	0.999815	-0.017910	0.027810	0.018100	0.999449
14	0.999548	0.007185	-0.029207	-0.007742	0.999790	-0.018975	0.029064	0.019192	0.999393
15	0.999513	0.007691	-0.030256	-0.008297	0.999766	-0.019955	0.030095	0.020196	0.999343
16	0.999484	0.007992	-0.031119	-0.008646	0.999743	-0.020958	0.030943	0.021216	0.999296
17	0.999466	0.007931	-0.031694	-0.008633	0.999719	-0.022085	0.031510	0.022347	0.999254
18	0.999460	0.007578	-0.031983	-0.008321	0.999697	-0.023172	0.031797	0.023425	0.999220
19	0.999457	0.007363	-0.032120	-0.008138	0.999678	-0.024049	0.031933	0.024297	0.999195
20	0.999465	0.007037	-0.031940	-0.007838	0.999656	-0.025015	0.031753	0.025252	0.999177
21	0.999480	0.006545	-0.031577	-0.007369	0.999634	-0.026040	0.031395	0.026259	0.999162
22	0.999485	0.006230	-0.031492	-0.007080	0.999612	-0.026947	0.031312	0.027156	0.999141
23	0.999476	0.006190	-0.031773	-0.007073	0.999590	-0.027744	0.031588	0.027954	0.999110
24	0.999457	0.006276	-0.032361	-0.007199	0.999568	-0.028481	0.032169	0.028699	0.999070
25	0.999422	0.006528	-0.033372	-0.007500	0.999549	-0.029063	0.033168	0.029297	0.999020
26	0.999383	0.006722	-0.034486	-0.007745	0.999531	-0.029614	0.034271	0.029863	0.998966
27	0.999344	0.006888	-0.035559	-0.007965	0.999512	-0.030212	0.035333	0.030475	0.998911
28	0.999293	0.007168	-0.036912	-0.008308	0.999491	-0.030815	0.036672	0.031100	0.998843
29	0.999224	0.007463	-0.038664	-0.008681	0.999469	-0.031417	0.038409	0.031728	0.998758
30	0.999148	0.007729	-0.040540	-0.009039	0.999439	-0.032246	0.040268	0.032585	0.998657
31	0.999054	0.007969	-0.042751	-0.009390	0.999407	-0.033135	0.042461	0.033505	0.998536
32	0.998927	0.008248	-0.045570	-0.009796	0.999378	-0.033872	0.045262	0.034282	0.998387
33	0.998769	0.008541	-0.048854	-0.010236	0.999351	-0.034545	0.048528	0.035003	0.998208
34	0.998591	0.008896	-0.052314	-0.010747	0.999322	-0.035207	0.051965	0.035720	0.998010
35	0.998391	0.009334	-0.055924	-0.011356	0.999289	-0.035948	0.055549	0.036525	0.997788
36	0.998175	0.009824	-0.059576	-0.012023	0.999255	-0.036669	0.059172	0.037319	0.997550
37	0.997942	0.010375	-0.063276	-0.012758	0.999220	-0.037379	0.062839	0.038110	0.997296
38	0.997681	0.010909	-0.067179	-0.013495	0.999181	-0.038156	0.066708	0.038974	0.997011
39	0.997383	0.011364	-0.071395	-0.014172	0.999141	-0.038947	0.070891	0.039857	0.996687
40	0.997054	0.011785	-0.075793	-0.014827	0.999102	-0.039697	0.075258	0.040703	0.996333
41	0.996712	0.012237	-0.080097	-0.015517	0.999061	-0.040460	0.079527	0.041570	0.995966
42	0.996352	0.012733	-0.084389	-0.016251	0.999021	-0.041137	0.083783	0.042358	0.995583
43	0.995962	0.013224	-0.088802	-0.016976	0.998989	-0.041631	0.088161	0.042970	0.995179
44	0.995540	0.013637	-0.093348	-0.017628	0.998960	-0.042061	0.092677	0.043519	0.994745
45	0.995107	0.013971	-0.097814	-0.018205	0.998929	-0.042535	0.097115	0.044108	0.994295
46	0.994679	0.014214	-0.102037	-0.018688	0.998899	-0.043020	0.101313	0.044698	0.993850
47	0.994254	0.014456	-0.106062	-0.019155	0.998873	-0.043422	0.105315	0.045204	0.993411
48	0.993834	0.014662	-0.109904	-0.019573	0.998851	-0.043747	0.109137	0.045628	0.992979
49	0.993404	0.014793	-0.113704	-0.019897	0.998838	-0.043885	0.112923	0.045858	0.992545
50	0.992966	0.014873	-0.117463	-0.020156	0.998831	-0.043925	0.116673	0.045984	0.992105
51	0.992531	0.014937	-0.121074	-0.020392	0.998826	-0.043941	0.120276	0.046081	0.991670
52	0.992098	0.015014	-0.124565	-0.020630	0.998822	-0.043912	0.123759	0.046135	0.991239
53	0.991653	0.015123	-0.128042	-0.020891	0.998821	-0.043821	0.127229	0.046130	0.990800
54	0.991196	0.015292	-0.131516	-0.021205	0.998821	-0.043679	0.130693	0.046083	0.990351
55	0.990731	0.015526	-0.134951	-0.021599	0.998813	-0.043656	0.134113	0.046167	0.989890
56	0.990263	0.015864	-0.138299	-0.022120	0.998795	-0.043814	0.137437	0.046446	0.989421
57	0.989796	0.016304	-0.141559	-0.022751	0.998771	-0.044038	0.140667	0.046809	0.988950
58	0.989304	0.016800	-0.144901	-0.023439	0.998746	-0.044229	0.143976	0.047153	0.988457
59	0.988764	0.017316	-0.148482	-0.024132	0.998730	-0.044230	0.147527	0.047316	0.987926
60	0.988157	0.017778	-0.152412	-0.024782	0.998716	-0.044180	0.151431	0.047433	0.987329
61	0.987545	0.018251	-0.156276	-0.025466	0.998694	-0.044286	0.155264	0.047714	0.986720
62	0.987545	0.018251	-0.156276	-0.025466	0.998694	-0.044286	0.155264	0.047714	0.986720
63	0.987102	0.018745	-0.158990	-0.026119	0.998672	-0.044417	0.157946	0.047997	0.986281
64	0.986496	0.019352	-0.162637	-0.026919	0.998649	-0.044454	0.161557	0.048232	0.985684
65	0.985863	0.020059	-0.166348	-0.027803	0.998629	-0.044359	0.165230	0.048357	0.985069
66	0.985168	0.020524	-0.170358	-0.028457	0.998615	-0.044254	0.169214	0.048445	0.984388
