// General information: # Original fixed header
//  MT Manager version: 2022.2.0
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information:
//  DeviceId: B42D53
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings:
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	0.999999	-0.000621	-0.001601	0.000619	0.999998	-0.001627	0.001602	0.001626	0.999997
2	0.999994	-0.001226	-0.003150	0.001216	0.999994	-0.003195	0.003154	0.003191	0.999990
3	0.999987	-0.001818	-0.004715	0.001796	0.999987	-0.004714	0.004724	0.004705	0.999978
4	0.999978	-0.002433	-0.006236	0.002394	0.999978	-0.006248	0.006251	0.006233	0.999961
5	0.999967	-0.003075	-0.007492	0.003017	0.999966	-0.007725	0.007516	0.007703	0.999942
6	0.999957	-0.003698	-0.008526	0.003619	0.999951	-0.009222	0.008560	0.009191	0.999921
7	0.999945	-0.004336	-0.009584	0.004234	0.999934	-0.010666	0.009629	0.010625	0.999897
8	0.999929	-0.004981	-0.010802	0.004850	0.999916	-0.012054	0.010862	0.012001	0.999869
9	0.999911	-0.005580	-0.012122	0.005417	0.999895	-0.013470	0.012196	0.013403	0.999836
10	0.999890	-0.006203	-0.013482	0.006003	0.999872	-0.014838	0.013573	0.014756	0.999799
11	0.999866	-0.006831	-0.014858	0.006592	0.999849	-0.016109	0.014966	0.016009	0.999760
12	0.999843	-0.007429	-0.016104	0.007150	0.999824	-0.017348	0.016230	0.017230	0.999720
13	0.999821	-0.008048	-0.017139	0.007729	0.999797	-0.018594	0.017285	0.018459	0.999680
14	0.999800	-0.008727	-0.017972	0.008371	0.999769	-0.019780	0.018140	0.019626	0.999643
15	0.999779	-0.009419	-0.018787	0.009026	0.999740	-0.020940	0.018980	0.020766	0.999604
16	0.999756	-0.010164	-0.019601	0.009732	0.999710	-0.022028	0.019820	0.021831	0.999565
17	0.999736	-0.010892	-0.020234	0.010424	0.999679	-0.023102	0.020479	0.022885	0.999528
18	0.999717	-0.011637	-0.020769	0.011135	0.999647	-0.024136	0.021043	0.023898	0.999493
19	0.999698	-0.012326	-0.021276	0.011788	0.999613	-0.025202	0.021579	0.024944	0.999456
20	0.999677	-0.013011	-0.021840	0.012437	0.999578	-0.026240	0.022172	0.025960	0.999417
21	0.999651	-0.013713	-0.022584	0.013094	0.999541	-0.027323	0.022949	0.027018	0.999372
22	0.999620	-0.014419	-0.023487	0.013750	0.999502	-0.028419	0.023885	0.028086	0.999320
23	0.999584	-0.015121	-0.024566	0.014393	0.999459	-0.029562	0.025000	0.029196	0.999261
24	0.999543	-0.015807	-0.025759	0.015011	0.999413	-0.030791	0.026230	0.030391	0.999194
25	0.999500	-0.016461	-0.027012	0.015592	0.999364	-0.032077	0.027523	0.031640	0.999120
26	0.999454	-0.017074	-0.028283	0.016126	0.999311	-0.033431	0.028835	0.032957	0.999041
27	0.999404	-0.017698	-0.029643	0.016662	0.999255	-0.034824	0.030237	0.034309	0.998954
28	0.999348	-0.018335	-0.031094	0.017204	0.999195	-0.036254	0.031733	0.035695	0.998859
29	0.999286	-0.018958	-0.032696	0.017722	0.999133	-0.037684	0.033382	0.037078	0.998755
30	0.999219	-0.019532	-0.034345	0.018186	0.999070	-0.039085	0.035077	0.038430	0.998645
31	0.999151	-0.020104	-0.035951	0.018645	0.999006	-0.040491	0.036729	0.039787	0.998533
32	0.999078	-0.020734	-0.037595	0.019155	0.998939	-0.041887	0.038424	0.041128	0.998415
33	0.999003	-0.021359	-0.039204	0.019660	0.998871	-0.043235	0.040083	0.042421	0.998295
34	0.998931	-0.021950	-0.040673	0.020136	0.998807	-0.044492	0.041602	0.043626	0.998181
35	0.998856	-0.022547	-0.042163	0.020617	0.998744	-0.045660	0.043140	0.044739	0.998067
36	0.998776	-0.023129	-0.043711	0.021079	0.998682	-0.046804	0.044736	0.045826	0.997947
37	0.998691	-0.023703	-0.045333	0.021528	0.998622	-0.047866	0.046405	0.046827	0.997825
38	0.998597	-0.024275	-0.047056	0.021972	0.998564	-0.048853	0.048174	0.047751	0.997697
39	0.998498	-0.024849	-0.048820	0.022415	0.998509	-0.049770	0.049984	0.048601	0.997567
40	0.998399	-0.025389	-0.050553	0.022828	0.998458	-0.050609	0.051759	0.049373	0.997438
41	0.998296	-0.025905	-0.052287	0.023219	0.998411	-0.051346	0.053534	0.050044	0.997311
42	0.998192	-0.026437	-0.053981	0.023627	0.998365	-0.052039	0.055268	0.050670	0.997185
43	0.998087	-0.026966	-0.055638	0.024039	0.998325	-0.052632	0.056964	0.051194	0.997063
44	0.997983	-0.027504	-0.057213	0.024470	0.998291	-0.053078	0.058575	0.051571	0.996950
45	0.997878	-0.028093	-0.058737	0.024959	0.998260	-0.053419	0.060136	0.051840	0.996843
46	0.997779	-0.028680	-0.060118	0.025461	0.998236	-0.053639	0.061550	0.051990	0.996749
47	0.997693	-0.029245	-0.061261	0.025961	0.998217	-0.053743	0.062723	0.052029	0.996674
48	0.997612	-0.029833	-0.062298	0.026493	0.998202	-0.053767	0.063790	0.051988	0.996608
49	0.997531	-0.030466	-0.063269	0.027079	0.998189	-0.053717	0.064791	0.051871	0.996550
50	0.997455	-0.031079	-0.064175	0.027655	0.998181	-0.053568	0.065723	0.051657	0.996500
51	0.997371	-0.031727	-0.065148	0.028267	0.998175	-0.053356	0.066722	0.051374	0.996448
52	0.997282	-0.032329	-0.066214	0.028835	0.998175	-0.053059	0.067808	0.051006	0.996394
53	0.997192	-0.032930	-0.067263	0.029405	0.998175	-0.052748	0.068877	0.050622	0.996340
54	0.997100	-0.033525	-0.068315	0.029969	0.998174	-0.052439	0.069949	0.050239	0.996285
55	0.997008	-0.034115	-0.069369	0.030531	0.998176	-0.052079	0.071019	0.049805	0.996231
56	0.996912	-0.034692	-0.070452	0.031084	0.998180	-0.051682	0.072117	0.049333	0.996175
57	0.996810	-0.035213	-0.071626	0.031574	0.998183	-0.051311	0.073302	0.048886	0.996111
58	0.996702	-0.035732	-0.072856	0.032063	0.998187	-0.050932	0.074543	0.048428	0.996041
59	0.996590	-0.036279	-0.074111	0.032575	0.998188	-0.050585	0.075812	0.047998	0.995966
60	0.996474	-0.036852	-0.075378	0.033113	0.998186	-0.050272	0.077094	0.047599	0.995887
61	0.996352	-0.037373	-0.076719	0.033595	0.998186	-0.049964	0.078448	0.047204	0.995800
62	0.996228	-0.037886	-0.078069	0.034067	0.998184	-0.049676	0.079810	0.046829	0.995710
63	0.996101	-0.038411	-0.079419	0.034549	0.998180	-0.049436	0.081173	0.046499	0.995615
64	0.995973	-0.038995	-0.080724	0.035089	0.998170	-0.049257	0.082497	0.046227	0.995519
65	0.995842	-0.039588	-0.082051	0.035633	0.998157	-0.049117	0.083844	0.045989	0.995417
