// General information: # Original fixed header
//  MT Manager version: 2022.2.0
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information:
//  DeviceId: B42DAE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings:
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	0.999999	-0.001032	-0.000027	0.001032	0.999992	-0.003854	0.000031	0.003854	0.999993
2	0.999998	-0.002102	0.000022	0.002102	0.999969	-0.007604	-0.000006	0.007604	0.999971
3	0.999995	-0.003155	0.000050	0.003155	0.999931	-0.011359	-0.000015	0.011359	0.999935
4	0.999991	-0.004198	0.000036	0.004198	0.999878	-0.015072	0.000028	0.015072	0.999886
5	0.999986	-0.005227	-0.000048	0.005225	0.999809	-0.018824	0.000146	0.018823	0.999823
6	0.999980	-0.006251	-0.000154	0.006246	0.999724	-0.022635	0.000295	0.022634	0.999744
7	0.999974	-0.007251	-0.000238	0.007242	0.999623	-0.026467	0.000430	0.026464	0.999650
8	0.999966	-0.008249	-0.000414	0.008232	0.999508	-0.030264	0.000663	0.030259	0.999542
9	0.999958	-0.009205	-0.000508	0.009182	0.999376	-0.034095	0.000821	0.034089	0.999418
10	0.999948	-0.010158	-0.000562	0.010129	0.999226	-0.038004	0.000947	0.037996	0.999277
11	0.999937	-0.011186	-0.000515	0.011155	0.999061	-0.041877	0.000983	0.041868	0.999123
12	0.999925	-0.012231	-0.000346	0.012202	0.998873	-0.045860	0.000906	0.045853	0.998948
13	0.999912	-0.013272	-0.000125	0.013249	0.998666	-0.049906	0.000787	0.049900	0.998754
14	0.999897	-0.014339	0.000137	0.014326	0.998438	-0.053996	0.000638	0.053992	0.998541
15	0.999881	-0.015441	0.000308	0.015433	0.998188	-0.058162	0.000590	0.058160	0.998307
16	0.999863	-0.016535	0.000556	0.016537	0.997918	-0.062335	0.000476	0.062336	0.998055
17	0.999845	-0.017606	0.000898	0.017626	0.997628	-0.066533	0.000276	0.066539	0.997784
18	0.999825	-0.018681	0.001191	0.018719	0.997322	-0.070693	0.000133	0.070703	0.997497
19	0.999804	-0.019742	0.001312	0.019785	0.996998	-0.074861	0.000170	0.074873	0.997193
20	0.999782	-0.020800	0.001519	0.020855	0.996655	-0.079014	0.000130	0.079029	0.996872
21	0.999760	-0.021821	0.001731	0.021890	0.996295	-0.083164	0.000091	0.083182	0.996534
22	0.999738	-0.022800	0.001834	0.022873	0.995920	-0.087291	0.000164	0.087310	0.996181
23	0.999716	-0.023771	0.001851	0.023840	0.995527	-0.091418	0.000331	0.091436	0.995811
24	0.999692	-0.024769	0.001779	0.024825	0.995115	-0.095553	0.000596	0.095567	0.995423
25	0.999667	-0.025760	0.001695	0.025801	0.994687	-0.099659	0.000881	0.099670	0.995020
26	0.999641	-0.026733	0.001738	0.026769	0.994242	-0.103760	0.001046	0.103770	0.994601
27	0.999614	-0.027706	0.001816	0.027740	0.993781	-0.107845	0.001183	0.107853	0.994166
28	0.999587	-0.028667	0.001762	0.028684	0.993303	-0.111919	0.001458	0.111924	0.993716
29	0.999560	-0.029611	0.001700	0.029609	0.992818	-0.115910	0.001745	0.115910	0.993258
30	0.999533	-0.030511	0.001582	0.030481	0.992319	-0.119891	0.002088	0.119884	0.992786
31	0.999507	-0.031367	0.001179	0.031272	0.991812	-0.123818	0.002714	0.123794	0.992304
32	0.999482	-0.032172	0.000515	0.031975	0.991301	-0.127670	0.003597	0.127620	0.991817
33	0.999456	-0.032974	-0.000034	0.032683	0.990778	-0.131492	0.004369	0.131419	0.991317
34	0.999430	-0.033746	-0.000552	0.033362	0.990249	-0.135256	0.005111	0.135160	0.990811
35	0.999407	-0.034412	-0.001037	0.033934	0.989723	-0.138916	0.005806	0.138798	0.990304
36	0.999383	-0.035091	-0.001560	0.034511	0.989201	-0.142445	0.006541	0.142303	0.989802
37	0.999358	-0.035743	-0.002424	0.035008	0.988687	-0.145853	0.007610	0.145674	0.989303
38	0.999331	-0.036395	-0.003642	0.035446	0.988179	-0.149150	0.009027	0.148921	0.988808
39	0.999306	-0.036939	-0.004739	0.035786	0.987674	-0.152382	0.010310	0.152107	0.988310
40	0.999281	-0.037489	-0.005619	0.036160	0.987175	-0.155496	0.011376	0.155181	0.987821
41	0.999257	-0.038012	-0.006440	0.036512	0.986673	-0.158568	0.012382	0.158215	0.987327
42	0.999230	-0.038531	-0.007382	0.036835	0.986192	-0.161460	0.013501	0.161064	0.986852
43	0.999203	-0.039049	-0.008277	0.037161	0.985717	-0.164258	0.014573	0.163820	0.986383
44	0.999176	-0.039564	-0.009112	0.037490	0.985257	-0.166923	0.015582	0.166444	0.985928
45	0.999149	-0.040037	-0.009910	0.037781	0.984810	-0.169476	0.016545	0.168958	0.985484
46	0.999125	-0.040470	-0.010526	0.038061	0.984375	-0.171921	0.017319	0.171370	0.985054
47	0.999102	-0.040890	-0.011135	0.038328	0.983950	-0.174281	0.018083	0.173698	0.984633
48	0.999078	-0.041282	-0.011821	0.038552	0.983547	-0.176491	0.018912	0.175872	0.984231
49	0.999055	-0.041631	-0.012468	0.038741	0.983165	-0.178568	0.019692	0.177917	0.983849
50	0.999032	-0.041961	-0.013171	0.038898	0.982790	-0.180583	0.020522	0.179896	0.983472
51	0.999009	-0.042260	-0.013943	0.039012	0.982433	-0.182490	0.021410	0.181766	0.983109
52	0.998984	-0.042573	-0.014790	0.039123	0.982082	-0.184350	0.022374	0.183584	0.982749
53	0.998961	-0.042825	-0.015597	0.039182	0.981747	-0.186114	0.023283	0.185310	0.982404
54	0.998937	-0.043069	-0.016422	0.039225	0.981412	-0.187862	0.024208	0.187018	0.982058
55	0.998930	-0.043139	-0.016660	0.039238	0.981322	-0.188326	0.024473	0.187471	0.981965
56	0.998916	-0.043291	-0.017128	0.039276	0.981145	-0.189243	0.024998	0.188365	0.981781
57	0.998888	-0.043594	-0.017947	0.039371	0.980784	-0.191082	0.025932	0.190163	0.981410
58	0.998864	-0.043896	-0.018521	0.039507	0.980408	-0.192977	0.026629	0.192026	0.981029
59	0.998841	-0.044208	-0.019028	0.039662	0.980021	-0.194897	0.027264	0.193916	0.980639
60	0.998818	-0.044518	-0.019515	0.039817	0.979627	-0.196837	0.027881	0.195827	0.980242
61	0.998794	-0.044834	-0.019991	0.039976	0.979219	-0.198826	0.028490	0.197787	0.979831
62	0.998767	-0.045185	-0.020583	0.040142	0.978797	-0.200860	0.029223	0.199786	0.979404
63	0.998739	-0.045507	-0.021222	0.040268	0.978375	-0.202884	0.029996	0.201773	0.978973
64	0.998712	-0.045791	-0.021843	0.040356	0.977933	-0.204982	0.030748	0.203837	0.978522
65	0.998679	-0.046109	-0.022670	0.040429	0.977479	-0.207123	0.031709	0.205933	0.978052
66	0.998640	-0.046482	-0.023618	0.040524	0.977007	-0.209319	0.032804	0.208077	0.977562
67	0.998601	-0.046870	-0.024498	0.040643	0.976518	-0.211565	0.033839	0.210273	0.977057
68	0.998559	-0.047303	-0.025350	0.040807	0.976025	-0.213799	0.034856	0.212457	0.976549
69	0.998520	-0.047716	-0.026081	0.040976	0.975533	-0.216002	0.035750	0.214613	0.976045
70	0.998484	-0.048130	-0.026704	0.041165	0.975040	-0.218181	0.036539	0.216751	0.975543
71	0.998446	-0.048568	-0.027343	0.041372	0.974553	-0.220307	0.037348	0.218833	0.975047
72	0.998402	-0.049034	-0.028079	0.041585	0.974070	-0.222394	0.038256	0.220871	0.974553
73	0.998350	-0.049531	-0.029061	0.041768	0.973582	-0.224486	0.039412	0.222902	0.974044
74	0.998290	-0.050080	-0.030149	0.041972	0.973084	-0.226597	0.040685	0.224944	0.973522
75	0.998234	-0.050641	-0.031057	0.042223	0.972574	-0.228729	0.041788	0.227014	0.972995
76	0.998180	-0.051223	-0.031823	0.042521	0.972048	-0.230898	0.042761	0.229125	0.972457
77	0.998127	-0.051825	-0.032517	0.042851	0.971521	-0.233045	0.043669	0.231215	0.971922
78	0.998071	-0.052445	-0.033209	0.043197	0.970993	-0.235175	0.044580	0.233287	0.971385
79	0.998011	-0.053105	-0.033956	0.043564	0.970454	-0.237321	0.045556	0.235370	0.970838
80	0.997943	-0.053840	-0.034786	0.043977	0.969893	-0.239527	0.046635	0.237504	0.970266
81	0.997870	-0.054619	-0.035668	0.044413	0.969312	-0.241787	0.047780	0.239688	0.969674
82	0.997795	-0.055461	-0.036451	0.044928	0.968714	-0.244080	0.048848	0.241904	0.969070
83	0.997726	-0.056274	-0.037089	0.045444	0.968107	-0.246383	0.049771	0.244137	0.968463
84	0.997649	-0.057172	-0.037788	0.046025	0.967496	-0.248664	0.050776	0.246340	0.967853
85	0.997560	-0.058146	-0.038653	0.046634	0.966877	-0.250947	0.051964	0.248532	0.967229
86	0.997464	-0.059199	-0.039509	0.047314	0.966236	-0.253277	0.053169	0.250765	0.966587
