// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	6303851													-0.071642	0.216563	-0.117460	0.171577	-0.949795	-0.261632	-0.004797	-0.266372	0.963858	-0.985159	-0.164121	-0.050259
1	6304017													9.670756	-0.038770	1.634815	0.170651	-0.950229	-0.260657	-0.005085	-0.265383	0.964130	-0.985318	-0.163204	-0.050120
2	6304184													9.695560	-0.008937	1.726339	0.169668	-0.950682	-0.259648	-0.005014	-0.264298	0.964428	-0.985488	-0.162331	-0.049610
3	6304351													9.699503	-0.034793	1.675975	0.169900	-0.950570	-0.259906	-0.004565	-0.264497	0.964376	-0.985451	-0.162661	-0.049278
4	6304517													9.661357	-0.050825	1.674519	0.170052	-0.950309	-0.260758	-0.004375	-0.265338	0.964146	-0.985425	-0.162814	-0.049278
5	6304684													9.730159	-0.015039	1.655809	0.170044	-0.950190	-0.261198	-0.004322	-0.265775	0.964025	-0.985427	-0.162798	-0.049300
6	6304851													9.691810	-0.006165	1.674178	0.169962	-0.950211	-0.261173	-0.004099	-0.265708	0.964045	-0.985442	-0.162780	-0.049055
7	6305017													9.698743	0.022614	1.674048	0.170057	-0.950127	-0.261418	-0.003778	-0.265909	0.963991	-0.985427	-0.162945	-0.048810
8	6305184													9.742719	0.009343	1.708435	0.170276	-0.949982	-0.261800	-0.003453	-0.266254	0.963897	-0.985390	-0.163225	-0.048617
9	6305351													9.705283	-0.009071	1.753666	0.170443	-0.949875	-0.262081	-0.003258	-0.266515	0.963825	-0.985362	-0.163423	-0.048521
10	6305517													9.647242	0.005536	1.764497	0.170706	-0.949755	-0.262344	-0.003131	-0.266774	0.963754	-0.985317	-0.163697	-0.048513
11	6305684													9.631918	0.016093	1.794676	0.170976	-0.949785	-0.262061	-0.003026	-0.266483	0.963835	-0.985270	-0.164000	-0.048437
12	6305851													9.664492	-0.020631	1.786427	0.171181	-0.949767	-0.261990	-0.003032	-0.266422	0.963852	-0.985235	-0.164199	-0.048486
13	6306017													9.647092	-0.049348	1.752875	0.171373	-0.949728	-0.262008	-0.003139	-0.266468	0.963839	-0.985201	-0.164353	-0.048647
14	6306184													9.649423	-0.059856	1.725446	0.171501	-0.949736	-0.261895	-0.003364	-0.266397	0.963858	-0.985178	-0.164422	-0.048882
15	6306351													9.679832	-0.065171	1.695458	0.171553	-0.949743	-0.261835	-0.003658	-0.266388	0.963859	-0.985168	-0.164395	-0.049174
16	6306517													9.687275	-0.068712	1.661668	0.171672	-0.949764	-0.261681	-0.003965	-0.266288	0.963885	-0.985146	-0.164434	-0.049480
17	6306684													9.714910	-0.064401	1.678418	0.171832	-0.949712	-0.261763	-0.004295	-0.266435	0.963843	-0.985117	-0.164495	-0.049861
18	6306851													9.662253	-0.096200	1.635807	0.171958	-0.949736	-0.261596	-0.004754	-0.266348	0.963865	-0.985093	-0.164500	-0.050315
19	6307017													9.663662	-0.063046	1.701173	0.172067	-0.949729	-0.261550	-0.005188	-0.266380	0.963854	-0.985072	-0.164491	-0.050762
20	6307184													9.744705	-0.082199	1.633896	0.171879	-0.949759	-0.261565	-0.005462	-0.266431	0.963838	-0.985103	-0.164234	-0.050982
21	6307351													9.670813	-0.064104	1.666216	0.171927	-0.949731	-0.261633	-0.005703	-0.266542	0.963806	-0.985093	-0.164212	-0.051242
22	6307517													9.695830	-0.065577	1.713307	0.171867	-0.949688	-0.261828	-0.005958	-0.266780	0.963739	-0.985102	-0.164075	-0.051509
23	6307684													9.696212	-0.086693	1.689510	0.171722	-0.949706	-0.261858	-0.006253	-0.266852	0.963717	-0.985126	-0.163854	-0.051763
24	6307851													9.665610	-0.056259	1.728616	0.171582	-0.949702	-0.261964	-0.006498	-0.266992	0.963677	-0.985148	-0.163647	-0.051982
25	6308017													9.660890	-0.060630	1.735197	0.171381	-0.949741	-0.261956	-0.006718	-0.267010	0.963670	-0.985182	-0.163395	-0.052141
26	6308184													9.669497	-0.084410	1.691315	0.171094	-0.949785	-0.261985	-0.006927	-0.267059	0.963655	-0.985230	-0.163061	-0.052271
27	6308351													9.658425	-0.091068	1.682152	0.170803	-0.949829	-0.262013	-0.007111	-0.267102	0.963642	-0.985280	-0.162730	-0.052376
28	6308517													9.673058	-0.078698	1.674176	0.170536	-0.949884	-0.261987	-0.007278	-0.267089	0.963645	-0.985325	-0.162429	-0.052461
29	6308684													9.707249	-0.083622	1.676827	0.170238	-0.949896	-0.262140	-0.007355	-0.267240	0.963602	-0.985376	-0.162113	-0.052481
30	6308851													9.693741	-0.073031	1.688526	0.169991	-0.949928	-0.262184	-0.007397	-0.267279	0.963591	-0.985418	-0.161862	-0.052461
31	6309017													9.695918	-0.047892	1.674066	0.169749	-0.949988	-0.262121	-0.007393	-0.267201	0.963612	-0.985460	-0.161634	-0.052381
32	6309184													9.713076	-0.081073	1.701760	0.169544	-0.950044	-0.262054	-0.007376	-0.267119	0.963635	-0.985495	-0.161445	-0.052296
33	6309351													9.696972	-0.075279	1.698241	0.169364	-0.950072	-0.262067	-0.007307	-0.267112	0.963638	-0.985526	-0.161291	-0.052181
34	6309517													9.675051	-0.071871	1.744960	0.169189	-0.950123	-0.261995	-0.007266	-0.267022	0.963663	-0.985557	-0.161138	-0.052081
35	6309684													9.670983	-0.092501	1.703435	0.168964	-0.950204	-0.261845	-0.007222	-0.266851	0.963711	-0.985596	-0.160941	-0.051951
36	6309851													9.680712	-0.080758	1.707354	0.168696	-0.950221	-0.261956	-0.007185	-0.266944	0.963685	-0.985642	-0.160688	-0.051859
37	6310017													9.676517	-0.096427	1.704591	0.168461	-0.950222	-0.262105	-0.007177	-0.267081	0.963647	-0.985682	-0.160456	-0.051813
38	6310184													9.682863	-0.095611	1.681676	0.168255	-0.950239	-0.262174	-0.007172	-0.267139	0.963631	-0.985717	-0.160256	-0.051763
39	6310351													9.668004	-0.078622	1.682405	0.168041	-0.950248	-0.262279	-0.007213	-0.267240	0.963603	-0.985754	-0.160033	-0.051762
40	6310518													9.689222	-0.081032	1.681391	0.167792	-0.950272	-0.262351	-0.007265	-0.267309	0.963583	-0.985796	-0.159775	-0.051756
41	6310684													9.679667	-0.086898	1.658871	0.167540	-0.950346	-0.262245	-0.007341	-0.267200	0.963613	-0.985838	-0.159518	-0.051743
42	6310851													9.694674	-0.076292	1.620130	0.167243	-0.950394	-0.262259	-0.007408	-0.267210	0.963610	-0.985888	-0.159215	-0.051729
43	6311018													9.722284	-0.057043	1.611077	0.166976	-0.950378	-0.262488	-0.007447	-0.267434	0.963548	-0.985933	-0.158934	-0.051732
44	6311184													9.725702	-0.035193	1.638610	0.166764	-0.950378	-0.262624	-0.007436	-0.267559	0.963513	-0.985969	-0.158726	-0.051686
45	6311351													9.699786	-0.042806	1.605210	0.166581	-0.950400	-0.262659	-0.007421	-0.267582	0.963506	-0.986000	-0.158553	-0.051627
46	6311518													9.679659	-0.024625	1.631353	0.166401	-0.950398	-0.262783	-0.007434	-0.267700	0.963474	-0.986030	-0.158369	-0.051611
47	6311684													9.683451	0.002407	1.681812	0.166278	-0.950391	-0.262886	-0.007463	-0.267803	0.963445	-0.986051	-0.158237	-0.051622
48	6311851													9.693363	0.007217	1.721086	0.166130	-0.950444	-0.262788	-0.007512	-0.267703	0.963472	-0.986075	-0.158088	-0.051613
49	6312018													9.665085	-0.046665	1.686085	0.165854	-0.950571	-0.262501	-0.007651	-0.267420	0.963550	-0.986121	-0.157800	-0.051626
50	6312184													9.655852	-0.036558	1.624195	0.165486	-0.950707	-0.262240	-0.007817	-0.267162	0.963620	-0.986181	-0.157416	-0.051644
51	6312351													9.752367	-0.019628	1.612212	0.165031	-0.950849	-0.262015	-0.007881	-0.266920	0.963686	-0.986257	-0.156974	-0.051544
52	6312518													9.702998	-0.012157	1.598092	0.164698	-0.950925	-0.261945	-0.007812	-0.266821	0.963714	-0.986313	-0.156676	-0.051373
53	6312684													9.745814	-0.016004	1.576417	0.164518	-0.950969	-0.261900	-0.007678	-0.266745	0.963737	-0.986344	-0.156542	-0.051186
54	6313018													9.660932	-0.033613	1.685145	0.164414	-0.951034	-0.261728	-0.007679	-0.266565	0.963786	-0.986361	-0.156450	-0.051130
55	6313184													9.630783	0.003326	1.693692	0.164288	-0.951079	-0.261646	-0.007653	-0.266471	0.963813	-0.986383	-0.156340	-0.051056
56	6313351													9.656277	-0.017184	1.708694	0.164064	-0.951107	-0.261683	-0.007622	-0.266492	0.963807	-0.986420	-0.156132	-0.050971
57	6313518													9.693430	-0.035170	1.708616	0.163770	-0.951155	-0.261695	-0.007686	-0.266499	0.963804	-0.986469	-0.155831	-0.050955
58	6313684													9.675542	-0.048796	1.644149	0.163484	-0.951208	-0.261681	-0.007807	-0.266489	0.963806	-0.986515	-0.155523	-0.050993
59	6313851													9.667229	-0.049728	1.645152	0.163224	-0.951206	-0.261849	-0.007915	-0.266663	0.963757	-0.986557	-0.155236	-0.051054
60	6314018													9.698629	-0.033425	1.633489	0.163057	-0.951246	-0.261809	-0.008064	-0.266636	0.963763	-0.986584	-0.155037	-0.051148
61	6314184													9.720754	-0.051862	1.644397	0.162953	-0.951311	-0.261635	-0.008183	-0.266474	0.963807	-0.986600	-0.154914	-0.051207
62	6314351													9.700528	-0.034228	1.618933	0.162849	-0.951342	-0.261589	-0.008344	-0.266447	0.963814	-0.986616	-0.154774	-0.051328
63	6314518													9.662059	-0.063762	1.605919	0.162665	-0.951457	-0.261285	-0.008621	-0.266172	0.963887	-0.986644	-0.154538	-0.051500
64	6314684													9.684451	-0.063091	1.608819	0.162364	-0.951605	-0.260934	-0.008893	-0.265844	0.963975	-0.986691	-0.154194	-0.051626
65	6314851													9.799538	-0.029893	1.522225	0.162131	-0.951639	-0.260953	-0.008932	-0.265857	0.963971	-0.986729	-0.153959	-0.051604
66	6315018													9.669724	-0.058289	1.584103	0.162056	-0.951714	-0.260728	-0.009038	-0.265641	0.964030	-0.986740	-0.153870	-0.051650
67	6315184													9.700425	-0.071717	1.587879	0.161986	-0.951746	-0.260653	-0.009196	-0.265586	0.964043	-0.986750	-0.153765	-0.051774
68	6315351													9.714270	-0.079367	1.607552	0.161953	-0.951756	-0.260636	-0.009332	-0.265588	0.964041	-0.986754	-0.153697	-0.051894
69	6315518													9.668806	-0.034954	1.626591	0.161892	-0.951799	-0.260519	-0.009412	-0.265479	0.964071	-0.986764	-0.153623	-0.051938
70	6315684													9.688368	-0.046459	1.632921	0.161714	-0.951825	-0.260535	-0.009498	-0.265499	0.964064	-0.986792	-0.153429	-0.051975
71	6315851													9.696746	-0.071804	1.626283	0.161488	-0.951870	-0.260510	-0.009586	-0.265475	0.964070	-0.986828	-0.153188	-0.051996
72	6316018													9.704225	-0.051122	1.614708	0.161362	-0.951932	-0.260363	-0.009671	-0.265332	0.964108	-0.986848	-0.153053	-0.052021
73	6316184													9.710004	-0.065359	1.600886	0.161274	-0.951960	-0.260314	-0.009738	-0.265289	0.964120	-0.986862	-0.152953	-0.052054
74	6316351													9.724716	-0.070154	1.609329	0.161285	-0.951962	-0.260300	-0.009776	-0.265281	0.964122	-0.986859	-0.152954	-0.052093
75	6316518													9.715007	-0.059440	1.613985	0.161398	-0.951944	-0.260294	-0.009774	-0.265280	0.964122	-0.986841	-0.153064	-0.052120
76	6316684													9.696419	-0.059013	1.607669	0.161568	-0.951859	-0.260502	-0.009778	-0.265501	0.964061	-0.986813	-0.153214	-0.052204
77	6316851													9.693089	-0.056294	1.634242	0.161826	-0.951752	-0.260730	-0.009796	-0.265749	0.963993	-0.986771	-0.153445	-0.052329
78	6317018													9.716682	-0.097505	1.624747	0.162218	-0.951662	-0.260815	-0.009860	-0.265866	0.963960	-0.986706	-0.153800	-0.052511
79	6317184													9.676333	-0.091463	1.629703	0.162693	-0.951522	-0.261029	-0.009944	-0.266122	0.963888	-0.986627	-0.154222	-0.052758
80	6317351													9.657251	-0.087585	1.667008	0.163299	-0.951371	-0.261204	-0.010108	-0.266357	0.963821	-0.986525	-0.154750	-0.053112
81	6317518													9.658217	-0.079084	1.658457	0.163839	-0.951266	-0.261246	-0.010276	-0.266456	0.963792	-0.986434	-0.155222	-0.053431
82	6317684													9.668229	-0.069796	1.705372	0.164324	-0.951185	-0.261238	-0.010447	-0.266501	0.963778	-0.986351	-0.155642	-0.053730
83	6317851													9.669299	-0.071573	1.638636	0.164654	-0.951144	-0.261179	-0.010519	-0.266472	0.963785	-0.986295	-0.155944	-0.053881
84	6318018													9.654685	-0.027718	1.668973	0.164953	-0.951039	-0.261373	-0.010558	-0.266691	0.963724	-0.986245	-0.156210	-0.054033
85	6318184													9.691707	-0.036761	1.651125	0.165178	-0.950953	-0.261541	-0.010616	-0.266882	0.963671	-0.986207	-0.156401	-0.054179
86	6318351													9.706812	-0.030423	1.667693	0.165424	-0.950880	-0.261652	-0.010698	-0.267022	0.963631	-0.986164	-0.156609	-0.054345
87	6318518													9.700150	-0.040910	1.658241	0.165560	-0.950814	-0.261808	-0.010749	-0.267195	0.963582	-0.986141	-0.156717	-0.054457
88	6318684													9.673636	-0.027435	1.639048	0.165688	-0.950792	-0.261806	-0.010760	-0.267203	0.963580	-0.986119	-0.156837	-0.054503
89	6318851													9.688983	-0.025652	1.666738	0.165805	-0.950780	-0.261776	-0.010750	-0.267177	0.963587	-0.986100	-0.156954	-0.054520
90	6319018													9.701800	-0.084424	1.672331	0.165895	-0.950759	-0.261793	-0.010830	-0.267212	0.963577	-0.986084	-0.157018	-0.054626
91	6319184													9.641191	-0.056808	1.556433	0.165863	-0.950794	-0.261689	-0.010824	-0.267103	0.963607	-0.986089	-0.156994	-0.054594
92	6319351													9.678701	-0.051669	1.597492	0.165922	-0.950791	-0.261659	-0.010757	-0.267066	0.963618	-0.986080	-0.157071	-0.054540
93	6319518													9.700750	-0.015583	1.609570	0.165927	-0.950750	-0.261808	-0.010507	-0.267178	0.963590	-0.986082	-0.157135	-0.054321
94	6319684													9.799284	-0.026657	1.595434	0.166080	-0.950734	-0.261768	-0.010174	-0.267092	0.963617	-0.986060	-0.157374	-0.054031
95	6319851													9.646576	-0.057483	1.664167	0.166456	-0.950572	-0.262116	-0.009923	-0.267426	0.963527	-0.985999	-0.157783	-0.053947
96	6320018													9.669853	-0.013025	1.700755	0.166735	-0.950443	-0.262407	-0.009689	-0.267699	0.963454	-0.985954	-0.158099	-0.053843
97	6320184													9.675145	-0.000834	1.720588	0.166932	-0.950320	-0.262728	-0.009455	-0.267998	0.963373	-0.985923	-0.158334	-0.053723
98	6320351													9.693254	0.009122	1.785317	0.167051	-0.950243	-0.262928	-0.009225	-0.268170	0.963327	-0.985905	-0.158499	-0.053565
99	6320518													9.695020	-0.004717	1.766282	0.167090	-0.950178	-0.263139	-0.009113	-0.268368	0.963273	-0.985900	-0.158555	-0.053500
100	6320684													9.644807	-0.026414	1.731632	0.167043	-0.950160	-0.263234	-0.009064	-0.268454	0.963250	-0.985908	-0.158518	-0.053456
101	6320851													9.625179	-0.041058	1.735253	0.166965	-0.950152	-0.263313	-0.009059	-0.268529	0.963229	-0.985921	-0.158441	-0.053442
102	6321018													9.677824	-0.056353	1.726882	0.166892	-0.950131	-0.263437	-0.009104	-0.268658	0.963193	-0.985933	-0.158351	-0.053486
103	6321184													9.690066	-0.052155	1.732419	0.166895	-0.950135	-0.263420	-0.009162	-0.268651	0.963194	-0.985932	-0.158338	-0.053542
104	6321351													9.650396	-0.068045	1.678091	0.166867	-0.950112	-0.263519	-0.009320	-0.268774	0.963158	-0.985935	-0.158263	-0.053705
105	6321518													9.681290	-0.049146	1.643169	0.166919	-0.950098	-0.263537	-0.009566	-0.268835	0.963139	-0.985924	-0.158245	-0.053962
106	6321684													9.708586	-0.089220	1.628062	0.166787	-0.950150	-0.263432	-0.009815	-0.268761	0.963157	-0.985944	-0.158056	-0.054152
107	6321851													9.767429	-0.022981	1.595898	0.166807	-0.950152	-0.263413	-0.009992	-0.268772	0.963152	-0.985939	-0.158028	-0.054327
108	6322018													9.669026	-0.053692	1.627015	0.166924	-0.950123	-0.263443	-0.010219	-0.268844	0.963129	-0.985917	-0.158078	-0.054586
109	6322184													9.723735	-0.066765	1.648960	0.167036	-0.950090	-0.263491	-0.010523	-0.268948	0.963097	-0.985895	-0.158099	-0.054922
110	6322351													9.715277	-0.055662	1.645324	0.167160	-0.950093	-0.263403	-0.010838	-0.268917	0.963102	-0.985870	-0.158138	-0.055250
111	6322518													9.659385	-0.050104	1.675445	0.167267	-0.950072	-0.263412	-0.011124	-0.268978	0.963082	-0.985849	-0.158162	-0.055559
