// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	6303851													0.005979	0.158204	-0.162158	-0.424175	-0.888813	0.173458	-0.001280	0.192132	0.981368	-0.905579	0.416050	-0.082635
1	6304017													8.815228	-0.011943	-4.126187	-0.424488	-0.888787	0.172821	-0.001436	0.191532	0.981485	-0.905432	0.416381	-0.082579
2	6304184													8.751842	-0.031442	-4.122788	-0.424525	-0.888720	0.173075	-0.001601	0.191892	0.981415	-0.905415	0.416358	-0.082886
3	6304351													8.720119	-0.013111	-4.142487	-0.424937	-0.888572	0.172827	-0.002044	0.191864	0.981419	-0.905221	0.416688	-0.083346
4	6304517													8.817858	-0.001967	-4.137400	-0.425624	-0.888325	0.172402	-0.002162	0.191518	0.981487	-0.904897	0.417372	-0.083435
5	6304684													8.837337	-0.031839	-4.136381	-0.425942	-0.888151	0.172513	-0.002037	0.191615	0.981468	-0.904748	0.417697	-0.083426
6	6304851													8.884053	-0.015192	-4.109527	-0.425912	-0.888180	0.172439	-0.002000	0.191513	0.981488	-0.904762	0.417683	-0.083344
7	6305017													8.863986	0.018333	-4.093352	-0.425475	-0.888424	0.172260	-0.002069	0.191303	0.981529	-0.904968	0.417260	-0.083233
8	6305184													8.895625	0.071115	-4.084825	-0.424722	-0.888772	0.172323	-0.002073	0.191299	0.981530	-0.905321	0.416521	-0.083091
9	6305351													8.882826	0.075071	-4.057710	-0.423719	-0.889208	0.172542	-0.001977	0.191394	0.981511	-0.905791	0.415544	-0.082855
10	6305517													8.830311	0.021165	-4.042952	-0.422607	-0.889679	0.172844	-0.001844	0.191555	0.981480	-0.906311	0.414462	-0.082593
11	6305684													8.786606	-0.023300	-4.029969	-0.421494	-0.890121	0.173285	-0.001943	0.191975	0.981398	-0.906829	0.413317	-0.082646
12	6305851													8.751653	-0.060353	-4.013589	-0.420564	-0.890524	0.173473	-0.002271	0.192237	0.981346	-0.907260	0.412325	-0.082871
13	6306017													8.732083	-0.095924	-4.023365	-0.419868	-0.890859	0.173439	-0.002811	0.192375	0.981318	-0.907581	0.411536	-0.083276
14	6306184													8.729751	-0.127749	-4.010098	-0.419421	-0.891128	0.173136	-0.003467	0.192294	0.981331	-0.907785	0.410991	-0.083742
15	6306351													8.760186	-0.146943	-4.017474	-0.419148	-0.891347	0.172669	-0.004090	0.192033	0.981380	-0.907909	0.410638	-0.084136
16	6306517													8.835342	-0.180915	-4.048496	-0.419083	-0.891517	0.171949	-0.004818	0.191563	0.981468	-0.907935	0.410489	-0.084576
17	6306684													8.738214	-0.130975	-4.035262	-0.419065	-0.891711	0.170985	-0.005657	0.190880	0.981597	-0.907939	0.410385	-0.085035
18	6306851													8.749877	-0.067993	-4.035009	-0.419319	-0.891765	0.170080	-0.006305	0.190202	0.981725	-0.907817	0.410583	-0.085378
19	6307017													8.800727	-0.068847	-4.034888	-0.419657	-0.891738	0.169387	-0.006764	0.189682	0.981822	-0.907658	0.410883	-0.085633
20	6307184													8.843006	-0.061822	-4.055338	-0.420007	-0.891690	0.168770	-0.007145	0.189211	0.981910	-0.907493	0.411203	-0.085841
21	6307351													8.827827	-0.053956	-4.039557	-0.420302	-0.891641	0.168295	-0.007491	0.188876	0.981972	-0.907353	0.411464	-0.086064
22	6307517													8.830500	-0.028944	-4.037702	-0.420537	-0.891576	0.168049	-0.007852	0.188793	0.981986	-0.907242	0.411641	-0.086395
23	6307684													8.815515	-0.037064	-4.056921	-0.420698	-0.891518	0.167956	-0.008151	0.188844	0.981973	-0.907164	0.411745	-0.086713
24	6307851													8.787436	-0.086800	-4.082679	-0.420834	-0.891428	0.168092	-0.008368	0.189106	0.981921	-0.907099	0.411819	-0.087042
25	6308017													8.769094	-0.117032	-4.100482	-0.421013	-0.891325	0.168188	-0.008582	0.189329	0.981876	-0.907014	0.411940	-0.087359
26	6308184													8.770458	-0.154965	-4.083214	-0.421187	-0.891211	0.168359	-0.008761	0.189616	0.981819	-0.906932	0.412055	-0.087672
27	6308351													8.773946	-0.155614	-4.100151	-0.421401	-0.891088	0.168475	-0.008855	0.189809	0.981781	-0.906831	0.412232	-0.087876
28	6308517													8.799673	-0.141297	-4.111120	-0.421595	-0.890994	0.168484	-0.008870	0.189847	0.981774	-0.906741	0.412416	-0.087942
29	6308684													8.778706	-0.121213	-4.124899	-0.421740	-0.890915	0.168541	-0.008760	0.189875	0.981769	-0.906674	0.412575	-0.087883
30	6308851													8.813613	-0.086418	-4.122793	-0.421825	-0.890883	0.168494	-0.008608	0.189763	0.981792	-0.906636	0.412694	-0.087716
31	6309017													8.857758	-0.066457	-4.097204	-0.421860	-0.890853	0.168570	-0.008483	0.189794	0.981787	-0.906621	0.412747	-0.087624
32	6309184													8.844129	-0.039653	-4.083668	-0.421689	-0.890904	0.168726	-0.008371	0.189897	0.981768	-0.906702	0.412588	-0.087535
33	6309351													8.800827	-0.032008	-4.071593	-0.421424	-0.890995	0.168907	-0.008301	0.190037	0.981742	-0.906826	0.412327	-0.087482
34	6309517													8.770729	-0.064271	-4.095408	-0.421142	-0.891085	0.169139	-0.008255	0.190241	0.981703	-0.906957	0.412039	-0.087475
35	6309684													8.789882	-0.085737	-4.082279	-0.420869	-0.891171	0.169362	-0.008270	0.190464	0.981659	-0.907084	0.411749	-0.087530
36	6309851													8.814857	-0.111850	-4.060912	-0.420564	-0.891273	0.169586	-0.008327	0.190705	0.981612	-0.907225	0.411418	-0.087625
37	6310017													8.803689	-0.114377	-4.073617	-0.420247	-0.891414	0.169630	-0.008434	0.190768	0.981599	-0.907371	0.411083	-0.087688
38	6310184													8.799331	-0.121282	-4.098203	-0.419935	-0.891582	0.169520	-0.008564	0.190672	0.981616	-0.907514	0.410763	-0.087705
39	6310351													8.770181	-0.101085	-4.081755	-0.419695	-0.891733	0.169319	-0.008752	0.190510	0.981646	-0.907623	0.410511	-0.087760
40	6310518													8.748697	-0.080196	-4.085788	-0.419585	-0.891831	0.169076	-0.008896	0.190296	0.981686	-0.907673	0.410397	-0.087779
41	6310684													8.746316	-0.056304	-4.052343	-0.419585	-0.891886	0.168782	-0.008963	0.190004	0.981742	-0.907672	0.410411	-0.087717
42	6310851													8.762352	-0.006902	-4.057554	-0.419695	-0.891889	0.168492	-0.009003	0.189714	0.981798	-0.907621	0.410539	-0.087651
43	6311018													8.769446	0.024819	-4.047269	-0.419861	-0.891825	0.168417	-0.008979	0.189638	0.981813	-0.907544	0.410713	-0.087629
44	6311184													8.829506	0.040372	-4.059757	-0.420023	-0.891759	0.168363	-0.008982	0.189596	0.981821	-0.907469	0.410876	-0.087645
45	6311351													8.914662	0.059998	-4.089307	-0.420065	-0.891716	0.168485	-0.008981	0.189735	0.981794	-0.907449	0.410905	-0.087709
46	6311518													8.864032	0.033072	-4.095013	-0.419934	-0.891724	0.168772	-0.009056	0.190072	0.981728	-0.907510	0.410733	-0.087893
47	6311684													8.830241	-0.009726	-4.066689	-0.419732	-0.891777	0.168994	-0.009237	0.190376	0.981668	-0.907601	0.410476	-0.088145
48	6311851													8.714487	-0.036493	-4.054941	-0.419539	-0.891815	0.169271	-0.009515	0.190786	0.981586	-0.907687	0.410203	-0.088527
49	6312018													8.741148	-0.044200	-4.076263	-0.419600	-0.891773	0.169341	-0.009745	0.190974	0.981547	-0.907657	0.410207	-0.088823
50	6312184													8.798392	-0.057354	-4.072655	-0.419694	-0.891690	0.169544	-0.009750	0.191210	0.981501	-0.907613	0.410277	-0.088944
51	6312351													8.807730	-0.104629	-4.066883	-0.419819	-0.891610	0.169660	-0.009640	0.191301	0.981484	-0.907557	0.410410	-0.088907
52	6312518													8.862035	-0.092263	-4.063476	-0.419833	-0.891608	0.169634	-0.009576	0.191244	0.981496	-0.907551	0.410440	-0.088828
53	6312684													8.863014	-0.043916	-4.065062	-0.419717	-0.891691	0.169483	-0.009547	0.191053	0.981533	-0.907605	0.410348	-0.088702
54	6313018													8.867995	0.022927	-4.051932	-0.419459	-0.891827	0.169406	-0.009471	0.190906	0.981563	-0.907725	0.410121	-0.088524
55	6313184													8.849614	0.040380	-4.035201	-0.419102	-0.891996	0.169398	-0.009389	0.190822	0.981580	-0.907890	0.409792	-0.088349
56	6313351													8.788814	0.025066	-4.010913	-0.418684	-0.892208	0.169316	-0.009361	0.190674	0.981609	-0.908084	0.409399	-0.088184
57	6313518													8.770529	0.018602	-4.017476	-0.418335	-0.892365	0.169353	-0.009430	0.190708	0.981601	-0.908244	0.409041	-0.088195
58	6313684													8.808949	-0.025225	-4.018430	-0.418052	-0.892473	0.169482	-0.009649	0.190920	0.981558	-0.908372	0.408707	-0.088426
59	6313851													8.839461	-0.048029	-4.036769	-0.417802	-0.892606	0.169396	-0.009985	0.190949	0.981549	-0.908483	0.408402	-0.088692
60	6314018													8.817565	-0.027308	-4.030973	-0.417549	-0.892766	0.169181	-0.010293	0.190823	0.981570	-0.908596	0.408113	-0.088867
61	6314184													8.798824	-0.118060	-4.026715	-0.417369	-0.892891	0.168961	-0.010642	0.190719	0.981587	-0.908675	0.407886	-0.089103
62	6314351													8.783154	-0.113657	-4.043919	-0.417212	-0.893035	0.168589	-0.011061	0.190482	0.981628	-0.908742	0.407682	-0.089349
63	6314518													8.702126	-0.076207	-4.022700	-0.417259	-0.893104	0.168107	-0.011452	0.190132	0.981692	-0.908715	0.407695	-0.089562
64	6314684													8.750043	-0.058647	-4.049724	-0.417482	-0.893070	0.167735	-0.011635	0.189830	0.981748	-0.908611	0.407911	-0.089642
65	6314851													8.792747	-0.058452	-4.073320	-0.417842	-0.892986	0.167285	-0.011782	0.189440	0.981822	-0.908443	0.408275	-0.089677
66	6315018													8.820218	-0.063832	-4.031435	-0.418202	-0.892888	0.166909	-0.011919	0.189127	0.981880	-0.908276	0.408635	-0.089736
67	6315184													8.831492	-0.035851	-4.059225	-0.418489	-0.892783	0.166748	-0.012049	0.189040	0.981895	-0.908142	0.408903	-0.089868
68	6315351													8.821236	-0.003415	-4.056010	-0.418705	-0.892715	0.166571	-0.012185	0.188930	0.981915	-0.908041	0.409103	-0.089984
69	6315518													8.792784	-0.029346	-4.099021	-0.418872	-0.892648	0.166514	-0.012307	0.188940	0.981912	-0.907962	0.409246	-0.090127
70	6315684													8.803828	-0.039298	-4.091954	-0.419049	-0.892558	0.166549	-0.012448	0.189061	0.981886	-0.907878	0.409385	-0.090336
71	6315851													8.807183	-0.065877	-4.084871	-0.419193	-0.892467	0.166675	-0.012578	0.189275	0.981844	-0.907810	0.409485	-0.090568
72	6316018													8.797274	-0.086657	-4.111099	-0.419345	-0.892391	0.166701	-0.012673	0.189363	0.981825	-0.907739	0.409610	-0.090718
73	6316184													8.808876	-0.092437	-4.079911	-0.419448	-0.892348	0.166669	-0.012756	0.189377	0.981822	-0.907690	0.409697	-0.090816
74	6316351													8.801908	-0.083869	-4.091968	-0.419477	-0.892346	0.166610	-0.012749	0.189311	0.981834	-0.907677	0.409733	-0.090788
