// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	2900899													-0.049241	-0.162468	-0.107058	0.219766	-0.941958	-0.253809	0.010499	-0.257870	0.966122	-0.975496	-0.214985	-0.046782
1	2901066													9.643133	0.101817	2.142734	0.219126	-0.942193	-0.253489	0.010005	-0.257619	0.966195	-0.975645	-0.214255	-0.047025
2	2901233													9.577146	0.162775	2.171908	0.219296	-0.941971	-0.254163	0.010151	-0.258287	0.966015	-0.975605	-0.214423	-0.047080
3	2901399													9.615934	0.152854	2.211185	0.220374	-0.941556	-0.254769	0.011238	-0.258722	0.965886	-0.975351	-0.215720	-0.046435
4	2901566													9.589300	0.159447	2.210139	0.221610	-0.941106	-0.255361	0.012134	-0.259191	0.965750	-0.975060	-0.217118	-0.046020
5	2901733													9.562023	0.164359	2.244978	0.222579	-0.940790	-0.255682	0.012853	-0.259407	0.965683	-0.974830	-0.218227	-0.045647
6	2901899													9.534298	0.195441	2.290857	0.223462	-0.940417	-0.256280	0.013543	-0.259908	0.965538	-0.974618	-0.219232	-0.045344
7	2902066													9.576738	0.203967	2.263982	0.224335	-0.939971	-0.257153	0.014167	-0.260705	0.965314	-0.974409	-0.220197	-0.045169
8	2902233													9.561680	0.164844	2.253343	0.225069	-0.939646	-0.257701	0.014687	-0.261185	0.965177	-0.974232	-0.221016	-0.044984
9	2902399													9.530705	0.168140	2.270879	0.225739	-0.939413	-0.257965	0.014998	-0.261418	0.965109	-0.974072	-0.221731	-0.044923
10	2902566													9.536702	0.182693	2.231146	0.226250	-0.939200	-0.258292	0.015166	-0.261739	0.965019	-0.973951	-0.222253	-0.044974
11	2902733													9.571977	0.170953	2.212900	0.226673	-0.939127	-0.258186	0.015283	-0.261623	0.965049	-0.973851	-0.222696	-0.044950
12	2902899													9.561418	0.188331	2.239311	0.227081	-0.938965	-0.258416	0.015375	-0.261859	0.964984	-0.973755	-0.223103	-0.045027
13	2903066													9.536404	0.167350	2.196189	0.227399	-0.938892	-0.258401	0.015330	-0.261869	0.964982	-0.973681	-0.223397	-0.045156
14	2903233													9.564924	0.183242	2.248014	0.227629	-0.938868	-0.258286	0.015259	-0.261777	0.965008	-0.973628	-0.223604	-0.045262
15	2903399													9.627028	0.195831	2.165624	0.227526	-0.938887	-0.258308	0.015262	-0.261794	0.965003	-0.973652	-0.223505	-0.045236
16	2903566													9.607066	0.200010	2.204120	0.227617	-0.938875	-0.258270	0.015325	-0.261745	0.965015	-0.973630	-0.223612	-0.045189
17	2903733													9.652077	0.200747	2.239292	0.227735	-0.938815	-0.258385	0.015363	-0.261860	0.964984	-0.973602	-0.223731	-0.045211
18	2903899													9.620822	0.166419	2.316798	0.227913	-0.938824	-0.258195	0.015323	-0.261682	0.965032	-0.973561	-0.223900	-0.045255
19	2904066													9.540169	0.171681	2.349426	0.228179	-0.938769	-0.258161	0.015312	-0.261663	0.965038	-0.973499	-0.224154	-0.045332
20	2904233													9.495476	0.178785	2.368312	0.228427	-0.938674	-0.258287	0.015311	-0.261804	0.965000	-0.973441	-0.224386	-0.045431
21	2904399													9.494685	0.151055	2.360302	0.228544	-0.938622	-0.258371	0.015229	-0.261915	0.964971	-0.973414	-0.224474	-0.045565
22	2904566													9.492962	0.144370	2.335226	0.228605	-0.938572	-0.258499	0.015066	-0.262088	0.964926	-0.973403	-0.224481	-0.045774
23	2904733													9.525795	0.131213	2.305457	0.228634	-0.938532	-0.258620	0.014857	-0.262262	0.964882	-0.973399	-0.224448	-0.046018
24	2904899													9.542822	0.143229	2.317460	0.228699	-0.938439	-0.258900	0.014663	-0.262598	0.964794	-0.973387	-0.224443	-0.046295
25	2905066													9.575251	0.142748	2.263519	0.228801	-0.938352	-0.259125	0.014517	-0.262867	0.964723	-0.973365	-0.224492	-0.046523
26	2905233													9.558742	0.157834	2.261081	0.228941	-0.938264	-0.259320	0.014374	-0.263108	0.964659	-0.973334	-0.224577	-0.046750
27	2905399													9.579864	0.173706	2.240282	0.229064	-0.938172	-0.259545	0.014276	-0.263368	0.964590	-0.973307	-0.224658	-0.046935
28	2905566													9.572317	0.172333	2.244459	0.229215	-0.938051	-0.259848	0.014205	-0.263703	0.964499	-0.973272	-0.224769	-0.047120
29	2905733													9.567495	0.157346	2.236951	0.229270	-0.937979	-0.260059	0.014124	-0.263942	0.964435	-0.973260	-0.224789	-0.047266
30	2905899													9.550566	0.148028	2.205719	0.229268	-0.937891	-0.260379	0.014092	-0.264278	0.964343	-0.973261	-0.224762	-0.047373
31	2906066													9.555820	0.147389	2.222140	0.229223	-0.937832	-0.260631	0.014126	-0.264527	0.964275	-0.973271	-0.224716	-0.047388
32	2906233													9.564993	0.173678	2.233632	0.229153	-0.937780	-0.260879	0.014206	-0.264761	0.964210	-0.973287	-0.224658	-0.047349
33	2906399													9.581712	0.192660	2.210547	0.229089	-0.937723	-0.261141	0.014313	-0.265001	0.964142	-0.973300	-0.224612	-0.047287
34	2906566													9.568486	0.166269	2.211112	0.228973	-0.937715	-0.261269	0.014419	-0.265103	0.964112	-0.973326	-0.224523	-0.047181
35	2906733													9.579604	0.191923	2.209975	0.228726	-0.937776	-0.261268	0.014470	-0.265078	0.964118	-0.973383	-0.224299	-0.047060
36	2906899													9.616502	0.199775	2.228345	0.228487	-0.937800	-0.261392	0.014487	-0.265190	0.964087	-0.973439	-0.224068	-0.047007
37	2907066													9.621013	0.149796	2.210444	0.228259	-0.937853	-0.261398	0.014439	-0.265196	0.964087	-0.973493	-0.223836	-0.046991
38	2907233													9.567776	0.141731	2.182554	0.228055	-0.937967	-0.261169	0.014296	-0.264983	0.964147	-0.973543	-0.223612	-0.047022
39	2907399													9.656008	0.121521	2.172376	0.227711	-0.938108	-0.260961	0.014243	-0.264764	0.964208	-0.973625	-0.223277	-0.046928
40	2907566													9.595102	0.173371	2.158784	0.227501	-0.938229	-0.260710	0.014393	-0.264461	0.964289	-0.973671	-0.223129	-0.046661
41	2907733													9.580838	0.158619	2.183153	0.227482	-0.938214	-0.260781	0.014562	-0.264494	0.964277	-0.973673	-0.223153	-0.046505
42	2907899													9.624929	0.155679	2.215096	0.227537	-0.938214	-0.260731	0.014673	-0.264421	0.964296	-0.973659	-0.223238	-0.046399
43	2908066													9.598154	0.180799	2.232165	0.227567	-0.938155	-0.260920	0.014720	-0.264606	0.964244	-0.973651	-0.223271	-0.046406
44	2908233													9.532757	0.195299	2.324222	0.227717	-0.938102	-0.260977	0.014770	-0.264660	0.964229	-0.973615	-0.223426	-0.046412
45	2908399													9.516932	0.225591	2.326777	0.227806	-0.938100	-0.260908	0.014794	-0.264588	0.964248	-0.973594	-0.223522	-0.046396
46	2908566													9.549597	0.208722	2.328458	0.227764	-0.938118	-0.260880	0.014777	-0.264561	0.964256	-0.973604	-0.223478	-0.046395
47	2908733													9.533135	0.179323	2.321357	0.227654	-0.938146	-0.260874	0.014749	-0.264556	0.964258	-0.973630	-0.223365	-0.046390
48	2908899													9.519528	0.197851	2.330759	0.227411	-0.938174	-0.260987	0.014716	-0.264668	0.964227	-0.973688	-0.223117	-0.046382
49	2909066													9.566214	0.161952	2.279806	0.227202	-0.938276	-0.260802	0.014651	-0.264482	0.964279	-0.973737	-0.222908	-0.046344
50	2909233													9.575015	0.191248	2.287696	0.227108	-0.938317	-0.260735	0.014592	-0.264422	0.964297	-0.973760	-0.222804	-0.046360
51	2909399													9.551510	0.179529	2.284832	0.227046	-0.938317	-0.260791	0.014411	-0.264519	0.964273	-0.973777	-0.222693	-0.046536
52	2909566													9.559025	0.148873	2.257438	0.227028	-0.938381	-0.260574	0.014192	-0.264345	0.964324	-0.973785	-0.222626	-0.046696
53	2909733													9.572844	0.140337	2.255912	0.226741	-0.938513	-0.260350	0.014029	-0.264137	0.964383	-0.973854	-0.222318	-0.046724
54	2909899													9.607411	0.200022	2.327133	0.226524	-0.938640	-0.260080	0.013915	-0.263875	0.964457	-0.973906	-0.222092	-0.046713
55	2910066													9.550006	0.174820	2.323633	0.226076	-0.938895	-0.259550	0.013777	-0.263340	0.964605	-0.974012	-0.221650	-0.046600
56	2910233													9.589365	0.131761	2.281008	0.225562	-0.939219	-0.258825	0.013598	-0.262610	0.964806	-0.974134	-0.221143	-0.046463
57	2910399													9.557254	0.151403	2.242704	0.225056	-0.939481	-0.258314	0.013468	-0.262090	0.964949	-0.974253	-0.220647	-0.046332
58	2910566													9.546885	0.168644	2.275934	0.224568	-0.939729	-0.257834	0.013355	-0.261599	0.965084	-0.974367	-0.220171	-0.046197
59	2910733													9.548028	0.144072	2.201344	0.224035	-0.939964	-0.257442	0.013273	-0.261189	0.965196	-0.974491	-0.219655	-0.046039
60	2910899													9.555534	0.143358	2.191643	0.223518	-0.940148	-0.257219	0.013236	-0.260944	0.965263	-0.974610	-0.219159	-0.045882
61	2911066													9.578162	0.162225	2.171172	0.223007	-0.940304	-0.257093	0.013203	-0.260797	0.965303	-0.974727	-0.218664	-0.045744
62	2911233													9.582004	0.172851	2.168700	0.222504	-0.940456	-0.256971	0.013189	-0.260650	0.965343	-0.974842	-0.218182	-0.045592
63	2911399													9.591291	0.171960	2.158156	0.222083	-0.940550	-0.256991	0.013183	-0.260653	0.965343	-0.974939	-0.217774	-0.045488
64	2911566													9.588917	0.164006	2.151182	0.221755	-0.940605	-0.257073	0.013160	-0.260726	0.965323	-0.975014	-0.217448	-0.045439
65	2911733													9.613386	0.175939	2.174521	0.221457	-0.940693	-0.257009	0.013136	-0.260651	0.965344	-0.975082	-0.217158	-0.045366
66	2911899													9.620648	0.171831	2.154155	0.221162	-0.940718	-0.257173	0.013106	-0.260812	0.965301	-0.975149	-0.216858	-0.045353
67	2912066													9.609286	0.151790	2.209889	0.220953	-0.940808	-0.257021	0.013071	-0.260654	0.965344	-0.975197	-0.216655	-0.045295
68	2912233													9.583398	0.143610	2.216091	0.220654	-0.940922	-0.256860	0.012984	-0.260494	0.965388	-0.975266	-0.216352	-0.045262
69	2912399													9.583285	0.126656	2.201524	0.220304	-0.941017	-0.256813	0.012860	-0.260457	0.965400	-0.975346	-0.215984	-0.045278
70	2912566													9.575050	0.136045	2.204562	0.219949	-0.941141	-0.256665	0.012719	-0.260319	0.965439	-0.975429	-0.215612	-0.045286
71	2912733													9.556987	0.166056	2.223530	0.219452	-0.941323	-0.256422	0.012537	-0.260087	0.965504	-0.975543	-0.215096	-0.045275
72	2912900													9.569791	0.149259	2.249633	0.218849	-0.941552	-0.256095	0.012316	-0.259771	0.965592	-0.975681	-0.214473	-0.045254
73	2913066													9.577216	0.159927	2.212486	0.218135	-0.941849	-0.255614	0.012098	-0.259291	0.965723	-0.975844	-0.213750	-0.045166
74	2913233													9.597175	0.164785	2.214183	0.217425	-0.942179	-0.255002	0.011932	-0.258667	0.965893	-0.976004	-0.213052	-0.044999
75	2913400													9.615099	0.158241	2.169770	0.216637	-0.942581	-0.254182	0.011693	-0.257841	0.966116	-0.976182	-0.212269	-0.044836
76	2913566													9.580450	0.116051	2.088211	0.215910	-0.942862	-0.253758	0.011462	-0.257423	0.966231	-0.976346	-0.211528	-0.044773
77	2913733													9.642353	0.120799	2.051167	0.215199	-0.943154	-0.253279	0.011354	-0.256922	0.966366	-0.976504	-0.210837	-0.044580
78	2913900													9.638129	0.140177	2.060773	0.214479	-0.943400	-0.252971	0.011409	-0.256561	0.966461	-0.976662	-0.210171	-0.044264
79	2914066													9.617104	0.180375	2.053774	0.214136	-0.943491	-0.252925	0.011619	-0.256452	0.966487	-0.976735	-0.209898	-0.043953
80	2914233													9.664304	0.146409	2.087368	0.213978	-0.943571	-0.252760	0.011826	-0.256232	0.966543	-0.976767	-0.209808	-0.043669
81	2914400													9.625072	0.149192	2.167371	0.213891	-0.943596	-0.252739	0.011949	-0.256180	0.966555	-0.976784	-0.209758	-0.043520
82	2914566													9.556780	0.178865	2.201298	0.213737	-0.943607	-0.252830	0.012077	-0.256239	0.966538	-0.976817	-0.209638	-0.043371
83	2914733													9.538899	0.207823	2.229728	0.213570	-0.943625	-0.252904	0.012205	-0.256279	0.966526	-0.976852	-0.209508	-0.043216
84	2914900													9.574106	0.190281	2.225862	0.213280	-0.943717	-0.252802	0.012269	-0.256149	0.966560	-0.976914	-0.209249	-0.043053
85	2915066													9.533573	0.150472	2.200378	0.212859	-0.943833	-0.252724	0.012261	-0.256051	0.966585	-0.977006	-0.208845	-0.042931
86	2915233													9.543700	0.160445	2.188496	0.212397	-0.943880	-0.252938	0.012248	-0.256252	0.966532	-0.977107	-0.208387	-0.042866
87	2915400													9.588299	0.145847	2.184016	0.211891	-0.944000	-0.252915	0.012213	-0.256213	0.966543	-0.977217	-0.207890	-0.042761
88	2915566													9.613241	0.162127	2.179179	0.211452	-0.944125	-0.252818	0.012163	-0.256105	0.966572	-0.977313	-0.207458	-0.042670
89	2915733													9.583488	0.143899	2.120477	0.210997	-0.944227	-0.252816	0.012070	-0.256102	0.966574	-0.977412	-0.206996	-0.042640
90	2915900													9.587347	0.110243	2.085646	0.210569	-0.944339	-0.252756	0.011905	-0.256057	0.966588	-0.977507	-0.206542	-0.042675
91	2916066													9.607604	0.125028	2.061678	0.209977	-0.944459	-0.252799	0.011757	-0.256105	0.966577	-0.977636	-0.205931	-0.042672
92	2916233													9.691436	0.193101	2.063385	0.209614	-0.944572	-0.252676	0.011687	-0.255978	0.966612	-0.977714	-0.205568	-0.042617
93	2916400													9.569879	0.158042	2.086882	0.209314	-0.944723	-0.252361	0.011575	-0.255666	0.966696	-0.977780	-0.205264	-0.042580
94	2916566													9.625520	0.139313	2.063813	0.208994	-0.944881	-0.252036	0.011387	-0.255358	0.966779	-0.977851	-0.204921	-0.042609
95	2916733													9.620894	0.134041	2.065123	0.208666	-0.945059	-0.251639	0.011220	-0.254973	0.966883	-0.977923	-0.204579	-0.042601
96	2916900													9.612627	0.166637	2.067223	0.208342	-0.945227	-0.251276	0.011089	-0.254614	0.966979	-0.977993	-0.204249	-0.042566
97	2917066													9.623002	0.179031	2.039037	0.208011	-0.945401	-0.250894	0.010962	-0.254235	0.967080	-0.978065	-0.203914	-0.042520
98	2917233													9.586234	0.165246	2.060527	0.207744	-0.945513	-0.250696	0.010862	-0.254041	0.967132	-0.978123	-0.203639	-0.042506
99	2917400													9.602365	0.159301	2.081733	0.207504	-0.945627	-0.250463	0.010789	-0.253808	0.967194	-0.978175	-0.203399	-0.042464
100	2917566													9.619833	0.194124	2.077945	0.207341	-0.945696	-0.250336	0.010751	-0.253679	0.967229	-0.978210	-0.203238	-0.042431
101	2917733													9.608607	0.180573	2.067917	0.207171	-0.945748	-0.250279	0.010728	-0.253618	0.967245	-0.978246	-0.203071	-0.042396
102	2917900													9.609065	0.173843	2.073878	0.206979	-0.945830	-0.250131	0.010729	-0.253457	0.967287	-0.978286	-0.202892	-0.042313
103	2918066													9.632046	0.164059	2.044507	0.206871	-0.945889	-0.249997	0.010716	-0.253319	0.967324	-0.978310	-0.202790	-0.042268
104	2918233													9.632689	0.134576	2.069161	0.206772	-0.945939	-0.249889	0.010687	-0.253210	0.967352	-0.978331	-0.202692	-0.042248
105	2918400													9.609792	0.122584	2.094435	0.206597	-0.945989	-0.249844	0.010695	-0.253154	0.967367	-0.978368	-0.202527	-0.042183
106	2918566													9.605001	0.125813	2.062442	0.206419	-0.946006	-0.249926	0.010764	-0.253216	0.967350	-0.978405	-0.202370	-0.042085
107	2918733													9.611970	0.131062	2.091542	0.206248	-0.946007	-0.250065	0.010862	-0.253330	0.967319	-0.978439	-0.202224	-0.041973
108	2918900													9.588306	0.147630	2.088465	0.206084	-0.946040	-0.250076	0.010923	-0.253322	0.967320	-0.978473	-0.202081	-0.041872
109	2919066													9.592728	0.159992	2.094054	0.205974	-0.946074	-0.250038	0.010961	-0.253270	0.967333	-0.978496	-0.201986	-0.041797
110	2919233													9.596262	0.161587	2.044682	0.205918	-0.946067	-0.250110	0.010980	-0.253337	0.967316	-0.978508	-0.201934	-0.041779
111	2919400													9.584493	0.171182	2.068453	0.205940	-0.946078	-0.250050	0.011019	-0.253269	0.967333	-0.978503	-0.201968	-0.041733
112	2919566													9.598826	0.156455	2.075305	0.205937	-0.946085	-0.250026	0.010968	-0.253254	0.967338	-0.978504	-0.201953	-0.041777
113	2919733													9.575284	0.141911	2.076782	0.205922	-0.946148	-0.249801	0.010903	-0.253038	0.967395	-0.978508	-0.201931	-0.041791
114	2919900													9.606762	0.122296	1.957180	0.205715	-0.946229	-0.249665	0.010853	-0.252900	0.967432	-0.978552	-0.201724	-0.041756
115	2920066													9.605657	0.149117	2.040416	0.205704	-0.946226	-0.249685	0.010943	-0.252902	0.967430	-0.978553	-0.201736	-0.041669
116	2920233													9.775760	0.184947	2.024698	0.205691	-0.946203	-0.249782	0.011102	-0.252967	0.967411	-0.978554	-0.201761	-0.041528
117	2920400													9.607780	0.150456	2.099727	0.205960	-0.946132	-0.249829	0.011217	-0.253003	0.967400	-0.978496	-0.202048	-0.041496
118	2920566													9.582505	0.165403	2.133996	0.206320	-0.946006	-0.250008	0.011325	-0.253180	0.967353	-0.978419	-0.202416	-0.041522
119	2920733													9.551885	0.207874	2.164325	0.206597	-0.945931	-0.250064	0.011418	-0.253230	0.967339	-0.978360	-0.202704	-0.041516
120	2920900													9.554406	0.203622	2.183149	0.206789	-0.945915	-0.249967	0.011495	-0.253123	0.967366	-0.978318	-0.202914	-0.041470
121	2921066													9.610499	0.181295	2.168973	0.206922	-0.945882	-0.249979	0.011505	-0.253139	0.967362	-0.978290	-0.203045	-0.041497
