// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	2900899													0.110462	0.068265	0.004319	-0.436648	-0.872892	0.217711	0.024420	0.230410	0.972787	-0.899301	0.430082	-0.079292
1	2901066													8.857107	0.243841	-4.217398	-0.435810	-0.873201	0.218151	0.024830	0.230622	0.972726	-0.899696	0.429341	-0.078826
2	2901233													8.819209	0.310278	-4.173780	-0.433810	-0.874229	0.218019	0.025198	0.230107	0.972839	-0.900652	0.427521	-0.077794
3	2901399													8.820050	0.401554	-4.154622	-0.431533	-0.875244	0.218466	0.026423	0.229808	0.972877	-0.901710	0.425601	-0.076043
4	2901566													8.804140	0.471760	-4.125215	-0.429366	-0.876041	0.219540	0.028508	0.229820	0.972816	-0.902680	0.423953	-0.073702
5	2901733													8.759986	0.455872	-4.075222	-0.427445	-0.876669	0.220778	0.030959	0.229874	0.972728	-0.903511	0.422623	-0.071118
6	2901899													8.743144	0.426971	-4.085170	-0.425790	-0.877189	0.221907	0.032949	0.230055	0.972620	-0.904222	0.421443	-0.069053
7	2902066													8.722995	0.404398	-4.067715	-0.424494	-0.877521	0.223074	0.034278	0.230622	0.972440	-0.904782	0.420442	-0.067818
8	2902233													8.711396	0.413940	-4.073001	-0.423492	-0.877802	0.223870	0.035093	0.231043	0.972311	-0.905220	0.419622	-0.067041
9	2902399													8.697354	0.396885	-4.074198	-0.422873	-0.877960	0.224419	0.035615	0.231358	0.972217	-0.905489	0.419117	-0.066566
10	2902566													8.717927	0.350865	-4.081743	-0.422497	-0.877992	0.225005	0.035927	0.231832	0.972092	-0.905652	0.418789	-0.066405
11	2902733													8.763689	0.316347	-4.085768	-0.422380	-0.877923	0.225493	0.035990	0.232334	0.971970	-0.905704	0.418656	-0.066537
12	2902899													8.712576	0.316012	-4.099485	-0.422352	-0.877903	0.225621	0.035856	0.232536	0.971927	-0.905722	0.418585	-0.066734
13	2903066													8.727061	0.354648	-4.100918	-0.422572	-0.877772	0.225721	0.035801	0.232689	0.971892	-0.905622	0.418775	-0.066903
14	2903233													8.746029	0.350437	-4.142264	-0.422956	-0.877534	0.225926	0.035890	0.232906	0.971837	-0.905439	0.419153	-0.067014
15	2903399													8.819897	0.341253	-4.160978	-0.423379	-0.877273	0.226145	0.036068	0.233101	0.971783	-0.905234	0.419590	-0.067048
16	2903566													8.853129	0.346212	-4.131437	-0.423685	-0.877062	0.226391	0.036160	0.233356	0.971719	-0.905087	0.419889	-0.067155
17	2903733													8.847973	0.377737	-4.109184	-0.423751	-0.876983	0.226575	0.036223	0.233537	0.971673	-0.905054	0.419955	-0.067194
18	2903899													8.841513	0.381692	-4.088696	-0.423599	-0.876987	0.226841	0.036288	0.233789	0.971610	-0.905123	0.419805	-0.067209
19	2904066													8.847116	0.357196	-4.080260	-0.423265	-0.877069	0.227150	0.036343	0.234078	0.971538	-0.905277	0.419474	-0.067202
20	2904233													8.784964	0.335023	-4.082996	-0.422753	-0.877255	0.227383	0.036319	0.234305	0.971484	-0.905517	0.418956	-0.067192
21	2904399													8.744770	0.310486	-4.076463	-0.422310	-0.877440	0.227491	0.036222	0.234433	0.971457	-0.905727	0.418497	-0.067221
22	2904566													8.719169	0.286736	-4.069436	-0.421958	-0.877596	0.227546	0.036057	0.234541	0.971437	-0.905898	0.418110	-0.067323
23	2904733													8.733074	0.308204	-4.055686	-0.421754	-0.877705	0.227502	0.035851	0.234570	0.971438	-0.906001	0.417864	-0.067464
24	2904899													8.725178	0.305719	-4.065450	-0.421647	-0.877793	0.227361	0.035695	0.234478	0.971466	-0.906057	0.417731	-0.067534
25	2905066													8.750440	0.341238	-4.069874	-0.421693	-0.877833	0.227124	0.035560	0.234281	0.971518	-0.906041	0.417759	-0.067578
