// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1539440													-0.228249	-0.097656	-0.533226	0.134128	-0.915805	-0.378565	-0.046509	-0.387414	0.920732	-0.989872	-0.105890	-0.094557
1	1539607													9.732752	-0.433926	1.299175	0.133864	-0.915646	-0.379043	-0.046796	-0.387899	0.920513	-0.989894	-0.105486	-0.094774
2	1539773													9.735891	-0.430847	1.292102	0.133305	-0.915409	-0.379811	-0.046389	-0.388574	0.920249	-0.989989	-0.105055	-0.094264
3	1539940													9.735513	-0.433623	1.294824	0.132688	-0.915447	-0.379936	-0.045891	-0.388589	0.920268	-0.990095	-0.104672	-0.093572
4	1540107													9.735160	-0.428784	1.285303	0.132229	-0.915324	-0.380390	-0.045550	-0.388966	0.920125	-0.990172	-0.104341	-0.093126
5	1540273													9.744257	-0.442323	1.286151	0.131829	-0.915266	-0.380670	-0.045318	-0.389185	0.920044	-0.990236	-0.104037	-0.092784
6	1540440													9.729620	-0.436608	1.289909	0.131487	-0.915231	-0.380872	-0.045205	-0.389344	0.919982	-0.990287	-0.103749	-0.092566
7	1540607													9.726701	-0.445660	1.311356	0.131221	-0.915209	-0.381015	-0.045155	-0.389458	0.919937	-0.990324	-0.103510	-0.092431
8	1540773													9.734322	-0.463469	1.287477	0.131071	-0.915090	-0.381354	-0.045162	-0.389785	0.919798	-0.990344	-0.103336	-0.092416
9	1540940													9.729723	-0.450223	1.304071	0.130921	-0.915048	-0.381507	-0.045263	-0.389935	0.919729	-0.990359	-0.103144	-0.092469
10	1541107													9.739367	-0.461238	1.299729	0.130758	-0.915047	-0.381565	-0.045386	-0.389990	0.919700	-0.990375	-0.102941	-0.092525
11	1541273													9.753985	-0.447003	1.305986	0.130605	-0.915017	-0.381689	-0.045523	-0.390115	0.919640	-0.990389	-0.102734	-0.092605
12	1541440													9.748508	-0.454443	1.305535	0.130458	-0.914987	-0.381811	-0.045653	-0.390237	0.919582	-0.990402	-0.102536	-0.092681
13	1541607													9.742120	-0.449091	1.285259	0.130313	-0.915035	-0.381745	-0.045776	-0.390171	0.919604	-0.990416	-0.102362	-0.092731
14	1541773													9.730292	-0.439748	1.320477	0.130184	-0.915014	-0.381839	-0.045894	-0.390265	0.919558	-0.990427	-0.102187	-0.092800
15	1541940													9.733128	-0.446737	1.319206	0.130081	-0.914940	-0.382052	-0.046004	-0.390481	0.919461	-0.990436	-0.102028	-0.092885
16	1542107													9.747369	-0.449266	1.316077	0.129939	-0.914857	-0.382300	-0.046132	-0.390729	0.919349	-0.990448	-0.101823	-0.092975
17	1542274													9.731795	-0.448890	1.290619	0.129808	-0.914834	-0.382398	-0.046260	-0.390829	0.919300	-0.990459	-0.101643	-0.093053
18	1542440													9.741827	-0.443387	1.290754	0.129664	-0.914788	-0.382557	-0.046385	-0.390988	0.919226	-0.990472	-0.101446	-0.093130
19	1542607													9.734592	-0.440706	1.302816	0.129447	-0.914802	-0.382597	-0.046502	-0.391019	0.919207	-0.990495	-0.101197	-0.093157
20	1542774													9.764060	-0.450414	1.287470	0.129338	-0.914776	-0.382696	-0.046633	-0.391122	0.919157	-0.990503	-0.101036	-0.093246
21	1542940													9.696703	-0.441788	1.247561	0.129154	-0.914712	-0.382911	-0.046735	-0.391331	0.919063	-0.990523	-0.100805	-0.093291
22	1543107													9.768561	-0.416084	1.275719	0.129076	-0.914707	-0.382949	-0.046816	-0.391370	0.919042	-0.990529	-0.100698	-0.093340
23	1543274													9.800782	-0.442345	1.277014	0.129020	-0.914711	-0.382959	-0.046790	-0.391372	0.919042	-0.990538	-0.100656	-0.093294
24	1543440													9.794459	-0.414268	1.291404	0.129113	-0.914652	-0.383069	-0.046700	-0.391482	0.919000	-0.990530	-0.100766	-0.093259
25	1543607													9.753680	-0.481579	1.291887	0.129208	-0.914621	-0.383111	-0.046738	-0.391538	0.918974	-0.990515	-0.100833	-0.093337
26	1543774													9.714142	-0.475849	1.325005	0.129212	-0.914543	-0.383297	-0.046822	-0.391733	0.918887	-0.990511	-0.100784	-0.093438
27	1543940													9.702762	-0.421221	1.303352	0.129197	-0.914452	-0.383517	-0.046835	-0.391954	0.918792	-0.990512	-0.100743	-0.093467
28	1544107													9.739207	-0.430690	1.280665	0.129134	-0.914436	-0.383577	-0.046815	-0.392007	0.918770	-0.990522	-0.100687	-0.093430
29	1544274													9.739484	-0.422564	1.287922	0.129040	-0.914366	-0.383776	-0.046827	-0.392198	0.918688	-0.990533	-0.100576	-0.093426
30	1544440													9.746549	-0.415183	1.269468	0.128942	-0.914329	-0.383896	-0.046873	-0.392315	0.918636	-0.990544	-0.100456	-0.093444
31	1544607													9.749438	-0.443793	1.268002	0.128878	-0.914328	-0.383921	-0.046969	-0.392344	0.918619	-0.990548	-0.100357	-0.093509
32	1544774													9.733418	-0.446385	1.253981	0.128835	-0.914281	-0.384047	-0.047085	-0.392477	0.918556	-0.990548	-0.100259	-0.093613
33	1544940													9.739659	-0.444190	1.261792	0.128779	-0.914258	-0.384120	-0.047195	-0.392557	0.918516	-0.990550	-0.100157	-0.093702
34	1545107													9.757903	-0.437159	1.274299	0.128774	-0.914231	-0.384186	-0.047287	-0.392631	0.918480	-0.990546	-0.100109	-0.093792
35	1545274													9.735212	-0.443479	1.294331	0.128792	-0.914216	-0.384216	-0.047435	-0.392679	0.918452	-0.990536	-0.100064	-0.093940
36	1545440													9.737370	-0.446626	1.291328	0.128792	-0.914194	-0.384268	-0.047573	-0.392745	0.918416	-0.990530	-0.100004	-0.094073
37	1545607													9.725583	-0.441525	1.252255	0.128785	-0.914114	-0.384461	-0.047718	-0.392952	0.918320	-0.990524	-0.099920	-0.094226
38	1545774													9.733091	-0.414972	1.303688	0.128784	-0.914089	-0.384521	-0.047845	-0.393025	0.918282	-0.990518	-0.099863	-0.094350
39	1545940													9.761524	-0.402310	1.249792	0.128795	-0.914036	-0.384642	-0.047891	-0.393153	0.918225	-0.990514	-0.099842	-0.094410
40	1546107													9.759499	-0.416285	1.255718	0.128858	-0.914057	-0.384572	-0.047975	-0.393097	0.918245	-0.990502	-0.099874	-0.094505
41	1546274													9.755144	-0.431663	1.254370	0.128874	-0.914025	-0.384643	-0.048135	-0.393186	0.918198	-0.990492	-0.099818	-0.094668
42	1546440													9.743906	-0.438393	1.292806	0.128908	-0.913988	-0.384719	-0.048240	-0.393276	0.918154	-0.990483	-0.099798	-0.094787
43	1546607													9.746237	-0.450459	1.301304	0.128969	-0.914046	-0.384560	-0.048287	-0.393127	0.918215	-0.990472	-0.099852	-0.094838
44	1546774													9.727406	-0.442002	1.294694	0.129039	-0.914125	-0.384350	-0.048342	-0.392928	0.918298	-0.990461	-0.099916	-0.094894
45	1546940													9.736504	-0.424700	1.296103	0.129108	-0.914106	-0.384372	-0.048368	-0.392960	0.918283	-0.990450	-0.099966	-0.094948
46	1547107													9.740001	-0.425801	1.278326	0.129204	-0.914074	-0.384415	-0.048399	-0.393016	0.918257	-0.990436	-0.100037	-0.095020
47	1547274													9.746513	-0.429817	1.306449	0.129287	-0.914064	-0.384411	-0.048431	-0.393023	0.918252	-0.990424	-0.100101	-0.095081
48	1547440													9.737431	-0.427293	1.311130	0.129423	-0.914035	-0.384435	-0.048471	-0.393064	0.918233	-0.990404	-0.100206	-0.095176
49	1547607													9.742565	-0.435457	1.290932	0.129529	-0.914079	-0.384293	-0.048515	-0.392936	0.918285	-0.990388	-0.100301	-0.095243
50	1547774													9.740334	-0.453406	1.303306	0.129672	-0.914048	-0.384319	-0.048560	-0.392980	0.918264	-0.990367	-0.100411	-0.095344
51	1547940													9.743023	-0.456824	1.307251	0.129799	-0.914066	-0.384234	-0.048632	-0.392915	0.918288	-0.990347	-0.100507	-0.095453
52	1548107													9.742494	-0.468948	1.274038	0.129938	-0.914027	-0.384280	-0.048702	-0.392982	0.918256	-0.990325	-0.100601	-0.095578
53	1548274													9.746614	-0.466277	1.326340	0.130061	-0.914007	-0.384285	-0.048792	-0.393008	0.918240	-0.990305	-0.100677	-0.095712
54	1548440													9.734380	-0.448472	1.301592	0.130208	-0.914004	-0.384243	-0.048891	-0.392990	0.918242	-0.990281	-0.100777	-0.095857
55	1548607													9.751456	-0.437603	1.312965	0.130300	-0.914051	-0.384100	-0.049033	-0.392869	0.918286	-0.990261	-0.100819	-0.096010
56	1548774													9.741299	-0.442523	1.285328	0.130383	-0.914082	-0.383999	-0.049178	-0.392791	0.918312	-0.990243	-0.100848	-0.096166
57	1548940													9.729780	-0.439670	1.295102	0.130462	-0.914073	-0.383992	-0.049344	-0.392809	0.918295	-0.990225	-0.100855	-0.096351
58	1549107													9.728157	-0.458917	1.309661	0.130468	-0.914073	-0.383990	-0.049471	-0.392820	0.918284	-0.990218	-0.100810	-0.096470
59	1549274													9.745541	-0.481366	1.290733	0.130549	-0.914019	-0.384092	-0.049641	-0.392947	0.918220	-0.990198	-0.100806	-0.096672
60	1549440													9.708306	-0.435581	1.294024	0.130596	-0.914020	-0.384074	-0.049789	-0.392949	0.918211	-0.990185	-0.100792	-0.096825
61	1549607													9.754835	-0.401622	1.298046	0.130642	-0.914106	-0.383852	-0.049876	-0.392739	0.918296	-0.990174	-0.100823	-0.096901
62	1549774													9.775077	-0.437234	1.318501	0.130733	-0.914182	-0.383641	-0.049965	-0.392545	0.918374	-0.990158	-0.100893	-0.096996
63	1549940													9.776406	-0.403039	1.321566	0.130884	-0.914197	-0.383554	-0.049931	-0.392470	0.918409	-0.990139	-0.101054	-0.097015
64	1550107													9.729151	-0.442413	1.336103	0.131078	-0.914216	-0.383441	-0.049954	-0.392378	0.918447	-0.990113	-0.101233	-0.097101
65	1550274													9.717863	-0.502556	1.366227	0.131220	-0.914234	-0.383350	-0.050056	-0.392310	0.918470	-0.990089	-0.101333	-0.097241
66	1550440													9.709306	-0.460142	1.344946	0.131292	-0.914227	-0.383342	-0.050068	-0.392311	0.918469	-0.990079	-0.101395	-0.097281
67	1550607													9.709653	-0.454135	1.307401	0.131314	-0.914250	-0.383280	-0.050029	-0.392247	0.918498	-0.990078	-0.101437	-0.097246
68	1550774													9.725871	-0.437746	1.338320	0.131330	-0.914249	-0.383277	-0.050027	-0.392245	0.918499	-0.990076	-0.101453	-0.097251
69	1550940													9.723382	-0.413535	1.324616	0.131304	-0.914244	-0.383299	-0.050039	-0.392266	0.918490	-0.990078	-0.101422	-0.097254
70	1551107													9.738342	-0.447033	1.311446	0.131302	-0.914189	-0.383430	-0.050087	-0.392403	0.918429	-0.990076	-0.101386	-0.097313
71	1551274													9.737119	-0.459521	1.321981	0.131259	-0.914191	-0.383439	-0.050140	-0.392413	0.918422	-0.990079	-0.101326	-0.097346
72	1551440													9.726000	-0.423180	1.324337	0.131220	-0.914137	-0.383581	-0.050206	-0.392558	0.918356	-0.990081	-0.101249	-0.097407
73	1551607													9.750862	-0.432582	1.296829	0.131175	-0.914163	-0.383536	-0.050280	-0.392516	0.918370	-0.990083	-0.101183	-0.097453
74	1551774													9.749360	-0.439659	1.313813	0.131113	-0.914145	-0.383599	-0.050361	-0.392581	0.918337	-0.990087	-0.101088	-0.097510
