// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1539440													-0.141224	-0.225231	-0.323655	-0.201914	-0.973702	0.105525	-0.017153	0.111243	0.993645	-0.979253	0.198821	-0.039163
1	1539607													9.580106	-0.173511	-1.974088	-0.202226	-0.973612	0.105754	-0.016991	0.111457	0.993624	-0.979191	0.199140	-0.039082
2	1539773													9.576035	-0.160407	-1.972940	-0.202129	-0.973604	0.106017	-0.017077	0.111738	0.993591	-0.979210	0.199023	-0.039212
3	1539940													9.553200	-0.137320	-1.945972	-0.201972	-0.973549	0.106816	-0.017033	0.112539	0.993501	-0.979243	0.198840	-0.039312
4	1540107													9.551593	-0.133375	-1.966370	-0.201627	-0.973600	0.107007	-0.016741	0.112660	0.993493	-0.979319	0.198524	-0.039015
5	1540273													9.578253	-0.129251	-1.958567	-0.201430	-0.973536	0.107950	-0.016467	0.113559	0.993395	-0.979364	0.198322	-0.038906
6	1540440													9.598015	-0.159832	-1.944016	-0.201216	-0.973571	0.108039	-0.016239	0.113595	0.993394	-0.979412	0.198132	-0.038667
7	1540607													9.605707	-0.168843	-1.940382	-0.200944	-0.973603	0.108256	-0.016242	0.113806	0.993370	-0.979468	0.197853	-0.038681
8	1540773													9.581551	-0.181989	-1.930588	-0.200629	-0.973684	0.108107	-0.016372	0.113668	0.993384	-0.979530	0.197532	-0.038746
9	1540940													9.559731	-0.164881	-1.934499	-0.200338	-0.973737	0.108169	-0.016549	0.113755	0.993371	-0.979587	0.197220	-0.038904
10	1541107													9.556931	-0.154489	-1.943021	-0.200108	-0.973779	0.108215	-0.016722	0.113828	0.993360	-0.979631	0.196969	-0.039061
11	1541273													9.561670	-0.149543	-1.943637	-0.199970	-0.973811	0.108184	-0.016826	0.113811	0.993360	-0.979658	0.196822	-0.039144
12	1541440													9.583742	-0.143102	-1.951039	-0.199853	-0.973845	0.108092	-0.016903	0.113728	0.993368	-0.979680	0.196700	-0.039190
13	1541607													9.600714	-0.128997	-1.921714	-0.199760	-0.973861	0.108123	-0.016968	0.113769	0.993362	-0.979698	0.196599	-0.039251
14	1541773													9.563937	-0.133697	-1.924915	-0.199623	-0.973887	0.108137	-0.017009	0.113786	0.993360	-0.979725	0.196459	-0.039279
15	1541940													9.553427	-0.143463	-1.946211	-0.199562	-0.973887	0.108258	-0.017068	0.113918	0.993344	-0.979737	0.196386	-0.039356
16	1542107													9.577605	-0.158759	-1.948597	-0.199558	-0.973873	0.108389	-0.017102	0.114059	0.993327	-0.979737	0.196372	-0.039417
17	1542274													9.568550	-0.175406	-1.948128	-0.199589	-0.973841	0.108616	-0.017131	0.114297	0.993299	-0.979730	0.196391	-0.039496
