// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1172428													0.000000	0.000000	0.000000	0.391497	-0.885646	-0.249722	-0.022058	-0.280338	0.959648	-0.919915	-0.370191	-0.129287
1	1172594													9.007511	-0.214841	3.897969	0.392165	-0.884720	-0.251947	-0.022159	-0.282893	0.958896	-0.919628	-0.370462	-0.130545
2	1172761													8.992791	-0.228484	3.927380	0.393206	-0.884313	-0.251753	-0.022250	-0.282879	0.958897	-0.919181	-0.371443	-0.130906
3	1172928													9.017704	-0.246862	3.924057	0.394527	-0.883782	-0.251550	-0.022510	-0.282969	0.958865	-0.918609	-0.372636	-0.131533
4	1173261													8.998836	-0.215877	3.940347	0.396080	-0.883302	-0.250796	-0.023119	-0.282640	0.958947	-0.917925	-0.374022	-0.132369
5	1173428													8.996822	-0.233777	3.906466	0.396565	-0.883065	-0.250864	-0.023215	-0.282829	0.958889	-0.917713	-0.374438	-0.132660
6	1173594													9.006843	-0.221961	3.900598	0.396841	-0.882974	-0.250747	-0.023310	-0.282785	0.958900	-0.917592	-0.374686	-0.132802
7	1173761													9.021533	-0.237260	3.925163	0.397040	-0.882824	-0.250960	-0.023371	-0.283072	0.958814	-0.917504	-0.374822	-0.133023
8	1173928													9.032717	-0.225970	3.891376	0.397222	-0.882637	-0.251328	-0.023453	-0.283534	0.958675	-0.917423	-0.374912	-0.133327
9	1174095													9.026043	-0.222265	3.883486	0.397321	-0.882523	-0.251573	-0.023512	-0.283840	0.958583	-0.917378	-0.374950	-0.133525
10	1174261													9.033678	-0.220831	3.909921	0.397341	-0.882477	-0.251703	-0.023556	-0.284003	0.958534	-0.917369	-0.374936	-0.133634
11	1174428													9.012726	-0.217340	3.930874	0.397296	-0.882478	-0.251771	-0.023576	-0.284078	0.958511	-0.917388	-0.374877	-0.133668
12	1174595													9.018899	-0.251375	3.879044	0.397154	-0.882505	-0.251900	-0.023643	-0.284222	0.958467	-0.917447	-0.374704	-0.133746
13	1174761													9.038345	-0.199638	3.912310	0.397222	-0.882458	-0.251956	-0.023729	-0.284329	0.958433	-0.917416	-0.374732	-0.133881
14	1174928													9.048459	-0.234499	3.872378	0.397127	-0.882463	-0.252089	-0.023702	-0.284448	0.958399	-0.917458	-0.374631	-0.133878
15	1175095													9.015561	-0.202499	3.885285	0.397136	-0.882403	-0.252287	-0.023686	-0.284657	0.958337	-0.917454	-0.374614	-0.133948
16	1175261													9.029695	-0.211518	3.897007	0.397133	-0.882370	-0.252406	-0.023715	-0.284798	0.958294	-0.917455	-0.374584	-0.134028
17	1175428													9.026916	-0.231659	3.898888	0.397059	-0.882375	-0.252504	-0.023756	-0.284910	0.958260	-0.917485	-0.374487	-0.134088
18	1175595													9.018244	-0.230755	3.905486	0.397010	-0.882311	-0.252806	-0.023798	-0.285247	0.958159	-0.917506	-0.374382	-0.134243
19	1175761													9.006356	-0.230133	3.924140	0.396994	-0.882304	-0.252855	-0.023848	-0.285318	0.958136	-0.917512	-0.374344	-0.134311
20	1175928													9.011539	-0.239305	3.937265	0.396930	-0.882355	-0.252776	-0.023905	-0.285245	0.958156	-0.917537	-0.374279	-0.134315
21	1176095													9.030085	-0.234195	3.907207	0.396918	-0.882318	-0.252924	-0.023930	-0.285414	0.958105	-0.917542	-0.374237	-0.134400
22	1176261													9.037154	-0.222426	3.876373	0.396857	-0.882343	-0.252935	-0.023949	-0.285423	0.958102	-0.917568	-0.374172	-0.134403
23	1176428													9.039780	-0.224350	3.907876	0.396830	-0.882329	-0.253024	-0.023989	-0.285533	0.958069	-0.917578	-0.374121	-0.134475
24	1176595													9.031418	-0.228774	3.897383	0.396822	-0.882331	-0.253032	-0.024034	-0.285558	0.958060	-0.917581	-0.374098	-0.134521
25	1176761													9.017903	-0.230919	3.885982	0.396809	-0.882342	-0.253010	-0.024085	-0.285554	0.958060	-0.917585	-0.374073	-0.134562
26	1176928													9.029719	-0.217283	3.889605	0.396832	-0.882318	-0.253061	-0.024116	-0.285625	0.958038	-0.917574	-0.374078	-0.134623
27	1177095													9.038102	-0.227901	3.900358	0.396849	-0.882300	-0.253097	-0.024172	-0.285690	0.958017	-0.917565	-0.374070	-0.134703
28	1177261													9.014514	-0.224371	3.886983	0.396863	-0.882292	-0.253103	-0.024205	-0.285712	0.958010	-0.917558	-0.374073	-0.134745
29	1177428													9.017625	-0.221414	3.918682	0.396873	-0.882304	-0.253046	-0.024248	-0.285669	0.958021	-0.917553	-0.374077	-0.134769
30	1177595													9.000895	-0.234703	3.906395	0.396910	-0.882276	-0.253085	-0.024313	-0.285744	0.957998	-0.917535	-0.374085	-0.134866
31	1177761													9.017485	-0.243743	3.939951	0.396924	-0.882291	-0.253009	-0.024395	-0.285697	0.958009	-0.917527	-0.374084	-0.134924
32	1177928													9.007493	-0.239906	3.933699	0.396910	-0.882319	-0.252933	-0.024476	-0.285645	0.958023	-0.917531	-0.374059	-0.134971
33	1178095													9.005566	-0.238866	3.924705	0.396926	-0.882317	-0.252915	-0.024559	-0.285662	0.958016	-0.917522	-0.374050	-0.135056
34	1178261													9.013906	-0.236702	3.906888	0.396933	-0.882286	-0.253013	-0.024659	-0.285810	0.957969	-0.917516	-0.374011	-0.135204
35	1178428													9.019205	-0.227751	3.909438	0.396951	-0.882278	-0.253011	-0.024717	-0.285835	0.957960	-0.917507	-0.374010	-0.135270
36	1178595													9.014853	-0.229410	3.921100	0.396959	-0.882244	-0.253118	-0.024770	-0.285974	0.957917	-0.917502	-0.373984	-0.135373
37	1178761													9.017720	-0.217845	3.906939	0.396990	-0.882221	-0.253152	-0.024826	-0.286038	0.957897	-0.917487	-0.373991	-0.135457
38	1178928													9.020864	-0.218549	3.916294	0.397031	-0.882188	-0.253202	-0.024921	-0.286138	0.957864	-0.917467	-0.373992	-0.135591
39	1179095													9.013629	-0.228881	3.909578	0.397032	-0.882203	-0.253148	-0.024987	-0.286106	0.957872	-0.917465	-0.373980	-0.135637
40	1179261													9.012507	-0.241337	3.924723	0.397035	-0.882218	-0.253088	-0.025062	-0.286073	0.957880	-0.917461	-0.373969	-0.135691
41	1179428													9.000209	-0.229685	3.931039	0.397045	-0.882219	-0.253072	-0.025128	-0.286084	0.957875	-0.917455	-0.373960	-0.135757
42	1179595													9.003503	-0.226056	3.912914	0.397006	-0.882253	-0.253013	-0.025210	-0.286047	0.957884	-0.917470	-0.373907	-0.135804
43	1179761													9.008821	-0.230919	3.907433	0.396982	-0.882255	-0.253044	-0.025241	-0.286089	0.957871	-0.917479	-0.373870	-0.135841
44	1179928													9.013171	-0.242735	3.947518	0.396979	-0.882270	-0.252996	-0.025298	-0.286060	0.957878	-0.917479	-0.373857	-0.135880
45	1180095													9.012743	-0.258227	3.884083	0.396960	-0.882268	-0.253033	-0.025380	-0.286131	0.957854	-0.917485	-0.373808	-0.135975
46	1180261													9.010097	-0.242009	3.901152	0.396943	-0.882278	-0.253023	-0.025395	-0.286123	0.957856	-0.917492	-0.373789	-0.135980
47	1180428													9.015710	-0.250273	3.902312	0.396874	-0.882294	-0.253078	-0.025409	-0.286177	0.957840	-0.917521	-0.373711	-0.135994
48	1180595													9.031356	-0.226094	3.880828	0.396969	-0.882233	-0.253143	-0.025509	-0.286304	0.957799	-0.917478	-0.373759	-0.136158
49	1180761													9.046188	-0.214980	3.921755	0.397086	-0.882186	-0.253123	-0.025533	-0.286311	0.957797	-0.917426	-0.373864	-0.136215
50	1180928													9.051888	-0.218445	3.941993	0.397123	-0.882175	-0.253104	-0.025482	-0.286276	0.957808	-0.917412	-0.373918	-0.136166
51	1181095													8.996657	-0.218106	3.923689	0.397143	-0.882131	-0.253223	-0.025531	-0.286428	0.957762	-0.917402	-0.373903	-0.136274
52	1181261													8.989845	-0.249552	3.955179	0.397074	-0.882133	-0.253324	-0.025670	-0.286583	0.957712	-0.917427	-0.373780	-0.136439
53	1181428													9.026935	-0.229002	3.924029	0.397024	-0.882178	-0.253247	-0.025789	-0.286540	0.957721	-0.917446	-0.373707	-0.136513
54	1181595													8.993055	-0.215488	3.935055	0.396987	-0.882240	-0.253089	-0.025870	-0.286395	0.957762	-0.917460	-0.373671	-0.136519
55	1181928													8.988078	-0.237660	3.918651	0.396877	-0.882324	-0.252970	-0.026009	-0.286304	0.957786	-0.917503	-0.373543	-0.136576
56	1182095													9.009078	-0.228326	3.925556	0.396858	-0.882328	-0.252984	-0.026062	-0.286338	0.957774	-0.917510	-0.373507	-0.136630
57	1182261													9.008473	-0.238909	3.929762	0.396854	-0.882393	-0.252762	-0.026118	-0.286120	0.957838	-0.917510	-0.373520	-0.136595
58	1182428													9.015699	-0.241065	3.920092	0.396892	-0.882357	-0.252830	-0.026201	-0.286233	0.957802	-0.917491	-0.373520	-0.136722
59	1182595													9.026576	-0.228938	3.923046	0.396932	-0.882353	-0.252782	-0.026269	-0.286216	0.957805	-0.917472	-0.373543	-0.136786
60	1182761													9.015189	-0.220305	3.946577	0.396910	-0.882369	-0.252761	-0.026294	-0.286200	0.957809	-0.917481	-0.373518	-0.136797
61	1182928													9.005931	-0.237145	3.946685	0.396834	-0.882396	-0.252787	-0.026329	-0.286229	0.957799	-0.917513	-0.373431	-0.136817
62	1183095													9.045478	-0.242414	3.865093	0.396684	-0.882466	-0.252776	-0.026406	-0.286225	0.957799	-0.917575	-0.373268	-0.136844
63	1183261													9.022532	-0.219025	3.924479	0.396801	-0.882435	-0.252700	-0.026486	-0.286194	0.957806	-0.917523	-0.373365	-0.136935
64	1183428													9.030893	-0.227386	3.901456	0.396719	-0.882517	-0.252541	-0.026459	-0.285996	0.957865	-0.917559	-0.373322	-0.136810
65	1183595													8.998016	-0.223978	3.892591	0.396738	-0.882503	-0.252563	-0.026448	-0.286019	0.957859	-0.917551	-0.373340	-0.136815
66	1183761													9.024126	-0.231660	3.897251	0.396751	-0.882481	-0.252617	-0.026514	-0.286107	0.957831	-0.917543	-0.373323	-0.136911
67	1183928													9.005766	-0.245067	3.945479	0.396703	-0.882527	-0.252534	-0.026589	-0.286040	0.957849	-0.917562	-0.373267	-0.136939
68	1184095													8.989430	-0.242721	3.938205	0.396657	-0.882566	-0.252469	-0.026621	-0.285975	0.957867	-0.917581	-0.373224	-0.136929
69	1184261													9.006784	-0.232246	3.937426	0.396613	-0.882635	-0.252295	-0.026673	-0.285800	0.957918	-0.917598	-0.373193	-0.136895
70	1184428													9.011606	-0.254630	3.912725	0.396556	-0.882690	-0.252194	-0.026690	-0.285687	0.957951	-0.917622	-0.373150	-0.136850
71	1184595													9.022885	-0.242649	3.922406	0.396511	-0.882682	-0.252295	-0.026638	-0.285768	0.957928	-0.917644	-0.373108	-0.136823
72	1184761													9.018293	-0.228205	3.887863	0.396460	-0.882677	-0.252389	-0.026625	-0.285858	0.957902	-0.917666	-0.373050	-0.136832
73	1184928													9.018330	-0.240042	3.878057	0.396444	-0.882699	-0.252337	-0.026599	-0.285788	0.957924	-0.917673	-0.373051	-0.136778
74	1185095													9.005490	-0.231102	3.913118	0.396450	-0.882733	-0.252210	-0.026585	-0.285645	0.957967	-0.917671	-0.373081	-0.136711
75	1185261													9.015512	-0.207331	3.918382	0.396453	-0.882785	-0.252024	-0.026576	-0.285440	0.958028	-0.917670	-0.373115	-0.136625
76	1185428													9.012947	-0.213067	3.928778	0.396458	-0.882751	-0.252134	-0.026571	-0.285559	0.957993	-0.917668	-0.373105	-0.136668
77	1185595													9.005688	-0.221818	3.930291	0.396405	-0.882777	-0.252126	-0.026578	-0.285543	0.957997	-0.917691	-0.373054	-0.136653
78	1185761													9.017632	-0.223309	3.930280	0.396332	-0.882792	-0.252190	-0.026547	-0.285589	0.957985	-0.917723	-0.372985	-0.136624
79	1185928													9.007593	-0.229034	3.908137	0.396223	-0.882853	-0.252146	-0.026544	-0.285522	0.958004	-0.917770	-0.372891	-0.136565
80	1186095													9.028503	-0.228831	3.923364	0.396133	-0.882901	-0.252118	-0.026533	-0.285473	0.958019	-0.917810	-0.372814	-0.136512
81	1186261													9.007421	-0.227349	3.915374	0.396025	-0.882946	-0.252133	-0.026527	-0.285470	0.958020	-0.917856	-0.372712	-0.136476
82	1186428													9.007579	-0.238006	3.907709	0.395887	-0.883023	-0.252078	-0.026566	-0.285403	0.958039	-0.917915	-0.372579	-0.136446
83	1186595													9.008572	-0.222753	3.931765	0.395757	-0.883081	-0.252079	-0.026599	-0.285397	0.958040	-0.917970	-0.372446	-0.136437
