// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1172428													0.000000	0.000000	0.000000	0.034269	-0.999329	0.012895	-0.032284	0.011789	0.999409	-0.998891	-0.034666	-0.031859
1	1172594													9.857244	-0.329916	0.354617	0.034800	-0.999319	0.012259	-0.032306	0.011136	0.999416	-0.998872	-0.035176	-0.031897
2	1172761													9.853703	-0.337905	0.350611	0.035302	-0.999304	0.012045	-0.032629	0.010893	0.999408	-0.998844	-0.035674	-0.032221
3	1172928													9.840954	-0.334318	0.365352	0.035689	-0.999295	0.011665	-0.033046	0.010486	0.999399	-0.998816	-0.036053	-0.032649
4	1173261													9.811418	-0.335119	0.364795	0.036046	-0.999279	0.011889	-0.033415	0.010685	0.999384	-0.998791	-0.036421	-0.033006
5	1173428													9.831666	-0.329261	0.371314	0.036312	-0.999273	0.011606	-0.033728	0.010382	0.999377	-0.998771	-0.036680	-0.033327
6	1173594													9.856872	-0.296303	0.411324	0.036504	-0.999267	0.011503	-0.033988	0.010262	0.999370	-0.998755	-0.036872	-0.033589
7	1173761													9.871921	-0.278286	0.394434	0.036784	-0.999255	0.011643	-0.034066	0.010390	0.999366	-0.998742	-0.037158	-0.033659
8	1173928													9.882147	-0.280754	0.386091	0.037000	-0.999251	0.011326	-0.034005	0.010068	0.999371	-0.998737	-0.037362	-0.033607
9	1174095													9.849165	-0.288875	0.406207	0.037164	-0.999244	0.011375	-0.033931	0.010115	0.999373	-0.998733	-0.037526	-0.033529
10	1174261													9.811849	-0.321925	0.362553	0.037280	-0.999239	0.011443	-0.033912	0.010180	0.999373	-0.998729	-0.037644	-0.033506
11	1174428													9.851819	-0.322506	0.357860	0.037268	-0.999239	0.011478	-0.034023	0.010211	0.999369	-0.998726	-0.037635	-0.033617
12	1174595													9.813512	-0.288968	0.357349	0.037186	-0.999243	0.011399	-0.034086	0.010131	0.999368	-0.998727	-0.037551	-0.033683
13	1174761													9.855102	-0.310712	0.361556	0.037017	-0.999250	0.011329	-0.034016	0.010070	0.999371	-0.998736	-0.037379	-0.033618
14	1174928													9.861902	-0.316587	0.336013	0.036908	-0.999256	0.011209	-0.033996	0.009955	0.999372	-0.998740	-0.037266	-0.033604
15	1175095													9.882266	-0.306016	0.333131	0.036846	-0.999258	0.011260	-0.034060	0.010006	0.999370	-0.998740	-0.037207	-0.033666
16	1175261													9.881912	-0.298595	0.330105	0.036833	-0.999259	0.011191	-0.034155	0.009933	0.999367	-0.998738	-0.037191	-0.033764
17	1175428													9.889715	-0.310014	0.338906	0.036863	-0.999256	0.011330	-0.034246	0.010068	0.999363	-0.998733	-0.037228	-0.033849
18	1175595													9.866810	-0.319191	0.346370	0.036958	-0.999252	0.011356	-0.034316	0.010088	0.999360	-0.998727	-0.037324	-0.033918
19	1175761													9.869211	-0.327799	0.367627	0.037101	-0.999247	0.011345	-0.034384	0.010070	0.999358	-0.998720	-0.037467	-0.033985
20	1175928													9.848502	-0.314866	0.355546	0.037292	-0.999240	0.011325	-0.034435	0.010041	0.999356	-0.998711	-0.037657	-0.034035
21	1176095													9.840277	-0.327874	0.368396	0.037435	-0.999236	0.011213	-0.034503	0.009922	0.999355	-0.998703	-0.037797	-0.034105
22	1176261													9.849047	-0.306324	0.371357	0.037559	-0.999233	0.011071	-0.034584	0.009772	0.999354	-0.998696	-0.037917	-0.034191
23	1176428													9.842219	-0.290942	0.388226	0.037648	-0.999230	0.011041	-0.034658	0.009736	0.999352	-0.998690	-0.038006	-0.034265
24	1176595													9.846784	-0.285903	0.386105	0.037683	-0.999228	0.011073	-0.034749	0.009763	0.999348	-0.998685	-0.038043	-0.034355
25	1176761													9.838109	-0.293718	0.383734	0.037726	-0.999226	0.011111	-0.034836	0.009798	0.999345	-0.998681	-0.038088	-0.034439
26	1176928													9.845975	-0.304051	0.371730	0.037761	-0.999224	0.011186	-0.034991	0.009865	0.999339	-0.998674	-0.038127	-0.034591
27	1177095													9.867761	-0.307944	0.372226	0.037826	-0.999221	0.011275	-0.035109	0.009948	0.999334	-0.998667	-0.038197	-0.034706
28	1177261													9.858216	-0.325571	0.377687	0.037924	-0.999216	0.011338	-0.035251	0.010002	0.999328	-0.998659	-0.038298	-0.034845
29	1177428													9.855136	-0.319038	0.374021	0.038084	-0.999210	0.011323	-0.035396	0.009975	0.999324	-0.998647	-0.038459	-0.034988
30	1177595													9.851798	-0.325393	0.400702	0.038285	-0.999204	0.011166	-0.035511	0.009806	0.999321	-0.998636	-0.038656	-0.035107
31	1177761													9.857078	-0.301306	0.398593	0.038482	-0.999198	0.011025	-0.035656	0.009653	0.999318	-0.998623	-0.038849	-0.035256
32	1177928													9.852504	-0.305508	0.399192	0.038673	-0.999192	0.010939	-0.035789	0.009555	0.999314	-0.998611	-0.039038	-0.035391
33	1178095													9.830263	-0.314136	0.417226	0.038820	-0.999188	0.010803	-0.035949	0.009408	0.999309	-0.998599	-0.039181	-0.035554
34	1178261													9.826364	-0.299005	0.394375	0.038965	-0.999183	0.010732	-0.036098	0.009326	0.999305	-0.998588	-0.039325	-0.035705
35	1178428													9.834778	-0.302447	0.403743	0.039073	-0.999181	0.010538	-0.036232	0.009123	0.999302	-0.998579	-0.039428	-0.035846
36	1178595													9.848245	-0.296017	0.420952	0.039148	-0.999178	0.010571	-0.036355	0.009148	0.999297	-0.998572	-0.039505	-0.035967
37	1178761													9.855330	-0.312600	0.402921	0.039199	-0.999175	0.010575	-0.036473	0.009146	0.999293	-0.998566	-0.039557	-0.036084
38	1178928													9.851190	-0.306502	0.414611	0.039259	-0.999174	0.010537	-0.036592	0.009101	0.999289	-0.998559	-0.039617	-0.036205
39	1179095													9.850038	-0.295641	0.397724	0.039320	-0.999171	0.010582	-0.036714	0.009138	0.999284	-0.998552	-0.039680	-0.036324
