// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3869301													-0.383501	-0.338938	-0.051999	0.175656	-0.947806	-0.266098	0.022129	-0.266430	0.963600	-0.984203	-0.175150	-0.025826
1	3869468													9.672098	0.201799	1.711245	0.174900	-0.947776	-0.266705	0.021707	-0.267102	0.963424	-0.984347	-0.174292	-0.026143
2	3869634													9.661252	0.207650	1.705217	0.174090	-0.948027	-0.266340	0.020913	-0.266850	0.963511	-0.984508	-0.173308	-0.026630
3	3869801													9.694010	0.187585	1.643325	0.173274	-0.948187	-0.266305	0.020170	-0.266922	0.963507	-0.984667	-0.172322	-0.027126
4	3870301													9.769051	0.228564	1.630565	0.168759	-0.948805	-0.267002	0.017676	-0.267931	0.963276	-0.985499	-0.167281	-0.028444
5	3870468													9.718231	0.178359	1.597487	0.167710	-0.948991	-0.267001	0.017357	-0.267953	0.963276	-0.985684	-0.166185	-0.028466
6	3870634													9.697966	0.148170	1.622048	0.166868	-0.948962	-0.267629	0.016930	-0.268637	0.963093	-0.985834	-0.165240	-0.028761
7	3870801													9.733807	0.201617	1.702985	0.166271	-0.948978	-0.267945	0.016393	-0.269029	0.962992	-0.985944	-0.164510	-0.029175
8	3870968													9.646710	0.163043	1.723221	0.165867	-0.948971	-0.268219	0.015921	-0.269374	0.962904	-0.986020	-0.163984	-0.029572
9	3871134													9.664624	0.160342	1.682262	0.165572	-0.948999	-0.268304	0.015515	-0.269518	0.962870	-0.986076	-0.163587	-0.029901
10	3871301													9.674555	0.129993	1.676018	0.165217	-0.949108	-0.268136	0.015111	-0.269404	0.962909	-0.986141	-0.163141	-0.030168
11	3871468													9.637181	0.098824	1.648299	0.164861	-0.949240	-0.267890	0.014640	-0.269221	0.962967	-0.986208	-0.162677	-0.030487
12	3871634													9.662903	0.116860	1.670008	0.164509	-0.949326	-0.267799	0.014171	-0.269195	0.962981	-0.986274	-0.162214	-0.030832
13	3871801													9.697750	0.112888	1.641761	0.164184	-0.949329	-0.267988	0.013783	-0.269440	0.962919	-0.986333	-0.161790	-0.031153
14	3871968													9.710332	0.136214	1.599620	0.163958	-0.949361	-0.268014	0.013416	-0.269519	0.962902	-0.986376	-0.161471	-0.031454
15	3872134													9.713586	0.148346	1.623176	0.163708	-0.949322	-0.268304	0.013123	-0.269854	0.962812	-0.986421	-0.161141	-0.031719
16	3872301													9.722380	0.137728	1.650946	0.163474	-0.949300	-0.268524	0.012868	-0.270111	0.962743	-0.986464	-0.160839	-0.031940
17	3872468													9.706562	0.118975	1.572471	0.163242	-0.949335	-0.268543	0.012565	-0.270172	0.962730	-0.986506	-0.160532	-0.032175
18	3872634													9.716387	0.142744	1.567480	0.162996	-0.949324	-0.268730	0.012299	-0.270397	0.962670	-0.986550	-0.160216	-0.032398
19	3872801													9.742465	0.163809	1.569195	0.162769	-0.949290	-0.268988	0.012178	-0.270670	0.962595	-0.986589	-0.159956	-0.032496
20	3872968													9.696917	0.135178	1.564301	0.162544	-0.949287	-0.269134	0.012065	-0.270829	0.962552	-0.986628	-0.159704	-0.032568
21	3873134													9.706821	0.134388	1.557024	0.162392	-0.949307	-0.269154	0.011978	-0.270858	0.962545	-0.986654	-0.159534	-0.032614
22	3873301													9.694550	0.131397	1.578324	0.162258	-0.949285	-0.269313	0.011940	-0.271022	0.962499	-0.986676	-0.159389	-0.032642
23	3873468													9.730628	0.133132	1.571396	0.162134	-0.949264	-0.269465	0.011930	-0.271172	0.962457	-0.986697	-0.159262	-0.032642
24	3873634													9.728321	0.134712	1.585547	0.162085	-0.949203	-0.269706	0.011970	-0.271409	0.962390	-0.986704	-0.159218	-0.032629
25	3873801													9.714753	0.162070	1.601207	0.162081	-0.949149	-0.269900	0.012036	-0.271595	0.962336	-0.986704	-0.159225	-0.032596
26	3873968													9.703798	0.173125	1.609626	0.162067	-0.949107	-0.270056	0.012146	-0.271735	0.962296	-0.986705	-0.159237	-0.032512
27	3874134													9.697770	0.175433	1.587381	0.162096	-0.949001	-0.270411	0.012278	-0.272074	0.962198	-0.986699	-0.159288	-0.032451
28	3874301													9.705175	0.176754	1.607148	0.162168	-0.948962	-0.270504	0.012454	-0.272142	0.962176	-0.986685	-0.159403	-0.032315
29	3874468													9.670485	0.151252	1.629537	0.162244	-0.948903	-0.270666	0.012636	-0.272279	0.962135	-0.986670	-0.159520	-0.032185
30	3874634													9.673018	0.159449	1.630253	0.162241	-0.948880	-0.270749	0.012830	-0.272333	0.962118	-0.986668	-0.159568	-0.032009
31	3874801													9.693517	0.179924	1.677757	0.162276	-0.948829	-0.270907	0.012952	-0.272474	0.962076	-0.986660	-0.159630	-0.031926
32	3874968													9.690566	0.155228	1.651373	0.162355	-0.948771	-0.271063	0.013058	-0.272617	0.962034	-0.986646	-0.159731	-0.031872
33	3875134													9.692680	0.161601	1.634495	0.162434	-0.948723	-0.271182	0.013141	-0.272728	0.962001	-0.986632	-0.159825	-0.031833
34	3875301													9.697226	0.167220	1.649468	0.162462	-0.948727	-0.271151	0.013202	-0.272688	0.962012	-0.986626	-0.159871	-0.031777
35	3875468													9.704629	0.154503	1.625304	0.162505	-0.948709	-0.271188	0.013219	-0.272723	0.962002	-0.986619	-0.159915	-0.031777
36	3875634													9.697741	0.166773	1.629517	0.162677	-0.948685	-0.271168	0.013239	-0.272706	0.962006	-0.986591	-0.160087	-0.031804
37	3875801													9.656818	0.159921	1.660530	0.162808	-0.948699	-0.271043	0.013285	-0.272576	0.962043	-0.986568	-0.160229	-0.031775
38	3875968													9.674570	0.171433	1.637724	0.162824	-0.948707	-0.271003	0.013322	-0.272530	0.962055	-0.986565	-0.160256	-0.031736
39	3876134													9.701175	0.176493	1.583709	0.162800	-0.948720	-0.270974	0.013357	-0.272494	0.962065	-0.986569	-0.160244	-0.031690
