// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3869301													-0.209860	0.327386	0.210226	-0.310498	-0.942331	0.124910	0.020594	0.124705	0.991980	-0.950351	0.310580	-0.019314
1	3869468													9.205774	0.128231	-3.032942	-0.311025	-0.942160	0.124894	0.018996	0.125223	0.991947	-0.950212	0.310892	-0.021050
2	3869634													9.195150	0.099684	-3.070451	-0.312204	-0.941983	0.123273	0.016469	0.124373	0.992099	-0.949872	0.311767	-0.023316
3	3869801													9.174457	0.144263	-3.060570	-0.314053	-0.941617	0.121361	0.013763	0.123299	0.992274	-0.949306	0.313297	-0.025763
4	3870301													9.226104	0.150512	-3.083551	-0.315843	-0.941237	0.119646	0.012054	0.122111	0.992443	-0.948735	0.314899	-0.027223
5	3870468													9.255679	0.107838	-3.083699	-0.317432	-0.940852	0.118467	0.010913	0.121295	0.992556	-0.948218	0.316362	-0.028236
6	3870634													9.320031	0.106477	-3.080168	-0.318690	-0.940598	0.117095	0.009798	0.120261	0.992694	-0.947808	0.317509	-0.029110
7	3870801													9.355642	0.105095	-3.107382	-0.319436	-0.940493	0.115908	0.008669	0.119411	0.992807	-0.947568	0.318143	-0.029991
8	3870968													9.333224	0.131451	-3.108796	-0.319841	-0.940466	0.115005	0.007625	0.118822	0.992886	-0.947441	0.318442	-0.030833
9	3871134													9.258885	0.090636	-3.092509	-0.320001	-0.940530	0.114032	0.006747	0.118096	0.992979	-0.947393	0.318524	-0.031445
10	3871301													9.261031	0.044525	-3.103984	-0.320015	-0.940636	0.113111	0.005893	0.117411	0.993066	-0.947394	0.318462	-0.032030
11	3871468													9.268237	0.017110	-3.105765	-0.319945	-0.940777	0.112135	0.005000	0.116678	0.993157	-0.947423	0.318316	-0.032627
12	3871634													9.253973	0.003336	-3.127717	-0.319785	-0.940926	0.111333	0.004181	0.116101	0.993229	-0.947481	0.318085	-0.033194
13	3871801													9.268906	0.005712	-3.101871	-0.319634	-0.941084	0.110432	0.003448	0.115390	0.993314	-0.947535	0.317878	-0.033638
14	3871968													9.270129	0.042298	-3.104674	-0.319456	-0.941249	0.109538	0.002845	0.114642	0.993403	-0.947597	0.317660	-0.033945
15	3872134													9.242644	0.053007	-3.101832	-0.319232	-0.941432	0.108612	0.002430	0.113796	0.993501	-0.947673	0.317422	-0.034040
16	3872301													9.248640	0.064969	-3.101181	-0.318938	-0.941604	0.107983	0.002108	0.113228	0.993567	-0.947773	0.317114	-0.034128
17	3872468													9.198138	0.080808	-3.110286	-0.318691	-0.941741	0.107517	0.001806	0.112828	0.993613	-0.947857	0.316850	-0.034257
18	3872634													9.174278	0.096419	-3.117450	-0.318562	-0.941825	0.107161	0.001576	0.112525	0.993648	-0.947901	0.316707	-0.034362
19	3872801													9.190134	0.076749	-3.106637	-0.318499	-0.941862	0.107020	0.001439	0.112419	0.993660	-0.947922	0.316634	-0.034450
20	3872968													9.207043	0.063163	-3.099499	-0.318524	-0.941848	0.107071	0.001367	0.112497	0.993651	-0.947914	0.316648	-0.034545
21	3873134													9.238595	0.032679	-3.115528	-0.318580	-0.941825	0.107109	0.001304	0.112561	0.993644	-0.947895	0.316694	-0.034632
22	3873301													9.232601	0.034525	-3.115020	-0.318631	-0.941797	0.107207	0.001322	0.112660	0.993633	-0.947878	0.316744	-0.034652
23	3873468													9.253372	0.025055	-3.072416	-0.318685	-0.941758	0.107382	0.001466	0.112799	0.993617	-0.947860	0.316808	-0.034566
24	3873634													9.239492	0.050843	-3.089084	-0.318687	-0.941738	0.107552	0.001677	0.112907	0.993604	-0.947858	0.316829	-0.034402
25	3873801													9.218274	0.048956	-3.082752	-0.318671	-0.941719	0.107769	0.001964	0.113040	0.993588	-0.947863	0.316840	-0.034173
26	3873968													9.209764	0.090423	-3.092414	-0.318676	-0.941695	0.107966	0.002279	0.113143	0.993576	-0.947861	0.316875	-0.033910
27	3874134													9.224388	0.102994	-3.062444	-0.318676	-0.941672	0.108169	0.002560	0.113264	0.993562	-0.947860	0.316901	-0.033684
28	3874301													9.244364	0.130680	-3.069493	-0.318642	-0.941629	0.108634	0.002830	0.113663	0.993515	-0.947871	0.316883	-0.033553
29	3874468													9.249749	0.134901	-3.063596	-0.318547	-0.941621	0.108985	0.003095	0.113941	0.993483	-0.947902	0.316808	-0.033381
30	3874634													9.266479	0.106051	-3.049253	-0.318397	-0.941621	0.109423	0.003334	0.114317	0.993439	-0.947952	0.316673	-0.033258
31	3874801													9.253736	0.082817	-3.053835	-0.318199	-0.941633	0.109894	0.003493	0.114754	0.993388	-0.948017	0.316479	-0.033226
32	3874968													9.257613	0.073840	-3.076753	-0.317953	-0.941683	0.110175	0.003630	0.114995	0.993359	-0.948100	0.316241	-0.033145
33	3875134													9.233828	0.067617	-3.076116	-0.317706	-0.941744	0.110372	0.003701	0.115171	0.993339	-0.948182	0.315998	-0.033105
34	3875301													9.203373	0.076749	-3.071583	-0.317496	-0.941805	0.110452	0.003754	0.115229	0.993332	-0.948252	0.315794	-0.033050
35	3875468													9.223174	0.062734	-3.044003	-0.317343	-0.941862	0.110409	0.003788	0.115167	0.993339	-0.948303	0.315647	-0.032979
36	3875634													9.248880	0.074739	-3.037118	-0.317194	-0.941929	0.110261	0.003712	0.115031	0.993355	-0.948353	0.315495	-0.032991
37	3875801													9.236950	0.121226	-3.029884	-0.317045	-0.942005	0.110038	0.003651	0.114811	0.993381	-0.948403	0.315348	-0.032961
38	3875968													9.204371	0.145773	-3.060433	-0.316970	-0.942041	0.109947	0.003564	0.114741	0.993389	-0.948429	0.315266	-0.033012
39	3876134													9.191986	0.124756	-3.062092	-0.317079	-0.942009	0.109908	0.003498	0.114726	0.993391	-0.948393	0.315368	-0.033082
40	3876301													9.179111	0.127881	-3.067973	-0.317340	-0.941914	0.109970	0.003472	0.114809	0.993381	-0.948306	0.315621	-0.033163
41	3876468													9.219926	0.119273	-3.063264	-0.317726	-0.941787	0.109945	0.003529	0.114777	0.993385	-0.948176	0.316012	-0.033144
42	3876634													9.241506	0.120391	-3.072781	-0.318108	-0.941645	0.110055	0.003618	0.114879	0.993373	-0.948048	0.316398	-0.033137
43	3876801													9.258289	0.146035	-3.076157	-0.318451	-0.941509	0.110225	0.003721	0.115037	0.993354	-0.947932	0.316745	-0.033130
44	3876968													9.248760	0.155274	-3.068284	-0.318720	-0.941409	0.110305	0.003792	0.115106	0.993346	-0.947841	0.317017	-0.033117
45	3877134													9.241979	0.157312	-3.085333	-0.318963	-0.941301	0.110521	0.003830	0.115330	0.993320	-0.947760	0.317255	-0.033181
46	3877301													9.230842	0.134838	-3.107776	-0.319127	-0.941230	0.110652	0.003811	0.115482	0.993302	-0.947704	0.317411	-0.033266
47	3877468													9.240827	0.092164	-3.112554	-0.319294	-0.941148	0.110867	0.003669	0.115763	0.993270	-0.947649	0.317552	-0.033509
48	3877634													9.242580	0.091142	-3.127414	-0.319414	-0.941100	0.110929	0.003475	0.115897	0.993255	-0.947609	0.317645	-0.033749
49	3877801													9.251055	0.140584	-3.092035	-0.319496	-0.941079	0.110875	0.003459	0.115849	0.993261	-0.947581	0.317727	-0.033758
50	3877968													9.252961	0.123637	-3.068010	-0.319514	-0.941070	0.110897	0.003652	0.115808	0.993265	-0.947574	0.317767	-0.033566
51	3878134													9.275595	0.125425	-3.066823	-0.319435	-0.941088	0.110972	0.003850	0.115818	0.993263	-0.947600	0.317710	-0.033373
52	3878301													9.307655	0.157561	-3.082301	-0.319235	-0.941153	0.110994	0.003887	0.115821	0.993262	-0.947668	0.317515	-0.033316
53	3878468													9.273921	0.195703	-3.050440	-0.318908	-0.941256	0.111058	0.003852	0.115888	0.993255	-0.947778	0.317185	-0.033331
54	3878634													9.212576	0.188024	-3.059690	-0.318545	-0.941366	0.111171	0.003749	0.116028	0.993239	-0.947900	0.316808	-0.033431
55	3878801													9.184179	0.099712	-3.055360	-0.318231	-0.941457	0.111298	0.003554	0.116216	0.993218	-0.948007	0.316468	-0.033637
56	3878968													9.183372	0.063048	-3.087509	-0.318056	-0.941528	0.111201	0.003169	0.116235	0.993217	-0.948067	0.316251	-0.033986
57	3879134													9.198759	0.058722	-3.044388	-0.317995	-0.941565	0.111059	0.002744	0.116225	0.993219	-0.948089	0.316143	-0.034375
58	3879301													9.205105	0.059764	-3.092742	-0.317994	-0.941615	0.110643	0.002321	0.115927	0.993255	-0.948090	0.316106	-0.034679
59	3879468													9.249579	0.083874	-3.086452	-0.318011	-0.941659	0.110215	0.001974	0.115592	0.993295	-0.948085	0.316097	-0.034901
60	3879634													9.286922	0.125906	-3.129101	-0.317948	-0.941720	0.109872	0.001677	0.115327	0.993326	-0.948107	0.316011	-0.035089
61	3879801													9.311461	0.136655	-3.179392	-0.317698	-0.941840	0.109571	0.001410	0.115088	0.993354	-0.948191	0.315741	-0.035235
62	3879968													9.271490	0.116766	-3.203954	-0.317241	-0.942025	0.109307	0.001003	0.114928	0.993373	-0.948345	0.315248	-0.035515
63	3880134													9.270004	0.153427	-3.216209	-0.316509	-0.942286	0.109174	0.000595	0.114894	0.993378	-0.948589	0.314478	-0.035804
64	3880301													9.280260	0.107699	-3.236546	-0.315522	-0.942614	0.109197	0.000226	0.115001	0.993365	-0.948918	0.313454	-0.036072
65	3880468													9.339148	0.060535	-3.211492	-0.314237	-0.943027	0.109339	-0.000106	0.115208	0.993341	-0.949345	0.312133	-0.036303
66	3880634													9.372025	0.029867	-3.183914	-0.312582	-0.943576	0.109349	-0.000443	0.115262	0.993335	-0.949891	0.310451	-0.036447
67	3880801													9.285834	0.026491	-3.127261	-0.310583	-0.944250	0.109229	-0.000720	0.115146	0.993348	-0.950546	0.308438	-0.036442
68	3880968													9.252392	0.030275	-3.097724	-0.308487	-0.944961	0.109013	-0.000882	0.114886	0.993378	-0.951228	0.306348	-0.036274
69	3881134													9.255398	0.049081	-3.055283	-0.306396	-0.945663	0.108824	-0.000906	0.114613	0.993410	-0.951904	0.304278	-0.035974
70	3881301													9.247134	0.084287	-3.011071	-0.304349	-0.946340	0.108681	-0.000857	0.114366	0.993438	-0.952560	0.302259	-0.035618
71	3881468													9.256522	0.120735	-2.967254	-0.302422	-0.946981	0.108479	-0.000812	0.114064	0.993473	-0.953174	0.300360	-0.035264
72	3881634													9.255052	0.129940	-2.931287	-0.300576	-0.947579	0.108387	-0.000781	0.113887	0.993493	-0.953758	0.298535	-0.034972
73	3881801													9.297531	0.132451	-2.890016	-0.298824	-0.948132	0.108397	-0.000752	0.113821	0.993501	-0.954308	0.296800	-0.034725
