// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1531619													0.041300	0.025292	-0.285353	0.499192	-0.825253	-0.264129	-0.059842	-0.336933	0.939625	-0.864422	-0.453248	-0.217579
1	1531785													8.487248	-0.609783	4.909825	0.499268	-0.824900	-0.265088	-0.060165	-0.338216	0.939143	-0.864356	-0.452936	-0.218490
2	1531952													8.491078	-0.612690	4.898921	0.499350	-0.825082	-0.264368	-0.060667	-0.337682	0.939303	-0.864274	-0.453002	-0.218677
3	1532119													8.515093	-0.611496	4.903116	0.499252	-0.825011	-0.264773	-0.061165	-0.338376	0.939021	-0.864295	-0.452613	-0.219397
4	1532285													8.494293	-0.601987	4.886858	0.499108	-0.825267	-0.264247	-0.061537	-0.337930	0.939157	-0.864352	-0.452480	-0.219448
5	1532452													8.466463	-0.617472	4.916563	0.498915	-0.825316	-0.264458	-0.061763	-0.338234	0.939033	-0.864447	-0.452164	-0.219724
6	1532619													8.452695	-0.612905	4.907676	0.498878	-0.825348	-0.264428	-0.061987	-0.338305	0.938993	-0.864453	-0.452052	-0.219934
7	1532785													8.465776	-0.643918	4.905494	0.498954	-0.825334	-0.264326	-0.062122	-0.338282	0.938992	-0.864399	-0.452093	-0.220058
8	1532952													8.479816	-0.618487	4.904704	0.498995	-0.825330	-0.264263	-0.062329	-0.338331	0.938961	-0.864361	-0.452065	-0.220267
9	1533119													8.479673	-0.613573	4.902175	0.499017	-0.825354	-0.264146	-0.062559	-0.338325	0.938948	-0.864331	-0.452026	-0.220463
10	1533285													8.447968	-0.591126	4.890842	0.499015	-0.825414	-0.263960	-0.062729	-0.338201	0.938981	-0.864320	-0.452008	-0.220545
11	1533452													8.519384	-0.584728	4.911424	0.499032	-0.825410	-0.263942	-0.062821	-0.338233	0.938963	-0.864304	-0.451991	-0.220642
