// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1531619													0.276635	-0.160999	-0.202309	-0.108123	-0.972869	0.204538	-0.036879	0.209528	0.977107	-0.993453	0.098105	-0.058533
1	1531785													9.777855	-0.380687	-1.042597	-0.108143	-0.972897	0.204392	-0.037106	0.209404	0.977125	-0.993443	0.098085	-0.058746
2	1531952													9.789105	-0.347815	-1.033070	-0.107600	-0.972881	0.204756	-0.037648	0.209791	0.977021	-0.993481	0.097419	-0.059201
3	1532119													9.770546	-0.368091	-1.033400	-0.106778	-0.972928	0.204962	-0.037698	0.209954	0.976984	-0.993568	0.096594	-0.059096
4	1532285													9.723557	-0.362797	-1.022921	-0.106070	-0.973018	0.204903	-0.037803	0.209863	0.977000	-0.993640	0.095884	-0.059043
5	1532452													9.725790	-0.360562	-1.013743	-0.105510	-0.973092	0.204838	-0.037911	0.209775	0.977015	-0.993695	0.095319	-0.059024
6	1532619													9.744841	-0.365025	-1.009771	-0.105003	-0.973142	0.204863	-0.037988	0.209777	0.977011	-0.993746	0.094807	-0.058995
7	1532785													9.728429	-0.370633	-0.995384	-0.104535	-0.973251	0.204585	-0.038084	0.209478	0.977071	-0.993792	0.094346	-0.058964
8	1532952													9.712017	-0.369622	-0.993721	-0.104164	-0.973286	0.204609	-0.038203	0.209492	0.977064	-0.993826	0.093958	-0.059004
9	1533119													9.776542	-0.384374	-0.975897	-0.103820	-0.973346	0.204496	-0.038317	0.209368	0.977086	-0.993858	0.093606	-0.059032
10	1533285													9.724301	-0.382300	-0.947988	-0.103419	-0.973400	0.204444	-0.038394	0.209300	0.977098	-0.993897	0.093201	-0.059018
11	1533452													9.722524	-0.379622	-0.968902	-0.103194	-0.973471	0.204220	-0.038485	0.209070	0.977143	-0.993916	0.092975	-0.059039
12	1533619													9.759605	-0.352568	-0.985467	-0.103039	-0.973491	0.204203	-0.038488	0.209044	0.977149	-0.993932	0.092825	-0.059008
13	1533785													9.758615	-0.353433	-0.991378	-0.102935	-0.973464	0.204381	-0.038425	0.209210	0.977115	-0.993946	0.092726	-0.058941
14	1533952													9.783182	-0.335010	-0.999184	-0.102909	-0.973428	0.204567	-0.038385	0.209392	0.977078	-0.993950	0.092698	-0.058914
15	1534119													9.773185	-0.335330	-1.010718	-0.102833	-0.973404	0.204720	-0.038414	0.209544	0.977044	-0.993957	0.092608	-0.058940
16	1534285													9.790525	-0.346552	-0.985429	-0.102670	-0.973381	0.204911	-0.038433	0.209728	0.977004	-0.993973	0.092433	-0.058942
17	1534452													9.752440	-0.348685	-0.978154	-0.102386	-0.973360	0.205153	-0.038430	0.209954	0.976956	-0.994002	0.092143	-0.058903
18	1534619													9.744716	-0.368880	-0.953261	-0.102078	-0.973328	0.205457	-0.038454	0.210243	0.976893	-0.994033	0.091819	-0.058890
19	1534785													9.744529	-0.378300	-0.968426	-0.101738	-0.973333	0.205604	-0.038479	0.210372	0.976864	-0.994067	0.091473	-0.058856
20	1534952													9.729813	-0.391756	-0.961551	-0.101438	-0.973358	0.205631	-0.038601	0.210393	0.976855	-0.994093	0.091153	-0.058915
21	1535119													9.730347	-0.387874	-0.946690	-0.101217	-0.973408	0.205504	-0.038768	0.210267	0.976875	-0.994109	0.090910	-0.059020
22	1535285													9.743654	-0.384823	-0.953988	-0.101078	-0.973440	0.205423	-0.039033	0.210202	0.976878	-0.994113	0.090722	-0.059243
23	1535452													9.763894	-0.363218	-0.968661	-0.100978	-0.973509	0.205141	-0.039343	0.209941	0.976922	-0.994110	0.090577	-0.059500
24	1535619													9.760715	-0.351156	-0.973236	-0.100941	-0.973554	0.204948	-0.039577	0.209766	0.976950	-0.994105	0.090503	-0.059705
25	1535785													9.746759	-0.359867	-0.961778	-0.100849	-0.973583	0.204857	-0.039702	0.209681	0.976964	-0.994109	0.090393	-0.059800
26	1535952													9.759633	-0.383833	-0.963849	-0.100873	-0.973631	0.204616	-0.039882	0.209457	0.977004	-0.994100	0.090393	-0.059959
27	1536119													9.727385	-0.383821	-1.015760	-0.100928	-0.973645	0.204520	-0.040047	0.209379	0.977014	-0.994087	0.090417	-0.060123
28	1536285													9.731668	-0.359594	-1.019107	-0.101117	-0.973642	0.204441	-0.040163	0.209322	0.977022	-0.994064	0.090583	-0.060270
29	1536452													9.746936	-0.357332	-1.015905	-0.101314	-0.973606	0.204517	-0.040204	0.209414	0.977000	-0.994042	0.090761	-0.060359
30	1536619													9.753433	-0.364324	-1.036608	-0.101510	-0.973565	0.204614	-0.040214	0.209524	0.976976	-0.994021	0.090944	-0.060419
31	1536785													9.745667	-0.376055	-1.036886	-0.101686	-0.973519	0.204746	-0.040236	0.209669	0.976944	-0.994002	0.091104	-0.060491
