// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	295048													0.000000	0.000000	0.000000	0.343415	-0.865782	-0.363988	-0.069828	-0.410022	0.909399	-0.936584	-0.286884	-0.201264
1	295215													9.174223	-0.647580	3.390806	0.342319	-0.866972	-0.362185	-0.069501	-0.407783	0.910430	-0.937010	-0.286485	-0.199847
2	295382													9.209453	-0.711469	3.361553	0.342601	-0.866281	-0.363569	-0.068839	-0.409097	0.909891	-0.936956	-0.286701	-0.199791
3	295548													9.196260	-0.707941	3.367423	0.342516	-0.866283	-0.363642	-0.069098	-0.409234	0.909809	-0.936968	-0.286497	-0.200028
4	295715													9.221901	-0.680606	3.353846	0.342521	-0.866600	-0.362882	-0.069498	-0.408558	0.910082	-0.936936	-0.286503	-0.200167
5	295882													9.193249	-0.683903	3.360401	0.342379	-0.866924	-0.362243	-0.069702	-0.407918	0.910354	-0.936973	-0.286437	-0.200089
6	296048													9.198609	-0.717058	3.370161	0.342275	-0.867042	-0.362057	-0.069828	-0.407738	0.910425	-0.937001	-0.286335	-0.200102
7	296215													9.211734	-0.709269	3.360780	0.342207	-0.867185	-0.361780	-0.070036	-0.407495	0.910518	-0.937011	-0.286248	-0.200182
8	296382													9.215467	-0.687880	3.359149	0.342166	-0.867089	-0.362048	-0.070209	-0.407821	0.910359	-0.937013	-0.286075	-0.200420
9	296548													9.208776	-0.673131	3.343425	0.342172	-0.867147	-0.361904	-0.070327	-0.407707	0.910401	-0.937002	-0.286062	-0.200489
10	296715													9.207386	-0.663419	3.358280	0.342158	-0.867076	-0.362087	-0.070418	-0.407924	0.910296	-0.937000	-0.285968	-0.200632
