// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	295048													0.000000	0.000000	0.000000	-0.212685	-0.965351	0.151202	0.036532	0.146778	0.988495	-0.976438	0.215762	0.004049
1	295215													9.546673	0.267637	-2.126745	-0.213652	-0.964960	0.152334	0.035268	0.148214	0.988326	-0.976273	0.216531	0.002366
2	295382													9.566993	0.267660	-2.125102	-0.214810	-0.964762	0.151956	0.033316	0.148259	0.988387	-0.976087	0.217378	0.000295
3	295548													9.562633	0.280046	-2.123246	-0.215633	-0.964681	0.151304	0.031531	0.147990	0.988486	-0.975965	0.217921	-0.001495
4	295715													9.553236	0.284945	-2.139391	-0.216107	-0.964682	0.150618	0.030352	0.147551	0.988589	-0.975898	0.218213	-0.002606
5	295882													9.556055	0.272475	-2.107695	-0.216442	-0.964763	0.149616	0.029592	0.146695	0.988739	-0.975847	0.218432	-0.003202
6	296048													9.544057	0.292140	-2.104198	-0.216463	-0.964812	0.149269	0.029030	0.146466	0.988790	-0.975859	0.218369	-0.003696
7	296215													9.537233	0.296453	-2.127407	-0.216380	-0.964886	0.148914	0.028682	0.146180	0.988842	-0.975888	0.218237	-0.003955
8	296382													9.545455	0.309989	-2.096677	-0.216273	-0.964967	0.148544	0.028482	0.145844	0.988897	-0.975917	0.218103	-0.004058
9	296548													9.530657	0.340727	-2.105664	-0.216073	-0.965081	0.148095	0.028388	0.145404	0.988965	-0.975964	0.217892	-0.004021
10	296715													9.524141	0.338699	-2.076382	-0.215884	-0.965124	0.148085	0.028421	0.145386	0.988967	-0.976005	0.217711	-0.003956
11	296882													9.556578	0.338324	-2.076772	-0.215642	-0.965146	0.148299	0.028490	0.145589	0.988935	-0.976057	0.217481	-0.003898
12	297048													9.550815	0.313985	-2.058619	-0.215395	-0.965177	0.148451	0.028532	0.145734	0.988912	-0.976110	0.217242	-0.003852
13	297215													9.524714	0.292063	-2.051374	-0.215158	-0.965236	0.148411	0.028509	0.145697	0.988918	-0.976163	0.217005	-0.003830
14	297382													9.542590	0.267927	-2.077036	-0.214937	-0.965278	0.148461	0.028420	0.145768	0.988911	-0.976214	0.216773	-0.003898
15	297548													9.552649	0.252903	-2.070894	-0.214739	-0.965336	0.148368	0.028274	0.145704	0.988924	-0.976262	0.216556	-0.003995
16	297715													9.551303	0.241434	-2.075524	-0.214537	-0.965417	0.148134	0.028091	0.145504	0.988959	-0.976312	0.216330	-0.004097
17	297882													9.573406	0.241269	-2.064456	-0.214312	-0.965488	0.147994	0.027912	0.145399	0.988979	-0.976366	0.216081	-0.004213
18	298048													9.532711	0.265501	-2.063267	-0.214063	-0.965588	0.147705	0.027711	0.145146	0.989022	-0.976427	0.215806	-0.004313
19	298215													9.540550	0.284765	-2.068587	-0.213827	-0.965705	0.147280	0.027583	0.144738	0.989086	-0.976482	0.215556	-0.004312
20	298382													9.542642	0.314204	-2.068564	-0.213550	-0.965822	0.146915	0.027501	0.144382	0.989140	-0.976545	0.215271	-0.004272
21	298548													9.538610	0.308276	-2.072387	-0.213302	-0.965903	0.146745	0.027434	0.144221	0.989165	-0.976601	0.215017	-0.004264
22	298715													9.528181	0.320238	-2.045111	-0.213113	-0.965948	0.146719	0.027375	0.144206	0.989169	-0.976644	0.214822	-0.004290
23	298882													9.526223	0.304049	-2.039540	-0.213008	-0.965943	0.146905	0.027325	0.144407	0.989141	-0.976668	0.214709	-0.004366
24	299048													9.540051	0.297518	-2.042296	-0.212952	-0.965924	0.147115	0.027279	0.144632	0.989109	-0.976682	0.214646	-0.004450
25	299215													9.547828	0.270796	-2.034133	-0.212921	-0.965898	0.147327	0.027226	0.144861	0.989077	-0.976690	0.214606	-0.004547
26	299382													9.547834	0.257140	-2.057457	-0.212875	-0.965894	0.147420	0.027177	0.144966	0.989063	-0.976701	0.214553	-0.004609
27	299548													9.551828	0.275747	-2.076135	-0.212844	-0.965881	0.147550	0.027174	0.145101	0.989044	-0.976708	0.214522	-0.004637
28	299715													9.541386	0.280925	-2.095414	-0.212860	-0.965893	0.147452	0.027163	0.145003	0.989058	-0.976705	0.214536	-0.004629
29	300048													9.531783	0.269703	-2.071901	-0.212894	-0.965892	0.147405	0.027132	0.144961	0.989065	-0.976699	0.214565	-0.004655
30	300215													9.540338	0.295148	-2.057042	-0.212922	-0.965905	0.147277	0.027131	0.144831	0.989084	-0.976692	0.214594	-0.004632
31	300382													9.558765	0.322956	-2.075366	-0.212923	-0.965921	0.147177	0.027083	0.144738	0.989099	-0.976694	0.214588	-0.004658
32	300548													9.546860	0.319942	-2.075427	-0.212907	-0.965919	0.147209	0.027038	0.144781	0.989094	-0.976698	0.214565	-0.004708
33	300715													9.531751	0.315443	-2.081868	-0.212929	-0.965902	0.147293	0.026930	0.144891	0.989081	-0.976697	0.214570	-0.004839
34	300882													9.554571	0.323057	-2.062345	-0.212967	-0.965881	0.147375	0.026833	0.144997	0.989068	-0.976691	0.214594	-0.004962
35	301048													9.550884	0.286125	-2.078181	-0.212958	-0.965868	0.147469	0.026732	0.145115	0.989054	-0.976696	0.214569	-0.005084
36	301215													9.536697	0.257991	-2.088011	-0.212935	-0.965875	0.147460	0.026592	0.145137	0.989054	-0.976704	0.214526	-0.005220
37	301382													9.539322	0.261467	-2.091180	-0.212962	-0.965881	0.147384	0.026448	0.145091	0.989065	-0.976703	0.214531	-0.005354
38	301548													9.549986	0.275186	-2.109358	-0.212996	-0.965882	0.147324	0.026344	0.145052	0.989073	-0.976698	0.214550	-0.005450
39	301715													9.561577	0.314177	-2.101351	-0.213029	-0.965882	0.147275	0.026409	0.144988	0.989081	-0.976689	0.214592	-0.005378
40	301882													9.582665	0.301049	-2.084782	-0.212972	-0.965902	0.147231	0.026616	0.144897	0.989089	-0.976696	0.214567	-0.005151
41	302048													9.588241	0.315268	-2.076818	-0.212815	-0.965926	0.147300	0.026782	0.144931	0.989079	-0.976725	0.214436	-0.004974
42	302215													9.533774	0.342111	-2.070660	-0.212656	-0.965952	0.147361	0.026882	0.144970	0.989071	-0.976757	0.214293	-0.004862
43	302382													9.527889	0.392188	-2.047693	-0.212524	-0.965950	0.147560	0.026905	0.145168	0.989041	-0.976785	0.214165	-0.004862
44	302548													9.532440	0.372447	-2.038900	-0.212384	-0.965931	0.147885	0.026881	0.145505	0.988992	-0.976817	0.214021	-0.004938
45	302715													9.541768	0.326742	-2.040062	-0.212241	-0.965902	0.148282	0.026812	0.145926	0.988932	-0.976850	0.213867	-0.005074
46	302882													9.529724	0.296825	-2.036912	-0.212125	-0.965876	0.148616	0.026686	0.146295	0.988881	-0.976878	0.213733	-0.005258
47	303048													9.536151	0.239054	-2.058754	-0.212016	-0.965878	0.148756	0.026554	0.146466	0.988859	-0.976905	0.213604	-0.005405
48	303215													9.550099	0.253186	-2.033570	-0.211991	-0.965862	0.148899	0.026365	0.146654	0.988836	-0.976916	0.213550	-0.005624
49	303382													9.538940	0.278860	-2.040144	-0.212016	-0.965881	0.148740	0.026202	0.146527	0.988860	-0.976915	0.213552	-0.005758
50	303548													9.547284	0.319485	-2.023987	-0.212050	-0.965894	0.148607	0.026090	0.146416	0.988879	-0.976910	0.213569	-0.005848
51	303715													9.561951	0.347099	-2.046634	-0.212131	-0.965893	0.148495	0.026044	0.146311	0.988896	-0.976894	0.213643	-0.005881
52	303882													9.534111	0.329444	-2.047976	-0.212285	-0.965851	0.148547	0.025959	0.146385	0.988887	-0.976863	0.213782	-0.006003
53	304048													9.544615	0.334802	-2.065772	-0.212529	-0.965761	0.148788	0.025776	0.146673	0.988849	-0.976815	0.213994	-0.006278
54	304215													9.525825	0.382560	-2.070700	-0.212815	-0.965660	0.149028	0.025619	0.146955	0.988811	-0.976757	0.214252	-0.006535
55	304382													9.518103	0.366115	-2.073106	-0.213134	-0.965516	0.149512	0.025573	0.147462	0.988737	-0.976688	0.214557	-0.006738
56	304548													9.526351	0.307581	-2.120774	-0.213480	-0.965338	0.150166	0.025530	0.148144	0.988636	-0.976614	0.214888	-0.006981
57	304715													9.539732	0.292185	-2.129116	-0.213792	-0.965198	0.150617	0.025449	0.148627	0.988566	-0.976548	0.215181	-0.007212
58	304882													9.543388	0.284848	-2.085756	-0.214067	-0.965071	0.151037	0.025317	0.149088	0.988500	-0.976491	0.215429	-0.007482
59	305048													9.555147	0.289062	-2.118063	-0.214276	-0.964962	0.151438	0.025192	0.149528	0.988436	-0.976448	0.215613	-0.007731
60	305215													9.576840	0.297737	-2.125905	-0.214358	-0.964901	0.151710	0.025041	0.149840	0.988393	-0.976434	0.215669	-0.007957
61	305382													9.552210	0.305826	-2.122861	-0.214341	-0.964838	0.152136	0.024943	0.150299	0.988326	-0.976440	0.215634	-0.008149
62	305548													9.529191	0.308487	-2.132503	-0.214305	-0.964799	0.152433	0.024856	0.150621	0.988279	-0.976450	0.215582	-0.008298
63	305715													9.535592	0.310744	-2.109773	-0.214238	-0.964771	0.152703	0.024804	0.150909	0.988236	-0.976466	0.215506	-0.008400
64	305882													9.547018	0.327116	-2.103822	-0.214150	-0.964747	0.152978	0.024746	0.151203	0.988193	-0.976487	0.215407	-0.008506
65	306048													9.540770	0.346681	-2.119944	-0.214047	-0.964711	0.153352	0.024713	0.151592	0.988134	-0.976511	0.215297	-0.008607
66	306215													9.531054	0.356365	-2.097599	-0.213916	-0.964684	0.153706	0.024685	0.151959	0.988078	-0.976540	0.215160	-0.008693
67	306382													9.542216	0.349048	-2.097417	-0.213806	-0.964643	0.154112	0.024617	0.152389	0.988014	-0.976566	0.215038	-0.008835
68	306548													9.546131	0.330575	-2.074309	-0.213718	-0.964590	0.154563	0.024515	0.152873	0.987942	-0.976588	0.214930	-0.009025
69	306715													9.547826	0.308996	-2.094674	-0.213619	-0.964550	0.154953	0.024350	0.153308	0.987878	-0.976614	0.214803	-0.009263
70	306882													9.545516	0.290604	-2.065212	-0.213541	-0.964521	0.155242	0.024155	0.153646	0.987831	-0.976635	0.214692	-0.009512
71	307048													9.539960	0.287868	-2.086115	-0.213457	-0.964506	0.155447	0.023937	0.153903	0.987796	-0.976659	0.214573	-0.009765
72	307215													9.551038	0.259164	-2.061245	-0.213384	-0.964504	0.155560	0.023724	0.154065	0.987776	-0.976680	0.214466	-0.009994
73	307382													9.555148	0.267733	-2.072145	-0.213320	-0.964524	0.155524	0.023530	0.154070	0.987780	-0.976699	0.214373	-0.010171
74	307548													9.548915	0.282044	-2.047201	-0.213251	-0.964552	0.155443	0.023369	0.154021	0.987791	-0.976718	0.214280	-0.010305
75	307715													9.534279	0.306228	-2.062658	-0.213232	-0.964577	0.155316	0.023222	0.153924	0.987810	-0.976726	0.214239	-0.010422
76	307882													9.532976	0.324279	-2.064760	-0.213262	-0.964592	0.155181	0.023093	0.153814	0.987830	-0.976722	0.214250	-0.010527
77	308048													9.538875	0.322799	-2.063683	-0.213317	-0.964581	0.155176	0.022944	0.153842	0.987829	-0.976714	0.214281	-0.010686
78	308215													9.545250	0.337422	-2.067953	-0.213363	-0.964555	0.155275	0.022809	0.153974	0.987812	-0.976707	0.214304	-0.010852
79	308382													9.537380	0.318965	-2.081757	-0.213367	-0.964518	0.155499	0.022710	0.154225	0.987775	-0.976708	0.214290	-0.011002
80	308548													9.539097	0.307936	-2.066983	-0.213355	-0.964472	0.155802	0.022654	0.154547	0.987726	-0.976712	0.214266	-0.011124
81	308715													9.552788	0.306915	-2.078856	-0.213290	-0.964433	0.156130	0.022615	0.154891	0.987673	-0.976727	0.214191	-0.011226
82	308882													9.564795	0.291282	-2.092103	-0.213214	-0.964398	0.156449	0.022645	0.155210	0.987622	-0.976743	0.214118	-0.011254
83	309048													9.554549	0.290531	-2.086070	-0.213089	-0.964381	0.156724	0.022685	0.155482	0.987578	-0.976769	0.213997	-0.011255
84	309215													9.534955	0.286626	-2.078338	-0.212954	-0.964376	0.156936	0.022725	0.155688	0.987545	-0.976798	0.213868	-0.011239
85	309382													9.540962	0.309842	-2.082057	-0.212845	-0.964370	0.157121	0.022755	0.155870	0.987515	-0.976821	0.213763	-0.011232
86	309548													9.535721	0.307425	-2.067105	-0.212755	-0.964368	0.157258	0.022700	0.156021	0.987493	-0.976842	0.213663	-0.011304
87	309715													9.542730	0.341589	-2.083735	-0.212667	-0.964373	0.157347	0.022613	0.156130	0.987478	-0.976863	0.213562	-0.011397
88	309882													9.540016	0.342862	-2.065152	-0.212607	-0.964370	0.157445	0.022503	0.156253	0.987461	-0.976879	0.213484	-0.011519
89	310049													9.571285	0.344621	-2.078628	-0.212536	-0.964362	0.157586	0.022375	0.156425	0.987436	-0.976897	0.213392	-0.011668
90	310215													9.533569	0.323704	-2.097578	-0.212452	-0.964354	0.157752	0.022207	0.156631	0.987408	-0.976919	0.213280	-0.011861
91	310382													9.540434	0.331296	-2.067575	-0.212394	-0.964335	0.157942	0.022018	0.156866	0.987374	-0.976936	0.213190	-0.012084
92	310549													9.550545	0.319311	-2.074989	-0.212242	-0.964330	0.158180	0.021870	0.157140	0.987334	-0.976972	0.213013	-0.012262
93	310715													9.533406	0.301024	-2.071802	-0.212091	-0.964332	0.158370	0.021676	0.157375	0.987301	-0.977010	0.212830	-0.012475
94	310882													9.529640	0.283165	-2.053939	-0.212007	-0.964325	0.158526	0.021447	0.157584	0.987273	-0.977033	0.212709	-0.012727
95	311049													9.537596	0.276048	-2.084707	-0.211993	-0.964316	0.158601	0.021162	0.157722	0.987257	-0.977042	0.212647	-0.013029
96	311215													9.533110	0.304975	-2.068364	-0.212063	-0.964290	0.158661	0.021061	0.157806	0.987246	-0.977029	0.212700	-0.013156
97	311382													9.570971	0.299722	-2.071522	-0.212075	-0.964279	0.158714	0.021146	0.157842	0.987238	-0.977025	0.212724	-0.013083
98	311549													9.592364	0.298510	-2.048398	-0.212010	-0.964282	0.158782	0.021254	0.157887	0.987228	-0.977036	0.212677	-0.012979
99	311715													9.546521	0.309524	-2.050368	-0.211872	-0.964305	0.158826	0.021312	0.157918	0.987222	-0.977065	0.212550	-0.012907
100	311882													9.535613	0.363983	-2.032212	-0.211763	-0.964316	0.158903	0.021287	0.158001	0.987210	-0.977089	0.212437	-0.012931
101	312049													9.523751	0.365392	-2.004972	-0.211660	-0.964301	0.159131	0.021227	0.158246	0.987172	-0.977113	0.212323	-0.013025
102	312215													9.499190	0.328051	-2.025272	-0.211595	-0.964336	0.159010	0.021135	0.158141	0.987190	-0.977129	0.212246	-0.013080
103	312382													9.524447	0.302228	-2.010437	-0.211602	-0.964285	0.159308	0.021002	0.158475	0.987140	-0.977130	0.212226	-0.013282
104	312549													9.541374	0.275703	-2.000232	-0.211617	-0.964311	0.159128	0.020849	0.158324	0.987167	-0.977130	0.212219	-0.013399
105	312715													9.548593	0.254909	-2.037702	-0.211686	-0.964352	0.158790	0.020647	0.158023	0.987219	-0.977120	0.212259	-0.013540
106	312882													9.544248	0.265513	-2.045437	-0.211828	-0.964318	0.158807	0.020465	0.158082	0.987214	-0.977093	0.212369	-0.013751
107	313049													9.531628	0.296008	-2.032229	-0.212030	-0.964358	0.158293	0.020380	0.157578	0.987296	-0.977051	0.212563	-0.013758
108	313215													9.561350	0.341056	-2.041605	-0.212255	-0.964384	0.157835	0.020393	0.157109	0.987371	-0.977001	0.212793	-0.013680
109	313382													9.523940	0.312258	-2.069387	-0.212484	-0.964392	0.157475	0.020431	0.156736	0.987429	-0.976951	0.213030	-0.013600
110	313549													9.597890	0.287442	-2.079357	-0.212705	-0.964403	0.157110	0.020324	0.156388	0.987487	-0.976905	0.213236	-0.013664
111	313715													9.541609	0.335390	-2.083918	-0.212952	-0.964416	0.156697	0.020136	0.156009	0.987550	-0.976855	0.213456	-0.013803
112	313882													9.522756	0.361079	-2.076536	-0.213247	-0.964391	0.156445	0.020047	0.155775	0.987589	-0.976793	0.213737	-0.013885
113	314049													9.529171	0.303102	-2.081772	-0.213577	-0.964347	0.156269	0.020030	0.155603	0.987617	-0.976721	0.214062	-0.013918
114	314215													9.536181	0.258432	-2.108551	-0.213895	-0.964313	0.156041	0.019966	0.155389	0.987652	-0.976653	0.214369	-0.013984
115	314382													9.526684	0.262544	-2.123113	-0.214263	-0.964285	0.155713	0.019868	0.155080	0.987702	-0.976574	0.214721	-0.014070
116	314549													9.540502	0.272734	-2.122453	-0.214578	-0.964281	0.155302	0.019758	0.154688	0.987766	-0.976507	0.215022	-0.014140
117	314715													9.518627	0.289533	-2.124631	-0.214853	-0.964282	0.154916	0.019698	0.154310	0.987826	-0.976448	0.215289	-0.014159
118	314882													9.518321	0.309358	-2.134608	-0.215086	-0.964290	0.154539	0.019734	0.153918	0.987886	-0.976396	0.215530	-0.014076
