// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	2875313													0.000000	0.000000	0.000000	-0.311433	-0.923089	0.225648	0.027410	0.228632	0.973127	-0.949873	0.309249	-0.045902
1	2875480													9.223393	0.349535	-3.040027	-0.311198	-0.923202	0.225506	0.027770	0.228354	0.973182	-0.949939	0.309115	-0.045426
2	2875647													9.198195	0.379793	-3.054531	-0.311358	-0.922843	0.226754	0.029504	0.229113	0.972953	-0.949834	0.309627	-0.044108
3	2875813													9.258217	0.339291	-3.067078	-0.311910	-0.922387	0.227847	0.031588	0.229611	0.972770	-0.949586	0.310614	-0.042481
4	2875980													9.324861	0.286831	-3.048320	-0.312366	-0.921999	0.228792	0.032719	0.230258	0.972579	-0.949398	0.311287	-0.041758
5	2876147													9.334567	0.265243	-3.017441	-0.312310	-0.921862	0.229420	0.032889	0.230862	0.972430	-0.949411	0.311245	-0.041781
6	2876313													9.297639	0.281369	-2.999312	-0.311882	-0.921951	0.229643	0.032578	0.231180	0.972365	-0.949562	0.310745	-0.042065
7	2876480													9.235179	0.270704	-3.009141	-0.311335	-0.922062	0.229938	0.032260	0.231569	0.972283	-0.949752	0.310124	-0.042349
8	2876647													9.231565	0.237651	-3.006541	-0.310873	-0.922173	0.230119	0.031948	0.231840	0.972229	-0.949914	0.309592	-0.042611
9	2876813													9.254207	0.264879	-2.999711	-0.310482	-0.922279	0.230224	0.031505	0.232076	0.972187	-0.950057	0.309100	-0.042999
10	2876980													9.264500	0.293007	-2.991459	-0.310134	-0.922420	0.230129	0.031035	0.232113	0.972194	-0.950186	0.308652	-0.043359
11	2877147													9.241091	0.319844	-2.988518	-0.309818	-0.922581	0.229905	0.030699	0.231970	0.972238	-0.950300	0.308275	-0.043546
12	2877313													9.211491	0.338023	-2.997033	-0.309611	-0.922665	0.229847	0.030442	0.231983	0.972243	-0.950376	0.308014	-0.043736
13	2877480													9.214721	0.365091	-2.996336	-0.309540	-0.922689	0.229846	0.030312	0.232020	0.972239	-0.950403	0.307914	-0.043851
14	2877647													9.245958	0.335505	-2.989652	-0.309594	-0.922673	0.229837	0.030264	0.232029	0.972238	-0.950387	0.307955	-0.043911
15	2877813													9.286256	0.344891	-3.011775	-0.309677	-0.922599	0.230024	0.030269	0.232228	0.972190	-0.950360	0.308027	-0.043990
16	2877980													9.320640	0.314781	-3.013506	-0.309739	-0.922520	0.230259	0.030256	0.232483	0.972130	-0.950340	0.308073	-0.044098
17	2878147													9.263374	0.342132	-2.994015	-0.309714	-0.922492	0.230403	0.030209	0.232649	0.972091	-0.950350	0.308031	-0.044187
18	2878313													9.233496	0.313626	-3.012833	-0.309718	-0.922450	0.230567	0.030227	0.232816	0.972051	-0.950348	0.308031	-0.044224
19	2878480													9.228648	0.281667	-3.027390	-0.309768	-0.922380	0.230777	0.030137	0.233069	0.971993	-0.950334	0.308048	-0.044399
20	2878647													9.242453	0.265629	-3.027778	-0.309918	-0.922348	0.230705	0.029926	0.233069	0.972000	-0.950292	0.308145	-0.044630
21	2878813													9.237392	0.296513	-3.037864	-0.310112	-0.922340	0.230475	0.029677	0.232917	0.972044	-0.950237	0.308282	-0.044858
22	2878980													9.262094	0.314810	-3.052622	-0.310318	-0.922314	0.230302	0.029455	0.232816	0.972075	-0.950176	0.308436	-0.045081
23	2879147													9.245519	0.283015	-3.045789	-0.310484	-0.922302	0.230129	0.029255	0.232708	0.972107	-0.950128	0.308556	-0.045271
24	2879313													9.264600	0.282587	-3.063562	-0.310668	-0.922300	0.229889	0.029029	0.232537	0.972154	-0.950075	0.308691	-0.045468
25	2879480													9.268933	0.292338	-3.056432	-0.310804	-0.922289	0.229748	0.028796	0.232471	0.972177	-0.950038	0.308772	-0.045695
26	2879647													9.241587	0.289712	-3.056397	-0.310939	-0.922295	0.229543	0.028557	0.232340	0.972215	-0.950001	0.308854	-0.045906
27	2879813													9.255138	0.311062	-3.062523	-0.311043	-0.922298	0.229386	0.028335	0.232252	0.972243	-0.949973	0.308909	-0.046107
28	2879980													9.241936	0.291511	-3.041947	-0.311128	-0.922288	0.229315	0.028167	0.232236	0.972252	-0.949951	0.308954	-0.046277
29	2880147													9.235358	0.263799	-3.019678	-0.311212	-0.922284	0.229215	0.028019	0.232183	0.972268	-0.949927	0.309004	-0.046416
30	2880313													9.261741	0.272103	-3.038353	-0.311250	-0.922295	0.229118	0.027973	0.232098	0.972290	-0.949916	0.309034	-0.046441
31	2880480													9.284810	0.278662	-3.029591	-0.311241	-0.922323	0.229018	0.027966	0.231994	0.972315	-0.949919	0.309029	-0.046413
32	2880647													9.267480	0.282574	-3.039795	-0.311186	-0.922379	0.228868	0.027992	0.231825	0.972355	-0.949937	0.308990	-0.046321
33	2880813													9.247441	0.305841	-3.038027	-0.311147	-0.922403	0.228822	0.028045	0.231757	0.972369	-0.949948	0.308967	-0.046242
34	2880980													9.261376	0.322248	-3.057907	-0.311144	-0.922417	0.228773	0.028047	0.231705	0.972382	-0.949949	0.308967	-0.046223
35	2881147													9.238780	0.323804	-3.046453	-0.311170	-0.922421	0.228720	0.027992	0.231668	0.972392	-0.949942	0.308982	-0.046268
36	2881314													9.253983	0.311105	-3.025357	-0.311203	-0.922406	0.228736	0.027842	0.231736	0.972380	-0.949936	0.308976	-0.046436
37	2881480													9.255425	0.302304	-3.029523	-0.311219	-0.922370	0.228859	0.027638	0.231932	0.972339	-0.949936	0.308936	-0.046689
38	2881647													9.247546	0.258443	-3.043414	-0.311223	-0.922369	0.228856	0.027305	0.232037	0.972324	-0.949945	0.308858	-0.047030
39	2881814													9.250381	0.236013	-3.053726	-0.311218	-0.922405	0.228719	0.026975	0.232000	0.972342	-0.949956	0.308780	-0.047321
40	2881980													9.261297	0.211620	-3.058638	-0.311204	-0.922444	0.228581	0.026682	0.231949	0.972362	-0.949968	0.308702	-0.047571
41	2882147													9.237929	0.231209	-3.054617	-0.311182	-0.922532	0.228256	0.026408	0.231694	0.972430	-0.949983	0.308631	-0.047737
42	2882314													9.220703	0.265277	-3.044017	-0.311159	-0.922609	0.227975	0.026174	0.231473	0.972489	-0.949997	0.308566	-0.047877
43	2882480													9.235721	0.281679	-3.045247	-0.311153	-0.922689	0.227659	0.025961	0.231209	0.972558	-0.950005	0.308524	-0.047988
44	2882647													9.283588	0.316655	-3.009676	-0.311113	-0.922745	0.227489	0.025826	0.231071	0.972594	-0.950022	0.308462	-0.048058
45	2882980													9.291787	0.319917	-3.012207	-0.310955	-0.922795	0.227500	0.025710	0.231112	0.972587	-0.950077	0.308280	-0.048141
46	2883147													9.290326	0.296238	-2.999336	-0.310755	-0.922845	0.227570	0.025512	0.231239	0.972562	-0.950148	0.308034	-0.048315
47	2883314													9.252194	0.285571	-2.981282	-0.310497	-0.922892	0.227734	0.025269	0.231477	0.972512	-0.950238	0.307717	-0.048552
48	2883480													9.230984	0.268227	-3.009037	-0.310261	-0.922945	0.227838	0.025025	0.231653	0.972477	-0.950322	0.307423	-0.048776
49	2883647													9.250789	0.246944	-2.975970	-0.310079	-0.922959	0.228029	0.024787	0.231922	0.972419	-0.950388	0.307179	-0.049037
50	2883814													9.253431	0.229586	-2.980818	-0.309944	-0.922986	0.228107	0.024545	0.232074	0.972388	-0.950438	0.306984	-0.049276
51	2883980													9.217553	0.223420	-2.999801	-0.309900	-0.923013	0.228054	0.024355	0.232077	0.972392	-0.950457	0.306899	-0.049441
52	2884147													9.206005	0.226546	-3.006328	-0.309989	-0.922994	0.228011	0.024306	0.232052	0.972400	-0.950429	0.306975	-0.049500
53	2884314													9.210299	0.276459	-3.013549	-0.310211	-0.922977	0.227777	0.024360	0.231801	0.972458	-0.950356	0.307216	-0.049423
54	2884480													9.292324	0.251675	-3.014088	-0.310552	-0.922909	0.227590	0.024367	0.231621	0.972501	-0.950244	0.307558	-0.049442
