// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3799358													0.010051	-0.424714	0.446429	0.353597	-0.864386	-0.357499	-0.023242	-0.390190	0.920441	-0.935109	-0.317156	-0.158060
1	3799525													9.195988	-0.237818	3.479196	0.353348	-0.864659	-0.357086	-0.023317	-0.389731	0.920633	-0.935201	-0.316978	-0.157872
2	3799691													9.168622	-0.220714	3.456625	0.353325	-0.864875	-0.356585	-0.023536	-0.389267	0.920824	-0.935205	-0.316957	-0.157894
3	3799858													9.163534	-0.226538	3.482042	0.353228	-0.865142	-0.356032	-0.023525	-0.388657	0.921082	-0.935241	-0.316976	-0.157638
4	3800025													9.172921	-0.210285	3.478044	0.353283	-0.864897	-0.356573	-0.023505	-0.389237	0.920838	-0.935221	-0.316935	-0.157840
5	3800191													9.178055	-0.206803	3.477521	0.353357	-0.864948	-0.356376	-0.023373	-0.388996	0.920943	-0.935197	-0.317092	-0.157671
6	3800358													9.177560	-0.194458	3.457488	0.353441	-0.864685	-0.356931	-0.023161	-0.389530	0.920723	-0.935170	-0.317154	-0.157703
7	3800525													9.169142	-0.205761	3.498131	0.353432	-0.864633	-0.357066	-0.022933	-0.389595	0.920701	-0.935179	-0.317216	-0.157524
8	3800691													9.186869	-0.195776	3.472268	0.353487	-0.864477	-0.357390	-0.022742	-0.389884	0.920583	-0.935163	-0.317286	-0.157479
9	3800858													9.184909	-0.203340	3.488705	0.353474	-0.864493	-0.357363	-0.022566	-0.389794	0.920626	-0.935172	-0.317353	-0.157290
10	3801025													9.185017	-0.197578	3.479460	0.353488	-0.864443	-0.357469	-0.022427	-0.389862	0.920600	-0.935170	-0.317404	-0.157199
11	3801191													9.187917	-0.206644	3.488998	0.353476	-0.864419	-0.357540	-0.022302	-0.389893	0.920590	-0.935178	-0.317433	-0.157096
12	3801358													9.166931	-0.214780	3.462448	0.353464	-0.864255	-0.357949	-0.022182	-0.390286	0.920426	-0.935185	-0.317397	-0.157123
13	3801525													9.174895	-0.195923	3.471421	0.353447	-0.864218	-0.358054	-0.022119	-0.390373	0.920391	-0.935193	-0.317390	-0.157091
14	3801691													9.192337	-0.206497	3.461422	0.353448	-0.864078	-0.358392	-0.022046	-0.390708	0.920251	-0.935194	-0.317360	-0.157144
15	3801858													9.165276	-0.217430	3.484009	0.353438	-0.864017	-0.358547	-0.021972	-0.390847	0.920193	-0.935200	-0.317354	-0.157125
16	3802025													9.185099	-0.191695	3.482818	0.353365	-0.863969	-0.358735	-0.021915	-0.391015	0.920123	-0.935229	-0.317278	-0.157105
17	3802191													9.177031	-0.200361	3.455925	0.353311	-0.863923	-0.358898	-0.021870	-0.391163	0.920061	-0.935250	-0.317219	-0.157096
18	3802358													9.172428	-0.208547	3.462201	0.353245	-0.863846	-0.359150	-0.021823	-0.391404	0.919960	-0.935276	-0.317134	-0.157113
19	3802525													9.206223	-0.181049	3.467387	0.353245	-0.863762	-0.359352	-0.021759	-0.391597	0.919880	-0.935278	-0.317124	-0.157124
20	3802691													9.176548	-0.186052	3.466690	0.353208	-0.863699	-0.359540	-0.021722	-0.391778	0.919803	-0.935293	-0.317072	-0.157141
21	3802858													9.170619	-0.198594	3.483898	0.353143	-0.863654	-0.359711	-0.021707	-0.391943	0.919733	-0.935318	-0.316989	-0.157159
22	3803025													9.182080	-0.201444	3.481030	0.353081	-0.863645	-0.359793	-0.021692	-0.392016	0.919703	-0.935341	-0.316925	-0.157148
23	3803191													9.170147	-0.186975	3.464100	0.352994	-0.863601	-0.359983	-0.021714	-0.392209	0.919620	-0.935374	-0.316804	-0.157200
24	3803358													9.210858	-0.177172	3.496250	0.352959	-0.863532	-0.360184	-0.021719	-0.392419	0.919530	-0.935387	-0.316733	-0.157263
25	3803525													9.154222	-0.183599	3.499119	0.352932	-0.863551	-0.360165	-0.021747	-0.392402	0.919537	-0.935396	-0.316701	-0.157271
26	3803691													9.176284	-0.151180	3.426021	0.352843	-0.863459	-0.360472	-0.021718	-0.392704	0.919408	-0.935430	-0.316578	-0.157315
27	3803858													9.186715	-0.170878	3.413554	0.352868	-0.863427	-0.360525	-0.021704	-0.392760	0.919385	-0.935421	-0.316597	-0.157332
28	3804025													9.248584	-0.179104	3.439067	0.352934	-0.863451	-0.360403	-0.021814	-0.392679	0.919417	-0.935394	-0.316632	-0.157425
29	3804191													9.207912	-0.230030	3.492764	0.353205	-0.863399	-0.360260	-0.021933	-0.392616	0.919441	-0.935289	-0.316850	-0.157611
30	3804358													9.129628	-0.192564	3.548102	0.353335	-0.863381	-0.360178	-0.021957	-0.392560	0.919464	-0.935239	-0.316970	-0.157662
31	3804525													9.178932	-0.187876	3.486552	0.353271	-0.863396	-0.360203	-0.022043	-0.392604	0.919443	-0.935261	-0.316873	-0.157727
32	3804691													9.166516	-0.228491	3.480068	0.353211	-0.863334	-0.360411	-0.022156	-0.392853	0.919334	-0.935281	-0.316734	-0.157889
33	3804858													9.164404	-0.210395	3.513784	0.353122	-0.863282	-0.360624	-0.022256	-0.393098	0.919227	-0.935313	-0.316573	-0.158025
34	3805025													9.160619	-0.198257	3.496805	0.353029	-0.863272	-0.360738	-0.022368	-0.393241	0.919163	-0.935345	-0.316422	-0.158135
35	3805191													9.149331	-0.212427	3.496055	0.352983	-0.863255	-0.360823	-0.022449	-0.393351	0.919114	-0.935361	-0.316331	-0.158225
36	3805358													9.158037	-0.188362	3.479485	0.352911	-0.863251	-0.360905	-0.022462	-0.393429	0.919081	-0.935387	-0.316247	-0.158236
37	3805525													9.173322	-0.176829	3.470024	0.352791	-0.863233	-0.361064	-0.022473	-0.393580	0.919015	-0.935432	-0.316107	-0.158251
38	3805691													9.170769	-0.188641	3.456998	0.352741	-0.863209	-0.361170	-0.022504	-0.393694	0.918966	-0.935450	-0.316029	-0.158298
39	3805858													9.192530	-0.190723	3.483973	0.352695	-0.863183	-0.361276	-0.022544	-0.393813	0.918914	-0.935467	-0.315952	-0.158356
40	3806025													9.199392	-0.196756	3.488679	0.352668	-0.863240	-0.361168	-0.022560	-0.393699	0.918963	-0.935477	-0.315941	-0.158320
41	3806191													9.168888	-0.217519	3.504744	0.352550	-0.863303	-0.361133	-0.022569	-0.393643	0.918986	-0.935521	-0.315838	-0.158263
42	3806358													9.174417	-0.207376	3.460263	0.352293	-0.863338	-0.361299	-0.022542	-0.393765	0.918935	-0.935618	-0.315590	-0.158182
43	3806525													9.228662	-0.181397	3.425333	0.352077	-0.863486	-0.361155	-0.022492	-0.393555	0.919026	-0.935701	-0.315445	-0.157983
44	3806691													9.205922	-0.201405	3.431894	0.351890	-0.863540	-0.361209	-0.022539	-0.393595	0.919007	-0.935770	-0.315249	-0.157966
45	3806858													9.194633	-0.205299	3.438052	0.351811	-0.863559	-0.361241	-0.022546	-0.393618	0.918998	-0.935800	-0.315169	-0.157949
46	3807025													9.201163	-0.200593	3.439396	0.351721	-0.863598	-0.361234	-0.022507	-0.393581	0.919015	-0.935834	-0.315106	-0.157867
47	3807191													9.205065	-0.171316	3.484107	0.351623	-0.863574	-0.361388	-0.022490	-0.393721	0.918955	-0.935871	-0.314998	-0.157864
48	3807358													9.163176	-0.208376	3.473571	0.351443	-0.863686	-0.361297	-0.022499	-0.393594	0.919009	-0.935939	-0.314850	-0.157758
49	3807525													9.193005	-0.195409	3.465745	0.351316	-0.863744	-0.361280	-0.022507	-0.393557	0.919025	-0.935987	-0.314736	-0.157703
50	3807691													9.170444	-0.201384	3.464222	0.351116	-0.863787	-0.361372	-0.022541	-0.393631	0.918992	-0.936060	-0.314527	-0.157681
51	3807858													9.201810	-0.204917	3.467523	0.350962	-0.863826	-0.361428	-0.022575	-0.393673	0.918973	-0.936118	-0.314365	-0.157665
52	3808025													9.208002	-0.202255	3.465279	0.350792	-0.863834	-0.361574	-0.022642	-0.393821	0.918908	-0.936180	-0.314158	-0.157708
53	3808191													9.204496	-0.207888	3.497016	0.350669	-0.863932	-0.361460	-0.022730	-0.393707	0.918955	-0.936224	-0.314033	-0.157698
54	3808358													9.181201	-0.185487	3.471242	0.350541	-0.863984	-0.361459	-0.022805	-0.393709	0.918952	-0.936270	-0.313887	-0.157714
55	3808525													9.178800	-0.208049	3.457522	0.350466	-0.863973	-0.361558	-0.022884	-0.393827	0.918900	-0.936296	-0.313769	-0.157794
56	3808691													9.162400	-0.210456	3.480741	0.350381	-0.863996	-0.361586	-0.022937	-0.393859	0.918885	-0.936327	-0.313666	-0.157818
57	3808858													9.174652	-0.199313	3.475069	0.350261	-0.864039	-0.361599	-0.022962	-0.393859	0.918884	-0.936371	-0.313547	-0.157793
58	3809025													9.205165	-0.183550	3.471196	0.350119	-0.864068	-0.361667	-0.023008	-0.393922	0.918856	-0.936423	-0.313387	-0.157800
59	3809191													9.177116	-0.193237	3.464438	0.350010	-0.864054	-0.361806	-0.023038	-0.394060	0.918796	-0.936463	-0.313252	-0.157831
60	3809358													9.171659	-0.191797	3.454907	0.349889	-0.864094	-0.361828	-0.023079	-0.394076	0.918788	-0.936507	-0.313124	-0.157825
61	3809525													9.191836	-0.193845	3.472494	0.349769	-0.864184	-0.361729	-0.023136	-0.393968	0.918833	-0.936550	-0.313011	-0.157792
62	3809691													9.206542	-0.199188	3.468896	0.349652	-0.864239	-0.361711	-0.023192	-0.393946	0.918841	-0.936593	-0.312886	-0.157787
63	3809858													9.190749	-0.186821	3.459233	0.349479	-0.864362	-0.361584	-0.023216	-0.393789	0.918908	-0.936656	-0.312744	-0.157688
64	3810025													9.175532	-0.193033	3.450750	0.349355	-0.864445	-0.361504	-0.023228	-0.393686	0.918952	-0.936702	-0.312644	-0.157616
65	3810191													9.182167	-0.212555	3.446126	0.349212	-0.864536	-0.361427	-0.023268	-0.393591	0.918991	-0.936755	-0.312513	-0.157562
66	3810358													9.200033	-0.224475	3.445927	0.349103	-0.864563	-0.361466	-0.023280	-0.393618	0.918979	-0.936795	-0.312403	-0.157540
67	3810525													9.182262	-0.197825	3.458257	0.348933	-0.864717	-0.361262	-0.023293	-0.393374	0.919083	-0.936858	-0.312283	-0.157403
