// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	7851446													-0.047422	-0.023525	0.050789	0.309678	0.312998	-0.897848	-0.138391	-0.919375	-0.368235	-0.940716	0.238288	-0.241395
1	7851613													9.232268	-1.343788	3.112496	0.309572	0.312044	-0.898217	-0.138533	-0.919741	-0.367267	-0.940730	0.238128	-0.241498
2	7851780													9.228348	-1.329202	3.141227	0.310523	0.311362	-0.898126	-0.138281	-0.919985	-0.366750	-0.940454	0.238078	-0.242621
3	7851946													9.242369	-1.332127	3.081114	0.311927	0.311033	-0.897753	-0.137836	-0.920087	-0.366662	-0.940055	0.238115	-0.244129
4	7852113													9.244493	-1.344720	3.066260	0.312387	0.310512	-0.897773	-0.137516	-0.920333	-0.366164	-0.939949	0.237843	-0.244799
5	7852280													9.227611	-1.344309	3.002692	0.312476	0.310280	-0.897822	-0.137423	-0.920442	-0.365926	-0.939933	0.237725	-0.244976
6	7852446													9.253980	-1.344109	2.957746	0.312165	0.310392	-0.897892	-0.137477	-0.920415	-0.365973	-0.940028	0.237683	-0.244649
7	7852613													9.237120	-1.362472	2.935331	0.311533	0.310715	-0.898000	-0.137558	-0.920328	-0.366162	-0.940226	0.237598	-0.243971
8	7853113													9.252915	-1.377943	3.001355	0.309219	0.311185	-0.898636	-0.138196	-0.920213	-0.366210	-0.940896	0.237427	-0.241543
9	7853280													9.249483	-1.376227	3.044316	0.308590	0.311200	-0.898847	-0.138418	-0.920216	-0.366119	-0.941070	0.237397	-0.240894
10	7853446													9.243163	-1.390394	3.031298	0.308005	0.311193	-0.899050	-0.138692	-0.920210	-0.366031	-0.941221	0.237431	-0.240270
11	7853613													9.277278	-1.377477	2.989787	0.307574	0.311198	-0.899196	-0.139003	-0.920173	-0.366004	-0.941316	0.237564	-0.239764
