// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	7851446													-0.027317	0.043023	-0.053858	-0.298584	0.051789	-0.952977	-0.092293	-0.995414	-0.025178	-0.949910	0.080435	0.301995
1	7851613													9.305054	-0.921022	-2.913550	-0.297991	0.052081	-0.953147	-0.092629	-0.995376	-0.025429	-0.950064	0.080711	0.301437
2	7851780													9.228485	-0.924593	-2.877272	-0.297331	0.051707	-0.953373	-0.093190	-0.995336	-0.024920	-0.950216	0.081436	0.300763
3	7851946													9.170025	-0.949063	-2.879489	-0.296777	0.053735	-0.953434	-0.093866	-0.995222	-0.026872	-0.950322	0.081520	0.300403
4	7852113													9.160870	-0.951717	-2.875992	-0.296734	0.054376	-0.953411	-0.094726	-0.995130	-0.027274	-0.950250	0.082220	0.300440
5	7852280													9.195477	-0.943373	-2.859115	-0.296985	0.055660	-0.953259	-0.095538	-0.995022	-0.028334	-0.950091	0.082657	0.300824
6	7852446													9.213828	-0.955029	-2.892307	-0.297319	0.055950	-0.953138	-0.096177	-0.994959	-0.028404	-0.949922	0.083225	0.301201
7	7852613													9.244309	-0.957462	-2.906666	-0.297788	0.055663	-0.953008	-0.096744	-0.994919	-0.027881	-0.949717	0.083895	0.301660
8	7853113													9.302293	-0.976150	-2.934281	-0.298294	0.056059	-0.952826	-0.097281	-0.994861	-0.028077	-0.949504	0.084317	0.302214
9	7853280													9.316591	-0.984395	-2.944090	-0.298741	0.055987	-0.952691	-0.097842	-0.994814	-0.027782	-0.949306	0.084913	0.302669
10	7853446													9.287607	-0.985152	-2.952030	-0.299165	0.056532	-0.952525	-0.098402	-0.994749	-0.028133	-0.949114	0.085314	0.303157
11	7853613													9.259371	-0.965196	-2.984671	-0.299555	0.056989	-0.952376	-0.099001	-0.994682	-0.028382	-0.948929	0.085785	0.303604
12	7853780													9.252059	-0.932953	-2.992624	-0.300006	0.057418	-0.952208	-0.099461	-0.994629	-0.028639	-0.948738	0.086115	0.304106
13	7853946													9.238086	-0.957809	-2.994548	-0.300461	0.057495	-0.952060	-0.099695	-0.994607	-0.028602	-0.948569	0.086322	0.304573
14	7854113													9.288410	-0.951557	-3.009620	-0.300834	0.057641	-0.951933	-0.099850	-0.994589	-0.028669	-0.948435	0.086426	0.304962
15	7854280													9.307298	-0.954003	-2.985049	-0.301080	0.057957	-0.951836	-0.100034	-0.994564	-0.028916	-0.948337	0.086510	0.305241
16	7854446													9.287432	-0.972628	-2.991637	-0.301224	0.057849	-0.951797	-0.100237	-0.994549	-0.028725	-0.948270	0.086752	0.305380
17	7854613													9.237075	-0.955781	-2.979213	-0.301312	0.057587	-0.951785	-0.100432	-0.994539	-0.028379	-0.948222	0.087039	0.305450
18	7854780													9.213765	-0.951403	-2.964705	-0.301382	0.057460	-0.951771	-0.100560	-0.994531	-0.028199	-0.948186	0.087212	0.305512
19	7854946													9.209717	-0.945006	-2.969178	-0.301490	0.057205	-0.951752	-0.100600	-0.994535	-0.027909	-0.948147	0.087332	0.305598
20	7855113													9.230441	-0.957869	-2.955549	-0.301666	0.056955	-0.951711	-0.100587	-0.994544	-0.027635	-0.948093	0.087393	0.305749
21	7855280													9.265900	-0.955044	-2.991365	-0.301860	0.056981	-0.951648	-0.100570	-0.994546	-0.027649	-0.948033	0.087361	0.305944
22	7855446													9.290990	-0.940693	-2.984538	-0.301994	0.056946	-0.951608	-0.100625	-0.994542	-0.027581	-0.947984	0.087426	0.306076
23	7855613													9.299645	-0.949376	-2.982224	-0.302072	0.056955	-0.951582	-0.100729	-0.994532	-0.027550	-0.947948	0.087530	0.306157
24	7855780													9.293103	-0.935858	-2.976463	-0.302049	0.056977	-0.951588	-0.100842	-0.994521	-0.027539	-0.947944	0.087642	0.306140
25	7855946													9.267658	-0.954364	-2.973501	-0.302030	0.056992	-0.951593	-0.101061	-0.994500	-0.027486	-0.947926	0.087868	0.306129
26	7856113													9.258310	-0.965446	-2.976931	-0.302026	0.057020	-0.951593	-0.101365	-0.994471	-0.027417	-0.947895	0.088177	0.306136
27	7856280													9.250955	-0.957549	-2.952698	-0.302063	0.057027	-0.951581	-0.101698	-0.994440	-0.027313	-0.947848	0.088524	0.306183
28	7856446													9.240634	-0.964932	-2.956411	-0.302138	0.057162	-0.951549	-0.102046	-0.994404	-0.027334	-0.947787	0.088843	0.306280
29	7856613													9.256101	-0.979422	-2.956032	-0.302208	0.057468	-0.951508	-0.102403	-0.994362	-0.027532	-0.947726	0.089117	0.306389
30	7856780													9.270056	-1.001163	-2.967198	-0.302220	0.057724	-0.951489	-0.102773	-0.994320	-0.027679	-0.947682	0.089423	0.306435
31	7856947													9.258322	-0.983314	-2.950293	-0.302168	0.058103	-0.951482	-0.103128	-0.994275	-0.027966	-0.947660	0.089674	0.306430
32	7857113													9.261769	-0.988808	-2.970341	-0.302049	0.058205	-0.951514	-0.103483	-0.994238	-0.027969	-0.947659	0.090018	0.306331
33	7857280													9.251892	-1.003111	-2.986131	-0.301919	0.058442	-0.951541	-0.103822	-0.994198	-0.028119	-0.947663	0.090301	0.306235
34	7857447													9.249072	-0.988732	-2.956067	-0.301704	0.058488	-0.951606	-0.104118	-0.994168	-0.028094	-0.947700	0.090603	0.306034
35	7857613													9.233063	-0.996165	-2.959496	-0.301496	0.058659	-0.951661	-0.104406	-0.994135	-0.028200	-0.947734	0.090857	0.305852
36	7857780													9.238916	-1.021408	-2.942408	-0.301311	0.059181	-0.951688	-0.104680	-0.994092	-0.028676	-0.947763	0.090982	0.305726
37	7857947													9.255476	-1.014440	-2.930912	-0.301133	0.059431	-0.951728	-0.104966	-0.994057	-0.028862	-0.947788	0.091208	0.305581
38	7858113													9.320580	-0.996464	-2.925733	-0.300910	0.059825	-0.951774	-0.105274	-0.994015	-0.029197	-0.947824	0.091412	0.305407
39	7858280													9.327359	-1.000338	-2.911275	-0.300619	0.060186	-0.951843	-0.105534	-0.993977	-0.029519	-0.947887	0.091578	0.305160
40	7858447													9.262246	-0.983549	-2.914311	-0.300255	0.060627	-0.951930	-0.105802	-0.993937	-0.029931	-0.947973	0.091729	0.304849
41	7858613													9.253030	-1.013883	-2.917510	-0.300016	0.060937	-0.951986	-0.106088	-0.993898	-0.030187	-0.948017	0.091937	0.304650
42	7858780													9.171769	-0.997492	-2.889154	-0.299844	0.061192	-0.952024	-0.106350	-0.993864	-0.030386	-0.948042	0.092137	0.304512
43	7858947													9.159694	-1.008183	-2.921743	-0.299840	0.061440	-0.952009	-0.106527	-0.993839	-0.030589	-0.948023	0.092243	0.304538
44	7859113													9.205259	-1.021240	-2.931740	-0.300062	0.061773	-0.951917	-0.106734	-0.993809	-0.030847	-0.947930	0.092346	0.304798
45	7859280													9.232801	-1.014729	-2.954461	-0.300394	0.061922	-0.951803	-0.106875	-0.993791	-0.030923	-0.947809	0.092435	0.305147
46	7859447													9.319219	-1.001396	-2.973814	-0.300719	0.062051	-0.951692	-0.106836	-0.993792	-0.031037	-0.947710	0.092341	0.305481
