Sensor1_q0,Sensor1_q1,Sensor1_q2,Sensor1_q3,Sensor2_q0,Sensor2_q1,Sensor2_q2,Sensor2_q3
0.635629416,-0.3784886,-0.5382213,-0.403781474,0.426029831,-0.581446648,-0.51271522,-0.466413468
0.635715723,-0.378487378,-0.538344979,-0.403481871,0.425851852,-0.581542253,-0.512758851,-0.466408938
0.635638177,-0.378280431,-0.538749754,-0.403257638,0.425835878,-0.581609726,-0.512635052,-0.466475487
0.635383427,-0.378251106,-0.539056957,-0.403276265,0.425676227,-0.581769705,-0.512377024,-0.466704994
0.635279596,-0.378130436,-0.539353967,-0.403155744,0.42565462,-0.581657648,-0.512335896,-0.466909558
0.635176718,-0.378077447,-0.539576709,-0.403069526,0.425416559,-0.581784785,-0.512095153,-0.467232078
0.63509798,-0.378065944,-0.539743185,-0.402981579,0.425398648,-0.581695318,-0.512092412,-0.467362821
0.635041416,-0.378071606,-0.539862335,-0.402905792,0.42542097,-0.581685305,-0.511970818,-0.46748817
0.635073304,-0.378008157,-0.539976299,-0.402762264,0.425572813,-0.581601977,-0.511911988,-0.467518091
0.635083735,-0.378025413,-0.5400334,-0.402653009,0.425679177,-0.581591964,-0.511780918,-0.467577219
0.635073602,-0.378079474,-0.54007113,-0.402567685,0.425771624,-0.581591964,-0.511668622,-0.467616051
0.635083616,-0.378115386,-0.540116847,-0.402456641,0.425841272,-0.581576526,-0.511618733,-0.467626125
0.635093808,-0.378148854,-0.54016149,-0.402349204,0.425913423,-0.581543386,-0.511599243,-0.467623055
0.635062039,-0.378235012,-0.540168166,-0.402309597,0.425946683,-0.581545293,-0.51155144,-0.467642665
0.635068476,-0.378269553,-0.540203929,-0.40221861,0.425990105,-0.581525683,-0.511507332,-0.467675924
0.635107398,-0.378260255,-0.54025811,-0.402093142,0.425991774,-0.581557393,-0.511441052,-0.467707425
0.635146439,-0.37825489,-0.540327311,-0.401943654,0.42596966,-0.581599832,-0.511390865,-0.467729717
0.635155559,-0.378290951,-0.540362597,-0.40184781,0.425913632,-0.581674755,-0.511320829,-0.46776399
0.635173678,-0.378311276,-0.540415168,-0.401729405,0.425950527,-0.581682444,-0.511303723,-0.467739403
0.635142267,-0.37838167,-0.540466368,-0.401643962,0.425951809,-0.581718981,-0.511278212,-0.467720658
0.635158658,-0.37841326,-0.540494621,-0.401550263,0.425946742,-0.58174479,-0.511279762,-0.4676916
0.635172248,-0.378419846,-0.540575206,-0.401413918,0.425882429,-0.581738949,-0.511291087,-0.467745095
0.635174155,-0.378448933,-0.540591002,-0.401362181,0.425810099,-0.581723928,-0.511250675,-0.467873812
0.635154545,-0.378451467,-0.540615082,-0.401358306,0.42579633,-0.581714869,-0.511188388,-0.467965662
0.635187805,-0.378372908,-0.540626943,-0.40136379,0.425850809,-0.581693351,-0.511138439,-0.467997372
0.635232747,-0.378348976,-0.540599763,-0.40135181,0.4259637,-0.581635416,-0.51111114,-0.467996418
0.635291696,-0.378316343,-0.540620685,-0.401261002,0.426036328,-0.581568658,-0.511093676,-0.46803239
0.635338187,-0.37825796,-0.540668666,-0.401178092,0.42609331,-0.581511378,-0.511099994,-0.468044847
0.63532877,-0.378249258,-0.540703833,-0.401153535,0.426118344,-0.581487119,-0.511092842,-0.468059957
0.635347068,-0.378215611,-0.540770948,-0.401066035,0.426159352,-0.581480384,-0.51110816,-0.4680143
0.63535434,-0.378215194,-0.540816307,-0.400993705,0.426164448,-0.581542373,-0.511064887,-0.467979819
0.635360301,-0.378248572,-0.540822685,-0.400944114,0.426164955,-0.581632912,-0.51100111,-0.467936456
0.635398567,-0.378253043,-0.540839434,-0.400856644,0.426187813,-0.581714332,-0.510940015,-0.467881113
0.63542062,-0.378274471,-0.540850282,-0.400786996,0.426258177,-0.581755161,-0.510895431,-0.467814833
0.635452032,-0.378281176,-0.540847957,-0.400734007,0.426316231,-0.581797779,-0.510832667,-0.467777759
0.635494113,-0.378308237,-0.54082036,-0.400678754,0.426429063,-0.581805646,-0.510797322,-0.4677037
0.635533214,-0.378330827,-0.540804923,-0.400616437,0.426523089,-0.581802785,-0.510762095,-0.46766001
0.635602713,-0.378315002,-0.540819287,-0.400501758,0.426603109,-0.581752002,-0.510765314,-0.467646569
0.635641515,-0.378332138,-0.540807486,-0.400439888,0.426685452,-0.581703782,-0.510777116,-0.467618465
0.635680318,-0.378306329,-0.540820658,-0.400384963,0.426776707,-0.581684291,-0.510764599,-0.467573106
0.635700464,-0.378335178,-0.540771067,-0.400392324,0.426878542,-0.58169657,-0.51070863,-0.467526078
0.635753274,-0.378354043,-0.540750444,-0.400318772,0.426941991,-0.581762195,-0.510601342,-0.467503756
0.63580066,-0.378352761,-0.54073596,-0.400264084,0.426986009,-0.581817746,-0.51050967,-0.467494458
0.635793626,-0.378398627,-0.54067564,-0.400313377,0.427039772,-0.581823707,-0.510470152,-0.467481017
0.635779262,-0.378459692,-0.540600479,-0.400379986,0.427087784,-0.581814408,-0.51043123,-0.467491239
0.63580972,-0.378444254,-0.540579319,-0.400374949,0.427129835,-0.581804872,-0.510381341,-0.467519194
0.635853648,-0.37841776,-0.540553451,-0.400365114,0.427199692,-0.581757843,-0.510359287,-0.467538029
0.635883451,-0.378408492,-0.540521622,-0.400369376,0.427237362,-0.581761777,-0.510304093,-0.46755904
0.635936797,-0.378380984,-0.540477991,-0.400369585,0.427267998,-0.581779718,-0.510255039,-0.46756199
0.635945976,-0.378410429,-0.540408075,-0.400421619,0.427301854,-0.58180207,-0.510233939,-0.467526376
0.636002541,-0.378382146,-0.540361941,-0.400420874,0.427337438,-0.581853926,-0.510180414,-0.467487663
0.636036098,-0.378397614,-0.540292263,-0.400446951,0.427436024,-0.581853449,-0.510158002,-0.467422694
0.636101067,-0.378371119,-0.540246606,-0.400430262,0.427544743,-0.581871927,-0.510067105,-0.467399567
0.636156559,-0.378365815,-0.54019326,-0.400419086,0.427716672,-0.581837535,-0.51001966,-0.467336804
0.63621062,-0.378371149,-0.540121555,-0.400425076,0.427861005,-0.581828952,-0.509975433,-0.46726349
0.63623476,-0.378431201,-0.540037096,-0.400443792,0.42798388,-0.58182323,-0.509960949,-0.467174083
0.63626641,-0.378481388,-0.539963424,-0.400445431,0.428103328,-0.581819534,-0.509950161,-0.467080861
0.636321962,-0.378510118,-0.539906442,-0.400406986,0.428217351,-0.5818488,-0.509913266,-0.466980249
0.636348546,-0.378544211,-0.539880037,-0.400367826,0.428301454,-0.58186692,-0.509895563,-0.466899633
0.636429191,-0.378541797,-0.539844096,-0.400290459,0.428342313,-0.581898689,-0.509852171,-0.46686992
0.636468887,-0.378576487,-0.539798021,-0.400256753,0.428356171,-0.581906915,-0.509831905,-0.466868997
0.636451602,-0.378655285,-0.53972137,-0.400313169,0.428345442,-0.581878364,-0.509822488,-0.466924638
0.636449933,-0.378720582,-0.539633334,-0.400372386,0.428335786,-0.581893682,-0.509758174,-0.466984868
0.63646853,-0.378701955,-0.539576352,-0.400437087,0.42842263,-0.581855476,-0.509755433,-0.466955841
0.636505246,-0.378696948,-0.539490342,-0.400499523,0.428538084,-0.581787884,-0.509775817,-0.466911852
0.636547685,-0.378718674,-0.53940922,-0.40052101,0.428581029,-0.581753433,-0.509792268,-0.466897398
0.636569738,-0.378707588,-0.53938359,-0.400531054,0.428608924,-0.581712306,-0.509846687,-0.466863543
0.636554658,-0.378710121,-0.53937161,-0.400568575,0.428627759,-0.58167851,-0.509929061,-0.466798455
0.636558414,-0.378706694,-0.539366424,-0.400572866,0.428608954,-0.581704378,-0.509955049,-0.466755033
0.636557937,-0.378709823,-0.539376318,-0.40055725,0.428592145,-0.581748843,-0.509979188,-0.466688603
0.636595905,-0.37868464,-0.539395094,-0.400495589,0.428580433,-0.581821144,-0.509976923,-0.466611773
0.636596084,-0.378706187,-0.539399683,-0.400468767,0.4285703,-0.581895769,-0.509984732,-0.466519386
0.636628807,-0.378691524,-0.539428055,-0.400392175,0.428553849,-0.581964314,-0.51000154,-0.466430694
0.6366207,-0.378735423,-0.539418221,-0.400376856,0.428547531,-0.582026124,-0.510027349,-0.466331095
0.63663286,-0.378753066,-0.539434373,-0.400319159,0.428577125,-0.582073092,-0.510079086,-0.466188699
0.636627913,-0.378794849,-0.539462626,-0.400249243,0.428592294,-0.582104027,-0.510125279,-0.466085643
0.636620402,-0.378861994,-0.539465725,-0.400193572,0.428599685,-0.582076609,-0.510210395,-0.466019928
0.636602581,-0.37893495,-0.539479077,-0.400134802,0.428572595,-0.582089603,-0.510267735,-0.465965897
0.63657254,-0.378947973,-0.539501429,-0.400140077,0.428619146,-0.58208245,-0.510308206,-0.465887547
0.636599183,-0.378949732,-0.539512634,-0.400080949,0.428739965,-0.582062125,-0.510311723,-0.465797961
0.636612058,-0.378999829,-0.539505601,-0.400022447,0.428795785,-0.582102001,-0.510195315,-0.465824306
0.636642873,-0.379027486,-0.539472461,-0.39999193,0.428854197,-0.582092762,-0.510121226,-0.465863228
0.636638165,-0.379060447,-0.539439738,-0.400012344,0.428872555,-0.582082689,-0.510052919,-0.46593383
0.636656523,-0.379121125,-0.539339781,-0.400060505,0.428911626,-0.582038045,-0.510052979,-0.465953559
0.636710346,-0.379109919,-0.539299488,-0.400039613,0.428962588,-0.582001448,-0.510007322,-0.466002256
0.636750877,-0.37908712,-0.539256334,-0.400055051,0.429037005,-0.581928909,-0.509989977,-0.466043323
0.636765957,-0.379094511,-0.53916353,-0.400148839,0.429116577,-0.581834435,-0.509981871,-0.466096938
0.636826634,-0.379066318,-0.539090514,-0.400177389,0.429210573,-0.581723154,-0.509953141,-0.466180652
0.636888325,-0.379057437,-0.539000809,-0.400208414,0.429359347,-0.5816136,-0.509859681,-0.466282576
0.63695246,-0.37903589,-0.53894031,-0.400208443,0.429564685,-0.581490338,-0.509731233,-0.466387779
0.63699168,-0.379034936,-0.538859129,-0.400256187,0.429833651,-0.581314385,-0.509618759,-0.466481924
0.637023091,-0.379047513,-0.538791239,-0.40028578,0.430072099,-0.58118403,-0.509463191,-0.466594428
0.637049615,-0.379059196,-0.5387429,-0.400297433,0.430300862,-0.581039011,-0.509357691,-0.466679335
0.637080371,-0.379055798,-0.538681567,-0.400334269,0.430495173,-0.580919147,-0.509272099,-0.466742843
0.637124002,-0.379057527,-0.538602233,-0.400369912,0.430680484,-0.580795228,-0.509194732,-0.466810554
0.6371755,-0.379060954,-0.538523793,-0.400390118,0.430890709,-0.580668926,-0.509099364,-0.466877759
0.637210131,-0.379080176,-0.538450003,-0.400416017,0.431095123,-0.580550551,-0.508983016,-0.466963172
0.637231112,-0.379116952,-0.538372099,-0.400452584,0.431233913,-0.580497384,-0.508814514,-0.467084587
0.637242317,-0.379147172,-0.538292646,-0.400513053,0.431381524,-0.580447078,-0.508673489,-0.467164487
0.637247622,-0.379206657,-0.538194597,-0.4005799,0.431512535,-0.580402493,-0.508510172,-0.467276812
0.637280345,-0.37922591,-0.538173199,-0.400538504,0.431643218,-0.580354393,-0.508393049,-0.467343092
0.637280226,-0.379275769,-0.538092554,-0.400599867,0.431774944,-0.580288112,-0.508310974,-0.467392921
0.637275696,-0.379292518,-0.538001776,-0.400713235,0.431848794,-0.580199182,-0.508261919,-0.467488468
0.637298584,-0.379221708,-0.537942052,-0.400823861,0.4318946,-0.58005327,-0.508214056,-0.467679054
0.637342811,-0.379186183,-0.537865877,-0.400889248,0.431937456,-0.579916596,-0.508156419,-0.467871636
0.637378991,-0.379177183,-0.537813246,-0.400910974,0.432026297,-0.579776883,-0.508085907,-0.468039215
0.637407482,-0.379131854,-0.537756622,-0.400984436,0.432128429,-0.579632282,-0.508005977,-0.468210906
0.637417078,-0.379100084,-0.537714064,-0.40105617,0.432216525,-0.57946974,-0.507923961,-0.468419611
0.637425423,-0.379070938,-0.537670672,-0.401128799,0.43230769,-0.579296947,-0.507814586,-0.468667597
0.637436509,-0.379065692,-0.537602067,-0.401208013,0.432391733,-0.579120815,-0.507720888,-0.468909323
0.63745445,-0.379071653,-0.537523806,-0.401278794,0.432469815,-0.578974426,-0.507619441,-0.469127893
0.637498021,-0.379055977,-0.537438273,-0.401338875,0.432544112,-0.578840315,-0.507559717,-0.469289422
0.637576759,-0.378988385,-0.537349701,-0.401396334,0.432593286,-0.578760445,-0.507463098,-0.469447076
0.637643337,-0.378936231,-0.53723532,-0.401492953,0.432640284,-0.578662634,-0.507384837,-0.469609052
0.637732923,-0.378850371,-0.537122488,-0.401582599,0.432683647,-0.578566372,-0.507300973,-0.469778121
0.637837052,-0.378763139,-0.536991119,-0.401675344,0.43273133,-0.578438044,-0.50724417,-0.469953567
0.637934327,-0.378684491,-0.536868989,-0.401758105,0.432707608,-0.578335881,-0.507261634,-0.470082223
0.638077378,-0.378587693,-0.536664128,-0.40189594,0.432692289,-0.578229547,-0.507280946,-0.470206529
0.638231158,-0.378413409,-0.536488354,-0.402050376,0.432689309,-0.578057706,-0.507303715,-0.470395863
0.638426363,-0.378142178,-0.53631413,-0.402228087,0.432709485,-0.577808917,-0.507261455,-0.470728308
0.638611138,-0.377941012,-0.536146402,-0.402347296,0.432802349,-0.577527702,-0.50713557,-0.471123546
0.638766348,-0.377773434,-0.535956621,-0.402511239,0.432974488,-0.577240765,-0.506964624,-0.471500963
0.638870001,-0.37764129,-0.535768986,-0.40272072,0.433196902,-0.576968193,-0.506746233,-0.471865118
0.638985157,-0.377478749,-0.535568893,-0.402956396,0.433422446,-0.576687098,-0.506536961,-0.472226173
0.639096379,-0.377294272,-0.535389543,-0.40319097,0.433654428,-0.576361358,-0.506410062,-0.472546667
0.639238,-0.377064377,-0.535263777,-0.403348684,0.433927387,-0.576021135,-0.506264687,-0.472866684
0.639369667,-0.376840889,-0.535108805,-0.403554112,0.434210122,-0.575658441,-0.506080985,-0.473244995
0.639520407,-0.376590937,-0.535008192,-0.403682202,0.434565067,-0.575242102,-0.505860865,-0.473660856
0.639624357,-0.376414329,-0.534889102,-0.403839856,0.434963673,-0.574810147,-0.505542517,-0.474159092
0.639730632,-0.376251757,-0.534789324,-0.403955251,0.435393304,-0.574392915,-0.505134583,-0.474704683
0.639792979,-0.376157194,-0.534676731,-0.404093593,0.43582651,-0.573988557,-0.504647076,-0.475314498
0.639838815,-0.376085937,-0.534564018,-0.404236317,0.43627125,-0.573601842,-0.504113436,-0.475939393
0.639883578,-0.376011223,-0.534471214,-0.404357582,0.4367221,-0.573220074,-0.503622174,-0.476505429
0.639902771,-0.375974715,-0.534367502,-0.404498369,0.437180579,-0.572812915,-0.503184259,-0.477036983
0.63995105,-0.375904292,-0.534299195,-0.404577672,0.437631458,-0.572424173,-0.502773464,-0.477523178
0.640025377,-0.375801235,-0.534205675,-0.404679149,0.438074142,-0.572010934,-0.502440333,-0.47796303
0.640104473,-0.375685573,-0.534117579,-0.404777676,0.438535839,-0.57157439,-0.502125859,-0.478391737
0.640197873,-0.375585914,-0.534041047,-0.404823422,0.439026922,-0.571128786,-0.501805007,-0.478810161
0.640286386,-0.375488907,-0.533962786,-0.404876739,0.439516276,-0.570708454,-0.501465261,-0.479218274
0.640377581,-0.375370204,-0.533875704,-0.404957324,0.440019429,-0.570291758,-0.501099527,-0.479634851
0.640439153,-0.37527746,-0.53379178,-0.405056685,0.440534472,-0.569853842,-0.50072819,-0.480070382
0.640530348,-0.375168443,-0.533707738,-0.405124277,0.441081285,-0.569411039,-0.500313222,-0.48052606
0.640645385,-0.37503016,-0.533636212,-0.405164629,0.44167006,-0.568941295,-0.499873191,-0.480999142
0.640727341,-0.374914765,-0.533521712,-0.405292571,0.442271441,-0.568465233,-0.49939391,-0.481507003
0.640880287,-0.374742985,-0.533319533,-0.405475676,0.442879587,-0.567924619,-0.498891205,-0.482106745
0.641058683,-0.374477476,-0.533110082,-0.405714393,0.44351241,-0.567281902,-0.498341084,-0.482850283
0.641285598,-0.374225289,-0.532812178,-0.405979753,0.444244176,-0.566552222,-0.497728348,-0.483665407
0.641550243,-0.373977214,-0.53251797,-0.40617606,0.4451226,-0.565739036,-0.497069508,-0.484486639
0.64181006,-0.373706996,-0.532225192,-0.406398147,0.446106106,-0.564849913,-0.496373206,-0.485332638
0.642031729,-0.373450041,-0.531953454,-0.406639844,0.447151214,-0.563857079,-0.495648652,-0.486265123
0.642235577,-0.373215824,-0.531668782,-0.406905144,0.448239684,-0.562801182,-0.494849861,-0.487298489
0.642497718,-0.37294066,-0.531380534,-0.407120049,0.449404716,-0.561644375,-0.493999273,-0.48842153
0.642778158,-0.372665644,-0.531057239,-0.407350987,0.450656354,-0.560413361,-0.493046582,-0.489643842
0.643110216,-0.372347087,-0.530706942,-0.407574534,0.452028453,-0.559096396,-0.491975158,-0.49096024
0.643487394,-0.371984243,-0.53034538,-0.407781094,0.453552365,-0.557677925,-0.490784943,-0.492357492
0.643874824,-0.371612906,-0.529952705,-0.40801841,0.455133259,-0.556206107,-0.489554167,-0.49378702
