sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
6303851,-0.07164152,0.216563404,-0.117460355,-0.289737225,0.183241591,-0.253715932,0.609960735,-0.391251206,-0.511012852,-0.462316245,0.005979305,0.158204272,-0.162158042,0.028730538,0.042793017,-0.385259062,0.341440976,-0.651717186,-0.536052167,-0.413920909
6304017,9.67075634,-0.038769677,1.634815097,0.710758805,-0.429473728,0.348736107,0.609539926,-0.391818136,-0.51103133,-0.462371051,8.815227509,-0.011942967,-4.126187325,0.373874962,-0.619763255,0.449675798,0.341525525,-0.651651621,-0.536278248,-0.413661867
6304184,9.695559502,-0.008936903,1.726338744,0.571694613,-0.047242623,0.377281427,0.609010577,-0.39231497,-0.511130929,-0.462536663,8.751841545,-0.031441905,-4.122787952,0.505703509,-0.376096904,0.545403183,0.341492683,-0.651786745,-0.536131382,-0.413666666
6304351,9.699502945,-0.034793053,1.675975442,0.08930508,-0.48370862,0.619270205,0.609030843,-0.392071754,-0.511204422,-0.462635159,8.720118523,-0.0131105,-4.142487049,0.471228838,-0.766562462,0.564254165,0.341520786,-0.651948333,-0.536126673,-0.413394839
6304517,9.661356926,-0.050824981,1.67451942,0.374323219,-0.118791692,0.650146425,0.60923481,-0.391755313,-0.511372566,-0.462448925,8.817857742,-0.001966914,-4.13740015,0.24533762,-0.744894087,0.152081788,0.341428071,-0.652031064,-0.536346614,-0.41305539
6304684,9.730158806,-0.015038781,1.655809045,0.707710862,-0.503929794,0.311828196,0.609327257,-0.391625106,-0.51147604,-0.462322831,8.837337494,-0.031838972,-4.136380672,-0.042158503,-0.470851034,-0.062264472,0.34127304,-0.652108729,-0.536400259,-0.412991405
6304851,9.691809654,-0.006165486,1.674177885,1.205032825,-0.146747947,0.103981152,0.609246433,-0.39159444,-0.511539757,-0.46238488,8.88405323,-0.015191728,-4.109527111,0.023762181,0.149033904,-0.167250931,0.341291219,-0.65206778,-0.536436141,-0.412994206
6305017,9.698742867,0.02261436,1.674048424,1.171172738,0.378664553,-0.087083168,0.609256804,-0.391421825,-0.511625469,-0.462422609,8.863986015,0.018333184,-4.093352318,0.205394641,0.835966527,0.225769535,0.341487437,-0.651922584,-0.53640902,-0.413096488
6305184,9.742718697,0.009343087,1.708434582,1.065814972,0.784062326,0.150404185,0.609333038,-0.391179889,-0.511703312,-0.462440789,8.895625114,0.07111454,-4.084825039,-0.101976976,1.698922515,0.513374627,0.341712654,-0.651750028,-0.536267936,-0.413365811
6305351,9.705283165,-0.009071145,1.753665566,0.673044205,0.393174201,0.487006307,0.609400928,-0.39101246,-0.511749804,-0.462441146,8.882825851,0.075070895,-4.057709694,-0.382564068,2.42597723,0.878547549,0.341958135,-0.651530683,-0.536066711,-0.413769275
