sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
2900899,-0.049241062,-0.162467688,-0.107057631,-0.067235179,0.03251351,-0.065392919,0.617336631,-0.37720865,-0.49782595,-0.478307873,0.110462017,0.068264797,0.004319287,0.008504136,0.008828731,-0.093976356,0.321027309,-0.660747886,-0.530788481,-0.422631562
2901066,9.643133163,0.101817355,2.142733812,1.556900144,1.747740269,0.278326809,0.617205441,-0.377584189,-0.497862607,-0.478142768,8.857107162,0.243840843,-4.217398167,0.862168252,1.949619412,-1.415024757,0.321089447,-0.660541236,-0.530650854,-0.423079818
2901233,9.577145576,0.162774712,2.171907663,2.64710474,3.04426837,-0.208513021,0.617386401,-0.377324879,-0.49797371,-0.477998257,8.819209099,0.310278207,-4.173780441,1.084512115,2.816417217,-1.669551015,0.32166642,-0.659869611,-0.530544102,-0.42382285
2901399,9.615934372,0.152854264,2.211185217,2.726747751,3.751050711,-0.156070992,0.617561996,-0.376609325,-0.497974128,-0.478335053,8.82005024,0.401553661,-4.154622078,0.938506961,3.1994555,-1.477199793,0.321986943,-0.659049332,-0.530490577,-0.424921364
2901566,9.589300156,0.159447223,2.210139036,2.772402525,2.916742563,0.3082937,0.617822886,-0.375905246,-0.497885972,-0.478643566,8.804140091,0.471760452,-4.125214577,0.509007633,3.593327999,-1.178043485,0.321914911,-0.658196092,-0.530529022,-0.426248491
2901733,9.562023163,0.164358556,2.244977713,3.455723763,1.956983447,0.602353156,0.617987216,-0.375386864,-0.497790486,-0.478937715,8.759985924,0.45587185,-4.075222015,-0.107432477,3.529385567,-0.795722604,0.321635932,-0.657350302,-0.53067255,-0.427583486
2901899,9.534297943,0.195441246,2.290857315,3.588218212,1.298737049,0.297549188,0.618205905,-0.374824375,-0.497770518,-0.47911638,8.743144035,0.426970929,-4.085170269,-0.316483319,3.097145557,0.017768811,0.321406305,-0.656676888,-0.530726492,-0.428722709
2902066,9.576738358,0.203967065,2.263982296,3.297218561,0.7414428,0.475621402,0.618508279,-0.374208659,-0.497795403,-0.479181796,8.722994804,0.404398412,-4.067715168,-0.250966012,2.651573658,0.827168465,0.321209401,-0.656302869,-0.530578732,-0.429624826
2902233,9.56167984,0.164844468,2.253343105,2.781392336,0.609230101,0.627402365,0.618716121,-0.373741299,-0.497778118,-0.479296178,8.711396217,0.413940072,-4.073001385,-0.298119009,2.150819778,1.337591171,0.321132928,-0.656044126,-0.530426502,-0.430264413
2902399,9.530705452,0.168140367,2.270878553,1.920164943,0.758590579,0.677923322,0.618886054,-0.373419017,-0.497683734,-0.479426324,8.697354317,0.396884799,-4.074198246,-0.376570672,1.232143641,1.578529835,0.321066648,-0.655895889,-0.530318141,-0.430673301
2902566,9.536702156,0.182693049,2.231146097,1.283497095,0.346302897,0.727509558,0.61906451,-0.373157144,-0.497623175,-0.479462355,8.717926979,0.350864977,-4.08174324,-0.352238685,0.729456127,1.612556458,0.320965827,-0.65588367,-0.530155718,-0.430967152
