sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
3869301,-0.383500874,-0.338937819,-0.051998626,-0.187885389,0.020125287,-0.183766648,0.605787098,-0.382014275,-0.515981793,-0.469946623,-0.209860176,0.327385843,0.210225672,0.000614212,-0.082382016,-0.217351764,0.382135808,-0.603016913,-0.540018141,-0.445783705
3869468,9.67209816,0.201799437,1.711244941,0.715906858,-1.572376251,1.927131534,0.60583508,-0.382145405,-0.516250968,-0.469482303,9.205774307,0.128231376,-3.032941818,3.184459686,-2.229086161,2.647873402,0.382361829,-0.603593051,-0.539618194,-0.44529444
3869634,9.661252022,0.207650214,1.705217361,0.424536914,-1.915279388,2.01012969,0.605716586,-0.382652044,-0.516267657,-0.469204307,9.195150375,0.09968356,-3.070451021,3.582941055,-2.843598843,3.173624754,0.382994711,-0.60413003,-0.539563537,-0.444087029
3869801,9.694009781,0.187584519,1.643325329,0.683558106,-2.181638479,2.356502771,0.605665147,-0.383057028,-0.516362846,-0.468835324,9.174456596,0.144263491,-3.06057024,3.889154673,-3.640691996,3.136141062,0.383539557,-0.604796708,-0.539673865,-0.4425731
3870301,9.769050598,0.228564382,1.630565286,0.0340841,-1.803582311,1.538279653,0.605213583,-0.384627968,-0.51737982,-0.467007548,9.226103783,0.150512412,-3.083551168,3.66044569,-4.126167774,2.771339178,0.383819163,-0.605222404,-0.540025413,-0.441317677
3870468,9.718231201,0.178358823,1.59748745,0.647917986,-1.012495518,1.432498813,0.605006039,-0.384968787,-0.51763314,-0.466714859,9.255679131,0.10783793,-3.083699226,3.616903782,-4.195014954,2.553771973,0.383897364,-0.605591357,-0.540347338,-0.440348744
3870634,9.697965622,0.148169622,1.622047782,1.278874159,-0.755574703,1.882757664,0.605034292,-0.385115355,-0.517930686,-0.466226876,9.320031166,0.106476672,-3.080168486,3.612216949,-3.85948801,2.566309452,0.384109229,-0.605817854,-0.540675342,-0.439448535
3870801,9.73380661,0.2016166,1.70298481,0.698272645,-0.528979123,1.94198668,0.605077684,-0.385316402,-0.518069208,-0.465850472,9.355642319,0.10509491,-3.107382059,3.551540375,-2.871990681,2.818159103,0.384429574,-0.605978012,-0.540840507,-0.43874374
3870968,9.646710396,0.16304253,1.723221302,-0.209921673,-0.753192604,1.80974853,0.605147302,-0.38546446,-0.518154383,-0.465542853,9.333224297,0.131451175,-3.108796358,3.183460474,-1.956208467,2.810577869,0.384763032,-0.606113732,-0.540875673,-0.438220471
3871134,9.664624214,0.160341635,1.682261586,-0.362291634,-1.071584105,1.515074372,0.605184257,-0.3856197,-0.518180728,-0.46533668,9.258885384,0.090636425,-3.092508554,2.911786079,-1.17653203,2.686650515,0.385145545,-0.606123447,-0.540938914,-0.437792659
