sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
768185,0,0,0,0,0,0,0.607891142,-0.384405375,-0.49685815,-0.485626161,0,0,0,0,0,0,0.40732345,-0.587705493,-0.525031149,-0.461553723
768352,9.595926285,0.156313926,2.061191559,0.5083673,-0.660884559,0.528319597,0.607989728,-0.384445548,-0.497072667,-0.485251337,9.494179726,0.054494247,-2.322027922,-0.078144357,-0.067937694,0.69590348,0.407600313,-0.587574184,-0.524995327,-0.461517721
768518,9.608754158,0.139328301,2.076752186,0.500785887,-0.708716154,0.591762185,0.607700169,-0.384739667,-0.497018129,-0.485436827,9.469371796,0.038383432,-2.353627205,-0.402068198,-0.020374903,0.67642504,0.407875508,-0.587446988,-0.524717569,-0.461752295
768685,9.613391876,0.155280888,2.092416048,0.406351894,-0.757969439,0.523440361,0.607751489,-0.384777009,-0.497040421,-0.485320151,9.46176815,0.028420119,-2.351105928,-0.486244261,0.011122313,0.645036638,0.408169001,-0.58735007,-0.524670303,-0.461669803
768852,9.615764618,0.135032311,2.069664717,0.517536581,-0.692016661,0.536797345,0.607842445,-0.384710848,-0.497031331,-0.485268146,9.448629379,0.012556064,-2.336507797,-0.50766927,-0.138859242,0.569389522,0.408227563,-0.587527037,-0.524450719,-0.461642444
769018,9.611210823,0.138518289,2.068881512,0.526296139,-0.672218144,0.402189821,0.60790205,-0.384708703,-0.497038603,-0.485187739,9.452172279,0.005257255,-2.354503632,-0.444149822,-0.297440261,0.583476484,0.40831995,-0.587697625,-0.524268091,-0.461551011
769185,9.611808777,0.136746466,2.039000988,0.615633368,-0.627319038,0.400115222,0.607913315,-0.384756953,-0.497032523,-0.485141605,9.455352783,0.012967328,-2.353627205,-0.231244281,-0.316803485,0.540127039,0.408472598,-0.587791622,-0.524218976,-0.461352021
769352,9.618256569,0.136396155,2.059366226,0.489862084,-0.552286565,0.277084589,0.607939005,-0.384776115,-0.497107476,-0.48501724,9.495193481,0.024933489,-2.353573799,-0.261364758,-0.174563348,0.473674864,0.408525288,-0.587946951,-0.524093628,-0.461249709
769518,9.608850479,0.124630824,2.043745279,0.294398755,-0.432252705,0.258387327,0.607955515,-0.384807378,-0.497158408,-0.484919488,9.51716423,0.030061599,-2.371014595,-0.238851205,0.080379046,0.340437591,0.408574939,-0.588040054,-0.523992836,-0.461201787
769685,9.63051033,0.130184352,2.055947304,0.256607234,-0.385880947,0.249704629,0.607937157,-0.384884775,-0.497180343,-0.484858632,9.493718147,0.035468824,-2.356388092,-0.34986946,0.334828377,0.318321019,0.408643216,-0.588068008,-0.523935974,-0.461170167
