sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
1539440,-0.228249282,-0.097655803,-0.533226311,-0.147166222,0.055177372,-0.162490547,0.635629416,-0.3784886,-0.5382213,-0.403781474,-0.141223624,-0.225231141,-0.323654532,0.008773858,-0.051777538,-0.184912741,0.426029831,-0.581446648,-0.51271522,-0.466413468
1539607,9.732751846,-0.433926255,1.299175262,0.404277235,-0.657247365,0.245299205,0.635715723,-0.378487378,-0.538344979,-0.403481871,9.580105782,-0.173510626,-1.974087834,-0.311885834,0.115609318,0.048030213,0.425851852,-0.581542253,-0.512758851,-0.466408938
1539773,9.735891342,-0.430847138,1.292101622,0.424370378,-0.661588788,0.122153349,0.635638177,-0.378280431,-0.538749754,-0.403257638,9.5760355,-0.1604072,-1.972939968,-0.304266065,0.367394954,0.0280395,0.425835878,-0.581609726,-0.512635052,-0.466475487
1539940,9.735512733,-0.433623403,1.294823647,0.521673143,-0.634311378,0.185416743,0.635383427,-0.378251106,-0.539056957,-0.403276265,9.553199768,-0.137319714,-1.945971608,-0.262350857,0.33676213,0.08744815,0.425676227,-0.581769705,-0.512377024,-0.466704994
1540107,9.735159874,-0.428784221,1.28530252,0.512375593,-0.607648492,0.29456526,0.635279596,-0.378130436,-0.539353967,-0.403155744,9.551592827,-0.133374989,-1.966370463,-0.407677382,0.292144865,0.124151163,0.42565462,-0.581657648,-0.512335896,-0.466909558
1540273,9.744256973,-0.44232291,1.286150694,0.323814988,-0.57628572,0.369674504,0.635176718,-0.378077447,-0.539576709,-0.403069526,9.578252792,-0.129251286,-1.958567142,-0.428397983,0.232326373,0.355574697,0.425416559,-0.581784785,-0.512095153,-0.467232078
1540440,9.72961998,-0.436608076,1.289909363,0.194803774,-0.544064939,0.272461474,0.63509798,-0.378065944,-0.539743185,-0.402981579,9.598014832,-0.159831643,-1.944015861,-0.441857457,0.311187863,0.477401465,0.425398648,-0.581695318,-0.512092412,-0.467362821
1540607,9.726700783,-0.445659786,1.311355829,0.302044123,-0.522550225,0.318922907,0.635041416,-0.378071606,-0.539862335,-0.402905792,9.605707169,-0.168843478,-1.940382123,-0.204530224,0.345355242,0.702678025,0.42542097,-0.581685305,-0.511970818,-0.46748817
1540773,9.734321594,-0.463469326,1.287477493,0.276674777,-0.48803708,0.305988491,0.635073304,-0.378008157,-0.539976299,-0.402762264,9.581550598,-0.181988627,-1.930588007,0.025298942,0.429185599,0.731453896,0.425572813,-0.581601977,-0.511911988,-0.467518091
1540940,9.729722977,-0.450223029,1.304071188,0.435076505,-0.491046637,0.410411417,0.635083735,-0.378025413,-0.5400334,-0.402653009,9.559731483,-0.164881036,-1.934499264,0.224476084,0.345188767,0.581542671,0.425679177,-0.581591964,-0.511780918,-0.467577219
1541107,9.739366531,-0.461238146,1.29972899,0.562320471,-0.662190735,0.459651947,0.635073602,-0.378079474,-0.54007113,-0.402567685,9.556931496,-0.154488578,-1.943021417,0.294834167,0.218431488,0.516652942,0.425771624,-0.581591964,-0.511668622,-0.467616051
1541273,9.753985405,-0.447003216,1.305985928,0.512221992,-0.671180844,0.434295356,0.635083616,-0.378115386,-0.540116847,-0.402456641,9.561670303,-0.149542704,-1.943636894,0.252995878,0.02387744,0.330384642,0.425841272,-0.581576526,-0.511618733,-0.467626125
1541440,9.7485075,-0.454442888,1.305535197,0.303171098,-0.688597441,0.421322495,0.635093808,-0.378148854,-0.54016149,-0.402349204,9.583742142,-0.143101931,-1.951039195,0.082620166,0.048965078,0.324429631,0.425913423,-0.581543386,-0.511599243,-0.467623055
1541607,9.742119789,-0.449091494,1.285259485,0.415918261,-0.717936754,0.410360307,0.635062039,-0.378235012,-0.540168166,-0.402309597,9.60071373,-0.128997371,-1.921714306,-0.009771246,0.047210608,0.359698355,0.425946683,-0.581545293,-0.51155144,-0.467642665
1541773,9.73029232,-0.439748138,1.320476532,0.444501966,-0.629214346,0.418838054,0.635068476,-0.378269553,-0.540203929,-0.40221861,9.563937187,-0.133696631,-1.924915314,-0.205798015,0.162211612,0.396375686,0.425990105,-0.581525683,-0.511507332,-0.467675924
1541940,9.733127594,-0.44673717,1.319205642,0.483753443,-0.609902322,0.435153335,0.635107398,-0.378260255,-0.54025811,-0.402093142,9.553426743,-0.143463135,-1.946211338,-0.310387552,-0.0858922,0.515282691,0.425991774,-0.581557393,-0.511441052,-0.467707425
1542107,9.747368813,-0.449266076,1.316076875,0.477952212,-0.785836041,0.515000939,0.635146439,-0.37825489,-0.540327311,-0.401943654,9.577605247,-0.158758566,-1.948596716,-0.282969058,-0.221383363,0.422820836,0.42596966,-0.581599832,-0.511390865,-0.467729717
1542274,9.731795311,-0.448889852,1.290618896,0.563844323,-0.77071172,0.531790078,0.635155559,-0.378290951,-0.540362597,-0.40184781,9.56855011,-0.175405815,-1.948128223,-0.209665552,-0.300693095,0.35388428,0.425913632,-0.581674755,-0.511320829,-0.46776399
1542440,9.741827011,-0.44338721,1.290753722,0.572104514,-0.787308812,0.530330181,0.635173678,-0.378311276,-0.540415168,-0.401729405,9.557832718,-0.165796548,-1.961210012,0.053997979,-0.099825494,0.46031788,0.425950527,-0.581682444,-0.511303723,-0.467739403
1542607,9.734592438,-0.440706164,1.302816272,0.573884487,-1.016030192,0.51743418,0.635142267,-0.37838167,-0.540466368,-0.401643962,9.538657188,-0.152471602,-1.964564443,0.018357903,-0.222817674,0.388422966,0.425951809,-0.581718981,-0.511278212,-0.467720658
1542774,9.76406002,-0.450413674,1.287469625,0.478374779,-0.635515034,0.570157886,0.635158658,-0.37841326,-0.540494621,-0.401550263,9.609326363,-0.11158482,-1.985234976,-0.068347484,-0.278269172,0.295922756,0.425946742,-0.58174479,-0.511279762,-0.4676916
1542940,9.696702957,-0.441788316,1.247560859,0.619628787,-0.880935907,0.488312483,0.635172248,-0.378419846,-0.540575206,-0.401413918,9.623384476,-0.129211947,-1.977592587,-0.443471074,-0.039584424,-0.237865135,0.425882429,-0.581738949,-0.511291087,-0.467745095
1543107,9.768561363,-0.416084379,1.275718689,0.053178366,-0.431919754,0.354691029,0.635174155,-0.378448933,-0.540591002,-0.401362181,9.603027344,-0.152618393,-1.96051836,-0.758660913,0.432643294,-0.314908087,0.425810099,-0.581723928,-0.511250675,-0.467873812
1543274,9.800782204,-0.442344666,1.27701354,0.269131869,-0.343888938,0.043842539,0.635154545,-0.378451467,-0.540615082,-0.401358306,9.566512108,-0.173492178,-1.943107724,-0.499844611,0.539883673,0.079239294,0.42579633,-0.581714869,-0.511188388,-0.467965662
1543440,9.794459343,-0.414267838,1.291404247,0.470793426,0.184891656,-0.144250721,0.635187805,-0.378372908,-0.540626943,-0.40136379,9.550386429,-0.163185909,-1.952269435,-0.040352806,0.537757874,0.368163347,0.425850809,-0.581693351,-0.511138439,-0.467997372
