sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
747428,0,0,0,0,0,0,0.62913996,-0.387336165,-0.540064275,-0.403093159,0,0,0,0,0,0,0.41887033,-0.59202224,-0.507362783,-0.465446204
747595,9.766817093,-0.492307872,1.146439195,0.161955506,-0.236085042,0.660160899,0.629035473,-0.387718767,-0.539776087,-0.403274298,9.543177605,-0.22956793,-2.136008024,-0.38662371,-0.465408355,-0.060215462,0.418753862,-0.59184432,-0.507641733,-0.465473294
747761,9.757394791,-0.497062236,1.111811042,0.44661507,-0.748031735,0.395633012,0.628985643,-0.387609452,-0.539962471,-0.403207958,9.574529648,-0.256346107,-2.116506815,-0.225404546,-0.302908599,0.255172908,0.418685973,-0.591880202,-0.50787884,-0.465229899
747928,9.771270752,-0.473003477,1.132642031,0.303388774,-0.238825575,0.096860811,0.628728032,-0.387675256,-0.54016602,-0.403273642,9.56979084,-0.220530406,-2.099616289,-0.113553897,0.135215849,0.64096415,0.418833137,-0.592014074,-0.507758439,-0.465058595
748095,9.752390862,-0.524976611,1.17364347,0.202782154,-0.397317052,0.605324149,0.628476083,-0.3877514,-0.540301502,-0.403411716,9.534708977,-0.231566206,-2.087146044,-0.242808342,0.422052443,0.689615488,0.419015378,-0.591966808,-0.507667124,-0.465054363
748261,9.773814201,-0.511394083,1.154474854,0.419900984,-0.303766608,0.651734293,0.628551126,-0.387688339,-0.540334046,-0.403311908,9.519498825,-0.228634089,-2.074901104,-0.244550064,0.343229383,0.672826409,0.419157088,-0.591934502,-0.507531762,-0.465115517
748428,9.756298065,-0.539084375,1.183474064,0.106081389,-0.314050108,0.272922516,0.628585398,-0.387672931,-0.540323675,-0.403287113,9.520289421,-0.251003265,-2.088426352,-0.237506568,0.212732702,0.390766561,0.419224352,-0.591922879,-0.50737524,-0.465240508
748595,9.757349014,-0.557319701,1.165453792,0.199132308,-0.333951175,0.214743271,0.628642917,-0.387705922,-0.540229201,-0.403292239,9.517553329,-0.238901377,-2.088551521,-0.158632249,0.095925957,0.13197583,0.419263721,-0.591933966,-0.507242918,-0.465335131
748761,9.737998009,-0.509809792,1.144876242,0.305040807,-0.405833185,0.275163591,0.628709435,-0.387781948,-0.540123165,-0.403257519,9.527989388,-0.23809348,-2.062548876,-0.089836538,0.086538896,-0.017058056,0.419314086,-0.591903269,-0.507187188,-0.465389639
748928,9.761740685,-0.492046773,1.145663023,0.371749073,-0.517081916,0.274036676,0.628783822,-0.387791365,-0.540109217,-0.403151304,9.543806076,-0.223312959,-2.069208145,-0.122505538,-0.054708727,-0.066938788,0.419332832,-0.59189117,-0.507118225,-0.465463191
749095,9.761264801,-0.511268914,1.144958496,0.469179779,-0.458223939,0.283270031,0.628823161,-0.387799382,-0.540107965,-0.403083682,9.529720306,-0.182651013,-2.090031862,-0.349216342,-0.094369985,0.045238428,0.419359654,-0.591860235,-0.507080078,-0.465519756
749261,9.769762039,-0.493505865,1.149897218,0.490809768,-0.443445444,0.274433672,0.628855109,-0.387801439,-0.540122271,-0.403012723,9.524430275,-0.191706166,-2.090754509,-0.410148919,-0.07717105,0.138788804,0.41931662,-0.591874599,-0.507009387,-0.465617269
749428,9.747611046,-0.495483518,1.145062208,0.40874669,-0.461515188,0.286202729,0.628869236,-0.387808144,-0.540142596,-0.402956992,9.548323631,-0.195028469,-2.0847857,-0.496374071,0.020406919,0.469538361,0.419322789,-0.591865242,-0.506969571,-0.465667039
749595,9.75428772,-0.519007802,1.143249154,0.333919168,-0.412364423,0.354703903,0.628895104,-0.387801319,-0.540172219,-0.402883559,9.553028107,-0.223090351,-2.069583416,-0.45169273,0.132603347,0.763636112,0.419346422,-0.591876447,-0.5068959,-0.465711743
749761,9.762176514,-0.505532682,1.1493752,0.400704294,-0.344618887,0.361107051,0.628913522,-0.387810707,-0.540185571,-0.402827948,9.543768883,-0.232806787,-2.102416277,-0.19090426,0.232095867,0.907617986,0.419442058,-0.591850281,-0.506849587,-0.465709358
