sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
1172428,0,0,0,0,0,0,0.671029508,-0.338176042,-0.435762107,-0.49544704,0,0,0,0,0,0,0.513405025,-0.502339125,-0.480125695,-0.503537536
1172594,9.007511139,-0.214840651,3.897969484,0.646983147,-0.060599647,0.481166542,0.671863735,-0.337449193,-0.435942233,-0.494653225,9.857243538,-0.329915851,0.354616702,-0.40128696,0.348415911,0.643435776,0.513702571,-0.502053857,-0.480147809,-0.503497481
1172761,8.992791176,-0.228483886,3.927380085,0.455272138,-0.258637011,0.642616272,0.672121882,-0.337201923,-0.435536295,-0.494828582,9.853702545,-0.337905109,0.350611359,-0.239760473,0.5243752,0.40416199,0.513962507,-0.501949489,-0.479995668,-0.503481328
1172928,9.01770401,-0.246861666,3.924057484,0.185660064,-0.34890905,0.507048249,0.672500849,-0.33691135,-0.435002625,-0.49498105,9.840953827,-0.334318161,0.365352482,-0.015572521,0.636917412,0.310995787,0.514259517,-0.501858175,-0.479889661,-0.503370166
1173261,8.998835564,-0.215877488,3.940346956,0.158151999,-0.604485273,0.33774823,0.67288363,-0.336767226,-0.43422097,-0.495245218,9.81141758,-0.335119069,0.364794821,0.336608469,0.388102829,0.45915243,0.514384687,-0.501907587,-0.479651928,-0.503419518
1173428,8.996822357,-0.233776674,3.906466484,0.330282152,-0.572546244,0.459280491,0.673062921,-0.336625218,-0.434051961,-0.495246202,9.831665993,-0.329261392,0.371314019,0.414560765,0.222337455,0.505498648,0.514600992,-0.501845837,-0.479577929,-0.503330588
1173594,9.006842613,-0.221960887,3.900597811,0.441569358,-0.529709101,0.426573157,0.673132241,-0.336592138,-0.433918774,-0.495291203,9.856871605,-0.296303183,0.411324322,0.364014089,0.044149891,0.621280849,0.514740348,-0.501833379,-0.479490608,-0.503283799
1173761,9.021533012,-0.237260222,3.925163031,0.405596316,-0.240592882,0.398296684,0.67326355,-0.336493403,-0.433880687,-0.495213151,9.871920586,-0.278286159,0.394434482,0.284140855,-0.045206413,0.595309556,0.51479435,-0.501812816,-0.479366034,-0.503367603
1173928,9.032716751,-0.225969926,3.891375542,0.372389406,-0.096611097,0.399398029,0.673439503,-0.336366683,-0.433873832,-0.495065898,9.882146835,-0.280753762,0.386091083,0.109436654,-0.171054423,0.542188883,0.514912307,-0.50166595,-0.47940737,-0.503354013
1174095,9.026042938,-0.222264856,3.883485794,0.494293123,-0.044566095,0.417454988,0.6735515,-0.3362903,-0.433876008,-0.494963557,9.849164963,-0.288875282,0.406207085,-0.036254782,-0.169005409,0.642949224,0.514921844,-0.501617432,-0.47937274,-0.503425539
1174261,9.033678055,-0.220830932,3.909921169,0.473726064,-0.096816003,0.405109674,0.673605561,-0.336262643,-0.433885813,-0.494900137,9.81184864,-0.321925431,0.362553328,-0.051583972,-0.334553063,0.809149921,0.514928758,-0.501599014,-0.479331344,-0.503476083
1174428,9.01272583,-0.217340425,3.930874109,0.622228503,-0.289128959,0.415521204,0.673617423,-0.336264342,-0.433910578,-0.494861126,9.851819038,-0.322505683,0.357859671,0.0776513,-0.53631705,1.051907182,0.514945149,-0.501637161,-0.479297698,-0.503453612
1174595,9.018898964,-0.251375467,3.879043818,0.417390972,-0.705527425,0.542368174,0.673632443,-0.336291909,-0.43397069,-0.494769335,9.813511848,-0.288968176,0.357348621,0.016769914,-0.590615988,0.74481082,0.514960766,-0.501654387,-0.479322165,-0.503397107
1174761,9.038345337,-0.199638203,3.912309885,0.357521236,0.190411195,0.491475612,0.673689902,-0.336277515,-0.433943152,-0.494724929,9.855101585,-0.310711741,0.361555815,-0.088799223,-0.777332604,0.308767498,0.514918804,-0.501664817,-0.479399413,-0.503356099
1174928,9.048459053,-0.23449935,3.872377872,0.215921447,-0.400428921,0.101624787,0.673693597,-0.336267442,-0.434005499,-0.49467203,9.861902237,-0.316587299,0.336013287,-0.073610894,-0.511383176,0.422820777,0.514916778,-0.501659811,-0.479461432,-0.503304005
1175095,9.015561104,-0.20249933,3.885284662,0.545941055,0.083836764,0.260769308,0.673747241,-0.336212486,-0.434042901,-0.494603455,9.882266045,-0.306016058,0.333130866,-0.061278377,-0.240387946,0.64415288,0.514904559,-0.501703441,-0.479448169,-0.503285706
1175261,9.029694557,-0.211518362,3.897007465,0.597358584,0.055714019,0.498493522,0.673787773,-0.33619079,-0.434061348,-0.49454686,9.881912231,-0.298595428,0.330105394,-0.102386765,0.007062702,0.723962188,0.514942408,-0.501713216,-0.479445159,-0.503240168
1175428,9.02691555,-0.231659427,3.89888835,0.50927645,-0.205208972,0.520968735,0.673805773,-0.336198956,-0.434097499,-0.49448505,9.889715195,-0.310014248,0.338906437,-0.055502716,0.217112437,0.707838953,0.514938056,-0.501760483,-0.479379624,-0.503259838
