sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
3037853,0.181372374,0.278900266,0.110103421,-0.354494214,0.121732876,-0.271723419,0.670089662,-0.346886456,-0.436982602,-0.489587367,-0.258078635,-0.050095037,-0.148919553,0.040338911,-0.013760883,-0.426504105,0.477846175,-0.512605071,-0.448313564,-0.554899991
3038020,9.078763008,-0.396049351,3.729171276,0.806909025,-0.095535375,0.529741168,0.670156479,-0.346947968,-0.436694533,-0.489709496,9.83922863,0.077292316,0.704074204,0.577431917,0.376167297,0.748973012,0.477760196,-0.512687147,-0.448271155,-0.554932594
3038187,9.080945015,-0.391891509,3.739396811,0.599843025,-0.06805294,0.261473626,0.670413077,-0.346998453,-0.43639937,-0.489585549,9.814145088,0.095507458,0.715704441,0.547029555,0.148470417,0.824812055,0.477974713,-0.512600183,-0.448483527,-0.554656446
3038353,9.069108009,-0.387474895,3.768939734,0.631308258,-0.230270997,0.374169528,0.670782268,-0.346912622,-0.436217636,-0.489302486,9.821108818,0.079968013,0.70307368,0.378792644,-0.198754564,0.740469635,0.478015572,-0.512519836,-0.448624223,-0.554581702
3038853,9.10968399,-0.336782157,3.716037035,0.582458317,-0.375751078,0.385560751,0.67111671,-0.346844822,-0.435845345,-0.489223808,9.812236786,0.078667521,0.708103836,0.180345416,-0.552491486,0.718083978,0.47801429,-0.512548566,-0.448726714,-0.554473341
3039020,9.094810486,-0.350482613,3.706688881,0.640490413,-0.228337228,0.303081512,0.671108186,-0.34676981,-0.43595618,-0.489189893,9.833397865,0.09245085,0.707208931,0.098692141,-0.80145973,0.512657404,0.478063375,-0.512547255,-0.448877215,-0.554310381
3039187,9.11696434,-0.343097746,3.699836731,0.487147123,-0.022385499,0.333637416,0.671165228,-0.346641541,-0.43610701,-0.489068031,9.860512733,0.097114816,0.699102879,-0.043836132,-0.875237167,0.425586998,0.478035867,-0.51258415,-0.448984772,-0.554212928
3039353,9.11456871,-0.350986868,3.701964617,0.406979352,0.080033273,0.336749345,0.671140492,-0.346587241,-0.436210692,-0.489048004,9.853096962,0.086954556,0.66406405,-0.246650279,-0.885482252,0.328092277,0.477914304,-0.512681186,-0.449035645,-0.554186821
3039520,9.114832878,-0.356175929,3.70230794,0.575075448,0.247834861,0.380649477,0.671142578,-0.346514016,-0.436309159,-0.489009142,9.883112907,0.094157569,0.670750916,-0.34766677,-0.676085591,0.379407287,0.477843046,-0.5127635,-0.449122787,-0.554101527
3039687,9.118745804,-0.353039622,3.742086172,0.630834401,0.25897643,0.369764149,0.671099484,-0.346490115,-0.436366349,-0.489034384,9.884025574,0.077181704,0.663701177,-0.331825316,-0.388864815,0.43402639,0.477824986,-0.512806594,-0.449219733,-0.55399853
3039853,9.095323563,-0.372134686,3.74215889,0.625699043,0.371211231,0.427725673,0.671129465,-0.346413016,-0.436422378,-0.488997817,9.885023117,0.09093222,0.673610806,-0.218694061,-0.008516223,0.599215627,0.477833688,-0.512858152,-0.449253917,-0.55391556
3040020,9.088706017,-0.35898006,3.739886761,0.441454142,0.500619411,0.396644652,0.671118319,-0.346391559,-0.436394036,-0.489053577,9.87093544,0.062606998,0.678703785,-0.07996285,0.51292628,0.690473557,0.477901399,-0.512858629,-0.449253291,-0.553857267
3040187,9.08330822,-0.363635689,3.7497859,0.169908255,0.563601077,0.411679357,0.671138108,-0.346363425,-0.436348259,-0.489087254,9.888915062,0.076594859,0.679877043,-0.110698082,0.852448225,0.894414604,0.477944106,-0.512911081,-0.449126512,-0.553874612
