sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
3799358,0.010051195,-0.424714118,0.446428955,-0.335160047,0.111556664,-0.326552689,0.689537227,-0.321820319,-0.46865043,-0.448705792,-0.118937343,-0.507094502,0.045238871,-0.058519427,-0.101169281,-0.478999466,0.376929492,-0.619558036,-0.492179453,-0.481488436
3799525,9.195987701,-0.237817779,3.479195595,0.460112929,-0.396202803,0.472445428,0.689374864,-0.322022051,-0.468644947,-0.448816508,9.447417259,0.069103055,-2.485242367,0.646355689,0.024466533,0.336173087,0.377201647,-0.619475603,-0.492301017,-0.481257379
3799691,9.168622017,-0.22071366,3.456624985,0.768156886,-0.167378992,0.449163496,0.689290702,-0.322219521,-0.468521237,-0.448933184,9.419787407,0.081777133,-2.451794147,0.715074539,-0.041018739,0.200720325,0.377118737,-0.619604826,-0.492357492,-0.481098175
3799858,9.163534164,-0.22653842,3.482042074,0.544481158,-0.067054041,0.404405266,0.689115942,-0.322394222,-0.468452752,-0.449147254,9.43138504,0.097648337,-2.438994884,0.606809676,0.046390999,0.156756118,0.37715438,-0.619479299,-0.49254626,-0.481038719
3800025,9.172921181,-0.210284561,3.478044033,0.626813173,-0.335948974,0.398399115,0.689267874,-0.322226822,-0.468538463,-0.448944926,9.4467659,0.120325275,-2.458281994,0.406838536,-0.099761471,0.186364427,0.377066314,-0.619392395,-0.492572486,-0.481192887
3800191,9.17805481,-0.206802502,3.47752142,0.837451994,-0.271174431,0.445539296,0.689206719,-0.322225779,-0.468499899,-0.449079633,9.454884529,0.106302761,-2.461879015,0.167654321,-0.077568062,0.258374512,0.376987219,-0.619230688,-0.492716163,-0.481315821
3800358,9.177559853,-0.19445768,3.457488298,1.049832582,-0.145454496,0.353704959,0.689324558,-0.321998447,-0.46861136,-0.448945612,9.454479218,0.119438156,-2.450399399,-0.002087435,-0.004277321,0.371339291,0.37691617,-0.619122982,-0.492803872,-0.481420189
3800525,9.169141769,-0.205760509,3.498131037,0.762522042,-0.164382294,0.316540897,0.689302266,-0.321907371,-0.468678802,-0.448974818,9.438308716,0.118200801,-2.44756341,-0.176855683,-0.05233955,0.519034922,0.376814216,-0.619082391,-0.492807776,-0.48154822
3800691,9.186868668,-0.195775896,3.472268343,0.692714572,-0.18626833,0.289301842,0.689356685,-0.321756154,-0.468753368,-0.448921919,9.455399513,0.089301474,-2.462340355,-0.29744032,-0.044181909,0.537373662,0.376700997,-0.619079649,-0.492766678,-0.481682181
3800858,9.184908867,-0.203339577,3.488704681,0.528409183,-0.294661313,0.247975737,0.689303637,-0.321722955,-0.468783081,-0.448996007,9.436538696,0.08466661,-2.476412296,-0.21163772,-0.067899264,0.33453387,0.376647264,-0.619048536,-0.492781311,-0.481749266
3801025,9.185016632,-0.197577924,3.479460239,0.300661057,-0.204402134,0.190219104,0.689302027,-0.321655154,-0.468821734,-0.449006647,9.447431564,0.070097044,-2.472653866,-0.137642652,-0.170811087,0.311853826,0.376600951,-0.619049013,-0.492797822,-0.481768072
3801191,9.187916756,-0.206643984,3.488997936,0.270028263,-0.26174897,0.174121514,0.689286888,-0.321608067,-0.468860656,-0.449023038,9.454522133,0.08225999,-2.495241642,-0.005890922,-0.104922429,0.214423135,0.37655592,-0.619075954,-0.492781937,-0.481784761
3801358,9.166931152,-0.214779854,3.46244812,0.537834644,-0.270021886,0.200925231,0.689360678,-0.321470588,-0.468961507,-0.448902845,9.460173607,0.088085562,-2.4833076,0.047325872,0.150481015,0.071785994,0.376519054,-0.619091868,-0.492761165,-0.481814384
3801525,9.174895287,-0.195922524,3.471420765,0.436433971,-0.218655616,0.265123457,0.689367652,-0.321431011,-0.468997568,-0.44888255,9.438630104,0.103874519,-2.482009411,0.064422339,0.174736232,-0.034679592,0.376465291,-0.619117558,-0.492727935,-0.481857389
3801691,9.192337036,-0.206497356,3.461421728,0.652912498,-0.130765632,0.298368722,0.689438224,-0.321320713,-0.469072491,-0.448774904,9.441748619,0.089208491,-2.487123489,0.067508668,0.169088632,0.074731454,0.37644887,-0.61911869,-0.492729604,-0.481867045
3801858,9.165275574,-0.217429832,3.484009027,0.546773434,-0.108380139,0.211119071,0.689458191,-0.321262807,-0.469117314,-0.448739022,9.432250977,0.120114088,-2.487116575,0.025030009,0.015732601,0.131245881,0.3764036,-0.619160533,-0.492705345,-0.481873542
3802025,9.185098648,-0.191695437,3.482818127,0.433808655,-0.371448189,0.163863659,0.689471543,-0.321218342,-0.469186991,-0.448677272,9.444695473,0.143717051,-2.477077723,-0.071472242,-0.004507835,0.056674495,0.376354247,-0.619185388,-0.492707372,-0.481878042
3802191,9.177030563,-0.200360596,3.455925226,0.437650591,-0.300859541,0.219238296,0.689487278,-0.321178228,-0.469243079,-0.44862324,9.458088875,0.120521761,-2.462025642,-0.237378508,0.14817588,0.219571248,0.376311839,-0.619209826,-0.492685258,-0.481902391
3802358,9.172428131,-0.208546534,3.462201357,0.438316524,-0.308107942,0.19607161,0.689521849,-0.321116865,-0.469320089,-0.448533356,9.465577126,0.103398882,-2.437753916,-0.310400307,0.21779117,0.436766922,0.376275361,-0.61925596,-0.492618799,-0.481939465
3802525,9.206223488,-0.181049064,3.467386961,0.607667744,-0.056450393,0.169652104,0.689558923,-0.321046054,-0.469368756,-0.448476374,9.445716858,0.108970433,-2.477618217,-0.329853117,0.249602139,0.601648629,0.376264989,-0.619302511,-0.492536306,-0.481972069
3802691,9.176548004,-0.186052188,3.466689587,0.653783262,-0.172347829,0.308882713,0.68958807,-0.320996314,-0.469422311,-0.448410869,9.428211212,0.111198373,-2.480565071,-0.314626396,0.173929438,0.470588505,0.376249611,-0.619337738,-0.492479652,-0.481996804
3802858,9.170619011,-0.198593944,3.483898163,0.551563084,-0.272544712,0.350003928,0.689609528,-0.320964575,-0.469478965,-0.448341489,9.431256294,0.093092225,-2.437950373,-0.215838209,-0.031913418,0.530214906,0.37624231,-0.619377434,-0.492448658,-0.481983215
3803025,9.182080269,-0.201444179,3.481030226,0.494472355,-0.27669394,0.319601655,0.689609349,-0.320956111,-0.469517559,-0.448307276,9.456644058,0.099690355,-2.440625668,-0.183950424,0.061861079,0.47163865,0.376224995,-0.61942476,-0.492389143,-0.481996715
3803191,9.170146942,-0.186974838,3.464100361,0.4338983,-0.375443727,0.414022923,0.689638257,-0.320934802,-0.469578356,-0.448214501,9.407292366,0.130452886,-2.450660467,-0.041223634,-0.047037721,0.550474524,0.376227647,-0.619470417,-0.492342532,-0.481983662
3803358,9.210858345,-0.177172467,3.496250391,0.525899172,-0.184552312,0.387167931,0.689681172,-0.320891351,-0.469626933,-0.4481287,9.394410133,0.178030744,-2.474234819,-0.320722193,-0.418998122,0.170964748,0.376155674,-0.619523883,-0.492337912,-0.481975675
3803525,9.154221535,-0.183598906,3.499118567,0.407517254,-0.161974713,0.440327138,0.689674795,-0.320911527,-0.4696275,-0.448123425,9.435850143,0.122088403,-2.477802753,-0.492301673,-0.670899034,0.231276259,0.376019329,-0.619636476,-0.492297202,-0.481978863
3803691,9.176283836,-0.151180089,3.426020861,0.392149657,-0.414464712,0.22356683,0.689721465,-0.320845783,-0.469719559,-0.44800204,9.494483948,0.094747923,-2.497344971,-0.35909003,-0.84930414,0.708530486,0.375953108,-0.619750857,-0.492280751,-0.481900334
3803858,9.186715126,-0.170878336,3.413554192,0.102726132,0.045481745,0.195546538,0.689739227,-0.320820689,-0.469723254,-0.447988868,9.515473366,0.112748273,-2.47736764,-0.135068566,-0.49285236,1.068158388,0.375943631,-0.619871795,-0.492206156,-0.481828302
3804025,9.248583794,-0.179103613,3.439066887,0.032726627,0.233671024,0.630923927,0.689753354,-0.3208628,-0.469659597,-0.448003739,9.480355263,0.103097342,-2.456334829,-0.009399859,-0.135119781,1.072640538,0.375982046,-0.619951487,-0.492130607,-0.481772929
3804191,9.207912445,-0.230030447,3.492764473,-0.103347249,1.023912549,0.610882103,0.68982482,-0.320854098,-0.469521016,-0.448045135,9.449755669,0.070921369,-2.479705572,-0.048305549,-0.009668794,1.02487278,0.376031786,-0.620013535,-0.492056668,-0.481729835
3804358,9.129628181,-0.192564458,3.548101902,-0.071843617,0.488940001,0.237999603,0.689847291,-0.320845455,-0.469458014,-0.448082834,9.443855286,0.060115367,-2.467298031,0.399961501,0.194765374,0.823467493,0.376113921,-0.620035231,-0.492005199,-0.481690496
3804525,9.17893219,-0.187876225,3.486552,0.090342395,-0.277820945,0.522723138,0.689855635,-0.320878446,-0.469469339,-0.448034495,9.445280075,0.061888754,-2.447859049,0.769667983,0.320113897,0.738587022,0.376238465,-0.620019674,-0.491982371,-0.481636345
3804691,9.166516304,-0.228491038,3.480068207,0.035761729,-0.267972857,0.600585759,0.689919055,-0.320867598,-0.469508678,-0.447903246,9.439873695,0.088845976,-2.437560081,0.920514107,0.413920462,0.729494512,0.376383275,-0.619991362,-0.491960615,-0.481581897
3804858,9.164403915,-0.210395187,3.513784409,0.285549551,-0.385099739,0.619513512,0.689971864,-0.320860028,-0.469561487,-0.447771907,9.423013687,0.101073354,-2.451488256,0.880968034,0.587100685,0.505921245,0.376523525,-0.619935572,-0.491946578,-0.481558412
3805025,9.160618782,-0.198257342,3.496804714,0.405288935,-0.416347206,0.701051593,0.690001011,-0.320883721,-0.469594538,-0.447675407,9.426947594,0.130597144,-2.451182365,0.754582107,0.430107623,0.275073975,0.376636952,-0.619868696,-0.491968334,-0.481533587
3805191,9.149331093,-0.212426707,3.496055365,0.514194131,-0.260750055,0.621319234,0.690028667,-0.320894063,-0.46961236,-0.447606713,9.446561813,0.140866935,-2.455509424,0.404302895,0.325377315,0.422180563,0.376715451,-0.619843006,-0.491952449,-0.481521457
3805358,9.158037186,-0.18836242,3.479485273,0.62148571,-0.364712,0.405775547,0.690031707,-0.320895731,-0.469649464,-0.44756189,9.446012497,0.139650896,-2.453689575,-0.01964494,0.012543819,0.479885906,0.376736283,-0.619865417,-0.491919965,-0.481509596
3805525,9.173321724,-0.176829264,3.470023632,0.755376101,-0.542822719,0.450623393,0.690040469,-0.320889175,-0.469717443,-0.447481781,9.469772339,0.133800223,-2.459522247,-0.170081139,-0.068782911,0.644217074,0.376738667,-0.61992234,-0.491855085,-0.481500834
3805691,9.170768738,-0.188641354,3.45699811,0.625929475,-0.282930672,0.481883675,0.690060437,-0.320882678,-0.469748706,-0.447422773,9.463829041,0.103935242,-2.476931095,-0.360088944,-0.102540441,0.677628756,0.376722395,-0.619994402,-0.491775423,-0.481502205
