sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
1531619,0.041300379,0.025292281,-0.285353333,-0.261124879,0.065410987,-0.220516041,0.716537535,-0.308809668,-0.39375177,-0.485973328,0.276634574,-0.160999492,-0.202309385,-0.011524041,-0.011242741,-0.266204119,0.430372477,-0.586554468,-0.458274484,-0.510605454
1531785,8.487248421,-0.609782696,4.909824848,0.141081154,-0.280817628,0.414022863,0.716933489,-0.308628559,-0.393845409,-0.485428303,9.777854919,-0.380687267,-1.042596698,0.096873626,0.084054478,0.648801625,0.430464536,-0.586577535,-0.4582555,-0.510518432
1531952,8.491078377,-0.612690151,4.898921013,0.239562005,-0.18185018,0.381225824,0.716887236,-0.308887005,-0.393591255,-0.485538572,9.789105415,-0.347814769,-1.03306973,0.141836718,0.463045597,0.669893622,0.430642039,-0.586641312,-0.457877845,-0.510634422
1532119,8.51509285,-0.611495674,4.903116226,0.107374839,-0.25954628,0.330269337,0.717116535,-0.308937341,-0.393613815,-0.485149205,9.770545959,-0.36809054,-1.033399582,0.070415713,0.880161166,0.687182307,0.430802733,-0.586478591,-0.457637489,-0.510901153
1532285,8.494293213,-0.601986527,4.886858463,0.0336871,-0.027508043,0.348467171,0.717022717,-0.309196472,-0.393501908,-0.485213727,9.723556519,-0.362797022,-1.022921085,0.016552206,0.988233924,0.649659693,0.431019217,-0.586296856,-0.457483381,-0.511065125
1532452,8.466463089,-0.617471516,4.916562557,0.024402499,-0.133826345,0.398668051,0.71709007,-0.309263349,-0.393571615,-0.485014766,9.725790024,-0.360562414,-1.013743281,0.06142566,0.843867958,0.652182579,0.431201637,-0.58615458,-0.457359701,-0.51118499
1532619,8.452694893,-0.612904727,4.907675743,0.109167725,-0.255627543,0.432067007,0.717132688,-0.309334069,-0.393539727,-0.484932721,9.744840622,-0.365024954,-1.009770989,0.110499583,0.838194788,0.570810974,0.431339383,-0.586040616,-0.457228631,-0.511316657
1532785,8.465776443,-0.643917561,4.905494213,0.472599089,-0.105434671,0.414727211,0.717163622,-0.309363186,-0.393468678,-0.484926105,9.728428841,-0.370633185,-0.99538362,0.18134433,0.833097935,0.584821165,0.431552589,-0.585870445,-0.457190633,-0.511365831
1532952,8.479816437,-0.618487179,4.904704094,0.552293003,-0.248507202,0.50378257,0.717215598,-0.309411347,-0.393404633,-0.484870434,9.712017059,-0.369622469,-0.99372071,0.082184747,0.525053918,0.579019845,0.431667715,-0.585802913,-0.457074404,-0.511449993
1533119,8.479673386,-0.613573432,4.902175426,0.303977907,-0.229540989,0.618873179,0.717252553,-0.309484065,-0.393333375,-0.484826952,9.77654171,-0.384374231,-0.975896835,0.221966028,0.49894169,0.49894169,0.431811154,-0.585709155,-0.457006544,-0.511496782
1533285,8.447967529,-0.591125607,4.890842438,0.184942901,-0.24936524,0.457282782,0.717244923,-0.309567541,-0.393268853,-0.484837383,9.724301338,-0.382300138,-0.947988153,0.341001093,0.629259229,0.261243135,0.431943268,-0.5856058,-0.456919253,-0.5115816
1533452,8.519384384,-0.584727764,4.911423683,0.241649404,-0.171182469,0.410846889,0.717270434,-0.309587449,-0.393242627,-0.484808207,9.722523689,-0.379621565,-0.968901813,0.36528191,-0.088773608,0.259155691,0.432081044,-0.585513115,-0.456914961,-0.511575341
1533619,8.521143913,-0.607511818,4.916916847,0.403137445,-0.023166686,0.277430326,0.717276573,-0.309573501,-0.393231332,-0.484817207,9.759605408,-0.352567554,-0.985466838,0.100946039,-0.251260579,-0.031132236,0.432124227,-0.585467696,-0.456888169,-0.511614382
1533785,8.498620987,-0.589881063,4.852988243,0.597717047,-0.338151634,0.163120881,0.717190444,-0.309614241,-0.393232137,-0.484918088,9.75861454,-0.353432983,-0.991378307,-0.458070338,-0.29262507,-0.10298866,0.432086676,-0.585466981,-0.456832558,-0.511696935
1533952,8.569698334,-0.611628413,4.850949287,1.136505842,0.420387655,0.46837309,0.7172454,-0.309517443,-0.393239886,-0.484892309,9.783182144,-0.335010409,-0.999184012,-0.754447639,-0.443727195,0.065459654,0.432033688,-0.585494578,-0.456783175,-0.511754096
1534119,8.431088448,-0.602449656,4.976660252,0.935471773,1.306945562,0.356804073,0.717379868,-0.309342831,-0.393202096,-0.484835416,9.773184776,-0.335330218,-1.010718465,-0.698791265,-0.175370157,0.380598277,0.432019651,-0.585516095,-0.456713498,-0.511803389
1534285,8.557492256,-0.591042101,4.90786314,0.469269484,-0.68613869,0.360364318,0.717354178,-0.309372276,-0.393284321,-0.48478809,9.790525436,-0.346551925,-0.98542881,-0.771646678,0.227472812,0.404098004,0.432014048,-0.585521042,-0.456617832,-0.511887729
1534452,8.544573784,-0.604439676,4.892951012,1.252851605,1.40483737,0.784651458,0.717531204,-0.309179753,-0.393207163,-0.484711051,9.752440453,-0.348685086,-0.978154123,-0.820387602,0.667614222,0.34696883,0.432019234,-0.58550036,-0.456489325,-0.512021661
1534619,8.393420219,-0.602045,4.999375343,0.793769658,0.748038113,0.741404474,0.717628539,-0.309096694,-0.393163413,-0.484655678,9.744715691,-0.368880451,-0.953261435,-0.730013192,0.768656254,0.428532451,0.432021201,-0.585493624,-0.456329286,-0.512170553
1534785,8.396202087,-0.586020708,4.980270863,0.119656108,-0.760505021,0.388576657,0.717533469,-0.309207797,-0.39318037,-0.484711915,9.74452877,-0.378300101,-0.968426466,-0.503686547,0.853255033,0.366959482,0.432072133,-0.585441172,-0.456210047,-0.512293458
1534952,8.421010017,-0.590574861,4.931085587,0.029614687,-0.251862496,0.375104427,0.717540622,-0.309223056,-0.393170357,-0.484699577,9.729812622,-0.391756415,-0.961551309,-0.158030346,0.71644479,0.629809797,0.432169944,-0.585394382,-0.456105947,-0.512357175
1535119,8.427490234,-0.589995503,4.929533482,0.196494222,-0.154137209,0.512029827,0.717559278,-0.309230298,-0.393144518,-0.484688312,9.73034668,-0.387874097,-0.946690023,0.19267793,0.445385635,0.695736945,0.432300627,-0.585342705,-0.456051111,-0.51235503
1535285,8.460000992,-0.620772541,4.944858074,-0.05296706,-0.517530143,0.501836002,0.717550576,-0.309283733,-0.393141031,-0.484670013,9.743654251,-0.384823173,-0.953987837,0.50140059,0.149085104,0.973148048,0.432424337,-0.58534658,-0.455969572,-0.512318611
1535452,8.456357002,-0.634183168,4.921462059,0.119515263,-0.420726985,0.481281817,0.717540503,-0.309325635,-0.393128306,-0.484668553,9.763894081,-0.363217711,-0.968661487,0.730583072,0.010533222,1.087624073,0.432603091,-0.585324526,-0.455943108,-0.512216389
1535619,8.452802658,-0.617535889,4.906724453,0.176874906,-0.343453497,0.56320405,0.717564225,-0.309348702,-0.393119901,-0.484625399,9.760715485,-0.351156443,-0.973235846,0.667499006,-0.182067871,0.837567389,0.432723373,-0.585322976,-0.455924928,-0.512133002
1535785,8.481808662,-0.628825963,4.929594517,-0.021604311,-0.322976112,0.609268486,0.717550099,-0.309423268,-0.393073678,-0.484636158,9.746759415,-0.359866589,-0.961778045,0.51621753,0.035595249,0.494344324,0.432801843,-0.585305512,-0.455897212,-0.512111247
1535952,8.477009773,-0.63127929,4.93999052,0.040884275,-0.12233907,0.491834283,0.717549324,-0.309467226,-0.393021196,-0.484651774,9.759633064,-0.3838332,-0.96384877,0.380726367,-0.344618827,0.705597818,0.432905763,-0.58529681,-0.455921352,-0.512011826
1536119,8.457987785,-0.617889941,4.956094265,0.100702733,-0.616869032,0.409258902,0.717540324,-0.309518397,-0.393042147,-0.484615505,9.727384567,-0.3838211,-1.015759706,0.317988038,-0.437093496,0.647392988,0.432959855,-0.585326731,-0.455912769,-0.511939406
1536285,8.512753487,-0.590182006,4.924229622,0.009828874,-1.171921968,0.728034616,0.717534184,-0.309623539,-0.393108547,-0.484503627,9.731668472,-0.359594285,-1.019106507,0.106222279,-0.847191334,0.495458454,0.432964027,-0.585386455,-0.455939978,-0.511843443
1536452,8.554571152,-0.611015141,4.873638153,0.480577439,-0.550327241,0.719339073,0.717544436,-0.309665769,-0.393123537,-0.484449238,9.746935844,-0.357331663,-1.015905261,-0.270764619,-0.817429245,0.28298828,0.43290633,-0.58546716,-0.455944359,-0.511796057
1536619,8.450256348,-0.596797466,4.931711674,0.353026241,-0.455483437,0.319447964,0.717538297,-0.309683114,-0.393153816,-0.484422654,9.753433228,-0.364323705,-1.036607504,-0.540914595,-0.772274077,0.211772189,0.432835251,-0.585545301,-0.455951214,-0.511760533
1536785,8.551633835,-0.606959045,4.862651348,0.289545149,-1.46363759,0.228279576,0.717505872,-0.309738606,-0.39331466,-0.484304756,9.745667458,-0.37605536,-1.036886334,-0.707935035,-0.665149033,0.275816768,0.43276298,-0.585629344,-0.455940247,-0.51173538
