// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1667794													0.390367	0.247332	0.065730	0.259645	-0.940480	-0.219275	-0.022801	-0.232969	0.972217	-0.965435	-0.247431	-0.081933
1	1667961													9.467479	-0.251650	2.637578	0.260326	-0.940128	-0.219978	-0.022917	-0.233786	0.972018	-0.965249	-0.248000	-0.082405
2	1668127													9.466820	-0.271837	2.659362	0.261861	-0.939768	-0.219692	-0.023467	-0.233768	0.972009	-0.964820	-0.249375	-0.083269
3	1668294													9.470366	-0.242798	2.610354	0.263576	-0.939372	-0.219335	-0.024295	-0.233767	0.971989	-0.964333	-0.250865	-0.084438
4	1668461													9.468249	-0.245696	2.661310	0.264421	-0.939047	-0.219710	-0.024704	-0.234339	0.971841	-0.964091	-0.251547	-0.085162
5	1668627													9.480815	-0.236305	2.625376	0.265211	-0.939026	-0.218845	-0.024903	-0.233568	0.972021	-0.963869	-0.252341	-0.085329
6	1668794													9.470138	-0.235393	2.636491	0.265658	-0.938997	-0.218426	-0.024971	-0.233193	0.972110	-0.963744	-0.252794	-0.085397
7	1668961													9.490324	-0.214941	2.632950	0.266037	-0.938968	-0.218090	-0.024970	-0.232880	0.972185	-0.963639	-0.253191	-0.085401
8	1669127													9.466039	-0.230161	2.665508	0.266384	-0.938869	-0.218095	-0.024868	-0.232890	0.972185	-0.963546	-0.253551	-0.085386
9	1669294													9.453965	-0.231663	2.661145	0.266644	-0.938808	-0.218036	-0.024777	-0.232829	0.972202	-0.963476	-0.253830	-0.085343
10	1669461													9.485128	-0.219470	2.658639	0.266905	-0.938786	-0.217814	-0.024702	-0.232603	0.972258	-0.963406	-0.254120	-0.085273
11	1669627													9.446210	-0.226519	2.655161	0.267240	-0.938650	-0.217989	-0.024618	-0.232793	0.972215	-0.963316	-0.254448	-0.085319
12	1669794													9.458221	-0.226938	2.672398	0.267540	-0.938646	-0.217638	-0.024536	-0.232435	0.972302	-0.963234	-0.254790	-0.085217
13	1669961													9.466835	-0.228867	2.685081	0.267933	-0.938507	-0.217752	-0.024480	-0.232575	0.972270	-0.963127	-0.255173	-0.085289
14	1670127													9.429653	-0.239892	2.616871	0.268177	-0.938408	-0.217879	-0.024427	-0.232714	0.972238	-0.963060	-0.255410	-0.085331
15	1670294													9.449594	-0.291703	2.559344	0.268205	-0.938329	-0.218184	-0.024396	-0.233025	0.972165	-0.963053	-0.255416	-0.085389
16	1670461													9.547520	-0.215931	2.658365	0.268215	-0.938280	-0.218383	-0.024358	-0.233222	0.972118	-0.963051	-0.255418	-0.085408
17	1670627													9.517677	-0.160994	2.645908	0.268470	-0.938221	-0.218325	-0.024262	-0.233159	0.972136	-0.962982	-0.255692	-0.085359
18	1670794													9.411229	-0.198465	2.637843	0.268533	-0.938183	-0.218410	-0.024111	-0.233213	0.972127	-0.962969	-0.255782	-0.085246
19	1670961													9.450265	-0.246427	2.653791	0.268501	-0.938151	-0.218588	-0.024072	-0.233385	0.972086	-0.962979	-0.255744	-0.085248
20	1671127													9.488894	-0.227253	2.652157	0.268366	-0.938147	-0.218769	-0.024064	-0.233558	0.972045	-0.963016	-0.255600	-0.085255
21	1671294													9.501443	-0.157357	2.649419	0.268304	-0.938177	-0.218714	-0.023976	-0.233472	0.972068	-0.963036	-0.255566	-0.085135
22	1671461													9.426597	-0.150240	2.651311	0.268365	-0.938145	-0.218780	-0.023897	-0.233525	0.972057	-0.963021	-0.255638	-0.085089
23	1671627													9.425632	-0.213997	2.660673	0.268229	-0.938188	-0.218759	-0.023838	-0.233475	0.972071	-0.963060	-0.255523	-0.084989
24	1671794													9.475438	-0.244254	2.624804	0.268061	-0.938239	-0.218750	-0.023819	-0.233445	0.972078	-0.963108	-0.255365	-0.084925
25	1671961													9.463017	-0.224754	2.602821	0.267942	-0.938265	-0.218783	-0.023827	-0.233470	0.972072	-0.963140	-0.255246	-0.084913
26	1672127													9.452084	-0.207359	2.619729	0.267928	-0.938301	-0.218644	-0.023781	-0.233313	0.972111	-0.963145	-0.255256	-0.084824
27	1672294													9.464454	-0.207206	2.671770	0.267946	-0.938315	-0.218563	-0.023723	-0.233215	0.972136	-0.963142	-0.255295	-0.084749
28	1672461													9.469157	-0.201412	2.688900	0.267983	-0.938392	-0.218189	-0.023680	-0.232820	0.972232	-0.963133	-0.255375	-0.084613
29	1672627													9.452817	-0.207914	2.674023	0.267924	-0.938474	-0.217906	-0.023645	-0.232512	0.972306	-0.963150	-0.255352	-0.084486
30	1672794													9.487986	-0.216908	2.693681	0.267906	-0.938427	-0.218130	-0.023613	-0.232734	0.972254	-0.963156	-0.255322	-0.084510
31	1672961													9.467191	-0.268461	2.602166	0.267823	-0.938495	-0.217938	-0.023671	-0.232543	0.972298	-0.963177	-0.255245	-0.084496
32	1673127													9.467965	-0.235430	2.678199	0.267712	-0.938495	-0.218077	-0.023674	-0.232677	0.972266	-0.963208	-0.255124	-0.084508
33	1673294													9.494595	-0.202517	2.683897	0.267776	-0.938551	-0.217755	-0.023667	-0.232348	0.972345	-0.963190	-0.255217	-0.084430
34	1673461													9.398044	-0.176604	2.638218	0.267738	-0.938552	-0.217801	-0.023645	-0.232386	0.972336	-0.963202	-0.255181	-0.084411
35	1673627													9.454598	-0.198201	2.637481	0.267619	-0.938599	-0.217742	-0.023643	-0.232314	0.972353	-0.963235	-0.255072	-0.084363
36	1673794													9.509386	-0.238317	2.600934	0.267452	-0.938633	-0.217800	-0.023619	-0.232352	0.972345	-0.963282	-0.254912	-0.084313
37	1673961													9.483386	-0.199688	2.595572	0.267352	-0.938633	-0.217922	-0.023618	-0.232470	0.972317	-0.963309	-0.254804	-0.084320
38	1674127													9.432794	-0.154621	2.610116	0.267285	-0.938660	-0.217890	-0.023590	-0.232422	0.972329	-0.963329	-0.254749	-0.084266
39	1674294													9.464257	-0.187769	2.612162	0.267131	-0.938720	-0.217822	-0.023553	-0.232328	0.972352	-0.963372	-0.254615	-0.084172
40	1674461													9.496481	-0.230787	2.610703	0.267009	-0.938803	-0.217611	-0.023528	-0.232092	0.972409	-0.963407	-0.254522	-0.084059
41	1674627													9.472272	-0.205099	2.640096	0.267017	-0.938768	-0.217753	-0.023501	-0.232233	0.972376	-0.963405	-0.254524	-0.084073
42	1674794													9.454427	-0.202485	2.649308	0.266974	-0.938751	-0.217879	-0.023468	-0.232351	0.972349	-0.963418	-0.254478	-0.084063
43	1674961													9.496452	-0.189067	2.646271	0.266914	-0.938826	-0.217630	-0.023418	-0.232074	0.972416	-0.963436	-0.254455	-0.083929
44	1675127													9.477461	-0.191967	2.665769	0.266987	-0.938870	-0.217350	-0.023362	-0.231776	0.972489	-0.963417	-0.254564	-0.083816
45	1675294													9.443373	-0.212942	2.651668	0.267007	-0.938865	-0.217346	-0.023299	-0.231757	0.972495	-0.963413	-0.254599	-0.083755
46	1675461													9.485207	-0.215581	2.688175	0.266964	-0.938874	-0.217361	-0.023245	-0.231755	0.972496	-0.963426	-0.254569	-0.083694
47	1675627													9.492767	-0.220495	2.655069	0.266967	-0.938891	-0.217283	-0.023206	-0.231664	0.972519	-0.963426	-0.254588	-0.083635
48	1675794													9.487227	-0.206547	2.633798	0.266971	-0.938869	-0.217373	-0.023209	-0.231758	0.972497	-0.963425	-0.254583	-0.083663
49	1675961													9.476717	-0.202231	2.649258	0.267073	-0.938865	-0.217265	-0.023206	-0.231654	0.972521	-0.963397	-0.254693	-0.083656
50	1676127													9.439914	-0.199173	2.649025	0.267128	-0.938873	-0.217164	-0.023232	-0.231562	0.972543	-0.963381	-0.254749	-0.083669
