// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1667794													-0.005133	-0.047084	0.190734	-0.340795	-0.883026	0.322683	-0.040309	0.356638	0.933373	-0.939273	0.305082	-0.157134
1	1667961													9.166680	-0.402172	-3.350288	-0.341411	-0.882760	0.322760	-0.040748	0.356971	0.933226	-0.939030	0.305462	-0.157845
2	1668127													9.166838	-0.389128	-3.354409	-0.342037	-0.882860	0.321820	-0.041081	0.356198	0.933507	-0.938788	0.306073	-0.158102
3	1668294													9.133696	-0.363354	-3.365171	-0.342572	-0.882890	0.321169	-0.041178	0.355636	0.933717	-0.938589	0.306641	-0.158186
4	1668461													9.128945	-0.337522	-3.359679	-0.343138	-0.882863	0.320638	-0.040934	0.355095	0.933934	-0.938393	0.307343	-0.157985
5	1668627													9.143421	-0.333506	-3.364836	-0.343573	-0.882581	0.320949	-0.040432	0.355337	0.933863	-0.938255	0.307874	-0.157769
6	1668794													9.164663	-0.337676	-3.373848	-0.343829	-0.882357	0.321291	-0.039893	0.355568	0.933799	-0.938185	0.308250	-0.157454
7	1668961													9.176430	-0.357034	-3.371652	-0.343881	-0.882353	0.321245	-0.039360	0.355353	0.933903	-0.938188	0.308507	-0.156929
8	1669127													9.169888	-0.340126	-3.366001	-0.343775	-0.882322	0.321445	-0.038957	0.355414	0.933897	-0.938244	0.308528	-0.156555
9	1669294													9.129107	-0.341794	-3.332512	-0.343529	-0.882342	0.321654	-0.038625	0.355482	0.933885	-0.938348	0.308392	-0.156199
10	1669461													9.138732	-0.360757	-3.319780	-0.343204	-0.882393	0.321859	-0.038378	0.355561	0.933865	-0.938476	0.308154	-0.155895
11	1669627													9.179779	-0.364037	-3.331350	-0.342800	-0.882371	0.322349	-0.038147	0.355933	0.933733	-0.938634	0.307787	-0.155674
12	1669794													9.177294	-0.375280	-3.294725	-0.342254	-0.882488	0.322608	-0.038003	0.356064	0.933689	-0.938838	0.307299	-0.155401
13	1669961													9.079789	-0.395162	-3.307353	-0.341716	-0.882704	0.322590	-0.037954	0.355934	0.933740	-0.939036	0.306831	-0.155131
14	1670127													9.121519	-0.399544	-3.314698	-0.341376	-0.882808	0.322665	-0.038063	0.355990	0.933714	-0.939156	0.306466	-0.155129
15	1670294													9.126925	-0.352616	-3.294341	-0.341126	-0.882978	0.322464	-0.038214	0.355783	0.933787	-0.939241	0.306216	-0.155109
16	1670461													9.172695	-0.337382	-3.292433	-0.340909	-0.883129	0.322280	-0.038235	0.355557	0.933872	-0.939318	0.306043	-0.154980
17	1670627													9.173619	-0.322145	-3.290246	-0.340714	-0.883196	0.322303	-0.038235	0.355548	0.933876	-0.939389	0.305862	-0.154909
18	1670794													9.143829	-0.314148	-3.288022	-0.340499	-0.883326	0.322172	-0.038268	0.355383	0.933937	-0.939466	0.305676	-0.154811
19	1670961													9.133444	-0.288264	-3.281231	-0.340346	-0.883399	0.322134	-0.038267	0.355315	0.933963	-0.939521	0.305544	-0.154735
20	1671127													9.137642	-0.272039	-3.262517	-0.340284	-0.883360	0.322306	-0.038203	0.355466	0.933908	-0.939546	0.305481	-0.154707
21	1671294													9.137099	-0.291255	-3.271422	-0.340224	-0.883284	0.322580	-0.038125	0.355719	0.933815	-0.939571	0.305408	-0.154699
22	1671461													9.149266	-0.309291	-3.249315	-0.340178	-0.883153	0.322985	-0.038021	0.356106	0.933672	-0.939592	0.305335	-0.154718
23	1671627													9.128415	-0.334768	-3.268838	-0.340146	-0.882984	0.323481	-0.037961	0.356605	0.933484	-0.939606	0.305242	-0.154817
24	1671794													9.107520	-0.370529	-3.280464	-0.340211	-0.882852	0.323774	-0.037987	0.356934	0.933357	-0.939582	0.305239	-0.154969
25	1671961													9.123975	-0.356207	-3.312870	-0.340355	-0.882772	0.323839	-0.038049	0.357048	0.933311	-0.939527	0.305335	-0.155112
26	1672127													9.190336	-0.354740	-3.303618	-0.340509	-0.882701	0.323871	-0.038089	0.357123	0.933281	-0.939469	0.305455	-0.155225
27	1672294													9.208347	-0.340995	-3.298944	-0.340552	-0.882631	0.324018	-0.038059	0.357275	0.933223	-0.939455	0.305479	-0.155263
28	1672461													9.214259	-0.341224	-3.306404	-0.340492	-0.882646	0.324040	-0.037981	0.357262	0.933232	-0.939480	0.305450	-0.155168
29	1672627													9.147143	-0.347772	-3.304708	-0.340324	-0.882719	0.324017	-0.037947	0.357198	0.933258	-0.939542	0.305314	-0.155060
30	1672794													9.128373	-0.361061	-3.302427	-0.340247	-0.882781	0.323930	-0.038035	0.357121	0.933283	-0.939567	0.305226	-0.155086
31	1672961													9.158597	-0.348162	-3.303375	-0.340154	-0.882874	0.323773	-0.038276	0.357017	0.933313	-0.939590	0.305078	-0.155233
32	1673127													9.133705	-0.306052	-3.302030	-0.340064	-0.882958	0.323639	-0.038426	0.356908	0.933349	-0.939617	0.304963	-0.155300
33	1673294													9.154894	-0.310926	-3.268435	-0.339987	-0.883026	0.323533	-0.038513	0.356812	0.933382	-0.939641	0.304878	-0.155320
34	1673461													9.128484	-0.314231	-3.276607	-0.339956	-0.883048	0.323506	-0.038566	0.356794	0.933387	-0.939650	0.304834	-0.155350
