// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	84296													0.000000	0.000000	0.000000	0.415996	-0.872090	-0.257696	-0.025055	-0.294264	0.955396	-0.909021	-0.390984	-0.144263
1	84462													8.939885	-0.246190	4.066787	0.415931	-0.872456	-0.256556	-0.025312	-0.293115	0.955742	-0.909044	-0.391029	-0.143999
2	84629													8.930801	-0.232332	4.075850	0.415452	-0.873114	-0.255091	-0.025246	-0.291399	0.956268	-0.909265	-0.390844	-0.143105
3	84796													8.930255	-0.227955	4.056603	0.415196	-0.873465	-0.254304	-0.024962	-0.290370	0.956589	-0.909389	-0.390824	-0.142364
4	84962													8.900847	-0.227683	4.045824	0.414885	-0.873643	-0.254199	-0.024664	-0.290074	0.956686	-0.909539	-0.390646	-0.141895
5	85129													8.943443	-0.223688	4.096474	0.414624	-0.873779	-0.254162	-0.024408	-0.289880	0.956752	-0.909666	-0.390488	-0.141518
6	85296													8.972142	-0.227676	4.139839	0.414514	-0.873780	-0.254337	-0.024206	-0.289966	0.956731	-0.909721	-0.390422	-0.141345
7	85462													8.903429	-0.273822	4.043098	0.414466	-0.873860	-0.254139	-0.024122	-0.289704	0.956812	-0.909745	-0.390436	-0.141151
8	85629													8.881504	-0.253510	4.056147	0.414300	-0.873823	-0.254536	-0.024158	-0.290127	0.956683	-0.909820	-0.390205	-0.141309
9	85796													9.033059	-0.177772	4.104702	0.414184	-0.873953	-0.254279	-0.024038	-0.289774	0.956793	-0.909875	-0.390177	-0.141028
10	85962													9.035678	-0.209773	4.072073	0.414112	-0.873867	-0.254692	-0.023865	-0.290139	0.956687	-0.909913	-0.390098	-0.141004
11	86129													8.875441	-0.260601	4.111244	0.414182	-0.873729	-0.255052	-0.023833	-0.290531	0.956569	-0.909882	-0.390115	-0.141156
12	86296													8.811250	-0.223970	4.169277	0.413877	-0.873826	-0.255212	-0.023857	-0.290665	0.956527	-0.910020	-0.389796	-0.141147
13	86462													8.904184	-0.180299	4.063582	0.413645	-0.873919	-0.255271	-0.023700	-0.290624	0.956544	-0.910130	-0.389620	-0.140926
14	86629													8.922464	-0.174889	4.055531	0.413562	-0.873947	-0.255309	-0.023570	-0.290595	0.956556	-0.910171	-0.389578	-0.140778
15	86796													8.926027	-0.245256	4.055734	0.413534	-0.873911	-0.255476	-0.023519	-0.290751	0.956510	-0.910185	-0.389541	-0.140789
16	86962													8.936298	-0.238765	4.059761	0.413607	-0.873842	-0.255596	-0.023485	-0.290881	0.956471	-0.910153	-0.389600	-0.140833
17	87129													8.933824	-0.194678	4.073107	0.413655	-0.873908	-0.255293	-0.023425	-0.290531	0.956579	-0.910132	-0.389713	-0.140651
18	87296													8.925187	-0.215302	4.096969	0.413579	-0.873852	-0.255607	-0.023352	-0.290831	0.956489	-0.910169	-0.389615	-0.140687
19	87462													8.960423	-0.236376	4.104781	0.413471	-0.873859	-0.255760	-0.023303	-0.290959	0.956452	-0.910219	-0.389505	-0.140667
20	87629													8.936169	-0.212773	4.071536	0.413350	-0.873883	-0.255872	-0.023303	-0.291061	0.956421	-0.910274	-0.389373	-0.140674
21	87796													8.934121	-0.252103	4.046765	0.413211	-0.873932	-0.255928	-0.023369	-0.291127	0.956399	-0.910335	-0.389214	-0.140720
22	87962													8.923560	-0.189629	4.089693	0.413145	-0.873969	-0.255907	-0.023314	-0.291070	0.956418	-0.910367	-0.389173	-0.140629
23	88129													8.954142	-0.189162	4.013552	0.412858	-0.874103	-0.255914	-0.023212	-0.290985	0.956446	-0.910500	-0.388936	-0.140425
24	88296													8.950321	-0.209283	4.012770	0.412868	-0.874093	-0.255933	-0.023255	-0.291026	0.956432	-0.910494	-0.388929	-0.140482
25	88462													8.948254	-0.255087	4.082574	0.412586	-0.874246	-0.255863	-0.023353	-0.290944	0.956455	-0.910619	-0.388645	-0.140456
26	88629													8.962743	-0.210782	4.054691	0.412353	-0.874256	-0.256207	-0.023343	-0.291277	0.956354	-0.910725	-0.388375	-0.140517
27	88796													8.943298	-0.185172	4.051223	0.412133	-0.874334	-0.256293	-0.023312	-0.291321	0.956341	-0.910825	-0.388165	-0.140445
28	88962													8.914723	-0.228713	4.048542	0.411943	-0.874310	-0.256680	-0.023349	-0.291727	0.956217	-0.910911	-0.387913	-0.140589
29	89129													8.950590	-0.237312	4.006705	0.411763	-0.874382	-0.256724	-0.023381	-0.291759	0.956206	-0.910991	-0.387728	-0.140580
30	89296													8.970165	-0.205850	4.026334	0.411723	-0.874364	-0.256849	-0.023380	-0.291888	0.956167	-0.911009	-0.387671	-0.140620
31	89462													8.957373	-0.192385	4.078525	0.411673	-0.874428	-0.256712	-0.023353	-0.291718	0.956219	-0.911032	-0.387655	-0.140513
32	89629													8.922927	-0.208117	4.058405	0.411654	-0.874394	-0.256857	-0.023334	-0.291865	0.956175	-0.911041	-0.387620	-0.140551
33	89796													8.917233	-0.220255	4.087455	0.411601	-0.874400	-0.256924	-0.023359	-0.291941	0.956151	-0.911065	-0.387551	-0.140589
34	89962													8.952187	-0.228979	4.073842	0.411505	-0.874418	-0.257014	-0.023378	-0.292031	0.956123	-0.911108	-0.387441	-0.140615
35	90129													8.948611	-0.202102	4.061266	0.411461	-0.874397	-0.257155	-0.023402	-0.292188	0.956074	-0.911127	-0.387369	-0.140687
36	90296													8.936474	-0.200507	4.049397	0.411524	-0.874362	-0.257176	-0.023449	-0.292242	0.956057	-0.911097	-0.387410	-0.140768
37	90462													8.909805	-0.223831	4.056778	0.411650	-0.874312	-0.257143	-0.023545	-0.292268	0.956047	-0.911038	-0.387502	-0.140898
38	90629													8.924874	-0.245296	4.075272	0.411737	-0.874263	-0.257172	-0.023670	-0.292367	0.956013	-0.910995	-0.387539	-0.141072
39	90962													8.932779	-0.202488	4.090816	0.411963	-0.874120	-0.257297	-0.023862	-0.292623	0.955930	-0.910888	-0.387668	-0.141408
40	91129													8.925870	-0.225497	4.070684	0.411954	-0.874157	-0.257182	-0.023971	-0.292543	0.955952	-0.910889	-0.387643	-0.141468
41	91296													8.926133	-0.221869	4.038589	0.411923	-0.874159	-0.257225	-0.024096	-0.292638	0.955920	-0.910900	-0.387568	-0.141608
42	91463													8.988050	-0.176661	4.076994	0.411999	-0.874148	-0.257143	-0.024222	-0.292614	0.955924	-0.910863	-0.387611	-0.141730
43	91629													8.952659	-0.247194	4.049859	0.412047	-0.874100	-0.257227	-0.024428	-0.292803	0.955861	-0.910835	-0.387576	-0.142002
44	91796													8.833245	-0.246601	3.992088	0.411948	-0.874123	-0.257309	-0.024659	-0.292974	0.955802	-0.910874	-0.387396	-0.142245
45	91963													8.982982	-0.203000	4.059786	0.411797	-0.874237	-0.257165	-0.024761	-0.292834	0.955843	-0.910939	-0.387245	-0.142235
46	92129													9.057045	-0.161873	4.071569	0.411742	-0.874284	-0.257091	-0.024748	-0.292738	0.955872	-0.910964	-0.387210	-0.142170
47	92296													8.967504	-0.262031	4.051323	0.411776	-0.874249	-0.257155	-0.024890	-0.292873	0.955827	-0.910945	-0.387186	-0.142358
48	92463													8.797340	-0.280916	4.170682	0.411872	-0.874112	-0.257468	-0.025052	-0.293301	0.955692	-0.910898	-0.387172	-0.142700
49	92629													8.907992	-0.214080	4.125490	0.411542	-0.874233	-0.257586	-0.025133	-0.293408	0.955657	-0.911044	-0.386819	-0.142722
50	92796													8.975658	-0.156481	4.054940	0.411471	-0.874288	-0.257511	-0.025107	-0.293303	0.955690	-0.911077	-0.386773	-0.142637
51	92963													8.883352	-0.218957	4.084408	0.411388	-0.874315	-0.257552	-0.025167	-0.293359	0.955671	-0.911113	-0.386670	-0.142688
52	93129													8.896484	-0.281809	4.051639	0.411276	-0.874378	-0.257518	-0.025270	-0.293347	0.955672	-0.911160	-0.386538	-0.142742
53	93296													8.957379	-0.238866	4.027299	0.411219	-0.874403	-0.257522	-0.025314	-0.293360	0.955667	-0.911185	-0.386470	-0.142770
54	93463													8.962197	-0.202031	4.006303	0.411237	-0.874450	-0.257334	-0.025289	-0.293147	0.955733	-0.911177	-0.386525	-0.142667
55	93629													8.949841	-0.220702	4.041901	0.411241	-0.874544	-0.257008	-0.025296	-0.292794	0.955841	-0.911176	-0.386580	-0.142531
56	93796													8.949774	-0.252831	4.062611	0.411287	-0.874520	-0.257017	-0.025343	-0.292832	0.955828	-0.911154	-0.386606	-0.142601
57	93963													8.938766	-0.259769	4.018856	0.411202	-0.874551	-0.257047	-0.025468	-0.292903	0.955803	-0.911188	-0.386482	-0.142715
58	94129													8.996614	-0.258356	4.033819	0.411206	-0.874555	-0.257029	-0.025585	-0.292934	0.955790	-0.911183	-0.386451	-0.142831
59	94296													8.955939	-0.182562	4.046911	0.411173	-0.874580	-0.256995	-0.025531	-0.292868	0.955812	-0.911200	-0.386442	-0.142748
60	94463													8.962816	-0.199781	4.045288	0.411104	-0.874635	-0.256918	-0.025454	-0.292739	0.955854	-0.911233	-0.386416	-0.142609
61	94629													8.910349	-0.247162	4.080900	0.411147	-0.874673	-0.256720	-0.025522	-0.292559	0.955907	-0.911212	-0.386466	-0.142608
62	94796													8.961216	-0.280139	4.063084	0.410820	-0.874800	-0.256812	-0.025615	-0.292643	0.955879	-0.911356	-0.386116	-0.142632
