// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	84296													0.000000	0.000000	0.000000	-0.272066	-0.920746	0.279656	-0.129161	0.322931	0.937568	-0.953571	0.218959	-0.206783
1	84462													9.291558	-1.235941	-2.669107	-0.271872	-0.920568	0.280428	-0.128870	0.323607	0.937375	-0.953666	0.218707	-0.206613
2	84629													9.326844	-1.200908	-2.657197	-0.272062	-0.920561	0.280266	-0.128438	0.323385	0.937510	-0.953670	0.219064	-0.206216
3	84796													9.361603	-1.198530	-2.668902	-0.271969	-0.920565	0.280345	-0.127533	0.323237	0.937685	-0.953818	0.219268	-0.205313
4	84962													9.336832	-1.206553	-2.631774	-0.271734	-0.920584	0.280511	-0.126770	0.323179	0.937809	-0.953986	0.219274	-0.204521
5	85129													9.278566	-1.257040	-2.653306	-0.271363	-0.920643	0.280676	-0.126400	0.323181	0.937858	-0.954141	0.219022	-0.204069
6	85296													9.315133	-1.237119	-2.672376	-0.271238	-0.920795	0.280298	-0.126481	0.322788	0.937982	-0.954166	0.218964	-0.204015
7	85462													9.378890	-1.232747	-2.645704	-0.271140	-0.920848	0.280217	-0.126544	0.322698	0.938005	-0.954185	0.218871	-0.204024
8	85629													9.363492	-1.246716	-2.630903	-0.270841	-0.920954	0.280160	-0.126577	0.322582	0.938040	-0.954266	0.218598	-0.203940
9	85796													9.351095	-1.240493	-2.616125	-0.270433	-0.921186	0.279791	-0.126648	0.322134	0.938184	-0.954372	0.218281	-0.203782
10	85962													9.312358	-1.206331	-2.595245	-0.269940	-0.921385	0.279611	-0.126730	0.321862	0.938267	-0.954501	0.217841	-0.203650
11	86129													9.250680	-1.158040	-2.592943	-0.269532	-0.921487	0.279667	-0.126740	0.321833	0.938275	-0.954615	0.217450	-0.203534
12	86296													9.251641	-1.178249	-2.596219	-0.269285	-0.921494	0.279882	-0.126698	0.321989	0.938228	-0.954690	0.217190	-0.203458
13	86462													9.320898	-1.193924	-2.608614	-0.269141	-0.921539	0.279874	-0.126718	0.321954	0.938237	-0.954728	0.217052	-0.203426
