// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	319658													0.000000	0.000000	0.000000	0.099382	-0.897990	0.428645	0.004621	0.431190	0.902249	-0.995039	-0.087686	0.047002
1	319825													9.821866	-0.010905	0.959378	0.099613	-0.898770	0.426954	0.004218	0.429466	0.903073	-0.995017	-0.088157	0.046572
2	319991													9.845010	-0.028685	0.968045	0.099283	-0.898956	0.426639	0.002845	0.429013	0.903294	-0.995055	-0.088468	0.045152
3	320158													9.870487	-0.013852	1.023816	0.099039	-0.899199	0.426184	0.001295	0.428405	0.903586	-0.995083	-0.088939	0.043593
4	320325													9.869324	-0.000123	1.017222	0.099430	-0.899133	0.426231	0.000241	0.428375	0.903601	-0.995045	-0.089742	0.042810
5	320491													9.790327	0.002754	0.985235	0.099941	-0.899217	0.425935	-0.000370	0.428045	0.903757	-0.994993	-0.090480	0.042447
6	320658													9.792796	0.011006	0.972274	0.100185	-0.899117	0.426090	-0.000861	0.428166	0.903700	-0.994968	-0.090904	0.042121
7	320825													9.763758	0.035677	0.988327	0.100168	-0.899186	0.425947	-0.001224	0.427989	0.903783	-0.994970	-0.091051	0.041770
8	320991													9.839336	0.054671	1.005251	0.100023	-0.899194	0.425964	-0.001358	0.427987	0.903784	-0.994984	-0.090978	0.041587
9	321158													9.888003	0.085835	0.997666	0.099938	-0.899089	0.426205	-0.001332	0.428229	0.903669	-0.994993	-0.090878	0.041598
10	321325													9.832735	0.084896	0.982996	0.099912	-0.898989	0.426423	-0.001142	0.428464	0.903558	-0.994996	-0.090763	0.041782
11	321491													9.819357	0.042786	0.994807	0.099876	-0.898912	0.426593	-0.000892	0.428656	0.903467	-0.995000	-0.090615	0.042010
12	321658													9.831527	0.035871	0.989573	0.099866	-0.898798	0.426835	-0.000641	0.428922	0.903341	-0.995001	-0.090487	0.042259
13	321825													9.781950	0.026645	0.971727	0.099801	-0.898752	0.426948	-0.000415	0.429053	0.903279	-0.995007	-0.090325	0.042447
14	321991													9.801244	0.001580	0.959430	0.099651	-0.898729	0.427032	-0.000231	0.429148	0.903234	-0.995022	-0.090107	0.042557
15	322158													9.832360	0.005549	0.977619	0.099440	-0.898676	0.427193	-0.000066	0.429315	0.903155	-0.995044	-0.089838	0.042632
16	322325													9.863749	-0.007163	0.967003	0.099261	-0.898651	0.427286	0.000060	0.429412	0.903109	-0.995061	-0.089618	0.042678
17	322491													9.859232	0.024908	0.958152	0.099131	-0.898738	0.427133	0.000129	0.429259	0.903181	-0.995074	-0.089478	0.042669
18	322658													9.849980	0.025219	0.957948	0.099039	-0.898770	0.427088	0.000186	0.429215	0.903202	-0.995084	-0.089372	0.042676
19	322825													9.851532	0.055356	0.956106	0.098983	-0.898740	0.427163	0.000201	0.429289	0.903167	-0.995089	-0.089312	0.042673
20	322991													9.850268	0.043902	0.951246	0.098993	-0.898726	0.427190	0.000184	0.429315	0.903155	-0.995088	-0.089327	0.042664
21	323158													9.845657	0.067565	0.954808	0.099017	-0.898737	0.427163	0.000094	0.429281	0.903171	-0.995086	-0.089389	0.042590
22	323325													9.831261	0.056794	0.964307	0.099065	-0.898659	0.427316	-0.000068	0.429422	0.903104	-0.995081	-0.089495	0.042480
23	323491													9.872719	0.046785	0.974009	0.099167	-0.898647	0.427316	-0.000258	0.429409	0.903110	-0.995071	-0.089669	0.042351
24	323658													9.874033	0.041804	0.970067	0.099367	-0.898623	0.427321	-0.000417	0.429408	0.903110	-0.995051	-0.089917	0.042294
25	323825													9.843759	0.036617	0.988653	0.099612	-0.898533	0.427452	-0.000596	0.429535	0.903050	-0.995026	-0.090209	0.042251
26	323991													9.823018	0.027958	0.970775	0.099829	-0.898460	0.427555	-0.000755	0.429633	0.903003	-0.995004	-0.090469	0.042211
27	324158													9.772777	0.000767	0.987392	0.099974	-0.898485	0.427469	-0.000877	0.429541	0.903047	-0.994990	-0.090656	0.042155
28	324325													9.768219	0.010504	0.984020	0.100001	-0.898531	0.427366	-0.001113	0.429418	0.903105	-0.994987	-0.090787	0.041943
29	324491													9.809926	0.027519	0.983541	0.099933	-0.898513	0.427420	-0.001352	0.429447	0.903091	-0.994993	-0.090827	0.041701
30	324658													9.828505	0.051311	0.994654	0.099794	-0.898524	0.427429	-0.001369	0.429449	0.903090	-0.995007	-0.090708	0.041627
31	324825													9.904087	0.061904	0.998817	0.099676	-0.898478	0.427553	-0.001291	0.429575	0.903030	-0.995019	-0.090563	0.041658
32	324991													9.891829	0.082414	1.020381	0.099696	-0.898422	0.427667	-0.001274	0.429693	0.902974	-0.995017	-0.090568	0.041695
33	325158													9.851119	0.076553	1.009975	0.099834	-0.898300	0.427892	-0.001222	0.429929	0.902862	-0.995003	-0.090659	0.041823
34	325325													9.818031	0.054291	1.018483	0.100013	-0.898181	0.428099	-0.001193	0.430147	0.902758	-0.994985	-0.090798	0.041948
35	325491													9.783712	0.077111	1.001802	0.100170	-0.897990	0.428462	-0.001267	0.430513	0.902584	-0.994970	-0.090955	0.041986
36	325658													9.765324	0.028253	1.003547	0.100253	-0.897756	0.428933	-0.001447	0.430973	0.902364	-0.994961	-0.091085	0.041908
37	325825													9.778379	-0.021554	0.987249	0.100238	-0.897671	0.429115	-0.001689	0.431133	0.902287	-0.994962	-0.091168	0.041700
38	325991													9.815950	-0.033803	0.982645	0.100180	-0.897679	0.429111	-0.001954	0.431102	0.902301	-0.994967	-0.091231	0.041434
39	326158													9.871922	-0.016059	0.995345	0.100116	-0.897741	0.428996	-0.002173	0.430964	0.902367	-0.994973	-0.091273	0.041196
40	326325													9.850154	0.008137	1.000741	0.100143	-0.897810	0.428845	-0.002292	0.430802	0.902443	-0.994970	-0.091356	0.041084
41	326491													9.819803	0.019431	0.983911	0.100178	-0.897969	0.428504	-0.002443	0.430447	0.902612	-0.994967	-0.091468	0.040928
42	326658													9.818763	0.040989	0.993622	0.100115	-0.898103	0.428238	-0.002684	0.430155	0.902751	-0.994972	-0.091529	0.040655
43	326825													9.803921	0.059953	0.980427	0.099966	-0.898253	0.427959	-0.002924	0.429846	0.902897	-0.994987	-0.091510	0.040343
44	326991													9.855156	0.104917	1.004357	0.099791	-0.898338	0.427821	-0.003061	0.429689	0.902972	-0.995004	-0.091418	0.040130
45	327158													9.847520	0.120497	0.982820	0.099651	-0.898220	0.428100	-0.003144	0.429956	0.902845	-0.995017	-0.091315	0.040022
46	327325													9.861141	0.084033	0.986691	0.099562	-0.898089	0.428396	-0.003239	0.430240	0.902709	-0.995026	-0.091264	0.039926
47	327491													9.839509	0.030530	0.974387	0.099513	-0.898009	0.428575	-0.003318	0.430411	0.902627	-0.995031	-0.091245	0.039852
48	327658													9.775983	0.023520	0.997240	0.099459	-0.897938	0.428737	-0.003364	0.430567	0.902552	-0.995036	-0.091209	0.039804
49	327825													9.768048	0.023496	0.994248	0.099325	-0.897858	0.428936	-0.003431	0.430756	0.902462	-0.995049	-0.091109	0.039705
50	327991													9.786314	0.021487	0.964306	0.099078	-0.897688	0.429347	-0.003451	0.431158	0.902270	-0.995074	-0.090877	0.039620
51	328158													9.854902	0.006343	0.992502	0.098782	-0.897685	0.429422	-0.003466	0.431220	0.902240	-0.995103	-0.090614	0.039485
52	328325													9.873802	0.010914	0.961551	0.098530	-0.897675	0.429500	-0.003433	0.431291	0.902206	-0.995128	-0.090368	0.039413
53	328491													9.867242	0.033402	0.972328	0.098357	-0.897635	0.429624	-0.003430	0.431409	0.902150	-0.995145	-0.090207	0.039353
54	328658													9.834151	0.055420	0.974373	0.098255	-0.897697	0.429519	-0.003454	0.431297	0.902204	-0.995155	-0.090130	0.039276
55	328825													9.848915	0.060767	0.963823	0.098145	-0.897718	0.429500	-0.003535	0.431266	0.902218	-0.995166	-0.090066	0.039153
56	328992													9.862447	0.065502	0.963191	0.098104	-0.897751	0.429440	-0.003644	0.431195	0.902252	-0.995170	-0.090079	0.039030
57	329158													9.861203	0.073177	0.975775	0.098133	-0.897732	0.429473	-0.003822	0.431213	0.902242	-0.995166	-0.090181	0.038885
58	329325													9.792619	0.040947	0.970692	0.098216	-0.897689	0.429544	-0.003984	0.431272	0.902213	-0.995157	-0.090323	0.038782
59	329492													9.824357	0.017370	0.981802	0.098299	-0.897658	0.429590	-0.004204	0.431303	0.902198	-0.995148	-0.090491	0.038623
60	329658													9.865318	0.003178	0.960610	0.098343	-0.897627	0.429645	-0.004375	0.431343	0.902177	-0.995143	-0.090603	0.038493
61	329825													9.801021	-0.000999	0.967573	0.098427	-0.897683	0.429508	-0.004565	0.431192	0.902248	-0.995134	-0.090767	0.038343
