// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1445266													-0.256878	0.435505	-0.018292	0.438044	-0.880919	-0.179164	0.035103	-0.182389	0.982600	-0.898268	-0.436711	-0.048971
1	1445432													8.840319	0.310161	4.289045	0.437797	-0.881067	-0.179038	0.034641	-0.182458	0.982603	-0.898406	-0.436383	-0.049359
2	1445599													8.853688	0.313412	4.267435	0.437423	-0.881201	-0.179292	0.033906	-0.183074	0.982514	-0.898617	-0.435853	-0.050203
3	1445766													8.827975	0.318672	4.272094	0.436777	-0.881574	-0.179035	0.033377	-0.183004	0.982545	-0.898951	-0.435129	-0.050507
4	1446599													8.833812	0.305691	4.287501	0.436098	-0.882067	-0.178259	0.032135	-0.182697	0.982644	-0.899325	-0.434257	-0.051328
5	1446766													8.807748	0.324444	4.304702	0.436086	-0.882081	-0.178221	0.031957	-0.182740	0.982642	-0.899337	-0.434212	-0.051502
6	1446932													8.807401	0.303602	4.296001	0.436120	-0.882046	-0.178311	0.031855	-0.182892	0.982617	-0.899325	-0.434219	-0.051665
7	1447099													8.806568	0.306692	4.259123	0.436091	-0.882024	-0.178491	0.031752	-0.183140	0.982574	-0.899342	-0.434159	-0.051860
8	1447266													8.900801	0.306628	4.274970	0.436140	-0.881969	-0.178640	0.031628	-0.183369	0.982535	-0.899323	-0.434173	-0.052079
9	1447432													8.874382	0.263943	4.230344	0.436195	-0.881956	-0.178570	0.031424	-0.183393	0.982537	-0.899303	-0.434189	-0.052281
10	1447599													8.762504	0.312844	4.263513	0.436213	-0.881904	-0.178786	0.031181	-0.183752	0.982478	-0.899303	-0.434144	-0.052657
11	1447766													8.809857	0.382332	4.289499	0.436161	-0.881903	-0.178913	0.031187	-0.183888	0.982452	-0.899328	-0.434087	-0.052701
