// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3411092													-0.005019	0.000209	-0.001379	0.291501	-0.697182	-0.654954	-0.036076	-0.692215	0.720789	-0.955890	-0.186483	-0.226932
1	3411258													9.374556	-0.341184	2.854317	0.291235	-0.696679	-0.655607	-0.036031	-0.692817	0.720213	-0.955973	-0.186129	-0.226875
2	3411425													9.387895	-0.339207	2.831233	0.290997	-0.696247	-0.656171	-0.035861	-0.693308	0.719749	-0.956051	-0.185914	-0.226719
3	3411592													9.416317	-0.347532	2.829248	0.290414	-0.696364	-0.656306	-0.035624	-0.693258	0.719808	-0.956238	-0.185662	-0.226139
4	3412092													9.418041	-0.383851	2.796217	0.288450	-0.696623	-0.656897	-0.035314	-0.693331	0.719754	-0.956844	-0.184415	-0.224592
5	3412258													9.405722	-0.393060	2.812183	0.287872	-0.697041	-0.656707	-0.035452	-0.693021	0.720045	-0.957012	-0.183999	-0.224213
6	3412425													9.382767	-0.356104	2.777842	0.287379	-0.697032	-0.656932	-0.035674	-0.693177	0.719884	-0.957152	-0.183444	-0.224070
7	3412592													9.392234	-0.352081	2.794975	0.286914	-0.697048	-0.657118	-0.035854	-0.693292	0.719765	-0.957285	-0.182950	-0.223907
8	3412758													9.407124	-0.346091	2.808560	0.286551	-0.696982	-0.657347	-0.036037	-0.693475	0.719579	-0.957387	-0.182507	-0.223833
9	3412925													9.428713	-0.335209	2.783416	0.286234	-0.697044	-0.657420	-0.036198	-0.693504	0.719543	-0.957476	-0.182160	-0.223736
10	3413092													9.414995	-0.344854	2.793408	0.285952	-0.697103	-0.657479	-0.036358	-0.693528	0.719512	-0.957554	-0.181841	-0.223661
11	3413258													9.415504	-0.340698	2.798121	0.285672	-0.697301	-0.657391	-0.036501	-0.693397	0.719631	-0.957632	-0.181583	-0.223536
12	3413425													9.422334	-0.345687	2.805731	0.285384	-0.697552	-0.657250	-0.036641	-0.693209	0.719805	-0.957713	-0.181339	-0.223390
13	3413592													9.415600	-0.358429	2.792685	0.285133	-0.697785	-0.657111	-0.036782	-0.693031	0.719969	-0.957782	-0.181117	-0.223272
14	3413758													9.405622	-0.383555	2.806103	0.284967	-0.697770	-0.657199	-0.036923	-0.693109	0.719887	-0.957826	-0.180878	-0.223277
15	3413925													9.403013	-0.388262	2.787593	0.284865	-0.697738	-0.657277	-0.037091	-0.693196	0.719794	-0.957850	-0.180665	-0.223347
16	3414092													9.404749	-0.371797	2.823395	0.284793	-0.697513	-0.657547	-0.037265	-0.693491	0.719501	-0.957864	-0.180406	-0.223494
17	3414258													9.404488	-0.384429	2.804592	0.284772	-0.697479	-0.657592	-0.037448	-0.693567	0.719419	-0.957863	-0.180245	-0.223628
18	3414425													9.393381	-0.397749	2.814137	0.284734	-0.697340	-0.657757	-0.037663	-0.693767	0.719214	-0.957866	-0.180011	-0.223803
19	3414592													9.386296	-0.353612	2.790158	0.284734	-0.697142	-0.657966	-0.037874	-0.694023	0.718956	-0.957858	-0.179792	-0.224016
20	3414758													9.404507	-0.330145	2.806700	0.284714	-0.697127	-0.657991	-0.038068	-0.694080	0.718891	-0.957856	-0.179630	-0.224152
21	3414925													9.428531	-0.374547	2.821016	0.284706	-0.697098	-0.658025	-0.038199	-0.694138	0.718827	-0.957854	-0.179518	-0.224254
22	3415092													9.433237	-0.323997	2.854876	0.284711	-0.696913	-0.658218	-0.038245	-0.694347	0.718623	-0.957850	-0.179426	-0.224342
23	3415258													9.389572	-0.356040	2.824385	0.284742	-0.696908	-0.658210	-0.038442	-0.694383	0.718578	-0.957833	-0.179306	-0.224511
24	3415425													9.410775	-0.383999	2.814207	0.284742	-0.697017	-0.658096	-0.038667	-0.694307	0.718640	-0.957824	-0.179180	-0.224650
25	3415592													9.385982	-0.410223	2.808245	0.284690	-0.697003	-0.658132	-0.038815	-0.694360	0.718581	-0.957833	-0.179028	-0.224731
26	3415758													9.387069	-0.383327	2.802076	0.284670	-0.697106	-0.658032	-0.038919	-0.694271	0.718660	-0.957835	-0.178971	-0.224769
27	3415925													9.378575	-0.382862	2.816792	0.284695	-0.697237	-0.657883	-0.039060	-0.694149	0.718770	-0.957822	-0.178934	-0.224855
28	3416092													9.386947	-0.413220	2.800499	0.284752	-0.697134	-0.657967	-0.039207	-0.694278	0.718638	-0.957799	-0.178837	-0.225030
29	3416258													9.377041	-0.427185	2.829021	0.284844	-0.697077	-0.657987	-0.039347	-0.694347	0.718564	-0.957766	-0.178788	-0.225209
30	3416425													9.400497	-0.404473	2.839370	0.284914	-0.696972	-0.658069	-0.039448	-0.694467	0.718442	-0.957741	-0.178735	-0.225358
31	3416592													9.386849	-0.371046	2.821323	0.284980	-0.696872	-0.658146	-0.039508	-0.694574	0.718336	-0.957719	-0.178709	-0.225472
32	3416758													9.400998	-0.375727	2.841940	0.285060	-0.696707	-0.658286	-0.039554	-0.694746	0.718166	-0.957693	-0.178682	-0.225602
33	3416925													9.387902	-0.383348	2.849579	0.285115	-0.696550	-0.658429	-0.039590	-0.694913	0.718003	-0.957675	-0.178646	-0.225707
34	3417092													9.390856	-0.339990	2.823269	0.285134	-0.696482	-0.658492	-0.039552	-0.694976	0.717944	-0.957671	-0.178665	-0.225709
35	3417258													9.421286	-0.349388	2.825229	0.285123	-0.696571	-0.658403	-0.039587	-0.694888	0.718028	-0.957673	-0.178662	-0.225704
36	3417425													9.378575	-0.378449	2.809619	0.285055	-0.696461	-0.658548	-0.039560	-0.695016	0.717905	-0.957694	-0.178590	-0.225670
37	3417592													9.403399	-0.330828	2.786430	0.285022	-0.696445	-0.658580	-0.039522	-0.695034	0.717890	-0.957706	-0.178586	-0.225625
38	3417758													9.389275	-0.356298	2.833822	0.285013	-0.696568	-0.658453	-0.039569	-0.694909	0.718008	-0.957707	-0.178587	-0.225620
39	3417925													9.393254	-0.384553	2.809840	0.284956	-0.696644	-0.658398	-0.039527	-0.694831	0.718086	-0.957725	-0.178598	-0.225533
40	3418092													9.407539	-0.364526	2.811779	0.284879	-0.696801	-0.658264	-0.039509	-0.694671	0.718241	-0.957749	-0.178605	-0.225427
41	3418258													9.397436	-0.384811	2.825322	0.284828	-0.696840	-0.658245	-0.039458	-0.694630	0.718284	-0.957766	-0.178614	-0.225346
42	3418425													9.390169	-0.371450	2.833694	0.284797	-0.696858	-0.658240	-0.039375	-0.694601	0.718317	-0.957779	-0.178656	-0.225259
43	3418592													9.389697	-0.339557	2.835249	0.284792	-0.696798	-0.658306	-0.039302	-0.694654	0.718269	-0.957783	-0.178685	-0.225218
44	3418758													9.406344	-0.346445	2.820815	0.284833	-0.696692	-0.658399	-0.039217	-0.694745	0.718186	-0.957775	-0.178743	-0.225208
45	3418925													9.404166	-0.343641	2.829281	0.284859	-0.696600	-0.658486	-0.039151	-0.694828	0.718110	-0.957770	-0.178779	-0.225201
46	3419092													9.400183	-0.347926	2.861431	0.284891	-0.696556	-0.658518	-0.039134	-0.694866	0.718073	-0.957761	-0.178803	-0.225220
47	3419258													9.381465	-0.348859	2.825887	0.284886	-0.696624	-0.658449	-0.039137	-0.694794	0.718143	-0.957762	-0.178819	-0.225201
48	3419425													9.388302	-0.337505	2.833923	0.284908	-0.696614	-0.658450	-0.039154	-0.694803	0.718133	-0.957755	-0.178821	-0.225230
49	3419592													9.383946	-0.341449	2.833032	0.284901	-0.696684	-0.658379	-0.039192	-0.694735	0.718197	-0.957756	-0.178812	-0.225235
50	3419758													9.392025	-0.340845	2.819489	0.284873	-0.696675	-0.658401	-0.039252	-0.694763	0.718167	-0.957761	-0.178743	-0.225265
51	3419925													9.401123	-0.349428	2.816542	0.284866	-0.696762	-0.658311	-0.039287	-0.694676	0.718250	-0.957762	-0.178742	-0.225263
52	3420092													9.405515	-0.348466	2.820887	0.284853	-0.696711	-0.658371	-0.039355	-0.694747	0.718177	-0.957763	-0.178665	-0.225320
53	3420258													9.411497	-0.354256	2.828580	0.284849	-0.696671	-0.658415	-0.039421	-0.694803	0.718119	-0.957762	-0.178600	-0.225377
54	3420425													9.410590	-0.357303	2.842334	0.284852	-0.696680	-0.658405	-0.039503	-0.694809	0.718109	-0.957757	-0.178546	-0.225438
55	3420592													9.401723	-0.353564	2.831245	0.284818	-0.696679	-0.658420	-0.039572	-0.694829	0.718086	-0.957765	-0.178468	-0.225469
56	3420758													9.411669	-0.375407	2.822249	0.284761	-0.696556	-0.658575	-0.039643	-0.694988	0.717928	-0.957779	-0.178330	-0.225519
57	3420925													9.399689	-0.359689	2.839548	0.284680	-0.696529	-0.658638	-0.039738	-0.695051	0.717861	-0.957799	-0.178187	-0.225546
58	3421092													9.401575	-0.354483	2.825845	0.284605	-0.696526	-0.658674	-0.039853	-0.695091	0.717816	-0.957816	-0.178044	-0.225585
59	3421258													9.372803	-0.357407	2.857765	0.284487	-0.696536	-0.658714	-0.040021	-0.695135	0.717764	-0.957844	-0.177832	-0.225633
60	3421425													9.376925	-0.350710	2.848617	0.284348	-0.696713	-0.658587	-0.040238	-0.695011	0.717872	-0.957876	-0.177625	-0.225660
61	3421592													9.374096	-0.343357	2.847265	0.284175	-0.696742	-0.658631	-0.040428	-0.695049	0.717825	-0.957920	-0.177361	-0.225683
62	3421759													9.391869	-0.334563	2.859184	0.284015	-0.696895	-0.658538	-0.040613	-0.694949	0.717911	-0.957959	-0.177152	-0.225679
63	3421925													9.379318	-0.366738	2.823066	0.283852	-0.696913	-0.658589	-0.040860	-0.695008	0.717840	-0.957997	-0.176851	-0.225755
64	3422092													9.379385	-0.366524	2.804984	0.283647	-0.697100	-0.658480	-0.041048	-0.694880	0.717953	-0.958050	-0.176616	-0.225715
65	3422259													9.388454	-0.325272	2.811779	0.283305	-0.697201	-0.658520	-0.041149	-0.694857	0.717970	-0.958147	-0.176307	-0.225545
66	3422425													9.411605	-0.352146	2.835705	0.282932	-0.697231	-0.658649	-0.041187	-0.694906	0.717920	-0.958255	-0.175994	-0.225328
67	3422592													9.421218	-0.317946	2.827929	0.282528	-0.697208	-0.658847	-0.041138	-0.695004	0.717828	-0.958376	-0.175703	-0.225040
68	3422759													9.398407	-0.361230	2.865119	0.282212	-0.697264	-0.658923	-0.041223	-0.695021	0.717807	-0.958466	-0.175411	-0.224887
69	3422925													9.403362	-0.395105	2.827746	0.281804	-0.697396	-0.658958	-0.041346	-0.694981	0.717838	-0.958581	-0.175045	-0.224683
70	3423092													9.373275	-0.388084	2.837320	0.281355	-0.697438	-0.659106	-0.041375	-0.695030	0.717789	-0.958711	-0.174683	-0.224406
71	3423259													9.353744	-0.367043	2.817010	0.280895	-0.697577	-0.659154	-0.041422	-0.694978	0.717837	-0.958844	-0.174334	-0.224111
72	3423425													9.375379	-0.378185	2.824490	0.280479	-0.697726	-0.659174	-0.041482	-0.694909	0.717900	-0.958963	-0.174013	-0.223851
73	3423592													9.395831	-0.415118	2.810932	0.280118	-0.697888	-0.659156	-0.041595	-0.694824	0.717976	-0.959064	-0.173701	-0.223661
74	3423759													9.383437	-0.409233	2.816383	0.279752	-0.698100	-0.659087	-0.041758	-0.694695	0.718091	-0.959164	-0.173366	-0.223494
75	3423925													9.414590	-0.412578	2.804265	0.279383	-0.698144	-0.659196	-0.041911	-0.694747	0.718032	-0.959264	-0.172979	-0.223361
76	3424092													9.416851	-0.393780	2.816983	0.278982	-0.698259	-0.659245	-0.042046	-0.694725	0.718046	-0.959375	-0.172604	-0.223175
77	3424259													9.458215	-0.378260	2.794343	0.278599	-0.698273	-0.659392	-0.042158	-0.694805	0.717962	-0.959482	-0.172225	-0.223009
78	3424425													9.420244	-0.385449	2.775711	0.278200	-0.698272	-0.659561	-0.042277	-0.694905	0.717858	-0.959592	-0.171824	-0.222843
79	3424592													9.397065	-0.375632	2.742090	0.277791	-0.698373	-0.659627	-0.042381	-0.694894	0.717863	-0.959706	-0.171460	-0.222633
80	3424759													9.425974	-0.419324	2.763639	0.277376	-0.698450	-0.659720	-0.042560	-0.694922	0.717825	-0.959818	-0.171029	-0.222481
81	3424925													9.413880	-0.377677	2.735588	0.276906	-0.698343	-0.660031	-0.042627	-0.695142	0.717608	-0.959951	-0.170574	-0.222257
82	3425092													9.423078	-0.338752	2.772248	0.276530	-0.698388	-0.660140	-0.042710	-0.695179	0.717566	-0.960056	-0.170234	-0.222066
83	3425259													9.403174	-0.388075	2.778838	0.276160	-0.698652	-0.660015	-0.042900	-0.694997	0.717732	-0.960154	-0.169894	-0.221902
84	3425425													9.405707	-0.391870	2.737486	0.275769	-0.698660	-0.660171	-0.042998	-0.695081	0.717644	-0.960262	-0.169517	-0.221723
85	3425592													9.426906	-0.361456	2.784257	0.275355	-0.698850	-0.660143	-0.043029	-0.694959	0.717760	-0.960379	-0.169233	-0.221431
86	3425759													9.410848	-0.365127	2.771652	0.274902	-0.699009	-0.660163	-0.043016	-0.694871	0.717847	-0.960509	-0.168940	-0.221090
87	3425925													9.421729	-0.368011	2.724331	0.274499	-0.699145	-0.660187	-0.042984	-0.694795	0.717922	-0.960626	-0.168691	-0.220773
88	3426092													9.418507	-0.356570	2.730179	0.274121	-0.699290	-0.660190	-0.042929	-0.694699	0.718018	-0.960737	-0.168482	-0.220452
89	3426259													9.433144	-0.355196	2.738348	0.273759	-0.699445	-0.660177	-0.042868	-0.694590	0.718128	-0.960842	-0.168293	-0.220134
90	3426425													9.443370	-0.360370	2.765205	0.273407	-0.699568	-0.660191	-0.042808	-0.694511	0.718207	-0.960945	-0.168102	-0.219832
91	3426592													9.432162	-0.371207	2.784916	0.273050	-0.699653	-0.660249	-0.042736	-0.694474	0.718247	-0.961050	-0.167901	-0.219526
92	3426759													9.417466	-0.379608	2.767905	0.272638	-0.699724	-0.660344	-0.042680	-0.694465	0.718259	-0.961170	-0.167641	-0.219202
93	3426925													9.423794	-0.359178	2.749122	0.272188	-0.699796	-0.660453	-0.042634	-0.694465	0.718263	-0.961299	-0.167345	-0.218860
94	3427092													9.404578	-0.363762	2.727212	0.271759	-0.699882	-0.660540	-0.042610	-0.694448	0.718280	-0.961422	-0.167053	-0.218544
95	3427259													9.434692	-0.374417	2.712631	0.271340	-0.699972	-0.660617	-0.042590	-0.694426	0.718302	-0.961541	-0.166769	-0.218237
96	3427425													9.415628	-0.387532	2.746018	0.270950	-0.700044	-0.660700	-0.042561	-0.694416	0.718314	-0.961652	-0.166507	-0.217947
97	3427592													9.421398	-0.382296	2.721626	0.270577	-0.700060	-0.660836	-0.042570	-0.694471	0.718261	-0.961757	-0.166213	-0.217709
98	3427759													9.426487	-0.392616	2.722869	0.270148	-0.700141	-0.660926	-0.042574	-0.694464	0.718267	-0.961877	-0.165900	-0.217415
99	3427925													9.437535	-0.398705	2.710949	0.269663	-0.700336	-0.660917	-0.042573	-0.694342	0.718384	-0.962013	-0.165584	-0.217054
100	3428092													9.447931	-0.384343	2.705929	0.269212	-0.700359	-0.661077	-0.042579	-0.694403	0.718326	-0.962139	-0.165234	-0.216762
101	3428259													9.454991	-0.371992	2.687140	0.268763	-0.700456	-0.661156	-0.042592	-0.694383	0.718344	-0.962264	-0.164904	-0.216458
102	3428425													9.456090	-0.369500	2.669137	0.268403	-0.700499	-0.661257	-0.042624	-0.694409	0.718317	-0.962363	-0.164613	-0.216240
103	3428592													9.440320	-0.373838	2.662922	0.268149	-0.700488	-0.661372	-0.042657	-0.694474	0.718253	-0.962433	-0.164386	-0.216103
104	3428759													9.427772	-0.360637	2.676151	0.267945	-0.700390	-0.661558	-0.042706	-0.694626	0.718102	-0.962487	-0.164159	-0.216032
105	3428925													9.436339	-0.343683	2.683466	0.267774	-0.700407	-0.661610	-0.042720	-0.694642	0.718086	-0.962534	-0.164021	-0.215928
106	3429092													9.437070	-0.328297	2.674160	0.267616	-0.700402	-0.661678	-0.042783	-0.694687	0.718039	-0.962575	-0.163850	-0.215874
107	3429259													9.438949	-0.353084	2.693205	0.267514	-0.700465	-0.661654	-0.042914	-0.694660	0.718057	-0.962598	-0.163696	-0.215891
108	3429425													9.424646	-0.355270	2.665155	0.267424	-0.700479	-0.661675	-0.043005	-0.694677	0.718035	-0.962619	-0.163565	-0.215897
109	3429592													9.433949	-0.294833	2.676180	0.267378	-0.700490	-0.661682	-0.043029	-0.694678	0.718033	-0.962630	-0.163515	-0.215883
110	3429759													9.479721	-0.311309	2.707933	0.267342	-0.700682	-0.661493	-0.043001	-0.694470	0.718235	-0.962642	-0.163569	-0.215791
111	3429925													9.468266	-0.337562	2.719720	0.267252	-0.700736	-0.661472	-0.042955	-0.694421	0.718286	-0.962669	-0.163550	-0.215685
112	3430092													9.459312	-0.346575	2.712258	0.267152	-0.700763	-0.661484	-0.042931	-0.694406	0.718302	-0.962698	-0.163498	-0.215597
113	3430259													9.432251	-0.352878	2.691042	0.267074	-0.700701	-0.661581	-0.042992	-0.694498	0.718209	-0.962717	-0.163372	-0.215607
114	3430425													9.413586	-0.386695	2.692137	0.267004	-0.700837	-0.661465	-0.043080	-0.694378	0.718319	-0.962732	-0.163298	-0.215594
115	3430592													9.410718	-0.368353	2.700537	0.267001	-0.700883	-0.661418	-0.043152	-0.694341	0.718351	-0.962730	-0.163258	-0.215634
116	3430759													9.415864	-0.373946	2.677120	0.267060	-0.700827	-0.661453	-0.043227	-0.694404	0.718286	-0.962710	-0.163232	-0.215742
117	3430925													9.426497	-0.387732	2.690157	0.267135	-0.700771	-0.661482	-0.043345	-0.694470	0.718215	-0.962684	-0.163188	-0.215892
118	3431092													9.426822	-0.398116	2.695879	0.267167	-0.700693	-0.661552	-0.043476	-0.694572	0.718109	-0.962669	-0.163093	-0.216030
119	3431259													9.420926	-0.391052	2.704717	0.267146	-0.700625	-0.661633	-0.043573	-0.694666	0.718012	-0.962671	-0.162985	-0.216105
120	3431425													9.431070	-0.382459	2.696160	0.267109	-0.700611	-0.661662	-0.043673	-0.694704	0.717969	-0.962676	-0.162879	-0.216159
121	3431592													9.456340	-0.379990	2.683438	0.267098	-0.700656	-0.661619	-0.043787	-0.694677	0.717988	-0.962674	-0.162803	-0.216226
122	3431759													9.457911	-0.385905	2.683788	0.267101	-0.700654	-0.661620	-0.043915	-0.694701	0.717957	-0.962667	-0.162712	-0.216324
123	3431925													9.445380	-0.385312	2.642476	0.267087	-0.700664	-0.661615	-0.044091	-0.694722	0.717926	-0.962663	-0.162577	-0.216444
124	3432092													9.410512	-0.432927	2.678767	0.267064	-0.700717	-0.661568	-0.044302	-0.694705	0.717930	-0.962660	-0.162425	-0.216574
125	3432259													9.436336	-0.345584	2.674460	0.267006	-0.700630	-0.661684	-0.044311	-0.694810	0.717827	-0.962676	-0.162344	-0.216564
126	3432425													9.439472	-0.342567	2.669397	0.267006	-0.700560	-0.661758	-0.044406	-0.694903	0.717731	-0.962671	-0.162253	-0.216652
127	3432592													9.434360	-0.407137	2.672945	0.267013	-0.700553	-0.661762	-0.044574	-0.694937	0.717688	-0.962662	-0.162135	-0.216783
128	3432759													9.447053	-0.402621	2.677545	0.266999	-0.700492	-0.661832	-0.044663	-0.695021	0.717601	-0.962661	-0.162040	-0.216856
129	3432925													9.409266	-0.376041	2.703712	0.267009	-0.700510	-0.661810	-0.044687	-0.695004	0.717616	-0.962657	-0.162035	-0.216876
130	3433092													9.431584	-0.360797	2.687778	0.267031	-0.700557	-0.661751	-0.044683	-0.694949	0.717670	-0.962651	-0.162071	-0.216876
131	3433259													9.461200	-0.378238	2.668058	0.267065	-0.700621	-0.661670	-0.044674	-0.694871	0.717745	-0.962642	-0.162125	-0.216875
132	3433425													9.447749	-0.364119	2.695691	0.267109	-0.700569	-0.661707	-0.044633	-0.694912	0.717708	-0.962632	-0.162172	-0.216886
133	3433592													9.441448	-0.363575	2.684287	0.267179	-0.700614	-0.661631	-0.044578	-0.694842	0.717780	-0.962615	-0.162282	-0.216879
