// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3411092													-0.004939	-0.000077	0.001100	-0.308535	-0.949037	0.064305	0.016921	0.062117	0.997925	-0.951063	0.308983	-0.003106
1	3411258													9.290440	0.143320	-3.011429	-0.308611	-0.948987	0.064678	0.016271	0.062720	0.997899	-0.951049	0.309015	-0.003915
2	3411425													9.238492	0.184907	-3.013713	-0.308659	-0.948946	0.065048	0.015771	0.063272	0.997872	-0.951042	0.309028	-0.004563
3	3411592													9.222372	0.242587	-3.012251	-0.309004	-0.948821	0.065229	0.015922	0.063415	0.997860	-0.950928	0.309381	-0.004488
4	3412092													9.223453	0.269388	-2.990918	-0.309408	-0.948655	0.065727	0.016692	0.063690	0.997830	-0.950783	0.309834	-0.003871
5	3412258													9.213916	0.266001	-3.010222	-0.309710	-0.948523	0.066214	0.017692	0.063877	0.997801	-0.950667	0.310200	-0.003003
6	3412425													9.238378	0.237906	-3.041556	-0.310069	-0.948358	0.066891	0.018553	0.064309	0.997758	-0.950533	0.310614	-0.002345
7	3412592													9.266065	0.162268	-3.033490	-0.310511	-0.948179	0.067378	0.019122	0.064637	0.997726	-0.950377	0.311093	-0.001940
8	3412758													9.270786	0.118414	-3.071605	-0.310866	-0.948000	0.068244	0.019236	0.065512	0.997666	-0.950259	0.311454	-0.002129
9	3412925													9.264798	0.118055	-3.063849	-0.311254	-0.947866	0.068350	0.019090	0.065672	0.997659	-0.950135	0.311830	-0.002346
10	3413092													9.256347	0.113788	-3.062731	-0.311586	-0.947782	0.067996	0.018780	0.065402	0.997682	-0.950032	0.312140	-0.002579
11	3413258													9.238360	0.127390	-3.064878	-0.311896	-0.947693	0.067811	0.018443	0.065319	0.997694	-0.949937	0.312428	-0.002894
12	3413425													9.262019	0.133182	-3.059302	-0.312131	-0.947652	0.067310	0.018118	0.064899	0.997727	-0.949866	0.312641	-0.003088
13	3413592													9.263535	0.131610	-3.048568	-0.312274	-0.947631	0.066934	0.017783	0.064614	0.997752	-0.949826	0.312763	-0.003325
14	3413758													9.265316	0.151076	-3.067065	-0.312313	-0.947631	0.066758	0.017400	0.064555	0.997762	-0.949820	0.312776	-0.003673
15	3413925													9.252269	0.179133	-3.044002	-0.312253	-0.947687	0.066230	0.016984	0.064136	0.997797	-0.949847	0.312690	-0.003931
16	3414092													9.243787	0.182816	-3.046046	-0.312106	-0.947778	0.065627	0.016634	0.063615	0.997836	-0.949902	0.312522	-0.004089
