// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3189710													-0.022400	0.033896	0.046342	-0.429868	-0.894667	0.121590	-0.042853	0.154732	0.987027	-0.901874	0.419081	-0.104854
1	3189877													8.668889	-0.502432	-4.137940	-0.429603	-0.895110	0.119245	-0.044251	0.152760	0.987272	-0.901933	0.418858	-0.105236
2	3190043													8.726804	-0.519917	-4.172572	-0.429571	-0.895251	0.118296	-0.046417	0.152716	0.987179	-0.901839	0.418573	-0.107157
3	3190210													8.785748	-0.476595	-4.160898	-0.429676	-0.895345	0.117205	-0.048569	0.152525	0.987105	-0.901676	0.418442	-0.109023
4	3190710													8.801422	-0.433746	-4.141129	-0.429351	-0.895599	0.116449	-0.049781	0.152211	0.987094	-0.901765	0.418013	-0.109936
5	3190877													8.816617	-0.399147	-4.152699	-0.428896	-0.895774	0.116779	-0.050141	0.152679	0.987003	-0.901961	0.417466	-0.110399
6	3191043													8.757107	-0.455294	-4.146942	-0.428312	-0.895992	0.117247	-0.050080	0.153089	0.986943	-0.902242	0.416848	-0.110441
7	3191210													8.729665	-0.359636	-4.142096	-0.428021	-0.896097	0.117505	-0.050109	0.153347	0.986901	-0.902379	0.416526	-0.110538
8	3191377													8.700998	-0.389573	-4.108253	-0.427879	-0.896016	0.118637	-0.049719	0.154394	0.986758	-0.902467	0.416314	-0.110611
9	3191544													8.714621	-0.493309	-4.119670	-0.427852	-0.895974	0.119055	-0.049336	0.154674	0.986733	-0.902501	0.416302	-0.110381
10	3191710													8.706501	-0.545274	-4.141605	-0.427923	-0.895880	0.119503	-0.049216	0.155121	0.986669	-0.902474	0.416337	-0.110472
11	3191877													8.728076	-0.481384	-4.132988	-0.428088	-0.895814	0.119408	-0.049304	0.155080	0.986671	-0.902391	0.416494	-0.110555
12	3192044													8.737636	-0.455342	-4.150140	-0.428269	-0.895764	0.119134	-0.049329	0.154814	0.986711	-0.902304	0.416701	-0.110490
13	3192210													8.754778	-0.475563	-4.167068	-0.428460	-0.895687	0.119026	-0.049350	0.154731	0.986723	-0.902212	0.416897	-0.110498
14	3192377													8.778268	-0.477610	-4.189766	-0.428614	-0.895628	0.118912	-0.049381	0.154640	0.986736	-0.902137	0.417057	-0.110508
15	3192544													8.777054	-0.442910	-4.175977	-0.428736	-0.895572	0.118895	-0.049451	0.154671	0.986728	-0.902076	0.417166	-0.110600
16	3192710													8.769771	-0.427747	-4.168720	-0.428793	-0.895558	0.118795	-0.049495	0.154588	0.986738	-0.902046	0.417226	-0.110612
17	3192877													8.760896	-0.414264	-4.158972	-0.428830	-0.895540	0.118801	-0.049495	0.154599	0.986737	-0.902028	0.417262	-0.110621
18	3193044													8.723310	-0.427800	-4.155338	-0.428839	-0.895539	0.118774	-0.049411	0.154533	0.986751	-0.902029	0.417289	-0.110519
19	3193210													8.738051	-0.438160	-4.173101	-0.428870	-0.895490	0.119033	-0.049279	0.154760	0.986722	-0.902021	0.417309	-0.110501
20	3193377													8.729493	-0.431198	-4.174811	-0.428928	-0.895470	0.118975	-0.049149	0.154645	0.986747	-0.902001	0.417396	-0.110343
