// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	4994276													0.093559	0.196618	0.161868	-0.003662	-0.760988	-0.648756	-0.034032	-0.648289	0.760633	-0.999414	0.024864	-0.023524
1	4994443													9.831862	-0.459965	0.014224	-0.003314	-0.760856	-0.648912	-0.034730	-0.648436	0.760476	-0.999391	0.025057	-0.024275
2	4994609													9.787765	-0.443354	0.083243	-0.002059	-0.760507	-0.649327	-0.037406	-0.648815	0.760026	-0.999298	0.025854	-0.027111
3	4994776													9.831631	-0.402564	0.087114	0.000014	-0.761507	-0.648157	-0.039760	-0.647645	0.760904	-0.999209	0.025760	-0.030287
4	4994943													9.800119	-0.470118	0.048111	0.001925	-0.762220	-0.647315	-0.041042	-0.646831	0.761528	-0.999156	0.025101	-0.032529
5	4995109													9.746126	-0.474334	0.037398	0.003024	-0.762505	-0.646975	-0.042300	-0.646497	0.761743	-0.999100	0.025063	-0.034209
6	4995276													9.767953	-0.468079	-0.000730	0.003714	-0.763176	-0.646180	-0.043432	-0.645698	0.762357	-0.999049	0.025234	-0.035544
7	4995443													9.758037	-0.455347	0.010674	0.004152	-0.763468	-0.645833	-0.044348	-0.645343	0.762604	-0.999008	0.025475	-0.036538
8	4995609													9.769861	-0.447681	0.021611	0.004376	-0.763614	-0.645658	-0.045058	-0.645159	0.762719	-0.998975	0.025754	-0.037231
9	4995776													9.831933	-0.471786	0.016623	0.004511	-0.764272	-0.644878	-0.045589	-0.644372	0.763352	-0.998950	0.025956	-0.037749
10	4995943													9.843716	-0.457761	0.013561	0.004519	-0.764329	-0.644810	-0.046062	-0.644291	0.763392	-0.998928	0.026252	-0.038118
11	4996109													9.811959	-0.440580	0.037620	0.004493	-0.764591	-0.644500	-0.046505	-0.643969	0.763637	-0.998908	0.026542	-0.038450
12	4996276													9.832899	-0.426959	0.019319	0.004277	-0.764960	-0.644064	-0.046865	-0.643515	0.763997	-0.998892	0.026916	-0.038602
13	4996443													9.894178	-0.433265	-0.021761	0.004070	-0.764995	-0.644024	-0.047060	-0.643462	0.764030	-0.998884	0.027198	-0.038620
14	4996609													9.789281	-0.467207	-0.030391	0.003925	-0.765095	-0.643906	-0.047182	-0.643336	0.764129	-0.998879	0.027382	-0.038624
15	4996776													9.762943	-0.427795	0.012729	0.003615	-0.765151	-0.643841	-0.047362	-0.643254	0.764187	-0.998871	0.027731	-0.038564
16	4996943													9.790196	-0.447534	-0.037272	0.003256	-0.765429	-0.643512	-0.047469	-0.642908	0.764471	-0.998867	0.028058	-0.038427
17	4997109													9.776160	-0.445202	0.006881	0.002958	-0.765622	-0.643284	-0.047496	-0.642668	0.764671	-0.998867	0.028291	-0.038265
18	4997276													9.772721	-0.437967	-0.005203	0.002558	-0.765706	-0.643186	-0.047514	-0.642555	0.764765	-0.998867	0.028604	-0.038026
19	4997443													9.802993	-0.469127	0.010961	0.002171	-0.765732	-0.643156	-0.047543	-0.642509	0.764802	-0.998867	0.028917	-0.037800
20	4997609													9.819201	-0.444568	0.048933	0.001792	-0.765740	-0.643148	-0.047604	-0.642485	0.764818	-0.998865	0.029246	-0.037604
21	4997776													9.824327	-0.471644	0.030525	0.001451	-0.765917	-0.642938	-0.047596	-0.642263	0.765005	-0.998866	0.029492	-0.037387
22	4997943													9.856414	-0.458736	0.040859	0.001142	-0.765952	-0.642897	-0.047610	-0.642210	0.765049	-0.998865	0.029734	-0.037200
23	4998109													9.844558	-0.450570	0.011596	0.000800	-0.766118	-0.642699	-0.047606	-0.642000	0.765225	-0.998866	0.029984	-0.036986
24	4998276													9.821976	-0.439096	-0.003736	0.000474	-0.766118	-0.642700	-0.047584	-0.641989	0.765235	-0.998867	0.030220	-0.036759
25	4998443													9.819909	-0.445311	-0.041424	0.000144	-0.766045	-0.642788	-0.047559	-0.642065	0.765173	-0.998868	0.030460	-0.036524
26	4998609													9.810256	-0.445519	-0.053888	-0.000139	-0.766195	-0.642609	-0.047555	-0.641876	0.765332	-0.998869	0.030666	-0.036347
27	4998776													9.794599	-0.443573	-0.065561	-0.000387	-0.766174	-0.642633	-0.047506	-0.641893	0.765321	-0.998871	0.030825	-0.036149
28	4998943													9.793810	-0.450099	-0.063051	-0.000605	-0.766098	-0.642724	-0.047512	-0.641976	0.765251	-0.998871	0.031000	-0.036010
29	4999109													9.811085	-0.444261	-0.028077	-0.000783	-0.766034	-0.642800	-0.047543	-0.642045	0.765192	-0.998869	0.031160	-0.035917
30	4999276													9.812680	-0.449233	-0.007159	-0.000883	-0.766095	-0.642727	-0.047610	-0.641966	0.765253	-0.998866	0.031275	-0.035907
31	4999443													9.802145	-0.468165	0.003637	-0.000991	-0.766123	-0.642693	-0.047670	-0.641926	0.765283	-0.998863	0.031395	-0.035885
32	4999609													9.815856	-0.449622	0.009041	-0.001070	-0.766063	-0.642765	-0.047724	-0.641994	0.765223	-0.998860	0.031494	-0.035873
33	4999776													9.819689	-0.452052	0.003778	-0.001175	-0.766009	-0.642829	-0.047849	-0.642050	0.765168	-0.998854	0.031657	-0.035898
34	4999943													9.801224	-0.418263	-0.034079	-0.001268	-0.765893	-0.642967	-0.047980	-0.642180	0.765051	-0.998847	0.031820	-0.035933
35	5000109													9.837911	-0.404272	-0.034915	-0.001398	-0.765939	-0.642912	-0.048084	-0.642118	0.765097	-0.998842	0.031983	-0.035932
36	5000276													9.859778	-0.474581	-0.102887	-0.001569	-0.765924	-0.642929	-0.048205	-0.642125	0.765083	-0.998836	0.032193	-0.035914
37	5000443													9.812301	-0.446613	-0.116558	-0.001579	-0.765807	-0.643068	-0.048423	-0.642256	0.764959	-0.998826	0.032348	-0.036069
38	5000610													9.828039	-0.359469	-0.010446	-0.001453	-0.765794	-0.643085	-0.048584	-0.642272	0.764935	-0.998818	0.032355	-0.036273
39	5000776													9.827632	-0.369332	-0.053531	-0.001438	-0.766008	-0.642829	-0.048505	-0.642020	0.765152	-0.998822	0.032281	-0.036232
40	5000943													9.853958	-0.488534	-0.036937	-0.001186	-0.766189	-0.642614	-0.048511	-0.641814	0.765325	-0.998822	0.032082	-0.036408
41	5001110													9.814276	-0.395273	0.085256	-0.001026	-0.766166	-0.642642	-0.048683	-0.641842	0.765290	-0.998814	0.032071	-0.036640
42	5001276													9.845943	-0.400161	0.052155	-0.000931	-0.766294	-0.642490	-0.048860	-0.641688	0.765408	-0.998805	0.032104	-0.036843
