// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1782889													-0.418924	0.152648	-0.396596	0.255745	-0.696046	-0.670906	-0.002741	-0.694504	0.719483	-0.966740	-0.182165	-0.179523
1	1783056													9.491648	-0.026328	2.499476	0.255982	-0.695697	-0.671177	-0.002811	-0.694843	0.719156	-0.966677	-0.182204	-0.179823
2	1783223													9.471528	-0.000913	2.503841	0.255718	-0.695081	-0.671916	-0.002817	-0.695557	0.718465	-0.966747	-0.181832	-0.179824
3	1783389													9.482944	-0.027572	2.522669	0.255527	-0.694310	-0.672785	-0.002460	-0.696352	0.717697	-0.966799	-0.181736	-0.179644
4	1783889													9.483329	-0.008354	2.537730	0.255949	-0.693379	-0.673584	-0.002031	-0.697178	0.716895	-0.966688	-0.182121	-0.179850
5	1784056													9.493915	-0.000115	2.533736	0.256109	-0.693237	-0.673669	-0.001932	-0.697279	0.716798	-0.966646	-0.182277	-0.179919
6	1784223													9.496333	-0.009190	2.516255	0.256232	-0.692982	-0.673885	-0.001840	-0.697508	0.716575	-0.966614	-0.182370	-0.179999
7	1784389													9.491658	-0.014931	2.521298	0.256313	-0.692871	-0.673969	-0.001805	-0.697603	0.716482	-0.966592	-0.182427	-0.180056
8	1784556													9.492649	-0.020130	2.547386	0.256350	-0.692622	-0.674210	-0.001793	-0.697858	0.716234	-0.966582	-0.182398	-0.180138
9	1784723													9.495907	-0.008719	2.530184	0.256381	-0.692620	-0.674201	-0.001816	-0.697859	0.716233	-0.966574	-0.182404	-0.180176
10	1784889													9.493926	-0.014283	2.519492	0.256346	-0.692822	-0.674007	-0.001840	-0.697656	0.716431	-0.966583	-0.182414	-0.180116
11	1785056													9.495085	-0.021561	2.502720	0.256330	-0.692810	-0.674025	-0.001874	-0.697678	0.716409	-0.966587	-0.182374	-0.180134
12	1785223													9.514338	-0.006419	2.524612	0.256308	-0.692649	-0.674199	-0.001923	-0.697863	0.716229	-0.966593	-0.182279	-0.180200
13	1785389													9.482743	-0.005025	2.527740	0.256310	-0.692558	-0.674291	-0.001995	-0.697972	0.716122	-0.966593	-0.182204	-0.180279
14	1785556													9.483768	0.005512	2.542776	0.256251	-0.692443	-0.674432	-0.002050	-0.698116	0.715981	-0.966608	-0.182088	-0.180313
15	1785723													9.491144	0.013523	2.542973	0.256210	-0.692379	-0.674513	-0.002083	-0.698199	0.715901	-0.966619	-0.182016	-0.180327
16	1785889													9.479914	0.014886	2.524998	0.256160	-0.692069	-0.674850	-0.002121	-0.698544	0.715564	-0.966632	-0.181867	-0.180407
17	1786056													9.504714	0.033370	2.530617	0.256132	-0.691792	-0.675144	-0.002114	-0.698842	0.715273	-0.966639	-0.181777	-0.180458
18	1786223													9.509966	0.008340	2.531010	0.256119	-0.691787	-0.675154	-0.002115	-0.698850	0.715265	-0.966643	-0.181765	-0.180452
19	1786389													9.506721	-0.018253	2.505573	0.256116	-0.691774	-0.675169	-0.002137	-0.698869	0.715247	-0.966644	-0.181743	-0.180470
20	1786556													9.452714	-0.000111	2.466750	0.256075	-0.691821	-0.675136	-0.002153	-0.698830	0.715284	-0.966654	-0.181713	-0.180442
21	1786723													9.503403	0.023496	2.513265	0.256116	-0.691804	-0.675138	-0.002190	-0.698847	0.715268	-0.966644	-0.181712	-0.180501
22	1786889													9.564616	0.004864	2.546034	0.256059	-0.691925	-0.675036	-0.002132	-0.698719	0.715393	-0.966659	-0.181744	-0.180388
23	1787056													9.506879	-0.019891	2.522786	0.256092	-0.691886	-0.675064	-0.002025	-0.698734	0.715378	-0.966650	-0.181836	-0.180341
24	1787223													9.478473	-0.016188	2.561763	0.256151	-0.691762	-0.675169	-0.002068	-0.698863	0.715253	-0.966635	-0.181816	-0.180445
25	1787389													9.487335	-0.002573	2.541116	0.256081	-0.691680	-0.675278	-0.002146	-0.698977	0.715141	-0.966653	-0.181685	-0.180479
26	1787556													9.493757	-0.020624	2.522964	0.256066	-0.691545	-0.675423	-0.002156	-0.699126	0.714996	-0.966657	-0.181630	-0.180513
27	1787723													9.490951	-0.019619	2.529948	0.256053	-0.691477	-0.675497	-0.002185	-0.699205	0.714918	-0.966660	-0.181581	-0.180544
28	1787889													9.472068	-0.013491	2.525102	0.256011	-0.691436	-0.675555	-0.002248	-0.699269	0.714855	-0.966671	-0.181492	-0.180575
29	1788056													9.476028	-0.002411	2.502661	0.256057	-0.691420	-0.675554	-0.002330	-0.699292	0.714832	-0.966659	-0.181464	-0.180669
30	1788223													9.479899	-0.009516	2.512983	0.256174	-0.691358	-0.675572	-0.002413	-0.699349	0.714776	-0.966628	-0.181477	-0.180824
31	1788389													9.502058	0.001523	2.536489	0.256307	-0.691413	-0.675466	-0.002490	-0.699279	0.714844	-0.966592	-0.181538	-0.180952
32	1788556													9.526583	0.000744	2.523672	0.256408	-0.691399	-0.675443	-0.002552	-0.699286	0.714837	-0.966565	-0.181566	-0.181066
