// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1782889													-0.230469	-0.433371	0.096978	-0.385622	-0.920873	0.057351	-0.042988	0.080023	0.995866	-0.921655	0.381563	-0.070445
1	1783056													8.915460	-0.428766	-3.766851	-0.385742	-0.920857	0.056791	-0.042922	0.079400	0.995918	-0.921608	0.381730	-0.070153
2	1783223													8.919083	-0.445123	-3.712690	-0.386260	-0.920682	0.056104	-0.043187	0.078809	0.995954	-0.921379	0.382274	-0.070202
3	1783389													8.927029	-0.414618	-3.738142	-0.386099	-0.920765	0.055857	-0.043749	0.078762	0.995933	-0.921419	0.382085	-0.070693
4	1783889													8.960266	-0.386527	-3.722564	-0.385920	-0.920887	0.055082	-0.043895	0.077969	0.995989	-0.921488	0.381954	-0.070512
5	1784056													8.934496	-0.385068	-3.745455	-0.385594	-0.921001	0.055451	-0.043655	0.078242	0.995978	-0.921635	0.381622	-0.070375
6	1784223													8.923842	-0.399527	-3.728983	-0.385407	-0.921028	0.056302	-0.043356	0.079023	0.995929	-0.921728	0.381397	-0.070388
7	1784389													8.924318	-0.396455	-3.701317	-0.385313	-0.921046	0.056641	-0.043140	0.079293	0.995917	-0.921777	0.381296	-0.070286
8	1784556													8.945486	-0.421988	-3.707049	-0.385200	-0.921087	0.056732	-0.043061	0.079349	0.995916	-0.921828	0.381184	-0.070228
9	1784723													8.946819	-0.426102	-3.717789	-0.385080	-0.921123	0.056975	-0.043089	0.079614	0.995894	-0.921877	0.381044	-0.070348
10	1784889													8.913613	-0.447469	-3.717586	-0.385006	-0.921163	0.056826	-0.043189	0.079487	0.995900	-0.921903	0.380973	-0.070387
11	1785056													8.925134	-0.442334	-3.719538	-0.385038	-0.921157	0.056711	-0.043395	0.079451	0.995894	-0.921880	0.380996	-0.070565
12	1785223													8.909328	-0.430885	-3.730216	-0.385122	-0.921116	0.056803	-0.043609	0.079646	0.995869	-0.921835	0.381054	-0.070842
13	1785389													8.929182	-0.419680	-3.733306	-0.385272	-0.921058	0.056723	-0.043758	0.079634	0.995863	-0.921765	0.381196	-0.070984
14	1785556													8.949684	-0.428363	-3.717306	-0.385421	-0.920990	0.056816	-0.043838	0.079779	0.995848	-0.921699	0.381330	-0.071122
15	1785723													8.949480	-0.394474	-3.725729	-0.385520	-0.920970	0.056471	-0.043972	0.079470	0.995867	-0.921651	0.381443	-0.071134
