// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3325840													-0.448049	0.084699	0.071985	0.235063	-0.726029	-0.646240	-0.015645	-0.667610	0.744347	-0.971854	-0.164858	-0.168289
1	3326007													9.560679	-0.157153	2.325597	0.235205	-0.725000	-0.647343	-0.015534	-0.668747	0.743328	-0.971822	-0.164779	-0.168554
2	3326173													9.537709	-0.169383	2.291061	0.235483	-0.725023	-0.647217	-0.015654	-0.668687	0.743379	-0.971752	-0.164922	-0.168815
3	3326340													9.539258	-0.176654	2.331634	0.235272	-0.725494	-0.646765	-0.015994	-0.668245	0.743770	-0.971798	-0.164644	-0.168823
4	3326507													9.544554	-0.177673	2.296454	0.235336	-0.725400	-0.646848	-0.016392	-0.668408	0.743614	-0.971776	-0.164395	-0.169191
5	3326673													9.550372	-0.175506	2.302630	0.235243	-0.725268	-0.647030	-0.016757	-0.668639	0.743398	-0.971792	-0.164037	-0.169446
6	3326840													9.559989	-0.178421	2.305989	0.235127	-0.725312	-0.647022	-0.017069	-0.668663	0.743369	-0.971815	-0.163742	-0.169601
7	3327007													9.543267	-0.172596	2.307812	0.235022	-0.725410	-0.646951	-0.017397	-0.668627	0.743395	-0.971834	-0.163459	-0.169762
8	3327173													9.528035	-0.147479	2.316163	0.234942	-0.725141	-0.647281	-0.017659	-0.668995	0.743057	-0.971849	-0.163145	-0.169980
9	3327340													9.572536	-0.152241	2.322786	0.234864	-0.724977	-0.647493	-0.017828	-0.669226	0.742845	-0.971865	-0.162924	-0.170102
10	3327507													9.557137	-0.169473	2.315255	0.234815	-0.724924	-0.647570	-0.017990	-0.669324	0.742753	-0.971874	-0.162760	-0.170208
11	3327673													9.494981	-0.141700	2.264073	0.234729	-0.724847	-0.647687	-0.018074	-0.669443	0.742644	-0.971893	-0.162614	-0.170238
12	3327840													9.560293	-0.128493	2.320647	0.234668	-0.724850	-0.647707	-0.018109	-0.669457	0.742630	-0.971907	-0.162542	-0.170226
13	3328007													9.604019	-0.134669	2.319950	0.234583	-0.724950	-0.647626	-0.018034	-0.669346	0.742732	-0.971929	-0.162553	-0.170091
14	3328173													9.561436	-0.160186	2.323959	0.234693	-0.725011	-0.647517	-0.017886	-0.669230	0.742840	-0.971905	-0.162758	-0.170031
