// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3325840													0.289697	-0.359436	-0.233633	-0.327551	-0.942246	0.069875	-0.036147	0.086397	0.995605	-0.944142	0.323586	-0.062359
1	3326007													9.148009	-0.341599	-3.141362	-0.327409	-0.942329	0.069429	-0.036191	0.085932	0.995643	-0.944189	0.323470	-0.062238
2	3326173													9.157326	-0.357174	-3.171867	-0.326870	-0.942433	0.070535	-0.036161	0.087053	0.995547	-0.944377	0.322864	-0.062534
3	3326340													9.166916	-0.355961	-3.151511	-0.326722	-0.942431	0.071253	-0.036368	0.087870	0.995468	-0.944420	0.322650	-0.062983
4	3326507													9.161407	-0.337161	-3.154383	-0.326544	-0.942545	0.070550	-0.036614	0.087199	0.995518	-0.944473	0.322497	-0.062984
5	3326673													9.168587	-0.319044	-3.176401	-0.326449	-0.942612	0.070096	-0.036738	0.086756	0.995552	-0.944501	0.322422	-0.062951
6	3326840													9.180545	-0.310081	-3.174154	-0.326548	-0.942590	0.069931	-0.036711	0.086580	0.995568	-0.944468	0.322533	-0.062876
7	3327007													9.169263	-0.356683	-3.182347	-0.326640	-0.942555	0.069974	-0.036647	0.086609	0.995568	-0.944438	0.322628	-0.062832
8	3327173													9.142473	-0.335954	-3.182334	-0.326747	-0.942536	0.069727	-0.036747	0.086390	0.995583	-0.944397	0.322742	-0.062863
9	3327340													9.110683	-0.334893	-3.185265	-0.327033	-0.942436	0.069741	-0.036842	0.086458	0.995574	-0.944295	0.323016	-0.062996
10	3327507													9.181995	-0.331464	-3.211311	-0.327393	-0.942306	0.069805	-0.036985	0.086599	0.995556	-0.944164	0.323356	-0.063204
11	3327673													9.219888	-0.283061	-3.202387	-0.327720	-0.942189	0.069850	-0.036937	0.086654	0.995553	-0.944052	0.323683	-0.063200
12	3327840													9.238856	-0.318054	-3.192190	-0.327863	-0.942100	0.070379	-0.036719	0.087148	0.995518	-0.944011	0.323810	-0.063165
13	3328007													9.217406	-0.355074	-3.229723	-0.327842	-0.942067	0.070915	-0.036531	0.087649	0.995481	-0.944026	0.323770	-0.063150
14	3328173													9.194602	-0.331147	-3.216096	-0.327684	-0.942107	0.071121	-0.036492	0.087842	0.995466	-0.944082	0.323603	-0.063164
15	3328340													9.166444	-0.311631	-3.193682	-0.327471	-0.942161	0.071381	-0.036438	0.088083	0.995446	-0.944158	0.323379	-0.063175
16	3328507													9.145678	-0.326414	-3.182847	-0.327251	-0.942217	0.071646	-0.036399	0.088334	0.995426	-0.944236	0.323146	-0.063203
17	3328673													9.111090	-0.356826	-3.181682	-0.327056	-0.942279	0.071728	-0.036392	0.088404	0.995420	-0.944304	0.322948	-0.063205
18	3328840													9.141617	-0.350283	-3.185610	-0.326924	-0.942336	0.071580	-0.036472	0.088266	0.995429	-0.944347	0.322819	-0.063225
19	3329007													9.160549	-0.346554	-3.182389	-0.326826	-0.942369	0.071591	-0.036632	0.088326	0.995418	-0.944374	0.322706	-0.063388
20	3329173													9.192391	-0.323531	-3.177865	-0.326769	-0.942401	0.071426	-0.036851	0.088222	0.995419	-0.944385	0.322640	-0.063557
21	3329340													9.198122	-0.322142	-3.191566	-0.326709	-0.942436	0.071245	-0.037050	0.088095	0.995423	-0.944399	0.322573	-0.063699
22	3329507													9.199779	-0.343465	-3.177228	-0.326662	-0.942449	0.071284	-0.037244	0.088199	0.995406	-0.944407	0.322506	-0.063912
