// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	6811244													0.200111	-0.085282	0.309485	0.168289	-0.837662	-0.519616	0.012540	-0.525273	0.850842	-0.985658	-0.149704	-0.077893
1	6811411													9.690099	0.143745	1.600614	0.167747	-0.836667	-0.521391	0.012821	-0.526989	0.849775	-0.985747	-0.149232	-0.077674
2	6811577													9.693428	0.152343	1.615004	0.166654	-0.837392	-0.520577	0.013192	-0.526019	0.850370	-0.985927	-0.148585	-0.076616
3	6811744													9.697630	0.162804	1.639737	0.165825	-0.837318	-0.520962	0.013660	-0.526275	0.850205	-0.986061	-0.148101	-0.075832
4	6812077													9.695660	0.187765	1.609497	0.165257	-0.837111	-0.521474	0.014510	-0.526623	0.849975	-0.986144	-0.148031	-0.074881
5	6812244													9.684845	0.175041	1.621188	0.164993	-0.837145	-0.521504	0.014913	-0.526572	0.849999	-0.986182	-0.148021	-0.074396
6	6812411													9.694029	0.159245	1.580394	0.164766	-0.837149	-0.521569	0.015286	-0.526566	0.849997	-0.986214	-0.148024	-0.073963
7	6812577													9.725065	0.154254	1.585961	0.164524	-0.837004	-0.521877	0.015571	-0.526817	0.849836	-0.986250	-0.147945	-0.073641
8	6812744													9.730931	0.127063	1.606675	0.164293	-0.837024	-0.521919	0.015692	-0.526824	0.849830	-0.986287	-0.147811	-0.073419
9	6812911													9.659586	0.079027	1.510690	0.164113	-0.836831	-0.522284	0.015583	-0.527198	0.849600	-0.986318	-0.147569	-0.073479
10	6813077													9.770869	0.103518	1.567926	0.163980	-0.836846	-0.522302	0.015363	-0.527239	0.849578	-0.986344	-0.147338	-0.073600
11	6813244													9.741263	0.193378	1.589958	0.164127	-0.836568	-0.522700	0.015223	-0.527675	0.849310	-0.986322	-0.147351	-0.073870
12	6813411													9.705056	0.164869	1.652070	0.164447	-0.836380	-0.522901	0.015010	-0.527935	0.849152	-0.986272	-0.147489	-0.074263
13	6813577													9.658351	0.101606	1.702474	0.164613	-0.836157	-0.523205	0.014656	-0.528309	0.848926	-0.986249	-0.147412	-0.074712
14	6813744													9.663343	0.098017	1.662666	0.164691	-0.836021	-0.523399	0.014445	-0.528543	0.848784	-0.986240	-0.147347	-0.074970
15	6813911													9.693535	0.128110	1.669057	0.164837	-0.835837	-0.523646	0.014235	-0.528837	0.848604	-0.986218	-0.147336	-0.075274
16	6814077													9.668029	0.118381	1.690185	0.164896	-0.835690	-0.523862	0.013986	-0.529099	0.848445	-0.986212	-0.147232	-0.075558
17	6814244													9.652501	0.129130	1.669557	0.164970	-0.835409	-0.524287	0.013817	-0.529561	0.848159	-0.986202	-0.147165	-0.075818
18	6814411													9.693378	0.147213	1.661672	0.165022	-0.835551	-0.524044	0.013611	-0.529349	0.848295	-0.986196	-0.147120	-0.075981
19	6814578													9.660143	0.135680	1.650527	0.165173	-0.835449	-0.524159	0.013395	-0.529510	0.848198	-0.986174	-0.147120	-0.076269
20	6814744													9.663509	0.139794	1.658591	0.165293	-0.835321	-0.524325	0.013258	-0.529708	0.848076	-0.986155	-0.147133	-0.076483
21	6814911													9.708134	0.164599	1.676161	0.165392	-0.835297	-0.524332	0.013098	-0.529747	0.848055	-0.986141	-0.147129	-0.076675
22	6815078													9.698921	0.153773	1.664177	0.165515	-0.835269	-0.524338	0.012961	-0.529783	0.848034	-0.986122	-0.147158	-0.076861
23	6815244													9.669106	0.153788	1.674138	0.165647	-0.835262	-0.524307	0.012861	-0.529777	0.848039	-0.986101	-0.147218	-0.077014
24	6815411													9.690985	0.164463	1.709846	0.165721	-0.835156	-0.524453	0.012829	-0.529936	0.847941	-0.986089	-0.147250	-0.077108
25	6815578													9.639791	0.166651	1.685316	0.165641	-0.835387	-0.524111	0.012822	-0.529583	0.848161	-0.986103	-0.147210	-0.077010
26	6815744													9.684890	0.089371	1.622483	0.165470	-0.835433	-0.524090	0.012758	-0.529558	0.848178	-0.986132	-0.147035	-0.076968
27	6815911													9.697801	0.137337	1.626119	0.165340	-0.835306	-0.524334	0.012839	-0.529784	0.848036	-0.986153	-0.146946	-0.076870
28	6816078													9.720142	0.182290	1.630804	0.165327	-0.835246	-0.524435	0.012944	-0.529869	0.847981	-0.986154	-0.146982	-0.076790
29	6816244													9.662089	0.152479	1.645610	0.165358	-0.835177	-0.524534	0.012838	-0.529988	0.847908	-0.986150	-0.146942	-0.076915
30	6816411													9.663630	0.086061	1.637388	0.165215	-0.835328	-0.524338	0.012759	-0.529789	0.848033	-0.986175	-0.146798	-0.076871
31	6816578													9.691031	0.147662	1.666906	0.165099	-0.835354	-0.524334	0.012733	-0.529780	0.848039	-0.986195	-0.146687	-0.076830
32	6816744													9.657154	0.144776	1.634069	0.165020	-0.835438	-0.524224	0.012734	-0.529662	0.848113	-0.986208	-0.146631	-0.076766
33	6816911													9.674132	0.099390	1.642645	0.164829	-0.835441	-0.524280	0.012718	-0.529706	0.848086	-0.986240	-0.146457	-0.076686
34	6817078													9.693331	0.131158	1.652545	0.164615	-0.835369	-0.524462	0.012703	-0.529876	0.847980	-0.986276	-0.146253	-0.076614
35	6817244													9.702657	0.164466	1.634060	0.164443	-0.835364	-0.524524	0.012623	-0.529937	0.847943	-0.986306	-0.146059	-0.076600
36	6817411													9.667529	0.144425	1.670568	0.164292	-0.835434	-0.524459	0.012572	-0.529867	0.847987	-0.986332	-0.145911	-0.076550
37	6817578													9.692430	0.137920	1.660969	0.164037	-0.835472	-0.524479	0.012527	-0.529873	0.847984	-0.986375	-0.145671	-0.076453
38	6817744													9.720649	0.140335	1.624352	0.163810	-0.835569	-0.524396	0.012467	-0.529780	0.848043	-0.986413	-0.145455	-0.076366
