// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	6811244													0.149374	-0.234680	0.175066	-0.537268	-0.841065	0.062875	-0.030403	0.093813	0.995125	-0.842864	0.532737	-0.075974
1	6811411													8.144040	-0.270272	-5.206250	-0.537541	-0.840929	0.062353	-0.030245	0.093125	0.995195	-0.842695	0.533072	-0.075492
2	6811577													8.145344	-0.277975	-5.206428	-0.537634	-0.840785	0.063490	-0.029885	0.094253	0.995100	-0.842649	0.533102	-0.075801
3	6811744													8.141582	-0.256071	-5.188405	-0.537666	-0.840782	0.063249	-0.029652	0.093823	0.995147	-0.842636	0.533181	-0.075377
4	6812077													8.173946	-0.266288	-5.183094	-0.537501	-0.840911	0.062937	-0.029289	0.093207	0.995216	-0.842754	0.533087	-0.074728
5	6812244													8.139235	-0.266966	-5.187658	-0.537173	-0.841109	0.063088	-0.029051	0.093201	0.995223	-0.842972	0.532774	-0.074501
6	6812411													8.125828	-0.240696	-5.187244	-0.536941	-0.841213	0.063670	-0.028914	0.093778	0.995173	-0.843124	0.532509	-0.074676
7	6812577													8.104489	-0.245603	-5.192497	-0.536831	-0.841249	0.064126	-0.028685	0.094161	0.995144	-0.843202	0.532385	-0.074680
8	6812744													8.120938	-0.298390	-5.179259	-0.536823	-0.841231	0.064426	-0.028491	0.094394	0.995127	-0.843213	0.532372	-0.074640
9	6812911													8.140835	-0.350542	-5.226506	-0.536845	-0.841216	0.064445	-0.028555	0.094459	0.995119	-0.843197	0.532385	-0.074730
10	6813077													8.128438	-0.289926	-5.202444	-0.536962	-0.841126	0.064647	-0.028905	0.094931	0.995064	-0.843111	0.532443	-0.075287
11	6813244													8.151175	-0.292755	-5.205149	-0.537088	-0.841027	0.064882	-0.029013	0.095290	0.995027	-0.843027	0.532535	-0.075580
12	6813411													8.203562	-0.358558	-5.178853	-0.537117	-0.840995	0.065056	-0.029070	0.095535	0.995001	-0.843006	0.532541	-0.075762
13	6813577													8.212499	-0.354631	-5.185558	-0.536959	-0.841094	0.065081	-0.029303	0.095695	0.994979	-0.843099	0.532356	-0.076030
14	6813744													8.182911	-0.316319	-5.185020	-0.536641	-0.841319	0.064794	-0.029682	0.095561	0.994981	-0.843288	0.532025	-0.076254
15	6813911													8.154647	-0.295320	-5.163525	-0.536263	-0.841599	0.064289	-0.030044	0.095152	0.995009	-0.843516	0.531655	-0.076312
16	6814077													8.156311	-0.286386	-5.157262	-0.535879	-0.841860	0.064066	-0.030368	0.095051	0.995009	-0.843748	0.531259	-0.076502
17	6814244													8.166251	-0.303908	-5.135903	-0.535497	-0.842140	0.063591	-0.030671	0.094640	0.995039	-0.843980	0.530889	-0.076509
18	6814411													8.154370	-0.301635	-5.133509	-0.535120	-0.842398	0.063340	-0.031047	0.094539	0.995037	-0.844206	0.530497	-0.076743
19	6814578													8.173557	-0.285985	-5.130221	-0.534735	-0.842662	0.063082	-0.031443	0.094441	0.995034	-0.844435	0.530096	-0.076997
20	6814744													8.160851	-0.271028	-5.113279	-0.534391	-0.842915	0.062622	-0.031793	0.094081	0.995057	-0.844639	0.529758	-0.077075
21	6814911													8.161045	-0.273009	-5.125297	-0.534100	-0.843103	0.062570	-0.032033	0.094139	0.995044	-0.844814	0.529449	-0.077287
22	6815078													8.172698	-0.293768	-5.132415	-0.533871	-0.843249	0.062562	-0.032245	0.094238	0.995027	-0.844951	0.529199	-0.077501
23	6815244													8.172935	-0.278823	-5.150711	-0.533695	-0.843361	0.062547	-0.032419	0.094309	0.995015	-0.845055	0.529007	-0.077674
24	6815411													8.194411	-0.276523	-5.127562	-0.533544	-0.843451	0.062616	-0.032535	0.094447	0.994998	-0.845146	0.528838	-0.077834
25	6815578													8.174627	-0.297688	-5.128337	-0.533412	-0.843523	0.062772	-0.032622	0.094671	0.994974	-0.845226	0.528683	-0.078016
26	6815744													8.131891	-0.300123	-5.125648	-0.533318	-0.843580	0.062802	-0.032767	0.094787	0.994958	-0.845280	0.528572	-0.078193
27	6815911													8.124422	-0.248367	-5.118281	-0.533352	-0.843545	0.062991	-0.032786	0.095026	0.994935	-0.845258	0.528585	-0.078338
28	6816078													8.154417	-0.277187	-5.125812	-0.533489	-0.843426	0.063425	-0.032642	0.095462	0.994898	-0.845177	0.528696	-0.078459
29	6816244													8.181499	-0.339594	-5.130808	-0.533615	-0.843331	0.063620	-0.032571	0.095662	0.994881	-0.845100	0.528811	-0.078515
30	6816411													8.187129	-0.325477	-5.129359	-0.533731	-0.843248	0.063747	-0.032651	0.095874	0.994858	-0.845024	0.528905	-0.078704
31	6816578													8.176817	-0.296267	-5.126822	-0.533822	-0.843195	0.063686	-0.032799	0.095905	0.994850	-0.844960	0.528984	-0.078852
