// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	2792691													0.207946	0.229839	-0.104368	0.121566	-0.858574	-0.498068	-0.013649	-0.503188	0.864069	-0.992490	-0.098243	-0.072889
1	2792857													9.708366	-0.123584	1.319447	0.122954	-0.857172	-0.500139	-0.014232	-0.505434	0.862748	-0.992310	-0.098960	-0.074344
2	2793024													9.718289	-0.093183	1.326105	0.125893	-0.857079	-0.499566	-0.014387	-0.505097	0.862942	-0.991940	-0.101451	-0.075919
3	2793191													9.738377	-0.080091	1.336202	0.128412	-0.856413	-0.500067	-0.013868	-0.505743	0.862573	-0.991624	-0.103830	-0.076820
4	2793357													9.758124	0.006058	1.281172	0.130017	-0.855982	-0.500391	-0.013105	-0.506114	0.862367	-0.991425	-0.105565	-0.077021
5	2793524													9.798251	0.108232	1.231652	0.130588	-0.855656	-0.500798	-0.011733	-0.506422	0.862206	-0.991367	-0.106718	-0.076172
6	2793691													9.849379	0.138240	1.146648	0.130238	-0.855527	-0.501110	-0.009730	-0.506494	0.862189	-0.991435	-0.107414	-0.074289
7	2793857													9.886810	0.104616	1.147531	0.129391	-0.855336	-0.501655	-0.007590	-0.506748	0.862061	-0.991565	-0.107735	-0.072061
8	2794024													9.816994	0.071951	1.166071	0.128418	-0.855169	-0.502190	-0.005663	-0.507007	0.861924	-0.991704	-0.107842	-0.069951
9	2794191													9.749136	0.062256	1.149377	0.127536	-0.854890	-0.502890	-0.004044	-0.507474	0.861657	-0.991826	-0.107858	-0.068179
10	2794357													9.716835	0.071435	1.147300	0.126742	-0.854549	-0.503670	-0.002724	-0.508062	0.861316	-0.991932	-0.107793	-0.066721
11	2794691													9.754845	0.067093	1.193573	0.125461	-0.854284	-0.504439	-0.000894	-0.508553	0.861030	-0.992098	-0.107574	-0.064568
12	2794857													9.777262	0.069743	1.226779	0.125112	-0.854204	-0.504661	-0.000314	-0.508692	0.860949	-0.992143	-0.107556	-0.063912
13	2795024													9.774168	0.048241	1.217291	0.125015	-0.854263	-0.504585	0.000076	-0.508567	0.861022	-0.992155	-0.107680	-0.063514
14	2795191													9.793078	-0.001859	1.261045	0.125054	-0.854242	-0.504612	0.000300	-0.508572	0.861020	-0.992150	-0.107825	-0.063343
15	2795357													9.800590	0.004935	1.256320	0.125243	-0.854154	-0.504713	0.000387	-0.508677	0.860957	-0.992126	-0.108024	-0.063377
16	2795524													9.848658	-0.023191	1.329800	0.125533	-0.854067	-0.504787	0.000368	-0.508772	0.860901	-0.992089	-0.108258	-0.063553
17	2795691													9.772786	-0.050856	1.251989	0.125785	-0.854000	-0.504838	0.000177	-0.508860	0.860849	-0.992057	-0.108372	-0.063856
