// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	2792691													-0.181094	-0.092776	0.157756	-0.513120	-0.856888	0.049506	-0.061237	0.094079	0.993680	-0.856130	0.506845	-0.100747
1	2792857													8.493845	-0.659199	-5.037473	-0.513068	-0.857000	0.048089	-0.062965	0.093451	0.993631	-0.856035	0.506772	-0.101908
2	2793024													8.444180	-0.633820	-5.031848	-0.512015	-0.857737	0.046138	-0.065061	0.092283	0.993605	-0.856509	0.505739	-0.103055
3	2793191													8.428486	-0.559918	-5.017529	-0.511034	-0.858469	0.043307	-0.066414	0.089667	0.993755	-0.856991	0.504967	-0.102837
4	2793357													8.330613	-0.476347	-5.035113	-0.510194	-0.858990	0.042876	-0.066436	0.089065	0.993808	-0.857490	0.504186	-0.102508
5	2793524													8.198524	-0.378777	-4.994902	-0.510072	-0.859090	0.042312	-0.065317	0.087737	0.994000	-0.857648	0.504248	-0.100865
6	2793691													8.206529	-0.321376	-5.001761	-0.510516	-0.858849	0.041857	-0.063314	0.086092	0.994273	-0.857534	0.504942	-0.098328
7	2793857													8.169765	-0.314865	-4.970782	-0.511288	-0.858356	0.042538	-0.060858	0.085534	0.994475	-0.857252	0.505874	-0.095970
8	2794024													8.222290	-0.308212	-4.951978	-0.512188	-0.857784	0.043235	-0.058415	0.085014	0.994666	-0.856884	0.506931	-0.093650
9	2794191													8.212447	-0.314855	-4.963099	-0.513045	-0.857220	0.044250	-0.056142	0.084952	0.994802	-0.856524	0.507894	-0.091710
10	2794357													8.256396	-0.324988	-4.983686	-0.513873	-0.856664	0.045391	-0.054120	0.085179	0.994895	-0.856157	0.508793	-0.090134
