// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	252040													0.000000	0.000000	0.000000	0.315422	-0.668037	-0.673970	-0.017252	-0.714145	0.699785	-0.948795	-0.209100	-0.236782
1	252207													9.295897	-0.213407	3.122973	0.315516	-0.668976	-0.672994	-0.017982	-0.713309	0.700619	-0.948750	-0.208955	-0.237089
2	252374													9.299934	-0.184443	3.101380	0.316018	-0.669568	-0.672169	-0.018934	-0.712786	0.701126	-0.948564	-0.208842	-0.237930
3	252540													9.310678	-0.168643	3.112899	0.316208	-0.669306	-0.672341	-0.019339	-0.713105	0.700791	-0.948493	-0.208593	-0.238434
4	253374													9.328694	-0.185426	3.102020	0.315871	-0.669598	-0.672209	-0.018951	-0.712792	0.701119	-0.948613	-0.208724	-0.237840
5	253540													9.321195	-0.168550	3.095336	0.315704	-0.669795	-0.672090	-0.018906	-0.712615	0.701301	-0.948669	-0.208697	-0.237639
6	253707													9.312312	-0.176745	3.098275	0.315497	-0.669626	-0.672356	-0.018857	-0.712828	0.701085	-0.948739	-0.208512	-0.237522
7	253874													9.317276	-0.188184	3.104809	0.315333	-0.669605	-0.672454	-0.018802	-0.712876	0.701038	-0.948795	-0.208417	-0.237383
8	254040													9.322939	-0.167056	3.114630	0.315159	-0.669628	-0.672513	-0.018763	-0.712883	0.701032	-0.948854	-0.208318	-0.237236
9	254207													9.297454	-0.154072	3.080297	0.314921	-0.669705	-0.672547	-0.018730	-0.712849	0.701067	-0.948933	-0.208184	-0.237035
10	254374													9.309123	-0.163343	3.075049	0.314735	-0.669722	-0.672617	-0.018733	-0.712875	0.701041	-0.948995	-0.208042	-0.236913
11	254540													9.326455	-0.175034	3.066122	0.314532	-0.669690	-0.672745	-0.018649	-0.712937	0.700980	-0.949064	-0.207934	-0.236731
12	254707													9.319271	-0.139261	3.085202	0.314390	-0.669662	-0.672839	-0.018622	-0.712992	0.700925	-0.949111	-0.207834	-0.236628
13	254874													9.334291	-0.165700	3.101349	0.314272	-0.669480	-0.673075	-0.018636	-0.713212	0.700701	-0.949150	-0.207667	-0.236619
14	255040													9.329370	-0.164946	3.102475	0.314121	-0.669527	-0.673099	-0.018651	-0.713201	0.700712	-0.949200	-0.207554	-0.236519
15	255207													9.320988	-0.162610	3.083635	0.313970	-0.669453	-0.673242	-0.018632	-0.713307	0.700604	-0.949250	-0.207424	-0.236431
16	255374													9.320713	-0.165546	3.091467	0.313830	-0.669469	-0.673292	-0.018621	-0.713320	0.700591	-0.949297	-0.207329	-0.236327
17	255540													9.318423	-0.172233	3.067628	0.313715	-0.669407	-0.673407	-0.018555	-0.713396	0.700515	-0.949336	-0.207267	-0.236224
18	255707													9.327707	-0.165424	3.071007	0.313607	-0.669255	-0.673608	-0.018446	-0.713555	0.700356	-0.949374	-0.207211	-0.236121
19	255874													9.316406	-0.152182	3.082415	0.313503	-0.669160	-0.673751	-0.018340	-0.713654	0.700258	-0.949410	-0.207177	-0.236005
20	256040													9.309987	-0.144167	3.093130	0.313367	-0.669028	-0.673945	-0.018234	-0.713799	0.700113	-0.949457	-0.207103	-0.235880
21	256207													9.314898	-0.130882	3.074780	0.313222	-0.669043	-0.673999	-0.018116	-0.713792	0.700124	-0.949507	-0.207084	-0.235695
22	256374													9.337521	-0.125593	3.097968	0.313089	-0.668950	-0.674152	-0.018016	-0.713896	0.700020	-0.949553	-0.207023	-0.235565
23	256540													9.330225	-0.138517	3.084043	0.312972	-0.668943	-0.674214	-0.017983	-0.713923	0.699993	-0.949592	-0.206954	-0.235468
24	256707													9.332791	-0.168568	3.073761	0.312887	-0.668994	-0.674202	-0.017991	-0.713891	0.700026	-0.949620	-0.206899	-0.235403
25	256874													9.325590	-0.181310	3.079229	0.312806	-0.669098	-0.674137	-0.018026	-0.713809	0.700109	-0.949646	-0.206846	-0.235345
26	257040													9.308589	-0.183349	3.094099	0.312726	-0.669096	-0.674176	-0.018069	-0.713838	0.700078	-0.949672	-0.206751	-0.235325
27	257207													9.333174	-0.179913	3.086583	0.312625	-0.669165	-0.674154	-0.018153	-0.713807	0.700107	-0.949703	-0.206633	-0.235301
28	257374													9.318966	-0.183842	3.083872	0.312522	-0.669062	-0.674304	-0.018209	-0.713949	0.699960	-0.949736	-0.206475	-0.235308
29	257540													9.338830	-0.193223	3.107195	0.312412	-0.668950	-0.674467	-0.018259	-0.714102	0.699803	-0.949771	-0.206312	-0.235308
30	257707													9.320142	-0.174791	3.093258	0.312296	-0.668847	-0.674622	-0.018300	-0.714243	0.699658	-0.949809	-0.206155	-0.235295
31	257874													9.322161	-0.171464	3.081223	0.312169	-0.668775	-0.674752	-0.018351	-0.714357	0.699540	-0.949849	-0.205993	-0.235273
32	258040													9.327788	-0.146946	3.084013	0.312042	-0.668759	-0.674827	-0.018417	-0.714417	0.699478	-0.949890	-0.205838	-0.235244
33	258207													9.330239	-0.159932	3.066025	0.311899	-0.668798	-0.674854	-0.018440	-0.714414	0.699480	-0.949936	-0.205723	-0.235158
34	258374													9.334532	-0.148792	3.068490	0.311758	-0.668732	-0.674985	-0.018503	-0.714528	0.699362	-0.949981	-0.205543	-0.235133
35	258540													9.319764	-0.149242	3.083553	0.311644	-0.668699	-0.675070	-0.018586	-0.714605	0.699281	-0.950017	-0.205380	-0.235131
36	258707													9.315852	-0.158183	3.075595	0.311520	-0.668860	-0.674968	-0.018675	-0.714486	0.699400	-0.950056	-0.205272	-0.235068
37	258874													9.325018	-0.160260	3.092553	0.311394	-0.668899	-0.674988	-0.018767	-0.714494	0.699390	-0.950096	-0.205118	-0.235042
38	259040													9.325887	-0.161122	3.080895	0.311296	-0.668873	-0.675058	-0.018814	-0.714552	0.699329	-0.950127	-0.204998	-0.235022
39	259207													9.338644	-0.171375	3.099967	0.311178	-0.668944	-0.675042	-0.018869	-0.714517	0.699364	-0.950164	-0.204889	-0.234965
40	259374													9.308209	-0.161141	3.060200	0.311085	-0.668923	-0.675107	-0.018910	-0.714569	0.699310	-0.950194	-0.204778	-0.234941
41	259540													9.343643	-0.156188	3.076926	0.310976	-0.668938	-0.675141	-0.018881	-0.714570	0.699309	-0.950230	-0.204721	-0.234844
42	259707													9.323416	-0.183792	3.061573	0.310888	-0.668953	-0.675167	-0.018861	-0.714571	0.699309	-0.950259	-0.204672	-0.234769
43	259874													9.320745	-0.194409	3.036642	0.310785	-0.668930	-0.675237	-0.018934	-0.714633	0.699243	-0.950292	-0.204529	-0.234763
44	260040													9.331985	-0.143063	3.048896	0.310765	-0.668869	-0.675307	-0.018987	-0.714712	0.699161	-0.950297	-0.204453	-0.234807
45	260207													9.381479	-0.168729	3.055784	0.310815	-0.668795	-0.675357	-0.018995	-0.714779	0.699092	-0.950281	-0.204460	-0.234868
46	260374													9.367914	-0.168318	3.057621	0.310859	-0.668847	-0.675285	-0.018980	-0.714712	0.699161	-0.950266	-0.204524	-0.234870
47	260540													9.344872	-0.183749	3.084250	0.310959	-0.668926	-0.675161	-0.019067	-0.714627	0.699246	-0.950232	-0.204564	-0.234974
48	260707													9.323505	-0.185037	3.081639	0.311010	-0.668894	-0.675170	-0.019166	-0.714671	0.699199	-0.950214	-0.204517	-0.235090
49	260874													9.300406	-0.181317	3.085302	0.311026	-0.668914	-0.675142	-0.019202	-0.714654	0.699215	-0.950207	-0.204510	-0.235121
50	261040													9.307294	-0.160668	3.066133	0.311013	-0.668894	-0.675168	-0.019224	-0.714682	0.699185	-0.950211	-0.204476	-0.235134
51	261207													9.300349	-0.162467	3.098891	0.311004	-0.668880	-0.675186	-0.019226	-0.714699	0.699168	-0.950214	-0.204463	-0.235135
52	261374													9.317307	-0.155944	3.084615	0.311003	-0.668846	-0.675220	-0.019250	-0.714739	0.699126	-0.950214	-0.204433	-0.235161
53	261540													9.316942	-0.171011	3.082140	0.311019	-0.668806	-0.675252	-0.019290	-0.714786	0.699077	-0.950208	-0.204401	-0.235213
54	261707													9.320776	-0.170442	3.073503	0.311019	-0.668858	-0.675200	-0.019331	-0.714741	0.699123	-0.950207	-0.204388	-0.235228
55	261874													9.328008	-0.174326	3.084754	0.311025	-0.668865	-0.675191	-0.019376	-0.714741	0.699120	-0.950204	-0.204361	-0.235262
56	262040													9.336834	-0.155558	3.077205	0.311026	-0.668900	-0.675156	-0.019445	-0.714720	0.699141	-0.950202	-0.204323	-0.235303
57	262207													9.340598	-0.177520	3.061527	0.310992	-0.668988	-0.675084	-0.019541	-0.714657	0.699202	-0.950212	-0.204254	-0.235325
58	262374													9.337463	-0.166126	3.082619	0.310960	-0.669013	-0.675074	-0.019597	-0.714650	0.699207	-0.950221	-0.204196	-0.235339
59	262540													9.324585	-0.165657	3.100307	0.310927	-0.668966	-0.675136	-0.019645	-0.714717	0.699138	-0.950231	-0.204118	-0.235367
