// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1683089													0.258669	-0.327113	-0.294527	-0.150427	-0.988281	-0.025937	-0.057587	-0.017431	0.998188	-0.986942	0.151648	-0.054290
1	1683256													9.633411	-0.589065	-1.507609	-0.150890	-0.988185	-0.026869	-0.057810	-0.018313	0.998160	-0.986859	0.152166	-0.054364
2	1683423													9.641308	-0.616352	-1.498095	-0.151830	-0.988078	-0.025482	-0.058489	-0.016754	0.998147	-0.986675	0.153039	-0.055248
3	1683589													9.647954	-0.636215	-1.484219	-0.152532	-0.987967	-0.025601	-0.059522	-0.016674	0.998088	-0.986504	0.153764	-0.056262
4	1684423													9.654151	-0.667681	-1.476212	-0.152853	-0.987929	-0.025140	-0.060633	-0.016016	0.998032	-0.986387	0.154077	-0.057453
5	1684589													9.661650	-0.659276	-1.492169	-0.152925	-0.987916	-0.025197	-0.061791	-0.015888	0.997963	-0.986304	0.154171	-0.058615
6	1684756													9.651817	-0.640220	-1.493192	-0.152931	-0.987906	-0.025554	-0.062762	-0.016097	0.997899	-0.986242	0.154213	-0.059541
7	1684923													9.648597	-0.617573	-1.490253	-0.152953	-0.987900	-0.025668	-0.063488	-0.016097	0.997853	-0.986192	0.154254	-0.060257
8	1685089													9.652276	-0.572191	-1.515218	-0.153011	-0.987891	-0.025690	-0.063999	-0.016036	0.997821	-0.986150	0.154322	-0.060771
9	1685256													9.632172	-0.559190	-1.494908	-0.153151	-0.987864	-0.025862	-0.064337	-0.016148	0.997798	-0.986106	0.154478	-0.061084
10	1685423													9.644395	-0.560807	-1.484433	-0.153305	-0.987835	-0.026082	-0.064580	-0.016322	0.997779	-0.986066	0.154649	-0.061292
11	1685589													9.667826	-0.552816	-1.468109	-0.153436	-0.987812	-0.026150	-0.064743	-0.016357	0.997768	-0.986035	0.154787	-0.061444
12	1685756													9.642302	-0.579751	-1.485922	-0.153493	-0.987818	-0.025590	-0.064852	-0.015771	0.997770	-0.986019	0.154810	-0.061641
13	1685923													9.630794	-0.616413	-1.507176	-0.153545	-0.987822	-0.025132	-0.064963	-0.015288	0.997771	-0.986004	0.154835	-0.061824
14	1686089													9.624580	-0.636336	-1.494574	-0.153611	-0.987820	-0.024795	-0.065071	-0.014926	0.997769	-0.985987	0.154881	-0.061986
15	1686256													9.644662	-0.671941	-1.514118	-0.153692	-0.987804	-0.024941	-0.065139	-0.015058	0.997763	-0.985969	0.154973	-0.062030
16	1686423													9.618678	-0.677713	-1.509692	-0.153744	-0.987796	-0.024943	-0.065262	-0.015037	0.997755	-0.985953	0.155027	-0.062154
17	1686589													9.623523	-0.658589	-1.521024	-0.153840	-0.987782	-0.024905	-0.065466	-0.014960	0.997743	-0.985925	0.155123	-0.062365
18	1686756													9.665410	-0.630117	-1.534197	-0.153953	-0.987759	-0.025101	-0.065652	-0.015122	0.997728	-0.985895	0.155252	-0.062521
19	1686923													9.679155	-0.567093	-1.534779	-0.154032	-0.987740	-0.025374	-0.065705	-0.015384	0.997720	-0.985879	0.155348	-0.062530
20	1687089													9.660101	-0.574575	-1.540333	-0.154060	-0.987734	-0.025433	-0.065614	-0.015456	0.997725	-0.985881	0.155378	-0.062428
