// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	896528													0.000000	0.000000	0.000000	0.348997	-0.867110	-0.355418	0.037353	-0.366092	0.929829	-0.936379	-0.337783	-0.095376
1	896695													9.235026	0.336664	3.353356	0.349192	-0.867361	-0.354613	0.036924	-0.365404	0.930116	-0.936324	-0.337883	-0.095569
2	896862													9.195347	0.396977	3.473786	0.347989	-0.867630	-0.355136	0.036337	-0.366045	0.929888	-0.936794	-0.336496	-0.095852
3	897028													9.194933	0.436762	3.461146	0.347966	-0.867621	-0.355180	0.036732	-0.365947	0.929910	-0.936787	-0.336624	-0.095467
4	897195													9.256007	0.388491	3.424747	0.348491	-0.867500	-0.354962	0.037739	-0.365409	0.930082	-0.936552	-0.337521	-0.094603
5	897362													9.182824	0.352017	3.471152	0.348685	-0.867200	-0.355504	0.038313	-0.365804	0.929903	-0.936457	-0.337863	-0.094325
6	897528													9.187106	0.377528	3.451350	0.348914	-0.866797	-0.356261	0.038385	-0.366614	0.929581	-0.936368	-0.338019	-0.094645
7	897695													9.171530	0.370591	3.452346	0.349078	-0.866543	-0.356718	0.038388	-0.367121	0.929381	-0.936307	-0.338120	-0.094889
8	897862													9.158366	0.374046	3.444828	0.349206	-0.866358	-0.357041	0.038334	-0.367501	0.929233	-0.936261	-0.338181	-0.095123
9	898028													9.182019	0.360034	3.464004	0.349322	-0.866499	-0.356585	0.038287	-0.367042	0.929416	-0.936220	-0.338318	-0.095040
10	898195													9.175322	0.341309	3.458890	0.349411	-0.866498	-0.356500	0.038180	-0.366999	0.929437	-0.936191	-0.338367	-0.095151
11	898362													9.186368	0.333045	3.427914	0.349515	-0.866363	-0.356726	0.038011	-0.367314	0.929320	-0.936159	-0.338371	-0.095450
12	898528													9.207776	0.371251	3.439231	0.349646	-0.866137	-0.357148	0.037760	-0.367872	0.929110	-0.936120	-0.338346	-0.095920
13	898695													9.190951	0.380383	3.453920	0.349770	-0.866046	-0.357247	0.037518	-0.368079	0.929037	-0.936084	-0.338352	-0.096250
14	898862													9.150239	0.360455	3.448919	0.349729	-0.865993	-0.357414	0.037301	-0.368332	0.928946	-0.936108	-0.338212	-0.096514
15	899028													9.266363	0.341040	3.337428	0.349617	-0.865906	-0.357734	0.037081	-0.368743	0.928792	-0.936159	-0.337987	-0.096810
16	899195													9.157440	0.423531	3.488326	0.349663	-0.865931	-0.357630	0.036877	-0.368709	0.928813	-0.936149	-0.337960	-0.096991
17	899362													9.244767	0.406213	3.392089	0.349481	-0.866002	-0.357635	0.036794	-0.368725	0.928810	-0.936221	-0.337761	-0.096998
18	899528													9.193847	0.392174	3.444378	0.349523	-0.865937	-0.357753	0.036708	-0.368886	0.928749	-0.936208	-0.337751	-0.097148
19	899695													9.222949	0.358975	3.424573	0.349444	-0.865823	-0.358105	0.036539	-0.369316	0.928585	-0.936244	-0.337574	-0.097419
