// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	2916736													0.096392	-0.663147	0.231028	0.013519	-0.937037	0.348968	0.017494	0.349169	0.936897	-0.999756	-0.006561	0.021113
1	2916903													9.850363	0.186662	0.135323	0.013336	-0.937107	0.348788	0.017415	0.348984	0.936967	-0.999759	-0.006421	0.020974
2	2917070													9.800905	0.161587	0.132143	0.013187	-0.936803	0.349609	0.017388	0.349802	0.936662	-0.999762	-0.006273	0.020902
3	2917236													9.806289	0.147142	0.106413	0.013024	-0.936644	0.350042	0.017115	0.350229	0.936508	-0.999769	-0.006206	0.020592
4	2917736													9.796226	0.130749	0.105105	0.012602	-0.936488	0.350474	0.016706	0.350650	0.936357	-0.999781	-0.005945	0.020064
5	2917903													9.834714	0.117048	0.086179	0.012151	-0.936183	0.351302	0.016260	0.351467	0.936059	-0.999794	-0.005662	0.019493
6	2918070													9.834810	0.132268	0.086354	0.011678	-0.935945	0.351953	0.015838	0.352106	0.935826	-0.999806	-0.005355	0.018935
7	2918236													9.832432	0.129466	0.076110	0.011277	-0.935798	0.352356	0.015599	0.352500	0.935682	-0.999815	-0.005055	0.018573
8	2918403													9.838350	0.139565	0.088191	0.010908	-0.935876	0.352161	0.015445	0.352297	0.935761	-0.999821	-0.004768	0.018297
9	2918570													9.876751	0.160504	0.080783	0.010738	-0.935860	0.352207	0.015365	0.352340	0.935746	-0.999824	-0.004637	0.018163
10	2918736													9.854453	0.178237	0.097940	0.010726	-0.935735	0.352541	0.015349	0.352674	0.935620	-0.999825	-0.004625	0.018146
11	2918903													9.825348	0.180892	0.081562	0.010868	-0.935777	0.352425	0.015359	0.352561	0.935663	-0.999823	-0.004756	0.018204
12	2919070													9.784919	0.185953	0.094139	0.011002	-0.935669	0.352707	0.015379	0.352844	0.935556	-0.999821	-0.004869	0.018271
13	2919236													9.805546	0.171112	0.105942	0.011145	-0.935583	0.352932	0.015354	0.353072	0.935470	-0.999820	-0.005007	0.018300
14	2919403													9.846133	0.187975	0.128230	0.011313	-0.935519	0.353095	0.015271	0.353238	0.935409	-0.999819	-0.005190	0.018283
15	2919570													9.863113	0.169709	0.119645	0.011604	-0.935402	0.353397	0.015160	0.353545	0.935295	-0.999818	-0.005495	0.018283
16	2919736													9.845635	0.134064	0.127285	0.011987	-0.935327	0.353582	0.014988	0.353736	0.935225	-0.999816	-0.005911	0.018259
17	2919903													9.808700	0.143199	0.133835	0.012375	-0.935293	0.353657	0.014767	0.353817	0.935198	-0.999814	-0.006351	0.018190
18	2920070													9.816118	0.146512	0.139654	0.012746	-0.935178	0.353948	0.014526	0.354113	0.935090	-0.999813	-0.006777	0.018098
19	2920236													9.831436	0.134025	0.176608	0.013117	-0.935241	0.353769	0.014332	0.353938	0.935159	-0.999811	-0.007196	0.018047
20	2920403													9.823699	0.157438	0.177158	0.013506	-0.935210	0.353837	0.014178	0.354013	0.935133	-0.999808	-0.007613	0.018041
