// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	2138592													-0.205330	0.411585	-0.513839	0.292343	-0.861733	-0.414670	-0.044904	-0.445504	0.894153	-0.955259	-0.242779	-0.168935
1	2138759													9.462150	-0.438247	2.764682	0.290283	-0.862882	-0.413728	-0.044703	-0.444100	0.894862	-0.955896	-0.241268	-0.167488
2	2138926													9.414834	-0.424152	2.791977	0.287943	-0.863612	-0.413839	-0.044707	-0.443793	0.895014	-0.956604	-0.239211	-0.166397
3	2139092													9.444961	-0.404575	2.768999	0.286571	-0.863269	-0.415504	-0.044349	-0.445182	0.894341	-0.957032	-0.237865	-0.165861
4	2139926													9.344354	-0.456600	2.858312	0.285876	-0.861286	-0.420072	-0.044336	-0.449785	0.892036	-0.957241	-0.236387	-0.166769
5	2140092													9.400939	-0.472846	2.830773	0.286168	-0.861082	-0.420292	-0.044580	-0.450126	0.891852	-0.957142	-0.236483	-0.167198
6	2140259													9.395898	-0.466094	2.832313	0.286411	-0.860956	-0.420384	-0.044960	-0.450359	0.891715	-0.957051	-0.236497	-0.167696
7	2140426													9.379354	-0.461828	2.798243	0.286535	-0.860976	-0.420259	-0.045359	-0.450350	0.891699	-0.956995	-0.236441	-0.168094
8	2140592													9.405162	-0.451876	2.831780	0.286681	-0.860923	-0.420269	-0.045755	-0.450486	0.891610	-0.956933	-0.236378	-0.168537
9	2140759													9.398148	-0.455298	2.772744	0.286863	-0.860898	-0.420195	-0.046075	-0.450522	0.891576	-0.956863	-0.236400	-0.168904
10	2140926													9.420444	-0.454081	2.799701	0.286949	-0.860914	-0.420103	-0.046456	-0.450536	0.891549	-0.956819	-0.236313	-0.169275
11	2141092													9.393162	-0.432302	2.815987	0.287092	-0.860936	-0.419960	-0.046759	-0.450489	0.891557	-0.956761	-0.236322	-0.169589
12	2141259													9.399598	-0.424056	2.807595	0.287182	-0.860991	-0.419788	-0.046930	-0.450369	0.891608	-0.956726	-0.236353	-0.169744
13	2141426													9.409664	-0.394629	2.842139	0.287348	-0.860948	-0.419762	-0.047067	-0.450407	0.891582	-0.956669	-0.236438	-0.169946
14	2141592													9.372643	-0.438516	2.861352	0.287418	-0.860536	-0.420557	-0.047207	-0.451278	0.891134	-0.956641	-0.236275	-0.170329
15	2141759													9.375134	-0.437901	2.897441	0.287516	-0.860746	-0.420061	-0.047324	-0.450811	0.891364	-0.956606	-0.236402	-0.170350
16	2141926													9.364614	-0.428654	2.876356	0.287598	-0.860688	-0.420123	-0.047443	-0.450920	0.891303	-0.956575	-0.236405	-0.170518
17	2142092													9.361603	-0.436004	2.879483	0.287685	-0.860624	-0.420195	-0.047564	-0.451041	0.891235	-0.956543	-0.236409	-0.170692
18	2142259													9.343264	-0.418717	2.875850	0.287629	-0.860675	-0.420128	-0.047623	-0.450975	0.891265	-0.956557	-0.236346	-0.170702
19	2142426													9.343865	-0.446135	2.876977	0.287468	-0.860791	-0.420001	-0.047668	-0.450825	0.891339	-0.956603	-0.236210	-0.170630
