// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3028995													-0.207629	0.750299	-0.268144	-0.081216	-0.869864	0.486560	-0.014297	0.489139	0.872088	-0.996594	0.063871	-0.052162
1	3029162													9.817215	-0.156641	-0.784515	-0.081258	-0.869401	0.487381	-0.013634	0.489921	0.871660	-0.996600	0.064184	-0.051663
2	3029329													9.843044	-0.164970	-0.811478	-0.080874	-0.869125	0.487936	-0.013414	0.490444	0.871369	-0.996634	0.063926	-0.051323
3	3029495													9.794359	-0.108631	-0.817361	-0.080657	-0.869021	0.488156	-0.013392	0.490652	0.871252	-0.996652	0.063735	-0.051212
4	3029995													9.832009	-0.065538	-0.783786	-0.080491	-0.868833	0.488518	-0.012759	0.490967	0.871085	-0.996674	0.063881	-0.050604
5	3030162													9.819210	-0.037999	-0.790195	-0.079926	-0.868820	0.488635	-0.011742	0.490989	0.871086	-0.996732	0.063885	-0.049444
6	3030329													9.804940	-0.057025	-0.755802	-0.079221	-0.868654	0.489044	-0.010561	0.491290	0.870932	-0.996801	0.063831	-0.048094
7	3030495													9.746831	-0.055745	-0.742915	-0.078410	-0.868371	0.489677	-0.009568	0.491822	0.870643	-0.996875	0.063582	-0.046872
8	3030662													9.743339	-0.036234	-0.736984	-0.077686	-0.868305	0.489910	-0.008853	0.491977	0.870563	-0.996939	0.063293	-0.045907
9	3030829													9.736966	-0.016703	-0.702784	-0.077065	-0.868192	0.490208	-0.008390	0.492217	0.870432	-0.996991	0.062967	-0.045217
10	3030995													9.728117	-0.009486	-0.682488	-0.076496	-0.868018	0.490605	-0.008094	0.492571	0.870235	-0.997037	0.062599	-0.044705
11	3031162													9.783744	-0.028659	-0.697735	-0.075931	-0.867959	0.490797	-0.007875	0.492724	0.870150	-0.997082	0.062206	-0.044248
12	3031329													9.781519	-0.058401	-0.710316	-0.075319	-0.867833	0.491114	-0.007765	0.493009	0.869990	-0.997129	0.061713	-0.043872
13	3031495													9.768048	-0.100267	-0.683922	-0.074779	-0.867883	0.491108	-0.007721	0.492976	0.870008	-0.997170	0.061267	-0.043565
14	3031662													9.800479	-0.099808	-0.654468	-0.074307	-0.867804	0.491320	-0.007795	0.493172	0.869897	-0.997205	0.060809	-0.043411
15	3031829													9.814213	-0.087676	-0.652033	-0.073761	-0.867804	0.491401	-0.007871	0.493234	0.869861	-0.997245	0.060294	-0.043212
16	3031995													9.767275	-0.065577	-0.639190	-0.073249	-0.867841	0.491414	-0.007930	0.493229	0.869864	-0.997282	0.059820	-0.043011
17	3032162													9.755903	-0.047018	-0.627979	-0.072765	-0.867925	0.491336	-0.007961	0.493131	0.869918	-0.997317	0.059388	-0.042792
18	3032329													9.761701	-0.029479	-0.628408	-0.072375	-0.867881	0.491472	-0.008009	0.493255	0.869848	-0.997345	0.059019	-0.042650
19	3032495													9.757960	-0.002950	-0.625110	-0.072065	-0.867956	0.491384	-0.007992	0.493152	0.869906	-0.997368	0.058763	-0.042475
20	3032662													9.692837	0.017972	-0.585122	-0.071886	-0.867802	0.491683	-0.007926	0.493440	0.869744	-0.997381	0.058626	-0.042350
21	3032829													9.750587	0.009475	-0.628446	-0.071866	-0.867538	0.492151	-0.007853	0.493903	0.869481	-0.997383	0.058622	-0.042308
22	3032995													9.779589	-0.028386	-0.609100	-0.071903	-0.867240	0.492670	-0.007798	0.494423	0.869187	-0.997381	0.058655	-0.042313
23	3033162													9.797242	-0.060236	-0.639996	-0.071961	-0.866940	0.493190	-0.007750	0.494943	0.868891	-0.997377	0.058705	-0.042335
24	3033329													9.780949	-0.078062	-0.656267	-0.072022	-0.866636	0.493716	-0.007743	0.495472	0.868589	-0.997373	0.058735	-0.042395
25	3033495													9.793529	-0.092993	-0.660571	-0.072106	-0.866519	0.493909	-0.007751	0.495670	0.868476	-0.997367	0.058794	-0.042458
26	3033662													9.801472	-0.107819	-0.663739	-0.072172	-0.866372	0.494156	-0.007793	0.495923	0.868332	-0.997362	0.058818	-0.042543
27	3033829													9.778963	-0.121745	-0.659231	-0.072249	-0.866378	0.494136	-0.007850	0.495909	0.868339	-0.997356	0.058857	-0.042630
28	3033995													9.774734	-0.102151	-0.692431	-0.072363	-0.866412	0.494059	-0.007992	0.495845	0.868374	-0.997346	0.058889	-0.042805
29	3034162													9.737118	-0.091851	-0.698171	-0.072512	-0.866552	0.493791	-0.008178	0.495595	0.868515	-0.997334	0.058940	-0.043023
30	3034329													9.733488	-0.044291	-0.713241	-0.072748	-0.866673	0.493544	-0.008439	0.495373	0.868640	-0.997315	0.059027	-0.043351
31	3034495													9.777315	-0.068952	-0.755981	-0.073083	-0.866831	0.493217	-0.008787	0.495079	0.868803	-0.997287	0.059161	-0.043799
32	3034662													9.789547	-0.032428	-0.758430	-0.073404	-0.867042	0.492798	-0.009194	0.494698	0.869016	-0.997260	0.059258	-0.044285
33	3034829													9.855165	-0.016361	-0.748374	-0.073683	-0.867151	0.492564	-0.009493	0.494494	0.869129	-0.997237	0.059364	-0.044668
34	3034995													9.826241	-0.020185	-0.753768	-0.073791	-0.867205	0.492454	-0.009767	0.494405	0.869177	-0.997226	0.059328	-0.044952
35	3035162													9.818896	-0.055378	-0.730397	-0.073837	-0.867229	0.492404	-0.010083	0.494375	0.869190	-0.997219	0.059213	-0.045248
36	3035329													9.822031	-0.072093	-0.736844	-0.073769	-0.867343	0.492214	-0.010386	0.494200	0.869286	-0.997221	0.059014	-0.045465
37	3035495													9.792874	-0.060941	-0.718538	-0.073624	-0.867337	0.492246	-0.010679	0.494242	0.869259	-0.997229	0.058742	-0.045651
38	3035662													9.788636	-0.068801	-0.711697	-0.073421	-0.867339	0.492272	-0.010939	0.494275	0.869237	-0.997241	0.058436	-0.045778
39	3035829													9.765216	-0.079562	-0.712637	-0.073205	-0.867290	0.492391	-0.011167	0.494397	0.869164	-0.997254	0.058129	-0.045877
40	3035995													9.745525	-0.101752	-0.719909	-0.073012	-0.867152	0.492663	-0.011378	0.494673	0.869005	-0.997266	0.057843	-0.045983
41	3036162													9.735966	-0.118054	-0.720722	-0.072903	-0.867108	0.492757	-0.011631	0.494777	0.868942	-0.997271	0.057617	-0.046156
42	3036329													9.767312	-0.091930	-0.678771	-0.072853	-0.867231	0.492547	-0.011863	0.494577	0.869053	-0.997272	0.057470	-0.046320
43	3036495													9.733236	-0.090340	-0.683815	-0.072861	-0.867202	0.492598	-0.012088	0.494642	0.869013	-0.997269	0.057363	-0.046522
44	3036662													9.803798	-0.121017	-0.711773	-0.072950	-0.867259	0.492484	-0.012384	0.494550	0.869061	-0.997259	0.057299	-0.046817
45	3036829													9.767776	-0.087504	-0.705346	-0.073006	-0.867351	0.492314	-0.012691	0.494399	0.869143	-0.997251	0.057205	-0.047101
46	3036995													9.774156	-0.093235	-0.718689	-0.073125	-0.867421	0.492173	-0.012934	0.494277	0.869208	-0.997239	0.057195	-0.047364
47	3037162													9.756558	-0.108058	-0.727460	-0.073207	-0.867473	0.492068	-0.013099	0.494186	0.869258	-0.997231	0.057190	-0.047541
48	3037329													9.799934	-0.117102	-0.735503	-0.073306	-0.867539	0.491938	-0.013309	0.494072	0.869319	-0.997221	0.057179	-0.047765
49	3037495													9.812489	-0.104097	-0.723776	-0.073299	-0.867616	0.491802	-0.013531	0.493948	0.869386	-0.997218	0.057071	-0.047946
